district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Barisal,1,1,2025,18.1,18.1,24.0,15.1,86.5,0.0,11.5,1014.7,7.0,170.8,15.7
Barisal,2,1,2025,16.5,16.5,20.5,14.9,88.9,0.0,12.2,1015.2,7.0,158.4,14.6
Barisal,3,1,2025,16.3,16.3,19.6,14.2,88.3,0.0,9.0,1015.5,6.0,147.6,14.3
Barisal,4,1,2025,16.9,16.9,21.8,13.4,88.7,0.0,7.2,1014.1,7.0,123.0,14.9
Barisal,5,1,2025,17.8,17.8,25.6,12.8,88.5,0.0,9.4,1014.6,7.0,160.4,15.6
Barisal,6,1,2025,19.6,19.6,28.1,13.7,84.0,0.0,7.9,1013.8,7.0,180.5,16.3
Barisal,7,1,2025,19.8,19.8,26.4,14.9,82.0,0.0,10.1,1012.8,7.0,164.4,16.2
Barisal,8,1,2025,17.4,17.4,21.7,14.9,90.1,0.1,10.1,1014.4,7.0,170.7,15.7
Barisal,9,1,2025,16.9,16.9,23.8,13.6,83.7,0.0,12.2,1016.9,7.0,196.9,13.8
Barisal,10,1,2025,17.0,17.0,25.2,11.7,80.9,0.0,9.7,1018.2,7.0,199.2,13.3
Barisal,11,1,2025,17.8,17.8,26.6,11.7,80.1,0.0,10.4,1017.9,7.0,200.6,13.8
Barisal,12,1,2025,19.2,19.3,28.6,12.5,77.8,0.0,9.7,1016.9,7.0,197.9,14.6
Barisal,13,1,2025,19.0,19.0,27.1,12.8,78.8,0.0,9.0,1014.9,7.0,197.7,14.5
Barisal,14,1,2025,19.2,19.2,26.6,14.1,78.7,0.0,12.6,1017.2,7.0,195.9,15.0
Barisal,15,1,2025,19.3,19.3,26.2,14.9,79.7,0.0,13.3,1017.5,7.0,196.7,15.3
Barisal,16,1,2025,19.4,19.4,28.1,14.7,81.7,0.0,10.1,1016.9,7.0,201.0,15.7
Barisal,17,1,2025,19.9,19.9,28.1,15.0,81.5,0.0,10.1,1015.8,7.0,200.5,16.2
Barisal,18,1,2025,19.9,19.9,26.7,15.4,79.7,0.0,10.1,1015.3,7.0,200.6,15.8
Barisal,19,1,2025,18.8,18.8,25.9,13.6,74.4,0.0,11.9,1014.1,8.0,208.6,13.4
Barisal,20,1,2025,17.9,17.9,25.4,12.4,78.7,0.0,10.1,1012.4,8.0,207.7,13.5
Barisal,21,1,2025,18.6,18.6,26.1,13.0,81.5,0.0,9.7,1011.9,8.0,206.2,14.9
Barisal,22,1,2025,19.7,19.7,27.8,14.6,82.7,0.0,9.0,1012.7,7.0,206.1,16.3
Barisal,23,1,2025,18.6,18.6,25.1,15.2,87.8,0.0,10.4,1013.5,7.0,206.6,16.3
Barisal,24,1,2025,19.2,19.2,26.1,14.7,84.0,0.0,11.2,1013.0,7.0,194.0,16.1
Barisal,25,1,2025,19.3,19.3,25.7,15.2,82.0,0.0,10.1,1013.7,6.0,158.6,15.7
