district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Bhola,1,1,2025,18.4,18.4,23.7,14.9,89.2,0.0,57.6,1014.5,7.0,176.1,16.5
Bhola,2,1,2025,17.0,17.0,20.4,14.9,91.6,0.0,13.0,1014.8,7.0,166.5,15.6
Bhola,3,1,2025,16.8,16.8,21.1,14.4,89.9,0.0,10.4,1015.2,7.0,153.2,15.0
Bhola,4,1,2025,17.6,17.6,22.0,14.2,90.6,0.1,5.8,1013.9,7.0,124.0,15.9
Bhola,5,1,2025,18.7,18.7,25.6,13.4,90.3,0.0,8.3,1014.5,6.0,152.1,16.9
Bhola,6,1,2025,20.4,20.6,28.1,14.1,85.9,0.0,7.6,1013.5,7.0,176.2,17.6
Bhola,7,1,2025,20.3,20.3,26.2,15.1,82.8,0.0,10.1,1012.8,7.0,179.9,16.9
Bhola,8,1,2025,18.1,18.1,21.4,15.2,89.8,0.0,11.5,1014.1,7.0,175.6,16.3
Bhola,9,1,2025,17.7,17.7,23.8,13.6,83.8,0.0,13.0,1016.6,7.0,195.9,14.7
Bhola,10,1,2025,17.9,17.9,26.5,11.7,81.6,0.0,10.8,1018.0,7.0,197.9,14.3
Bhola,11,1,2025,18.8,18.8,27.1,11.4,79.9,0.0,10.1,1017.7,7.0,200.8,14.7
Bhola,12,1,2025,19.5,19.5,27.9,11.9,80.1,0.0,9.4,1016.7,7.0,196.9,15.4
Bhola,13,1,2025,20.0,20.0,27.6,12.6,76.9,0.0,8.3,1014.8,7.0,199.1,15.1
Bhola,14,1,2025,19.8,19.8,26.6,13.9,79.5,0.0,14.0,1016.7,7.0,198.2,15.8
Bhola,15,1,2025,19.8,19.8,27.1,13.4,80.6,0.0,14.4,1017.3,7.0,197.1,16.0
Bhola,16,1,2025,20.1,20.1,28.3,14.2,81.4,0.0,10.1,1016.6,7.0,200.4,16.4
Bhola,17,1,2025,20.7,20.7,29.3,14.4,77.1,0.0,10.4,1015.4,7.0,201.5,16.0
Bhola,18,1,2025,20.6,20.6,27.3,15.4,79.1,0.0,10.8,1014.9,7.0,200.6,16.4
Bhola,19,1,2025,19.4,19.4,26.3,13.2,75.5,0.0,13.7,1013.8,8.0,206.0,14.3
Bhola,20,1,2025,18.6,18.6,25.8,11.9,78.7,0.0,11.2,1012.1,8.0,207.4,14.2
Bhola,21,1,2025,18.8,18.8,25.9,12.4,81.6,0.0,10.4,1011.7,8.0,206.0,15.2
Bhola,22,1,2025,19.7,19.8,26.9,14.7,82.0,0.0,9.7,1012.4,8.0,206.1,16.2
Bhola,23,1,2025,19.1,19.1,25.1,15.2,86.2,0.0,12.6,1013.3,8.0,208.3,16.6
Bhola,24,1,2025,19.5,19.5,26.8,15.2,82.2,0.0,12.2,1012.7,7.0,200.5,16.0
Bhola,25,1,2025,19.5,19.5,25.6,15.9,80.9,0.0,12.6,1013.5,6.0,154.9,15.8
Bhola,26,1,2025,19.0,19.0,25.2,14.0,76.6,0.0,13.0,1012.8,8.0,213.3,14.2
Bhola,27,1,2025,18.7,18.7,25.1,12.2,80.0,0.0,9.4,1011.0,8.0,210.8,14.8
Bhola,28,1,2025,19.1,19.1,26.2,12.6,78.8,0.0,8.6,1012.8,8.0,210.0,14.7
Bhola,29,1,2025,19.5,19.5,27.1,13.2,78.2,0.0,7.6,1015.1,8.0,212.5,14.9
Bhola,30,1,2025,21.0,21.0,26.7,14.2,81.0,0.0,14.4,1012.0,6.0,151.1,17.4
Bhola,31,1,2025,22.8,22.8,26.1,19.7,86.9,1.1,17.6,1011.7,5.0,112.3,20.5
Bhola,1,2,2025,23.2,23.3,26.9,21.1,88.8,0.2,9.0,1012.1,7.0,162.2,21.1
Bhola,2,2,2025,23.4,23.6,27.3,21.1,89.7,0.2,9.0,1012.0,7.0,169.0,21.5
Bhola,3,2,2025,22.8,22.8,28.2,19.8,84.3,0.0,8.6,1012.6,7.0,176.9,19.6
Bhola,4,2,2025,21.0,21.0,28.3,14.7,75.1,0.0,13.3,1012.4,8.0,221.4,15.7
Bhola,5,2,2025,21.5,21.5,28.8,14.7,78.3,0.0,8.6,1011.1,8.0,216.9,17.0
Bhola,6,2,2025,23.0,23.2,29.0,18.7,85.6,0.0,7.9,1011.6,8.0,200.9,20.2
Bhola,7,2,2025,20.8,20.7,28.3,14.4,72.5,0.0,9.7,1013.4,8.0,233.7,14.7
Bhola,8,2,2025,19.4,19.4,27.5,11.9,69.8,0.0,15.1,1013.8,8.0,235.4,12.7
Bhola,9,2,2025,19.4,19.4,27.8,11.7,71.6,0.0,10.1,1013.2,8.0,232.7,13.3
Bhola,10,2,2025,21.1,20.9,29.8,12.7,71.1,0.0,9.0,1013.6,8.0,231.9,14.5
Bhola,11,2,2025,23.0,23.3,28.9,16.7,84.3,0.0,12.6,1012.8,8.0,215.9,19.9
Bhola,12,2,2025,24.4,24.9,28.9,20.4,86.6,0.8,10.8,1012.6,6.0,152.6,21.8
Bhola,13,2,2025,25.0,25.8,28.8,22.5,88.5,1.8,13.0,1011.5,7.0,163.7,22.9
Bhola,14,2,2025,23.8,23.7,28.2,17.9,70.9,0.0,11.5,1011.8,8.0,231.0,17.1
Bhola,15,2,2025,22.2,22.0,30.1,14.6,69.8,0.0,8.6,1011.8,8.0,237.2,15.2
Bhola,16,2,2025,23.2,23.3,30.1,16.2,77.6,0.0,11.2,1012.3,8.0,218.8,18.5
Bhola,17,2,2025,23.8,24.0,31.5,18.6,78.0,0.0,9.7,1013.8,8.0,226.7,19.1
Bhola,18,2,2025,24.3,24.7,31.1,19.2,79.2,0.0,10.4,1013.2,8.0,229.9,20.0
Bhola,19,2,2025,24.2,24.6,29.3,21.6,83.9,0.7,7.2,1012.7,7.0,199.2,21.1
Bhola,20,2,2025,24.5,24.8,30.8,18.7,78.0,0.1,10.4,1013.8,8.0,215.3,19.9
Bhola,21,2,2025,24.9,25.2,31.3,19.4,76.5,0.0,10.1,1014.0,8.0,228.4,19.9
Bhola,22,2,2025,24.6,25.2,30.9,18.2,77.4,0.0,7.6,1014.4,8.0,229.9,20.0
Bhola,23,2,2025,24.5,24.6,30.3,20.4,73.4,0.2,9.7,1015.4,6.0,173.1,18.9
Bhola,24,2,2025,24.0,24.3,30.6,17.9,73.1,0.0,9.4,1016.2,8.0,230.1,18.4
Bhola,25,2,2025,24.7,24.6,31.6,17.6,65.9,0.0,12.2,1017.3,8.0,240.1,17.0
Bhola,26,2,2025,24.0,23.8,30.8,17.7,65.9,0.0,15.1,1017.1,9.0,254.5,16.2
Bhola,27,2,2025,23.8,23.8,30.6,16.1,68.2,0.0,12.2,1014.9,9.0,253.5,16.8
Bhola,28,2,2025,24.8,25.5,31.3,18.4,74.3,0.0,9.7,1013.8,8.0,227.5,19.5
Bhola,1,3,2025,26.0,27.1,32.2,21.1,78.3,0.0,11.5,1011.7,8.0,242.9,21.5
Bhola,2,3,2025,27.2,28.7,34.0,22.9,76.3,0.6,16.2,1008.8,9.0,238.0,22.1
Bhola,3,3,2025,26.7,27.5,33.0,23.6,79.8,0.2,7.6,1009.7,7.0,189.4,22.3
Bhola,4,3,2025,26.0,26.3,33.1,20.8,72.1,0.0,11.5,1009.7,8.0,236.5,19.7
Bhola,5,3,2025,25.2,25.2,31.7,18.9,71.0,0.0,14.4,1009.2,9.0,247.3,18.4
Bhola,6,3,2025,25.0,25.0,32.0,18.9,69.8,0.0,10.1,1010.5,9.0,257.3,18.1
Bhola,7,3,2025,23.9,23.6,31.5,15.7,61.4,0.0,11.5,1009.4,9.0,272.9,14.3
Bhola,8,3,2025,24.3,24.5,32.0,16.2,70.0,0.0,14.8,1009.5,9.0,257.1,17.7
Bhola,9,3,2025,25.3,25.9,31.1,19.6,77.1,0.0,6.8,1013.0,9.0,245.7,20.6
Bhola,10,3,2025,26.3,26.9,34.1,19.9,69.6,0.0,11.5,1014.5,9.0,271.0,19.3
Bhola,11,3,2025,26.5,27.1,33.5,19.7,70.0,0.0,10.4,1012.7,9.0,249.9,19.9
