district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Bogra,1,1,2025,16.6,16.6,21.6,13.1,83.9,0.0,10.8,1015.4,7.0,139.3,13.8
Bogra,2,1,2025,14.7,14.7,19.5,11.6,88.9,0.0,11.2,1016.0,7.0,151.0,12.9
Bogra,3,1,2025,16.2,16.2,23.0,11.6,85.8,0.0,9.7,1015.7,7.0,168.7,13.7
Bogra,4,1,2025,17.7,17.7,25.2,12.6,85.9,0.0,7.9,1014.6,7.0,148.5,15.1
Bogra,5,1,2025,19.5,19.5,27.5,13.6,82.3,0.0,8.3,1015.1,6.0,172.2,16.1
Bogra,6,1,2025,19.9,20.0,27.8,13.8,82.8,0.0,7.2,1013.6,7.0,174.6,16.5
Bogra,7,1,2025,19.8,19.8,26.3,14.7,78.7,0.0,15.1,1012.6,6.0,135.1,15.6
Bogra,8,1,2025,16.7,16.7,19.9,13.8,84.5,0.0,13.0,1015.0,6.0,151.7,14.0
Bogra,9,1,2025,16.0,16.0,22.1,11.6,80.7,0.0,9.0,1017.4,7.0,178.3,12.3
Bogra,10,1,2025,16.9,16.9,24.5,11.5,79.3,0.0,8.6,1018.6,7.0,185.0,12.9
Bogra,11,1,2025,17.7,17.7,25.9,11.6,81.8,0.0,8.3,1018.1,7.0,184.8,14.1
Bogra,12,1,2025,18.5,18.5,26.3,12.2,78.7,0.0,7.2,1017.3,7.0,172.9,14.1
Bogra,13,1,2025,18.7,18.7,26.4,13.4,80.2,0.0,7.9,1014.9,7.0,176.8,14.8
Bogra,14,1,2025,18.7,18.7,25.7,14.3,79.1,0.0,10.1,1017.6,7.0,175.6,14.6
Bogra,15,1,2025,18.3,18.3,24.8,14.3,80.5,0.0,11.9,1018.3,7.0,185.5,14.7
Bogra,16,1,2025,18.5,18.5,25.5,13.7,81.2,0.0,10.8,1017.6,7.0,185.3,14.9
Bogra,17,1,2025,18.5,18.5,25.3,14.0,81.2,0.0,9.7,1016.6,7.0,181.0,14.9
Bogra,18,1,2025,18.9,18.9,26.1,14.7,79.0,0.0,9.7,1015.8,7.0,191.0,14.8
Bogra,19,1,2025,17.9,17.9,25.4,12.9,76.4,0.0,10.1,1014.4,7.0,198.3,13.2
Bogra,20,1,2025,17.1,17.1,23.6,13.1,82.7,0.0,9.4,1012.7,7.0,179.5,13.9
Bogra,21,1,2025,17.0,17.0,23.8,12.1,85.2,0.0,9.0,1011.9,7.0,171.6,14.3
Bogra,22,1,2025,16.2,16.2,21.9,12.1,89.7,0.0,8.6,1012.9,7.0,153.5,14.4
Bogra,23,1,2025,15.4,15.4,20.3,12.6,89.9,0.0,7.9,1013.7,7.0,172.0,13.6
Bogra,24,1,2025,15.6,15.6,19.7,11.7,87.9,0.0,11.5,1013.3,7.0,172.7,13.5
Bogra,25,1,2025,17.2,17.2,24.1,12.5,81.2,0.0,11.9,1014.1,7.0,171.4,13.6
Bogra,26,1,2025,17.0,17.0,24.6,10.2,77.9,0.0,7.9,1013.6,7.0,184.6,12.7
Bogra,27,1,2025,17.6,17.6,25.0,12.1,80.3,0.0,7.9,1011.3,7.0,174.1,13.8
Bogra,28,1,2025,17.8,17.8,25.5,12.7,77.8,0.0,7.9,1012.8,7.0,181.8,13.3
Bogra,29,1,2025,17.9,17.9,26.1,11.7,77.4,0.0,8.3,1015.0,7.0,195.9,13.4
