district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Brahmanbaria,1,1,2025,16.9,16.9,18.9,15.1,94.5,0.0,14.8,1014.5,7.0,167.0,16.0
Brahmanbaria,2,1,2025,16.1,16.1,18.6,14.0,92.9,0.0,14.8,1014.8,7.0,160.3,14.9
Brahmanbaria,3,1,2025,16.1,16.1,18.8,14.0,93.1,0.0,11.2,1015.2,7.0,170.6,15.0
Brahmanbaria,4,1,2025,18.5,18.5,24.5,13.0,86.7,0.0,7.8,1013.7,7.0,169.4,16.1
Brahmanbaria,5,1,2025,20.8,20.9,28.9,15.0,81.2,0.0,8.2,1014.3,7.0,169.8,16.9
Brahmanbaria,6,1,2025,21.8,21.9,28.9,15.4,76.2,0.0,10.9,1013.1,7.0,172.0,16.8
Brahmanbaria,7,1,2025,21.1,21.1,26.0,16.4,76.9,0.0,13.4,1012.2,6.0,158.4,16.5
Brahmanbaria,8,1,2025,17.5,17.5,19.6,15.8,88.1,0.0,16.6,1013.9,6.0,167.0,15.5
Brahmanbaria,9,1,2025,17.3,17.3,22.8,12.4,82.7,0.0,11.2,1016.4,7.0,179.4,14.1
Brahmanbaria,10,1,2025,17.7,17.7,24.7,11.2,77.2,0.0,9.4,1017.8,7.0,190.7,13.4
Brahmanbaria,11,1,2025,19.3,19.3,27.9,13.0,75.7,0.0,9.4,1017.4,7.0,183.9,14.2
Brahmanbaria,12,1,2025,21.1,20.9,29.7,13.2,68.9,0.0,10.5,1016.4,7.0,181.8,14.2
Brahmanbaria,13,1,2025,20.9,20.9,27.8,15.0,70.8,0.0,14.3,1014.1,7.0,187.6,14.8
Brahmanbaria,14,1,2025,19.9,19.9,26.0,14.2,76.4,0.0,14.5,1016.6,7.0,190.6,15.3
Brahmanbaria,15,1,2025,19.8,19.8,26.7,12.9,76.4,0.0,13.0,1016.9,7.0,191.9,15.1
Brahmanbaria,16,1,2025,20.0,20.1,28.5,14.4,77.8,0.0,11.2,1016.4,7.0,193.5,15.4
Brahmanbaria,17,1,2025,20.3,20.3,27.1,14.0,75.2,0.0,14.8,1015.3,7.0,186.8,15.1
Brahmanbaria,18,1,2025,20.0,20.0,26.8,13.4,77.4,0.0,13.0,1014.7,7.0,190.4,15.5
Brahmanbaria,19,1,2025,19.6,19.6,26.5,13.4,71.2,0.0,14.5,1013.4,7.0,197.8,13.7
Brahmanbaria,20,1,2025,19.0,19.0,25.8,12.4,74.0,0.0,9.4,1011.8,7.0,198.7,13.9
Brahmanbaria,21,1,2025,18.7,18.7,24.9,13.1,78.8,0.0,13.0,1011.3,7.0,185.4,14.6
Brahmanbaria,22,1,2025,19.0,19.0,25.3,13.2,81.1,0.0,11.2,1012.3,7.0,181.8,15.4
Brahmanbaria,23,1,2025,17.2,17.2,21.1,14.1,88.8,0.0,11.2,1013.2,7.0,195.5,15.2
Brahmanbaria,24,1,2025,17.1,17.1,22.9,13.1,88.3,0.0,9.1,1012.9,7.0,187.5,15.0
Brahmanbaria,25,1,2025,19.2,19.2,24.9,15.3,79.6,0.0,11.2,1013.6,6.0,140.2,15.2
Brahmanbaria,26,1,2025,18.6,18.6,24.0,12.9,74.2,0.0,12.7,1012.8,7.0,204.0,13.4
Brahmanbaria,27,1,2025,18.7,18.7,24.9,12.5,78.5,0.0,9.4,1010.8,7.0,183.7,14.4
Brahmanbaria,28,1,2025,19.3,19.3,26.0,14.1,74.1,0.0,9.6,1012.5,7.0,158.8,14.1
Brahmanbaria,29,1,2025,19.3,19.3,26.0,13.2,71.2,0.0,9.4,1014.8,8.0,207.9,13.3
Brahmanbaria,30,1,2025,20.7,20.7,26.9,13.4,72.3,0.5,16.6,1011.3,7.0,149.0,15.1
Brahmanbaria,31,1,2025,22.9,22.9,26.1,20.3,83.6,0.6,23.0,1011.0,5.0,112.2,19.9
Brahmanbaria,1,2,2025,22.3,22.4,27.4,19.0,86.0,0.1,9.4,1011.9,6.0,148.1,19.7
Brahmanbaria,2,2,2025,22.5,22.6,27.1,17.2,81.7,0.0,11.2,1011.8,7.0,183.0,19.0
Brahmanbaria,3,2,2025,22.0,22.0,27.6,18.3,78.5,0.0,14.5,1012.5,8.0,207.1,17.5
Brahmanbaria,4,2,2025,20.6,20.6,26.9,13.6,70.7,0.0,9.6,1012.0,8.0,211.1,14.6
Brahmanbaria,5,2,2025,21.2,21.3,27.0,15.9,76.5,0.0,10.9,1010.5,8.0,202.8,16.6
Brahmanbaria,6,2,2025,22.3,22.4,29.7,16.2,72.9,0.0,9.8,1011.3,8.0,205.4,16.7
Brahmanbaria,7,2,2025,20.5,20.4,26.9,14.0,60.9,0.0,13.0,1013.3,8.0,228.3,12.0
Brahmanbaria,8,2,2025,19.7,19.7,26.7,11.7,61.7,0.0,14.8,1013.6,8.0,225.7,11.4
Brahmanbaria,9,2,2025,19.5,19.5,26.0,11.7,64.7,0.0,11.2,1012.7,8.0,224.4,12.1
Brahmanbaria,10,2,2025,20.3,20.3,27.6,12.8,69.8,0.0,8.2,1013.2,8.0,222.3,13.9
Brahmanbaria,11,2,2025,21.3,21.4,27.1,16.0,77.7,0.0,14.1,1012.3,7.0,194.4,17.1
Brahmanbaria,12,2,2025,23.8,24.2,28.0,19.6,79.7,0.0,15.5,1012.1,7.0,188.3,19.9
Brahmanbaria,13,2,2025,25.1,25.5,29.6,22.0,77.7,0.2,13.9,1010.9,7.0,166.8,20.6
Brahmanbaria,14,2,2025,22.2,22.2,27.9,17.2,62.0,0.0,13.0,1011.5,8.0,235.8,13.9
Brahmanbaria,15,2,2025,21.4,21.2,28.0,13.3,57.9,0.0,10.9,1011.6,8.0,232.9,11.7
Brahmanbaria,16,2,2025,22.1,22.1,29.5,14.4,66.0,0.0,17.3,1011.9,8.0,223.1,14.8
Brahmanbaria,17,2,2025,23.8,24.0,30.0,17.1,68.1,0.0,12.5,1013.4,8.0,217.7,17.1
Brahmanbaria,18,2,2025,24.1,24.5,29.8,18.7,70.3,0.0,12.3,1012.9,8.0,214.0,18.1
Brahmanbaria,19,2,2025,24.5,24.9,30.8,18.2,69.3,0.0,14.8,1012.4,7.0,207.6,18.2
Brahmanbaria,20,2,2025,24.5,24.5,30.8,18.3,69.8,0.0,14.1,1013.7,8.0,214.9,17.8
Brahmanbaria,21,2,2025,24.4,24.5,30.9,19.1,69.8,0.0,12.3,1013.5,8.0,221.9,17.9
Brahmanbaria,22,2,2025,23.9,24.4,29.4,18.4,75.3,0.1,27.6,1014.3,8.0,210.1,19.0
Brahmanbaria,23,2,2025,23.5,23.6,29.7,20.0,72.8,0.0,18.1,1015.2,7.0,202.0,18.0
Brahmanbaria,24,2,2025,23.1,23.2,29.2,17.3,68.9,0.0,12.5,1016.2,8.0,228.1,16.5
Brahmanbaria,25,2,2025,24.3,24.1,30.9,16.4,59.3,0.0,14.1,1017.4,8.0,211.1,14.9
Brahmanbaria,26,2,2025,23.3,23.2,30.0,16.3,61.5,0.0,15.7,1017.0,9.0,253.4,14.6
Brahmanbaria,27,2,2025,23.8,23.8,30.0,16.4,61.9,0.0,11.4,1014.5,8.0,245.6,15.3
Brahmanbaria,28,2,2025,24.1,24.3,29.1,18.2,67.6,0.0,8.3,1013.5,8.0,187.9,17.4
Brahmanbaria,1,3,2025,25.6,26.2,32.0,19.8,69.3,0.0,14.3,1010.9,8.0,230.5,19.2
Brahmanbaria,2,3,2025,26.8,27.7,31.8,21.9,68.5,0.0,14.8,1008.1,8.0,235.6,20.2
Brahmanbaria,3,3,2025,26.8,27.2,31.8,23.7,63.2,0.0,11.4,1009.5,7.0,193.1,18.5
Brahmanbaria,4,3,2025,25.5,25.4,31.0,17.5,54.1,0.0,13.9,1009.4,9.0,256.6,14.7
