district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Chandpur,1,1,2025,17.2,17.2,23.8,15.0,90.7,0.0,14.8,1014.5,7.0,174.3,15.6
Chandpur,2,1,2025,15.1,15.1,17.4,14.0,93.5,0.0,14.8,1015.2,7.0,160.2,14.0
Chandpur,3,1,2025,15.8,15.8,20.0,14.0,90.8,0.0,11.2,1015.3,7.0,158.6,14.3
Chandpur,4,1,2025,17.8,17.8,22.5,13.0,85.2,0.0,9.4,1013.8,7.0,134.0,15.2
Chandpur,5,1,2025,20.3,20.2,28.0,15.0,79.8,0.0,13.0,1014.5,6.0,147.8,16.0
Chandpur,6,1,2025,21.8,21.8,28.3,16.0,75.7,0.0,11.2,1013.3,7.0,171.6,16.6
Chandpur,7,1,2025,21.1,21.1,26.0,17.0,72.1,0.0,14.8,1012.2,7.0,173.5,15.4
Chandpur,8,1,2025,18.0,18.0,21.0,16.0,82.6,0.1,16.6,1014.0,7.0,170.9,14.8
Chandpur,9,1,2025,17.5,17.5,23.0,13.2,73.9,0.0,14.8,1016.6,7.0,192.2,12.5
Chandpur,10,1,2025,18.6,18.6,25.0,13.0,69.8,0.0,9.4,1017.8,7.0,195.0,12.4
Chandpur,11,1,2025,19.5,19.5,27.0,13.0,67.5,0.0,9.4,1017.3,7.0,197.0,12.2
Chandpur,12,1,2025,20.7,20.6,28.5,14.3,65.3,0.0,9.4,1016.4,7.0,194.6,13.0
Chandpur,13,1,2025,20.7,20.7,27.0,14.6,67.8,0.0,11.2,1014.2,7.0,192.5,13.8
Chandpur,14,1,2025,20.6,20.6,26.0,15.6,69.7,0.0,13.0,1016.6,7.0,194.0,14.3
Chandpur,15,1,2025,20.5,20.5,26.5,16.0,71.8,0.0,13.0,1017.1,7.0,193.2,14.5
Chandpur,16,1,2025,20.5,20.4,27.0,15.0,72.7,0.0,11.2,1016.6,7.0,197.5,14.6
Chandpur,17,1,2025,21.2,21.2,27.6,16.0,68.9,0.0,14.8,1015.4,7.0,198.0,14.6
Chandpur,18,1,2025,20.8,20.8,26.0,16.0,72.3,0.0,13.0,1014.9,7.0,195.9,15.0
Chandpur,19,1,2025,19.9,19.9,25.0,16.0,65.3,0.0,13.0,1013.5,7.0,202.9,12.5
Chandpur,20,1,2025,19.3,19.3,24.5,15.0,70.1,0.0,9.4,1012.1,7.0,202.9,13.2
Chandpur,21,1,2025,18.9,18.9,24.3,14.0,76.4,0.0,14.8,1011.4,7.0,201.0,14.2
Chandpur,22,1,2025,19.3,19.3,26.0,15.0,84.5,0.0,11.2,1012.4,7.0,200.6,16.5
Chandpur,23,1,2025,17.6,17.6,23.3,14.0,83.5,0.0,11.2,1013.2,7.0,205.8,14.5
Chandpur,24,1,2025,17.8,17.8,24.3,14.0,83.0,0.0,7.6,1012.9,7.0,193.8,14.7
Chandpur,25,1,2025,19.7,19.7,25.0,16.0,71.4,0.0,13.0,1013.5,5.0,124.1,13.7
Chandpur,26,1,2025,19.2,19.2,24.5,14.0,69.5,0.0,13.0,1012.9,8.0,210.5,13.0
Chandpur,27,1,2025,19.3,19.3,24.6,14.5,74.5,0.0,11.2,1010.9,7.0,199.0,14.2
Chandpur,28,1,2025,19.9,19.9,26.1,15.0,65.5,0.0,11.2,1012.5,7.0,189.9,12.2
Chandpur,29,1,2025,20.0,20.0,26.6,15.0,63.0,0.0,9.4,1014.8,8.0,210.9,11.4
Chandpur,30,1,2025,21.2,21.2,26.5,15.2,73.7,0.3,18.4,1011.3,6.0,139.3,16.1
Chandpur,31,1,2025,22.7,22.9,27.0,16.9,85.1,1.5,14.8,1011.0,4.0,100.4,20.0
Chandpur,1,2,2025,22.8,22.9,27.0,19.0,84.3,0.3,11.2,1011.9,7.0,164.5,19.9
Chandpur,2,2,2025,23.2,23.5,28.3,19.0,79.2,0.1,11.2,1011.6,7.0,172.5,19.0
Chandpur,3,2,2025,22.6,22.7,28.5,19.0,71.5,0.0,14.8,1012.4,7.0,189.8,16.3
Chandpur,4,2,2025,21.6,21.6,27.1,16.0,64.0,0.0,11.2,1012.3,8.0,219.6,13.9
Chandpur,5,2,2025,22.1,22.1,28.0,17.8,71.8,0.0,9.4,1010.6,8.0,212.3,16.2
Chandpur,6,2,2025,22.7,22.8,29.0,17.5,68.1,0.0,13.0,1011.3,8.0,207.3,15.7
Chandpur,7,2,2025,21.1,21.1,26.3,15.0,53.1,0.0,13.0,1013.5,8.0,231.9,10.1
Chandpur,8,2,2025,20.4,20.4,26.0,15.0,50.8,0.0,14.8,1013.7,8.0,232.8,8.5
Chandpur,9,2,2025,20.1,20.1,26.3,14.5,56.7,0.0,13.0,1012.8,8.0,229.5,10.3
Chandpur,10,2,2025,21.0,20.9,28.5,14.6,61.7,0.0,13.0,1013.2,8.0,227.9,12.3
Chandpur,11,2,2025,22.6,22.7,29.1,17.6,74.0,0.0,13.0,1012.2,7.0,210.4,17.2
Chandpur,12,2,2025,23.9,24.2,29.0,20.0,78.3,0.2,11.2,1012.0,6.0,166.0,19.6
Chandpur,13,2,2025,25.1,25.5,30.1,22.0,74.8,0.6,13.0,1010.9,8.0,161.7,19.8
Chandpur,14,2,2025,22.5,22.4,27.3,18.0,53.0,0.0,14.8,1011.6,8.0,237.4,11.3
Chandpur,15,2,2025,22.2,22.0,28.6,15.5,49.3,0.0,13.0,1011.6,8.0,235.8,9.7
Chandpur,16,2,2025,23.1,23.0,30.1,17.0,62.2,0.0,11.2,1011.6,8.0,221.6,14.3
Chandpur,17,2,2025,24.2,24.1,30.6,19.0,71.1,0.0,9.4,1013.4,8.0,220.5,17.9
Chandpur,18,2,2025,24.5,25.0,30.1,20.2,75.9,0.2,11.2,1013.0,8.0,222.2,19.7
Chandpur,19,2,2025,24.8,24.8,29.0,20.5,66.1,0.0,14.8,1012.4,7.0,195.9,17.3
Chandpur,20,2,2025,24.7,24.6,29.5,20.1,67.0,0.1,9.4,1013.8,8.0,215.9,17.2
Chandpur,21,2,2025,25.0,25.1,30.6,21.0,67.7,0.0,11.2,1013.5,8.0,226.1,17.9
Chandpur,22,2,2025,24.0,24.3,30.5,19.7,73.1,0.1,14.8,1014.4,8.0,219.9,18.4
Chandpur,23,2,2025,23.5,23.6,29.5,20.0,68.2,0.0,27.7,1015.2,7.0,184.7,16.9
Chandpur,24,2,2025,24.0,23.8,30.0,19.0,62.6,0.0,11.2,1016.1,8.0,230.4,15.2
Chandpur,25,2,2025,24.9,24.7,30.5,20.0,55.6,0.0,13.0,1017.2,8.0,214.9,14.4
Chandpur,26,2,2025,24.2,23.8,30.1,18.4,51.9,0.0,137.2,1017.1,9.0,253.8,12.2
Chandpur,27,2,2025,24.3,24.1,30.1,17.7,56.0,0.0,13.0,1014.7,9.0,250.9,14.0
Chandpur,28,2,2025,24.9,25.0,30.5,19.1,60.6,0.0,7.6,1013.3,8.0,212.3,16.2
