district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Chittagong,1,1,2025,19.5,19.5,23.6,16.0,84.1,0.0,18.4,1014.0,7.0,189.3,16.7
Chittagong,2,1,2025,19.0,19.0,24.6,17.0,85.8,0.0,16.9,1014.5,7.0,189.7,16.4
Chittagong,3,1,2025,18.3,18.3,21.0,16.2,91.5,0.0,15.1,1015.2,7.0,172.6,16.8
Chittagong,4,1,2025,19.0,19.0,23.6,16.0,90.0,0.0,11.2,1014.0,7.0,161.3,17.3
Chittagong,5,1,2025,20.9,21.0,27.8,16.9,85.0,0.0,18.4,1014.9,7.0,175.6,18.0
Chittagong,6,1,2025,22.8,22.9,29.3,18.0,79.5,0.0,11.2,1013.8,7.0,183.7,18.5
Chittagong,7,1,2025,21.7,21.8,26.8,17.7,78.7,0.0,18.4,1013.2,7.0,180.3,17.4
Chittagong,8,1,2025,21.0,21.0,26.0,17.7,82.5,0.1,22.3,1013.8,7.0,183.6,17.7
Chittagong,9,1,2025,19.8,19.8,23.6,17.6,81.1,0.0,16.2,1016.1,7.0,195.9,16.3
Chittagong,10,1,2025,20.1,20.1,27.5,15.4,76.3,0.0,16.9,1017.3,7.0,202.1,15.2
Chittagong,11,1,2025,21.7,21.6,29.0,15.9,71.1,0.0,14.8,1017.3,7.0,200.1,15.4
Chittagong,12,1,2025,22.0,21.9,29.1,16.9,70.2,0.0,13.0,1016.8,7.0,196.8,15.4
Chittagong,13,1,2025,21.6,21.5,29.0,15.9,71.4,0.0,14.8,1015.2,7.0,199.2,15.3
Chittagong,14,1,2025,21.4,21.4,27.8,15.6,72.1,0.0,14.8,1016.3,7.0,201.4,15.5
Chittagong,15,1,2025,22.2,22.2,28.1,16.0,68.2,0.0,16.2,1016.7,7.0,202.4,15.7
Chittagong,16,1,2025,22.7,22.6,30.8,16.6,65.7,0.0,13.0,1016.3,7.0,203.0,15.1
Chittagong,17,1,2025,22.5,22.3,29.3,18.0,65.6,0.0,18.4,1015.4,8.0,205.7,14.7
Chittagong,18,1,2025,22.8,22.7,28.5,17.0,64.5,0.0,18.4,1014.6,8.0,207.4,15.1
Chittagong,19,1,2025,22.3,22.3,27.1,18.9,61.7,0.0,22.3,1013.4,8.0,208.0,14.0
Chittagong,20,1,2025,21.2,21.2,27.0,16.0,66.3,0.0,15.5,1012.3,8.0,211.4,14.1
Chittagong,21,1,2025,20.3,20.3,26.3,15.6,73.6,0.0,14.8,1011.9,8.0,210.4,14.8
Chittagong,22,1,2025,21.4,21.4,27.0,16.0,72.1,0.0,20.5,1012.8,8.0,210.5,15.7
Chittagong,23,1,2025,21.7,21.6,28.0,16.8,69.8,0.0,18.4,1013.2,8.0,213.3,15.2
Chittagong,24,1,2025,22.2,22.0,29.6,17.0,63.5,0.0,14.8,1012.8,8.0,212.1,13.8
Chittagong,25,1,2025,21.9,21.8,29.3,17.0,63.9,0.0,16.6,1013.3,7.0,184.9,14.1
Chittagong,26,1,2025,21.4,21.4,26.5,17.0,61.9,0.0,24.1,1012.7,8.0,218.0,13.1
Chittagong,27,1,2025,20.4,20.4,25.5,14.9,70.2,0.0,13.0,1011.2,8.0,217.1,14.4
Chittagong,28,1,2025,20.4,20.4,26.0,15.0,75.9,0.0,14.8,1012.9,8.0,214.0,15.5
Chittagong,29,1,2025,20.4,20.3,27.5,15.1,74.5,0.0,11.2,1015.3,8.0,218.1,14.7
Chittagong,30,1,2025,20.6,20.6,26.5,15.1,72.8,0.0,16.6,1012.5,8.0,210.1,14.9
Chittagong,31,1,2025,22.3,22.3,27.0,17.6,78.0,0.0,11.2,1012.8,7.0,199.2,18.0
Chittagong,1,2,2025,23.2,23.6,28.0,19.0,82.0,0.0,11.2,1012.6,8.0,199.0,19.7
Chittagong,2,2,2025,23.4,23.5,28.0,20.0,82.7,0.0,14.8,1012.4,7.0,188.7,20.0
Chittagong,3,2,2025,23.4,23.4,29.5,19.2,75.4,0.0,14.8,1012.8,7.0,198.8,18.1
Chittagong,4,2,2025,22.7,22.5,28.5,17.0,57.9,0.0,15.1,1012.5,8.0,227.0,12.9
Chittagong,5,2,2025,22.3,22.3,28.8,16.6,71.7,0.0,16.6,1011.4,8.0,222.3,16.3
Chittagong,6,2,2025,23.6,24.0,29.1,18.0,78.7,0.0,14.8,1012.0,8.0,211.7,19.3
Chittagong,7,2,2025,23.7,23.4,30.0,18.7,62.1,0.0,20.5,1013.5,8.0,234.9,14.0
Chittagong,8,2,2025,22.3,22.1,29.3,16.0,52.3,0.0,25.9,1013.7,8.0,239.6,10.8
Chittagong,9,2,2025,21.4,21.3,28.1,15.4,56.1,0.0,16.6,1013.3,8.0,237.5,11.4
Chittagong,10,2,2025,22.3,22.0,30.0,14.7,61.1,0.0,14.8,1014.1,8.0,234.9,12.7
Chittagong,11,2,2025,22.8,22.9,28.3,16.2,76.4,0.0,16.6,1013.7,8.0,229.2,17.9
Chittagong,12,2,2025,24.2,24.6,29.0,20.0,77.0,0.0,14.8,1013.3,8.0,211.3,19.7
Chittagong,13,2,2025,24.8,25.0,29.0,21.0,79.3,0.2,14.8,1012.5,8.0,197.3,20.6
Chittagong,14,2,2025,24.9,25.5,28.3,21.1,79.5,2.6,14.8,1011.8,8.0,201.6,20.9
Chittagong,15,2,2025,24.2,23.8,30.6,18.9,59.7,0.0,16.6,1011.8,8.0,234.9,14.0
Chittagong,16,2,2025,23.5,23.3,30.5,16.9,63.7,0.0,18.4,1012.8,8.0,230.1,15.0
Chittagong,17,2,2025,24.7,24.3,32.0,18.8,64.7,0.0,18.4,1014.1,8.0,238.7,16.1
Chittagong,18,2,2025,24.7,24.4,32.5,18.6,60.9,0.0,11.2,1013.6,9.0,241.6,15.1
Chittagong,19,2,2025,23.9,24.1,28.6,20.0,79.4,0.0,14.0,1013.0,8.0,210.4,19.9
Chittagong,20,2,2025,25.8,26.1,33.1,18.9,69.4,0.0,16.6,1013.5,8.0,225.6,18.7
Chittagong,21,2,2025,26.1,26.1,31.5,20.4,63.5,0.0,14.8,1014.0,8.0,237.3,17.8
Chittagong,22,2,2025,26.0,26.2,33.5,19.0,67.9,0.0,18.4,1014.5,9.0,243.3,18.6
Chittagong,23,2,2025,26.2,26.5,31.3,22.0,62.3,0.0,16.6,1015.2,8.0,217.2,17.9
Chittagong,24,2,2025,25.8,25.9,32.5,20.0,62.5,0.0,18.4,1016.0,9.0,250.2,17.4
Chittagong,25,2,2025,26.3,26.0,33.0,20.4,53.7,0.0,18.4,1017.2,9.0,255.3,14.9
Chittagong,26,2,2025,26.2,25.8,31.8,20.4,45.2,0.0,22.3,1017.2,9.0,258.1,12.3
Chittagong,27,2,2025,24.7,24.7,31.0,19.0,59.2,0.0,16.6,1015.0,9.0,259.6,15.6
Chittagong,28,2,2025,24.7,24.8,31.3,18.9,66.5,0.0,16.6,1013.9,9.0,249.7,17.4
Chittagong,1,3,2025,25.3,25.9,30.5,20.2,75.3,0.0,17.5,1012.3,8.0,244.5,20.1
Chittagong,2,3,2025,26.0,27.1,31.0,21.0,81.5,0.0,13.0,1010.0,9.0,247.6,22.2
Chittagong,3,3,2025,26.1,27.5,30.3,21.2,83.7,0.0,14.8,1010.2,7.0,206.1,22.9
Chittagong,4,3,2025,26.9,28.0,33.5,23.0,76.9,0.0,18.4,1009.9,8.0,244.5,22.0
Chittagong,5,3,2025,26.6,26.9,32.1,20.6,70.3,0.0,14.8,1009.6,9.0,247.4,19.7
Chittagong,6,3,2025,26.4,27.1,31.5,21.0,70.7,0.0,16.6,1010.6,9.0,255.2,20.1
Chittagong,7,3,2025,25.6,25.5,31.5,20.1,61.5,0.0,27.7,1009.7,9.0,271.8,16.2
Chittagong,8,3,2025,24.8,24.8,30.3,17.6,61.7,0.0,20.5,1010.2,9.0,268.8,16.2
Chittagong,9,3,2025,25.8,26.4,32.0,20.0,72.3,0.0,22.3,1013.0,9.0,270.0,19.8
Chittagong,10,3,2025,27.7,27.3,35.0,20.1,53.3,0.0,16.6,1014.4,9.0,275.5,15.5
Chittagong,11,3,2025,27.4,28.1,32.6,21.8,60.2,0.0,14.8,1012.7,9.0,271.3,18.3
Chittagong,12,3,2025,27.1,27.8,32.0,21.9,70.7,0.0,14.8,1010.3,9.0,258.3,20.6
Chittagong,13,3,2025,26.8,29.0,31.1,22.1,80.7,0.0,24.1,1009.2,9.0,260.1,23.0
Chittagong,14,3,2025,27.5,29.6,31.1,24.0,78.5,0.0,23.4,1010.6,9.0,256.1,23.2
Chittagong,15,3,2025,27.6,29.8,31.1,24.8,78.9,0.0,22.3,1011.5,9.0,247.7,23.4
Chittagong,16,3,2025,27.8,30.2,32.0,25.0,79.9,0.0,22.3,1010.9,9.0,245.7,23.8
Chittagong,17,3,2025,27.9,31.5,31.0,25.0,82.3,0.0,16.6,1010.1,9.0,245.3,24.5
Chittagong,18,3,2025,27.9,31.3,31.0,24.8,82.5,0.0,18.4,1010.4,9.0,247.4,24.6
Chittagong,19,3,2025,28.7,32.7,33.0,25.5,79.7,0.0,22.3,1013.5,9.0,259.4,24.6
Chittagong,20,3,2025,28.3,31.5,32.0,25.0,79.2,0.0,20.5,1014.7,8.0,247.0,24.1
Chittagong,21,3,2025,29.0,31.0,33.5,25.8,67.5,0.0,31.7,1014.9,9.0,249.6,21.5
Chittagong,22,3,2025,28.2,28.4,33.0,25.0,52.7,0.0,21.2,1014.2,8.0,254.9,17.3
Chittagong,23,3,2025,27.8,28.3,32.0,23.9,56.5,0.0,22.3,1014.3,9.0,276.1,18.0
Chittagong,24,3,2025,28.1,28.2,33.5,23.0,50.7,0.0,22.3,1012.9,9.0,281.3,16.4
Chittagong,25,3,2025,27.8,28.3,32.3,21.6,54.2,0.0,31.7,1008.8,10.0,290.3,17.2
Chittagong,26,3,2025,27.6,29.2,33.1,22.2,68.2,0.0,17.6,1007.5,10.0,290.7,20.8
Chittagong,27,3,2025,27.8,30.5,33.0,24.0,79.1,0.0,17.6,1006.4,9.0,257.9,23.4
Chittagong,28,3,2025,27.8,31.0,32.8,25.5,84.4,0.0,19.1,1006.0,9.0,267.1,24.7
Chittagong,29,3,2025,27.7,30.9,32.1,25.3,83.7,0.0,22.3,1007.6,9.0,264.9,24.6
Chittagong,30,3,2025,27.8,30.8,32.1,25.1,82.0,0.0,18.0,1010.1,9.0,277.8,24.3
Chittagong,31,3,2025,27.9,30.8,32.5,25.5,80.1,0.0,18.4,1010.4,9.0,268.0,24.0
Chittagong,1,4,2025,28.1,31.1,32.2,25.1,77.2,0.6,19.1,1010.3,9.0,261.4,23.6
Chittagong,2,4,2025,28.1,31.0,33.0,24.7,77.9,0.0,16.9,1011.1,9.0,277.5,23.7
Chittagong,3,4,2025,28.3,32.0,33.1,25.0,81.3,0.0,18.7,1011.7,9.0,279.1,24.6
