district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Chuadanga,1,1,2025,16.6,16.6,22.2,12.1,83.9,0.0,11.2,1015.7,7.0,146.9,13.7
Chuadanga,2,1,2025,14.9,14.9,21.0,9.9,85.5,0.0,12.2,1016.1,7.0,171.5,12.4
Chuadanga,3,1,2025,15.8,15.8,22.1,11.4,85.0,0.0,10.4,1015.7,7.0,144.1,13.1
Chuadanga,4,1,2025,17.1,17.1,22.7,13.5,86.6,0.0,11.2,1014.4,6.0,123.5,14.7
Chuadanga,5,1,2025,18.4,18.4,26.0,12.4,84.8,0.0,10.8,1014.8,6.0,169.3,15.6
Chuadanga,6,1,2025,18.9,18.9,26.4,13.6,83.3,0.0,9.0,1013.7,7.0,178.5,15.6
Chuadanga,7,1,2025,18.7,18.7,25.7,12.9,82.6,0.0,14.0,1012.7,5.0,129.5,15.3
Chuadanga,8,1,2025,16.8,16.8,21.1,13.6,83.7,0.0,14.0,1015.0,7.0,191.1,13.9
Chuadanga,9,1,2025,15.4,15.4,21.6,10.8,79.9,0.0,10.8,1017.6,7.0,193.3,11.6
Chuadanga,10,1,2025,15.7,15.7,23.3,9.4,80.7,0.0,10.1,1018.8,7.0,192.9,12.0
Chuadanga,11,1,2025,16.9,16.9,24.9,10.6,82.3,0.0,8.6,1018.1,7.0,188.4,13.4
Chuadanga,12,1,2025,18.0,18.0,26.4,10.7,78.6,0.0,8.3,1017.3,7.0,189.3,13.6
Chuadanga,13,1,2025,18.8,18.8,25.8,11.9,78.2,0.0,9.7,1015.1,7.0,183.7,14.5
Chuadanga,14,1,2025,18.3,18.3,24.8,12.7,81.8,0.0,12.2,1017.7,7.0,180.2,14.9
Chuadanga,15,1,2025,17.7,17.7,24.1,11.7,78.9,0.0,11.9,1018.5,7.0,187.5,13.6
Chuadanga,16,1,2025,17.8,17.8,24.9,11.9,82.2,0.0,10.8,1017.7,7.0,189.5,14.5
Chuadanga,17,1,2025,18.2,18.2,25.4,13.0,81.6,0.0,10.8,1016.6,7.0,175.2,14.6
Chuadanga,18,1,2025,18.2,18.2,25.5,12.2,80.7,0.0,10.4,1016.0,7.0,193.5,14.4
Chuadanga,19,1,2025,17.5,17.5,24.8,11.1,75.6,0.0,10.8,1014.6,7.0,203.1,12.5
Chuadanga,20,1,2025,16.9,16.9,23.6,9.7,77.9,0.0,11.9,1012.7,7.0,201.6,12.7
Chuadanga,21,1,2025,18.1,18.1,25.3,11.4,81.4,0.0,10.4,1011.9,7.0,197.6,14.6
Chuadanga,22,1,2025,17.3,17.3,23.9,13.2,87.3,0.0,9.7,1013.0,7.0,195.3,15.0
Chuadanga,23,1,2025,16.7,16.7,23.1,12.7,89.4,0.0,9.7,1013.7,7.0,181.4,14.8
Chuadanga,24,1,2025,16.8,16.8,22.3,12.6,89.3,0.0,9.0,1013.1,7.0,179.1,14.9
Chuadanga,25,1,2025,17.9,17.9,24.4,13.0,82.4,0.0,10.1,1014.0,6.0,136.5,14.5
Chuadanga,26,1,2025,17.0,17.0,24.4,10.4,76.7,0.0,9.7,1013.7,8.0,208.4,12.3
Chuadanga,27,1,2025,17.4,17.4,24.2,10.7,75.8,0.0,9.4,1011.7,7.0,198.7,12.5
Chuadanga,28,1,2025,17.3,17.3,26.2,10.7,78.0,0.0,9.4,1013.0,7.0,208.2,12.9
Chuadanga,29,1,2025,18.2,18.2,26.7,11.1,75.9,0.0,8.3,1015.0,8.0,204.0,13.4
Chuadanga,30,1,2025,20.9,21.0,27.4,15.3,85.5,0.8,15.8,1011.1,5.0,142.6,18.2
Chuadanga,31,1,2025,22.2,22.3,28.0,19.0,84.3,0.0,7.9,1011.0,8.0,184.6,19.2
Chuadanga,1,2,2025,21.7,21.8,27.7,18.0,83.2,0.1,7.6,1012.0,7.0,176.0,18.6
Chuadanga,2,2,2025,21.6,21.6,28.1,17.8,82.0,0.0,9.0,1012.1,7.0,202.2,18.1
Chuadanga,3,2,2025,21.4,21.3,28.1,17.6,72.3,0.0,9.4,1013.1,8.0,218.0,15.4
Chuadanga,4,2,2025,19.5,19.5,26.8,13.2,75.4,0.0,11.5,1013.0,8.0,216.5,14.5
Chuadanga,5,2,2025,20.7,20.6,28.5,14.3,75.7,0.0,8.6,1010.9,8.0,214.1,15.7
Chuadanga,6,2,2025,21.6,21.6,29.1,15.7,71.6,0.0,11.5,1012.0,8.0,217.2,15.7
Chuadanga,7,2,2025,18.4,18.4,26.4,10.9,66.1,0.0,10.1,1014.1,8.0,230.7,11.0
Chuadanga,8,2,2025,17.8,17.8,25.3,10.1,70.2,0.0,10.1,1014.5,8.0,228.6,11.3
Chuadanga,9,2,2025,18.3,18.3,25.9,10.7,70.9,0.0,9.0,1013.5,8.0,226.0,12.2
Chuadanga,10,2,2025,19.8,19.8,29.0,11.7,70.4,0.0,10.1,1013.4,8.0,227.7,13.6
Chuadanga,11,2,2025,21.2,21.2,29.8,15.8,76.0,0.0,10.1,1012.3,8.0,205.7,16.3
Chuadanga,12,2,2025,21.8,21.7,30.4,14.7,71.6,0.0,10.1,1012.2,8.0,221.5,15.6
Chuadanga,13,2,2025,22.2,22.1,30.2,17.4,73.9,0.0,10.4,1011.4,8.0,219.2,16.5
Chuadanga,14,2,2025,19.7,19.6,27.4,13.3,62.1,0.0,10.1,1012.0,8.0,238.5,11.2
Chuadanga,15,2,2025,20.1,19.9,28.7,12.1,65.3,0.0,8.3,1011.9,8.0,234.8,12.1
Chuadanga,16,2,2025,21.6,21.4,31.3,12.7,67.1,0.0,8.6,1011.8,8.0,232.8,14.2
Chuadanga,17,2,2025,22.7,23.0,29.7,16.4,77.0,0.0,7.2,1013.5,7.0,206.0,18.2
Chuadanga,18,2,2025,23.4,23.6,29.9,18.6,76.9,0.0,7.9,1013.1,8.0,227.5,18.6
Chuadanga,19,2,2025,23.1,23.1,29.9,17.3,69.4,0.0,9.0,1012.6,7.0,209.1,16.5
Chuadanga,20,2,2025,21.9,21.9,26.4,17.3,87.2,4.2,9.0,1014.2,7.0,167.7,19.5
Chuadanga,21,2,2025,22.8,23.2,30.2,16.1,81.1,0.0,7.6,1014.1,8.0,210.0,18.9
Chuadanga,22,2,2025,23.3,23.6,29.9,18.6,82.6,1.6,9.0,1014.5,8.0,202.6,19.8
Chuadanga,23,2,2025,22.3,22.4,27.5,17.1,82.1,6.3,15.1,1015.9,8.0,205.4,18.9
Chuadanga,24,2,2025,22.9,23.0,29.6,17.8,76.1,0.5,7.9,1016.9,8.0,213.2,17.9
Chuadanga,25,2,2025,22.7,22.8,29.5,15.7,73.0,0.0,8.3,1017.9,7.0,208.3,17.0
Chuadanga,26,2,2025,22.3,22.2,29.6,15.1,69.4,0.0,8.6,1017.9,9.0,244.6,15.7
Chuadanga,27,2,2025,22.5,22.7,29.4,15.6,74.1,0.0,9.7,1015.2,8.0,206.9,17.1
Chuadanga,28,2,2025,23.9,24.3,30.6,17.9,74.2,0.0,7.2,1013.9,8.0,238.9,18.5
Chuadanga,1,3,2025,25.5,26.5,33.5,17.9,73.5,0.2,12.2,1011.0,8.0,241.9,19.9
Chuadanga,2,3,2025,26.1,26.6,32.7,19.6,73.2,0.0,13.0,1008.3,9.0,243.7,20.2
Chuadanga,3,3,2025,25.7,25.6,32.4,19.6,62.3,0.0,8.6,1009.8,8.0,211.7,17.0
Chuadanga,4,3,2025,24.2,23.9,32.1,16.7,61.6,0.0,11.2,1010.1,9.0,263.3,15.2
Chuadanga,5,3,2025,23.9,23.6,31.3,17.4,57.1,0.0,14.8,1009.2,9.0,261.2,13.6
Chuadanga,6,3,2025,21.2,21.1,28.9,13.1,57.7,0.0,10.1,1011.6,9.0,271.9,11.4
Chuadanga,7,3,2025,21.8,21.6,30.0,13.1,61.2,0.0,11.5,1009.8,9.0,269.0,12.7
Chuadanga,8,3,2025,23.0,22.9,32.6,14.9,65.1,0.0,9.7,1008.9,9.0,260.1,15.0
Chuadanga,9,3,2025,24.5,25.5,32.2,17.7,75.7,0.0,9.0,1012.7,9.0,232.5,19.6
Chuadanga,10,3,2025,26.1,26.9,33.6,19.2,69.5,0.0,8.6,1014.7,9.0,239.8,19.6
Chuadanga,11,3,2025,26.0,26.3,33.4,19.1,66.3,0.0,15.8,1012.3,9.0,258.7,18.5
Chuadanga,12,3,2025,26.5,26.9,34.6,19.1,65.2,0.0,11.2,1008.5,9.0,241.3,18.4
Chuadanga,13,3,2025,27.4,28.3,36.5,21.1,69.3,0.0,12.2,1006.6,9.0,260.1,20.4
Chuadanga,14,3,2025,28.4,30.3,35.5,23.6,72.1,0.0,10.8,1007.9,9.0,266.3,22.3
Chuadanga,15,3,2025,28.9,31.9,35.1,24.7,74.5,0.0,10.1,1009.5,9.0,256.2,23.5
Chuadanga,16,3,2025,29.0,31.8,36.2,24.6,74.7,2.1,13.3,1009.0,9.0,250.4,23.6
Chuadanga,17,3,2025,27.3,28.3,33.3,23.1,70.0,0.5,13.0,1008.5,8.0,239.2,20.8
Chuadanga,18,3,2025,27.1,27.0,33.9,21.6,61.4,0.0,13.3,1009.6,9.0,272.0,17.7
Chuadanga,19,3,2025,26.7,26.6,34.1,18.9,58.7,0.0,9.7,1012.5,9.0,279.8,16.6
Chuadanga,20,3,2025,25.2,25.7,28.2,20.6,78.3,0.6,16.9,1014.1,7.0,198.8,21.0
Chuadanga,21,3,2025,23.5,23.5,25.6,21.1,77.5,2.9,21.6,1015.4,5.0,143.5,19.3
Chuadanga,22,3,2025,23.0,23.0,26.2,20.6,76.5,2.0,15.8,1014.9,5.0,140.9,18.6
Chuadanga,23,3,2025,24.0,24.3,29.9,18.1,73.8,0.0,7.2,1014.9,9.0,251.8,18.6
Chuadanga,24,3,2025,24.7,25.0,32.0,17.1,72.3,0.0,9.4,1013.6,9.0,268.1,18.6
Chuadanga,25,3,2025,25.6,25.8,33.2,17.9,67.7,0.0,8.6,1009.4,9.0,279.7,18.2
Chuadanga,26,3,2025,27.1,28.1,35.1,19.1,66.6,0.0,9.0,1006.7,9.0,259.9,19.5
Chuadanga,27,3,2025,28.3,29.6,37.0,23.1,68.1,0.0,10.1,1004.4,9.0,277.3,21.0
Chuadanga,28,3,2025,29.7,30.5,39.6,22.9,57.5,0.0,17.3,1003.3,10.0,291.8,19.0
Chuadanga,29,3,2025,29.2,29.2,37.9,20.6,52.5,0.0,12.6,1005.3,10.0,297.0,16.9
Chuadanga,30,3,2025,27.6,28.4,35.9,19.9,62.7,0.0,9.0,1008.6,10.0,290.6,18.8
Chuadanga,31,3,2025,29.8,32.7,35.7,24.9,69.8,0.0,14.0,1008.6,9.0,265.8,23.1
Chuadanga,1,4,2025,30.0,33.7,36.1,25.1,71.9,0.1,17.6,1008.0,9.0,274.0,23.8
Chuadanga,2,4,2025,29.9,33.6,35.9,25.1,72.7,0.0,14.4,1009.4,9.0,279.5,24.0
Chuadanga,3,4,2025,30.2,31.9,37.0,25.1,64.2,0.0,14.4,1010.6,9.0,285.3,21.4
Chuadanga,4,4,2025,29.2,31.6,34.0,25.5,68.6,0.7,15.5,1009.5,8.0,211.7,22.4
Chuadanga,5,4,2025,29.9,31.4,37.7,22.9,62.3,0.0,11.9,1007.5,9.0,267.2,20.8
Chuadanga,6,4,2025,29.8,32.8,36.4,25.1,70.2,4.6,15.5,1007.2,9.0,264.8,23.1
Chuadanga,7,4,2025,29.1,31.9,35.0,21.9,69.3,0.0,16.2,1010.2,9.0,270.0,22.5
Chuadanga,8,4,2025,29.1,32.4,34.1,23.7,73.2,0.0,12.2,1012.9,9.0,245.3,23.4
Chuadanga,9,4,2025,29.3,31.8,34.4,24.0,69.1,0.0,11.2,1010.9,9.0,265.5,22.6
Chuadanga,10,4,2025,27.8,29.6,35.0,22.6,75.5,5.1,11.5,1007.0,8.0,253.4,22.6
Chuadanga,11,4,2025,26.8,28.7,33.3,20.2,76.1,0.6,7.9,1005.4,8.0,235.0,21.8
Chuadanga,12,4,2025,29.2,32.8,34.9,23.1,73.6,0.3,9.4,1006.3,9.0,263.3,23.6
Chuadanga,13,4,2025,28.5,30.6,33.2,23.2,69.1,2.0,11.5,1008.5,8.0,241.9,22.0
Chuadanga,14,4,2025,28.6,31.4,34.4,23.4,72.2,0.7,8.3,1009.1,8.0,255.3,22.8
Chuadanga,15,4,2025,27.3,29.0,32.6,21.4,72.5,2.1,7.2,1010.1,9.0,268.9,21.6
Chuadanga,16,4,2025,28.3,30.5,33.3,24.2,72.4,6.3,16.2,1008.8,9.0,260.8,22.6
Chuadanga,17,4,2025,26.1,27.2,32.3,22.1,82.9,8.2,15.8,1007.7,8.0,208.3,22.8
Chuadanga,18,4,2025,23.9,24.3,28.2,21.5,90.0,47.3,11.9,1007.3,6.0,147.6,22.1
Chuadanga,19,4,2025,27.4,30.4,32.6,22.7,81.1,3.2,9.7,1006.2,8.0,206.6,23.6
Chuadanga,20,4,2025,29.2,34.6,34.8,24.5,81.7,3.0,14.0,1005.7,8.0,196.8,25.5
Chuadanga,21,4,2025,30.9,39.9,35.1,27.6,79.6,1.4,14.8,1006.9,6.0,167.1,26.9
Chuadanga,22,4,2025,31.4,40.8,36.3,28.2,78.0,0.0,19.4,1006.5,10.0,260.5,26.9
Chuadanga,23,4,2025,32.5,40.6,39.2,28.5,70.4,0.0,19.1,1003.6,10.0,307.3,25.6
Chuadanga,24,4,2025,31.9,40.5,37.6,27.6,74.1,0.0,21.2,1003.6,10.0,297.3,26.3
Chuadanga,25,4,2025,32.0,41.9,37.4,27.6,76.9,0.0,19.8,1004.5,10.0,300.3,27.1
Chuadanga,26,4,2025,31.3,39.5,36.5,26.3,76.7,0.0,20.9,1005.0,10.0,294.5,26.4
Chuadanga,27,4,2025,30.2,34.6,34.8,23.2,69.9,0.0,17.3,1007.2,9.0,247.6,23.8
Chuadanga,28,4,2025,27.9,30.8,31.0,22.8,76.9,7.7,17.3,1007.9,8.0,243.2,23.3
Chuadanga,29,4,2025,26.1,27.1,32.2,21.1,76.0,18.0,8.6,1008.3,9.0,229.7,21.2
Chuadanga,30,4,2025,26.2,27.5,32.5,22.1,78.4,0.8,11.9,1009.1,9.0,249.3,21.9
Chuadanga,1,5,2025,27.0,28.8,34.6,20.7,74.8,1.4,9.4,1010.2,9.0,277.4,21.7
Chuadanga,2,5,2025,27.4,28.9,34.0,21.7,71.8,0.8,6.1,1009.0,9.0,266.2,21.2
Chuadanga,3,5,2025,29.1,31.4,35.1,22.6,68.9,0.4,9.7,1006.9,9.0,269.2,22.2
Chuadanga,4,5,2025,28.5,31.3,33.1,23.7,74.6,1.2,11.5,1006.1,9.0,237.6,23.3
