district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Comilla,1,1,2025,17.1,17.1,20.0,14.9,93.6,0.0,7.6,1014.5,7.0,174.2,16.1
Comilla,2,1,2025,16.5,16.5,19.0,14.5,92.0,0.0,9.4,1014.8,7.0,167.0,15.2
Comilla,3,1,2025,16.3,16.3,19.0,13.7,92.8,0.0,9.4,1015.0,7.0,170.0,15.1
Comilla,4,1,2025,18.5,18.5,24.0,14.5,87.6,0.0,7.6,1013.7,7.0,164.8,16.2
Comilla,5,1,2025,20.5,20.6,29.0,14.3,82.8,0.0,7.6,1014.5,7.0,162.9,16.9
Comilla,6,1,2025,21.1,21.2,29.0,15.8,79.2,0.0,11.2,1013.3,7.0,172.3,16.7
Comilla,7,1,2025,20.4,20.4,26.0,15.3,80.6,0.0,14.8,1012.4,6.0,157.8,16.6
Comilla,8,1,2025,17.3,17.3,19.5,15.9,91.1,0.1,13.0,1014.0,6.0,170.0,15.8
Comilla,9,1,2025,17.2,17.2,23.1,13.0,85.7,0.0,9.0,1016.3,7.0,187.5,14.6
Comilla,10,1,2025,17.5,17.5,25.5,11.0,81.8,0.0,8.6,1017.8,7.0,194.4,14.0
Comilla,11,1,2025,19.2,19.2,28.3,11.6,76.4,0.0,9.4,1017.4,7.0,194.5,14.1
Comilla,12,1,2025,20.6,20.5,30.0,12.5,73.8,0.0,11.2,1016.4,7.0,192.6,14.6
Comilla,13,1,2025,20.1,20.1,28.0,13.8,75.2,0.0,14.8,1014.4,7.0,193.2,14.8
Comilla,14,1,2025,19.1,19.1,27.0,13.8,79.0,0.0,14.8,1016.8,7.0,194.5,14.9
Comilla,15,1,2025,19.7,19.7,27.1,13.0,77.6,0.0,11.2,1016.8,7.0,192.7,15.2
Comilla,16,1,2025,19.8,19.9,29.0,14.1,80.1,0.0,7.9,1016.5,7.0,196.0,15.6
Comilla,17,1,2025,20.3,20.3,28.0,14.0,75.4,0.0,11.2,1015.3,7.0,197.4,14.9
Comilla,18,1,2025,19.7,19.7,27.2,13.0,78.1,0.0,11.2,1014.6,7.0,196.1,15.2
Comilla,19,1,2025,19.5,19.5,26.6,14.0,71.8,0.0,14.8,1013.4,7.0,200.6,13.6
