district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Dhaka,1,1,2025,16.6,16.6,18.9,15.0,89.1,0.0,14.8,1014.5,7.0,166.5,14.7
Dhaka,2,1,2025,14.7,14.7,15.7,14.0,92.2,0.0,14.8,1015.2,7.0,157.9,13.4
Dhaka,3,1,2025,15.4,15.4,17.1,13.8,90.6,0.0,11.2,1015.4,7.0,166.8,13.8
Dhaka,4,1,2025,18.0,18.0,22.5,13.0,82.9,0.0,9.4,1013.8,7.0,147.4,14.9
Dhaka,5,1,2025,20.6,20.6,28.0,15.0,75.6,0.0,13.0,1014.3,7.0,155.4,15.5
Dhaka,6,1,2025,22.1,22.1,28.9,16.0,71.6,0.0,11.2,1013.2,7.0,167.9,16.0
Dhaka,7,1,2025,21.3,21.3,26.0,17.0,66.7,0.0,14.8,1012.2,7.0,169.4,14.3
Dhaka,8,1,2025,18.0,18.0,21.0,16.0,78.7,0.0,16.6,1014.1,6.0,167.1,14.1
Dhaka,9,1,2025,17.8,17.8,22.6,14.0,69.6,0.0,14.8,1016.6,7.0,188.6,11.9
Dhaka,10,1,2025,18.7,18.7,25.0,13.0,64.1,0.0,9.4,1017.9,7.0,192.5,11.2
Dhaka,11,1,2025,19.6,19.6,26.7,13.0,63.9,0.0,9.4,1017.5,7.0,192.3,11.4
Dhaka,12,1,2025,21.0,20.9,28.0,14.8,61.0,0.0,9.4,1016.5,7.0,190.4,12.3
Dhaka,13,1,2025,21.0,21.0,26.3,15.0,63.2,0.0,11.2,1014.3,7.0,186.2,13.0
Dhaka,14,1,2025,21.1,21.1,26.5,16.0,64.0,0.0,13.0,1016.8,7.0,188.9,13.4
Dhaka,15,1,2025,20.7,20.7,26.5,16.0,66.8,0.0,13.0,1017.2,7.0,191.5,13.6
Dhaka,16,1,2025,20.8,20.7,27.6,15.0,66.8,0.0,11.2,1016.6,7.0,195.7,13.5
Dhaka,17,1,2025,21.4,21.4,27.4,16.0,63.2,0.0,14.8,1015.5,7.0,190.7,13.4
Dhaka,18,1,2025,21.0,21.0,26.7,16.0,66.4,0.0,13.0,1015.0,7.0,190.8,13.7
Dhaka,19,1,2025,20.1,20.1,25.4,16.0,58.3,0.0,13.0,1013.6,7.0,200.9,11.1
Dhaka,20,1,2025,19.3,19.3,24.7,15.0,65.7,0.0,9.4,1012.1,7.0,198.4,12.3
Dhaka,21,1,2025,19.2,19.2,24.1,14.0,71.5,0.0,14.8,1011.4,7.0,194.0,13.5
Dhaka,22,1,2025,19.3,19.3,24.5,15.0,83.6,0.0,11.2,1012.3,7.0,194.1,16.3
Dhaka,23,1,2025,17.6,17.6,22.0,14.0,79.8,0.0,11.2,1013.2,7.0,200.8,13.8
Dhaka,24,1,2025,17.5,17.5,23.0,14.0,81.9,0.0,7.6,1012.9,7.0,183.8,14.2
Dhaka,25,1,2025,19.8,19.8,25.1,16.0,65.6,0.0,13.0,1013.6,5.0,123.6,12.6
