district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Dinajpur,1,1,2025,15.5,15.5,19.3,13.2,85.7,0.0,11.9,1015.9,7.0,152.8,13.0
Dinajpur,2,1,2025,14.5,14.5,19.3,11.1,87.0,0.0,10.8,1016.2,7.0,162.7,12.3
Dinajpur,3,1,2025,16.3,16.3,24.9,10.4,83.7,0.0,9.4,1016.0,7.0,174.0,13.3
Dinajpur,4,1,2025,18.3,18.3,28.0,12.7,82.4,0.0,7.6,1014.7,7.0,165.8,14.8
Dinajpur,5,1,2025,18.9,18.9,28.2,13.1,79.6,0.0,7.6,1015.6,6.0,170.1,14.8
Dinajpur,6,1,2025,20.0,20.0,26.6,13.7,76.2,0.0,9.4,1014.0,6.0,149.1,15.3
Dinajpur,7,1,2025,19.5,19.5,25.4,14.1,76.4,0.0,15.1,1012.7,5.0,129.7,14.9
Dinajpur,8,1,2025,16.4,16.4,19.1,13.2,83.8,0.0,15.1,1014.9,5.0,117.5,13.6
Dinajpur,9,1,2025,15.8,15.8,22.6,11.1,79.9,0.0,7.2,1017.7,6.0,149.5,12.1
Dinajpur,10,1,2025,16.9,16.9,24.6,10.7,79.9,0.0,7.6,1018.8,7.0,167.2,13.2
Dinajpur,11,1,2025,17.7,17.7,26.5,11.7,80.4,0.0,7.2,1018.4,7.0,182.9,13.8
Dinajpur,12,1,2025,18.5,18.5,25.7,13.3,79.1,0.1,9.4,1017.4,6.0,159.5,14.4
Dinajpur,13,1,2025,18.5,18.5,26.4,13.4,79.8,0.0,7.9,1014.9,6.0,154.5,14.4
Dinajpur,14,1,2025,18.4,18.4,25.2,13.6,77.9,0.0,9.0,1017.9,7.0,178.9,14.1
Dinajpur,15,1,2025,17.2,17.2,23.7,13.6,83.5,0.0,9.4,1018.9,7.0,174.4,14.2
Dinajpur,16,1,2025,17.9,17.9,25.2,13.5,82.4,0.0,9.0,1018.0,6.0,171.8,14.6
Dinajpur,17,1,2025,17.7,17.7,23.2,14.6,83.7,0.0,9.0,1016.9,6.0,139.7,14.7
Dinajpur,18,1,2025,18.3,18.3,25.4,14.9,77.8,0.0,9.7,1016.0,7.0,190.8,14.0
Dinajpur,19,1,2025,17.4,17.4,25.1,12.1,76.2,0.0,9.4,1014.4,7.0,194.1,12.8
Dinajpur,20,1,2025,16.6,16.6,22.9,12.9,84.1,0.0,8.6,1012.6,7.0,174.4,13.7
Dinajpur,21,1,2025,16.4,16.4,23.1,12.1,85.2,0.0,6.8,1011.9,6.0,144.0,13.7
Dinajpur,22,1,2025,15.6,15.6,19.9,13.2,90.5,0.0,6.5,1013.1,6.0,126.2,14.0
Dinajpur,23,1,2025,15.8,15.8,19.7,13.0,89.4,0.0,7.2,1013.9,6.0,145.4,14.0
Dinajpur,24,1,2025,15.0,15.0,18.5,11.8,88.6,0.0,13.7,1013.3,6.0,153.7,13.1
Dinajpur,25,1,2025,15.9,15.9,23.3,10.1,80.1,0.0,10.4,1014.1,7.0,183.3,12.1
Dinajpur,26,1,2025,16.6,16.6,24.6,10.2,80.8,0.0,7.2,1013.6,7.0,173.1,13.0
Dinajpur,27,1,2025,18.0,18.0,24.9,12.1,77.4,0.0,7.9,1011.1,7.0,183.3,13.6
Dinajpur,28,1,2025,18.2,18.2,24.8,13.2,77.4,0.0,6.8,1012.6,7.0,167.1,13.9
Dinajpur,29,1,2025,17.6,17.6,25.2,10.7,77.3,0.0,8.3,1015.1,7.0,173.6,13.1
Dinajpur,30,1,2025,18.0,18.0,26.0,12.4,78.3,0.0,10.4,1011.0,7.0,176.8,13.9
Dinajpur,31,1,2025,17.8,17.8,25.8,11.6,81.1,0.0,7.9,1011.3,8.0,203.2,14.1
Dinajpur,1,2,2025,17.8,17.8,25.5,12.2,84.5,0.0,7.9,1012.6,7.0,199.3,14.8
Dinajpur,2,2,2025,18.1,18.1,25.7,13.2,83.3,0.0,10.8,1012.3,7.0,199.8,14.9
Dinajpur,3,2,2025,18.7,18.7,26.3,13.8,80.6,0.0,7.6,1013.0,8.0,208.6,14.9
Dinajpur,4,2,2025,18.8,18.8,26.1,13.3,82.3,0.0,7.6,1013.0,7.0,174.6,15.4
Dinajpur,5,2,2025,19.8,19.8,27.1,13.6,77.9,0.0,9.0,1010.7,7.0,184.3,15.4
Dinajpur,6,2,2025,20.0,20.0,27.1,15.1,73.6,0.0,13.7,1011.6,8.0,212.1,14.6
Dinajpur,7,2,2025,17.5,17.5,24.7,10.9,67.4,0.0,13.0,1013.4,8.0,220.9,10.9
Dinajpur,8,2,2025,17.3,17.3,25.2,10.8,71.2,0.0,7.9,1014.4,8.0,219.7,11.6
Dinajpur,9,2,2025,18.4,18.4,26.0,12.1,73.7,0.0,8.3,1013.2,7.0,185.8,13.1
Dinajpur,10,2,2025,18.9,18.9,26.6,12.6,76.7,0.0,10.8,1013.1,8.0,193.1,14.3
Dinajpur,11,2,2025,19.0,19.0,27.1,12.7,74.5,0.0,11.2,1011.7,8.0,222.3,13.8
Dinajpur,12,2,2025,19.4,19.4,29.0,13.3,72.1,0.0,14.4,1011.8,8.0,224.5,13.7
Dinajpur,13,2,2025,20.2,20.1,28.1,13.2,62.3,0.0,17.6,1011.0,8.0,222.2,11.9
Dinajpur,14,2,2025,19.0,19.0,26.1,13.1,59.6,0.0,12.6,1011.4,8.0,230.0,10.5
Dinajpur,15,2,2025,18.4,18.4,26.5,11.1,66.5,0.0,7.9,1012.1,8.0,222.7,11.3
Dinajpur,16,2,2025,19.5,19.5,27.5,12.2,70.8,0.0,11.5,1012.3,8.0,227.3,13.3
Dinajpur,17,2,2025,20.9,20.9,28.5,15.1,69.2,0.0,11.5,1014.3,8.0,220.0,14.6
Dinajpur,18,2,2025,20.8,20.7,29.0,14.1,69.5,0.0,9.0,1013.7,8.0,225.9,14.5
Dinajpur,19,2,2025,20.8,20.8,28.9,14.1,70.7,0.0,9.4,1013.0,8.0,230.8,14.7
Dinajpur,20,2,2025,22.0,22.0,29.0,16.2,68.2,0.1,11.2,1014.6,8.0,198.7,15.4
Dinajpur,21,2,2025,22.4,22.4,30.1,16.1,66.1,0.0,11.5,1014.1,8.0,217.2,15.1
Dinajpur,22,2,2025,22.5,22.6,30.1,16.1,70.2,0.0,9.7,1014.3,8.0,221.2,16.1
Dinajpur,23,2,2025,21.2,21.2,26.3,17.6,75.3,1.3,9.0,1016.3,7.0,206.0,16.4
Dinajpur,24,2,2025,21.4,21.4,28.3,16.5,75.1,0.1,9.4,1017.1,7.0,203.2,16.2
Dinajpur,25,2,2025,21.4,21.4,28.7,15.1,69.7,0.0,9.4,1018.2,8.0,234.7,14.8
Dinajpur,26,2,2025,21.6,21.6,28.9,15.4,72.5,0.0,7.6,1018.0,8.0,230.4,15.8
Dinajpur,27,2,2025,22.4,22.4,29.0,16.3,71.7,0.0,7.2,1015.4,8.0,202.3,16.4
Dinajpur,28,2,2025,22.8,22.9,30.0,17.0,72.0,0.0,8.3,1013.7,8.0,204.0,16.8
Dinajpur,1,3,2025,24.0,24.3,31.1,17.2,69.4,0.0,14.4,1010.7,8.0,243.9,17.5
Dinajpur,2,3,2025,25.4,25.2,31.9,19.9,56.1,0.0,24.8,1008.1,9.0,252.3,15.2
Dinajpur,3,3,2025,24.1,23.8,31.2,17.4,54.1,0.0,20.5,1009.2,9.0,257.4,13.0
Dinajpur,4,3,2025,22.9,22.8,30.0,15.1,57.8,0.0,16.6,1009.2,9.0,258.4,13.4
Dinajpur,5,3,2025,22.9,22.8,28.9,18.5,53.8,0.0,19.4,1008.4,9.0,260.9,12.2
Dinajpur,6,3,2025,21.5,21.4,28.4,14.1,55.2,0.0,9.7,1011.6,9.0,256.9,11.5
Dinajpur,7,3,2025,21.6,21.6,28.6,14.9,63.9,0.0,8.3,1009.5,9.0,236.8,13.8
Dinajpur,8,3,2025,22.2,22.2,29.3,15.6,65.6,0.0,10.4,1009.1,8.0,239.2,14.8
Dinajpur,9,3,2025,23.1,23.2,30.6,15.7,66.0,0.0,10.4,1013.3,9.0,238.5,15.8
Dinajpur,10,3,2025,24.2,24.4,31.7,16.9,65.5,0.0,9.3,1015.3,8.0,234.4,16.6
Dinajpur,11,3,2025,25.3,25.5,31.5,19.9,66.0,0.0,7.9,1012.2,7.0,202.3,17.9
Dinajpur,12,3,2025,25.1,25.4,30.6,20.0,68.9,0.0,13.3,1008.6,7.0,202.2,18.6
Dinajpur,13,3,2025,24.4,24.9,30.8,19.1,72.7,0.0,13.0,1007.0,9.0,255.0,18.9
Dinajpur,14,3,2025,24.8,25.7,31.1,18.8,73.9,0.0,11.9,1008.1,9.0,261.7,19.6
Dinajpur,15,3,2025,26.1,27.2,32.8,20.7,73.8,0.0,11.9,1009.5,9.0,262.9,20.6
Dinajpur,16,3,2025,27.0,27.3,33.6,20.7,63.4,0.0,23.0,1008.2,9.0,257.0,18.5
Dinajpur,17,3,2025,28.4,28.4,35.0,23.0,45.4,0.0,27.4,1006.3,8.0,250.7,15.1
Dinajpur,18,3,2025,26.9,26.3,32.9,22.3,39.0,0.0,20.5,1008.7,9.0,281.5,11.1
Dinajpur,19,3,2025,25.5,25.0,32.9,18.0,45.2,0.0,11.5,1012.4,9.0,284.3,11.9
Dinajpur,20,3,2025,24.9,24.8,32.6,17.9,58.1,0.0,14.4,1013.3,9.0,270.9,15.3
Dinajpur,21,3,2025,24.1,24.1,26.8,21.1,73.1,1.4,14.0,1014.3,5.0,124.7,18.9
Dinajpur,22,3,2025,23.4,23.5,27.6,20.3,77.4,7.3,9.4,1014.7,6.0,174.1,19.1
Dinajpur,23,3,2025,23.1,23.3,29.5,18.2,75.4,0.5,7.2,1015.2,9.0,261.8,17.9
Dinajpur,24,3,2025,24.5,24.6,31.8,17.1,68.1,0.0,9.0,1014.0,8.0,260.0,17.3
Dinajpur,25,3,2025,25.4,25.8,33.1,17.4,65.5,0.0,7.6,1009.2,9.0,283.9,17.7
Dinajpur,26,3,2025,26.8,27.3,34.5,19.2,63.6,0.0,7.6,1006.5,9.0,266.5,18.5
Dinajpur,27,3,2025,27.6,29.2,34.8,20.7,68.0,0.0,8.3,1004.2,9.0,265.7,20.7
