district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Faridpur,1,1,2025,16.9,16.9,23.5,14.6,89.1,0.0,14.8,1014.7,7.0,155.6,15.0
Faridpur,2,1,2025,14.5,14.5,15.6,13.2,92.6,0.0,14.8,1015.3,7.0,162.2,13.3
Faridpur,3,1,2025,15.5,15.5,19.0,13.7,89.7,0.0,11.2,1015.5,6.0,148.0,13.7
Faridpur,4,1,2025,17.6,17.6,22.0,13.0,85.4,0.1,9.4,1013.9,6.0,132.5,15.0
Faridpur,5,1,2025,20.1,20.1,28.0,14.2,77.2,0.0,13.0,1014.4,7.0,173.7,15.3
Faridpur,6,1,2025,21.6,21.6,28.3,15.1,73.8,0.0,11.2,1013.3,7.0,172.6,16.0
Faridpur,7,1,2025,20.7,20.7,26.0,15.1,71.4,0.0,14.8,1012.3,6.0,153.9,14.8
Faridpur,8,1,2025,18.0,18.0,22.0,15.6,78.9,0.0,16.6,1014.2,7.0,183.6,14.1
Faridpur,9,1,2025,17.4,17.4,23.0,12.7,73.4,0.0,14.8,1016.8,7.0,193.1,12.1
Faridpur,10,1,2025,18.3,18.3,25.0,11.9,67.9,0.0,9.4,1018.0,7.0,194.5,11.6
Faridpur,11,1,2025,19.2,19.2,26.8,13.0,66.8,0.0,9.4,1017.6,7.0,194.1,11.8
Faridpur,12,1,2025,20.5,20.4,28.0,12.7,64.0,0.0,9.4,1016.6,7.0,193.9,12.3
Faridpur,13,1,2025,20.4,20.4,26.3,13.7,67.8,0.0,11.2,1014.5,7.0,185.6,13.5
Faridpur,14,1,2025,20.7,20.7,26.3,16.0,67.9,0.0,13.0,1016.8,7.0,186.4,14.0
Faridpur,15,1,2025,20.3,20.3,26.1,14.9,70.9,0.0,13.0,1017.3,7.0,190.3,14.0
Faridpur,16,1,2025,20.3,20.3,27.0,14.2,70.1,0.0,11.2,1016.8,7.0,197.8,13.8
Faridpur,17,1,2025,20.5,20.5,27.0,15.1,69.9,0.0,14.8,1015.7,7.0,192.2,14.1
Faridpur,18,1,2025,20.4,20.4,26.5,15.6,70.7,0.0,13.0,1015.1,7.0,191.7,14.2
Faridpur,19,1,2025,19.6,19.6,26.0,14.6,64.6,0.0,13.0,1013.8,8.0,204.4,11.9
Faridpur,20,1,2025,18.7,18.7,25.0,12.6,69.3,0.0,9.4,1012.2,7.0,200.7,12.4
Faridpur,21,1,2025,18.8,18.8,25.0,12.4,74.4,0.0,14.8,1011.5,7.0,200.2,13.7
Faridpur,22,1,2025,18.8,18.8,25.0,14.1,84.4,0.0,11.2,1012.4,7.0,199.7,16.0
Faridpur,23,1,2025,17.3,17.3,22.0,13.4,83.2,0.0,11.2,1013.2,7.0,190.7,14.2
Faridpur,24,1,2025,17.1,17.1,22.0,13.7,84.1,0.0,7.6,1013.0,7.0,176.6,14.2
Faridpur,25,1,2025,19.3,19.3,25.6,13.4,70.6,0.0,13.0,1013.7,4.0,121.3,13.1
Faridpur,26,1,2025,19.0,19.0,25.3,12.4,68.8,0.0,13.0,1013.1,8.0,211.5,12.4
Faridpur,27,1,2025,19.1,19.1,24.8,14.1,73.0,0.0,11.2,1011.0,7.0,201.8,13.6
Faridpur,28,1,2025,19.6,19.6,26.6,12.9,64.3,0.0,11.2,1012.7,8.0,208.7,11.6
Faridpur,29,1,2025,19.9,19.9,27.8,12.9,61.7,0.0,9.4,1014.9,8.0,209.5,10.9
Faridpur,30,1,2025,21.4,21.5,26.8,16.0,74.8,1.6,18.4,1011.1,5.0,138.6,16.6
Faridpur,31,1,2025,23.4,23.6,28.1,21.0,83.2,0.3,14.8,1010.9,6.0,138.5,20.2
