district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Feni,1,1,2025,18.0,18.0,23.4,15.1,86.0,0.0,9.4,1014.4,7.0,182.4,15.5
Feni,2,1,2025,17.1,17.1,21.9,14.7,88.5,0.0,11.0,1014.7,7.0,185.5,15.1
Feni,3,1,2025,16.7,16.7,21.9,14.1,90.5,0.0,8.3,1015.2,7.0,178.1,15.1
Feni,4,1,2025,17.8,17.8,24.1,14.1,91.0,0.0,7.2,1014.0,7.0,159.8,16.2
Feni,5,1,2025,19.6,19.7,28.3,14.1,85.6,0.0,7.2,1014.7,7.0,164.0,16.8
Feni,6,1,2025,21.0,21.1,30.3,14.6,81.4,0.0,7.6,1013.6,7.0,174.3,17.2
Feni,7,1,2025,20.2,20.2,27.0,14.9,82.1,0.0,11.9,1013.0,6.0,158.0,16.7
Feni,8,1,2025,18.4,18.4,22.6,16.2,88.0,0.2,8.3,1014.1,6.0,163.6,16.3
Feni,9,1,2025,17.6,17.6,23.8,14.2,82.1,0.0,10.4,1016.5,7.0,191.9,14.4
Feni,10,1,2025,17.6,17.6,26.0,12.6,79.7,0.0,8.6,1017.9,7.0,199.0,13.6
Feni,11,1,2025,18.7,18.6,28.5,12.2,77.5,0.0,8.3,1017.3,7.0,198.2,13.9
Feni,12,1,2025,19.8,19.7,30.0,13.1,75.0,0.0,9.7,1016.8,7.0,193.5,14.3
Feni,13,1,2025,19.5,19.4,28.5,13.1,75.3,0.0,9.0,1015.0,7.0,196.4,14.2
Feni,14,1,2025,19.3,19.3,27.1,13.1,75.2,0.0,11.5,1016.7,7.0,197.1,14.3
Feni,15,1,2025,19.2,19.3,28.0,11.6,78.2,0.0,9.7,1017.0,7.0,196.4,14.9
Feni,16,1,2025,20.2,20.2,29.1,14.1,76.2,0.0,7.9,1016.5,7.0,199.3,15.2
Feni,17,1,2025,20.6,20.5,28.8,13.9,72.6,0.0,9.3,1015.5,7.0,201.7,14.7
Feni,18,1,2025,20.4,20.4,27.9,13.9,73.4,0.0,9.3,1014.7,7.0,201.7,14.9
Feni,19,1,2025,19.7,19.7,27.1,14.4,71.7,0.0,12.9,1013.6,7.0,204.2,13.9
Feni,20,1,2025,18.6,18.6,26.4,11.2,74.7,0.0,9.3,1012.1,8.0,206.9,13.6
Feni,21,1,2025,18.2,18.2,25.9,11.1,79.1,0.0,7.6,1011.8,8.0,205.1,14.1
Feni,22,1,2025,19.1,19.1,26.8,12.7,79.6,0.0,8.3,1012.6,7.0,205.1,15.1
Feni,23,1,2025,18.4,18.4,26.1,14.4,82.7,0.0,11.2,1013.4,8.0,209.4,15.1
Feni,24,1,2025,19.0,19.0,27.5,14.4,78.0,0.0,10.4,1012.9,8.0,207.9,14.5
Feni,25,1,2025,19.3,19.3,26.2,14.6,75.9,0.0,10.1,1013.7,6.0,137.8,14.5
Feni,26,1,2025,18.6,18.6,25.6,12.4,70.5,0.0,10.8,1012.9,8.0,213.0,12.4
Feni,27,1,2025,18.0,18.0,25.5,12.1,77.9,0.0,9.4,1011.0,8.0,206.3,13.7
Feni,28,1,2025,18.5,18.5,26.2,13.6,78.0,0.0,6.5,1012.9,7.0,198.4,14.0
Feni,29,1,2025,18.5,18.5,27.0,11.1,76.1,0.0,6.8,1015.3,8.0,213.3,13.5
Feni,30,1,2025,19.5,19.5,27.0,12.2,74.0,0.0,12.6,1012.4,7.0,167.2,14.2
Feni,31,1,2025,21.6,21.6,26.0,17.4,84.7,0.9,14.8,1012.3,6.0,136.1,18.8
Feni,1,2,2025,22.8,23.0,28.6,19.1,84.5,0.3,8.3,1012.5,7.0,151.1,19.8
Feni,2,2,2025,22.5,22.6,27.8,19.2,86.5,0.2,7.9,1012.4,6.0,166.6,19.9
Feni,3,2,2025,22.1,22.2,29.0,18.1,77.8,0.0,7.2,1012.8,7.0,183.6,17.4
Feni,4,2,2025,20.2,20.1,28.5,12.7,69.9,0.0,9.4,1012.5,8.0,222.4,13.6
Feni,5,2,2025,20.6,20.6,28.3,13.9,74.1,0.0,7.9,1011.2,8.0,216.1,15.3
Feni,6,2,2025,21.8,21.9,29.5,16.7,80.2,0.0,7.9,1011.9,8.0,207.6,17.8
Feni,7,2,2025,20.3,20.1,28.9,14.2,67.4,0.0,9.0,1013.5,8.0,232.7,13.0
Feni,8,2,2025,18.9,18.8,27.9,10.4,62.3,0.0,12.6,1013.8,8.0,236.2,10.3
Feni,9,2,2025,18.5,18.4,27.5,11.1,67.6,0.0,9.7,1013.3,8.0,233.0,11.4
Feni,10,2,2025,19.9,19.8,29.1,11.7,66.6,0.0,8.3,1013.8,8.0,230.2,12.4
Feni,11,2,2025,21.6,21.7,29.0,15.1,81.8,0.0,58.7,1013.3,8.0,211.4,18.1
Feni,12,2,2025,24.3,24.6,29.5,21.0,82.3,0.1,33.4,1013.1,7.0,184.9,20.7
Feni,13,2,2025,24.5,24.8,29.3,21.6,83.5,0.4,12.2,1012.0,8.0,171.1,21.3
Feni,14,2,2025,23.7,23.6,29.1,17.7,72.7,1.6,11.1,1011.8,8.0,208.5,17.6
Feni,15,2,2025,21.5,21.2,30.3,14.9,60.7,0.0,9.3,1011.9,8.0,236.2,12.2
Feni,16,2,2025,22.4,22.3,30.6,16.1,71.9,0.0,9.4,1012.5,8.0,210.3,16.3
Feni,17,2,2025,22.8,22.8,32.0,15.7,69.8,0.0,7.9,1014.0,8.0,224.4,16.1
Feni,18,2,2025,23.6,23.6,32.0,16.2,67.4,0.0,10.4,1013.4,8.0,223.9,16.3
Feni,19,2,2025,23.6,23.9,29.6,19.7,78.8,0.9,7.2,1012.8,8.0,210.4,19.4
Feni,20,2,2025,24.3,24.3,32.5,17.4,67.1,0.0,9.4,1013.7,8.0,214.2,16.9
Feni,21,2,2025,24.3,24.3,31.5,19.1,66.3,0.0,9.0,1014.1,8.0,226.7,16.9
