district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Gaibandha,1,1,2025,15.6,15.6,20.2,12.3,90.0,0.0,11.2,1015.6,7.0,133.5,13.9
Gaibandha,2,1,2025,14.8,14.8,19.6,12.2,90.9,0.0,11.5,1016.2,7.0,150.1,13.3
Gaibandha,3,1,2025,16.2,16.2,24.5,10.1,88.9,0.0,11.2,1015.8,7.0,170.3,14.2
Gaibandha,4,1,2025,18.7,18.7,27.4,14.0,84.2,0.0,7.6,1014.4,7.0,163.4,15.7
Gaibandha,5,1,2025,19.8,19.9,27.7,14.2,79.2,0.0,7.9,1015.3,7.0,174.9,15.7
Gaibandha,6,1,2025,20.5,20.5,27.6,14.8,78.4,0.0,7.6,1013.9,7.0,166.1,16.1
Gaibandha,7,1,2025,20.0,20.0,26.5,14.7,79.6,0.1,14.0,1012.5,5.0,128.9,16.0
Gaibandha,8,1,2025,16.6,16.6,19.4,13.5,85.6,0.0,13.0,1014.8,6.0,131.1,14.1
Gaibandha,9,1,2025,16.2,16.2,22.2,12.3,83.4,0.0,9.4,1017.4,7.0,168.3,13.2
Gaibandha,10,1,2025,17.4,17.4,24.7,12.0,81.5,0.0,8.3,1018.7,7.0,169.1,13.9
Gaibandha,11,1,2025,18.1,18.1,25.9,11.9,80.3,0.0,8.3,1018.3,7.0,182.4,14.2
Gaibandha,12,1,2025,18.6,18.6,25.8,13.7,80.0,0.0,8.3,1017.4,6.0,159.3,14.7
Gaibandha,13,1,2025,19.1,19.1,26.4,14.6,80.2,0.0,8.6,1014.9,6.0,163.7,15.1
Gaibandha,14,1,2025,18.5,18.5,25.9,13.4,81.1,0.0,9.4,1017.7,7.0,175.9,14.9
Gaibandha,15,1,2025,18.3,18.3,25.4,13.4,80.9,0.0,11.5,1018.5,7.0,183.5,14.7
Gaibandha,16,1,2025,18.8,18.8,27.1,13.4,79.0,0.0,10.1,1017.6,7.0,180.1,14.6
Gaibandha,17,1,2025,18.6,18.6,24.9,14.5,82.1,0.0,8.6,1016.3,7.0,169.7,15.3
Gaibandha,18,1,2025,18.8,18.8,26.3,15.0,80.4,0.0,9.4,1015.7,7.0,189.3,15.0
Gaibandha,19,1,2025,17.7,17.7,25.9,10.9,77.2,0.0,9.7,1014.3,7.0,195.6,13.2
Gaibandha,20,1,2025,17.1,17.1,23.5,12.4,84.8,0.0,8.3,1012.3,7.0,173.6,14.3
Gaibandha,21,1,2025,17.0,17.0,23.0,12.3,86.0,0.0,7.2,1011.9,6.0,148.5,14.5
Gaibandha,22,1,2025,16.2,16.2,21.0,13.4,89.7,0.0,7.2,1013.0,6.0,138.3,14.5
Gaibandha,23,1,2025,16.3,16.3,19.1,13.8,89.8,0.0,8.3,1013.8,7.0,142.9,14.5
Gaibandha,24,1,2025,15.7,15.7,18.8,13.0,88.6,0.0,13.7,1013.2,7.0,162.8,13.8
Gaibandha,25,1,2025,16.6,16.6,23.4,11.9,83.0,0.0,9.4,1014.2,7.0,163.0,13.4
Gaibandha,26,1,2025,17.2,17.2,24.5,11.9,82.7,0.0,7.9,1013.6,7.0,168.5,13.8
Gaibandha,27,1,2025,17.9,17.9,25.5,12.6,82.5,0.0,7.9,1011.1,7.0,175.4,14.6
Gaibandha,28,1,2025,17.8,17.8,24.8,13.1,81.9,0.0,7.6,1012.6,6.0,159.8,14.4
Gaibandha,29,1,2025,18.0,18.0,25.4,12.4,79.3,0.0,6.8,1015.1,7.0,180.3,13.9
Gaibandha,30,1,2025,18.5,18.5,25.3,12.2,81.6,0.0,11.5,1011.3,6.0,158.3,15.0
Gaibandha,31,1,2025,19.1,19.1,25.6,15.6,83.6,0.0,7.9,1011.3,7.0,181.3,15.9
Gaibandha,1,2,2025,18.3,18.3,25.4,14.1,87.0,0.0,9.7,1012.7,7.0,191.9,15.9
Gaibandha,2,2,2025,18.7,18.7,26.2,14.2,86.7,0.0,9.7,1012.3,8.0,199.3,16.1
Gaibandha,3,2,2025,19.3,19.3,26.5,15.0,82.7,0.0,9.0,1013.1,8.0,206.1,15.9
Gaibandha,4,2,2025,19.5,19.5,26.1,14.0,81.3,0.0,7.9,1012.8,7.0,166.5,15.9
Gaibandha,5,2,2025,19.9,19.9,26.8,14.6,81.2,0.0,9.4,1010.8,7.0,180.5,16.2
Gaibandha,6,2,2025,20.3,20.3,27.9,16.3,76.9,0.0,13.3,1011.6,8.0,211.9,15.7
Gaibandha,7,2,2025,18.1,18.1,25.5,12.2,69.7,0.0,12.2,1013.4,8.0,221.8,12.0
Gaibandha,8,2,2025,18.0,18.0,25.2,11.8,73.8,0.0,9.4,1014.4,8.0,222.6,12.7
Gaibandha,9,2,2025,18.6,18.6,25.9,12.9,76.8,0.0,8.3,1013.1,7.0,203.0,14.0
Gaibandha,10,2,2025,18.9,18.9,26.6,13.0,78.6,0.0,10.4,1013.2,8.0,196.3,14.7
Gaibandha,11,2,2025,19.4,19.4,26.8,14.5,77.2,0.0,10.4,1012.1,8.0,222.7,14.9
Gaibandha,12,2,2025,20.2,20.2,28.3,15.1,74.2,0.0,13.7,1012.0,8.0,224.7,15.0
Gaibandha,13,2,2025,21.0,20.9,29.3,14.9,65.1,0.0,16.6,1011.0,8.0,217.2,13.5
Gaibandha,14,2,2025,19.1,19.1,26.1,13.1,63.9,0.0,11.2,1011.5,8.0,231.4,11.6
Gaibandha,15,2,2025,19.0,19.0,26.9,11.4,68.2,0.0,7.9,1012.0,8.0,229.8,12.1
Gaibandha,16,2,2025,19.8,19.8,27.9,13.2,72.7,0.0,9.7,1012.3,8.0,228.5,14.0
Gaibandha,17,2,2025,21.1,21.1,28.8,14.9,70.8,0.0,9.4,1014.3,8.0,213.6,15.1
Gaibandha,18,2,2025,21.4,21.4,29.0,15.3,71.2,0.0,9.0,1013.4,8.0,228.2,15.4
Gaibandha,19,2,2025,21.1,21.1,29.3,14.5,73.6,0.0,8.3,1012.9,8.0,230.8,15.5
Gaibandha,20,2,2025,22.0,22.0,28.8,16.5,71.0,0.1,8.3,1014.6,8.0,201.6,16.1
Gaibandha,21,2,2025,22.7,22.8,29.9,17.1,68.8,0.0,11.5,1014.0,8.0,214.2,16.1
Gaibandha,22,2,2025,22.7,22.9,29.8,16.1,73.5,0.0,10.8,1014.3,8.0,211.1,17.1
Gaibandha,23,2,2025,20.7,20.7,25.4,17.1,80.3,1.8,7.6,1016.4,8.0,194.7,17.1
Gaibandha,24,2,2025,21.3,21.4,28.8,15.1,77.1,0.0,9.0,1017.2,7.0,218.8,16.5
