district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Gopalganj,1,1,2025,17.7,17.7,23.3,14.4,84.4,0.0,11.5,1014.9,7.0,160.4,14.9
Gopalganj,2,1,2025,16.2,16.2,20.6,12.7,85.4,0.0,13.0,1015.2,7.0,161.3,13.7
Gopalganj,3,1,2025,15.8,15.8,20.2,13.4,87.4,0.0,9.4,1015.4,6.0,135.9,13.7
Gopalganj,4,1,2025,16.7,16.7,22.1,12.6,87.5,0.0,6.8,1014.0,6.0,126.9,14.5
Gopalganj,5,1,2025,17.4,17.4,25.4,12.8,87.3,0.0,8.6,1014.5,7.0,170.4,15.0
Gopalganj,6,1,2025,18.8,18.8,27.4,13.0,82.6,0.0,9.0,1013.6,7.0,179.2,15.4
Gopalganj,7,1,2025,19.0,19.0,26.4,13.2,82.1,0.0,10.4,1012.7,6.0,142.6,15.5
Gopalganj,8,1,2025,17.2,17.2,21.3,13.9,86.7,0.0,10.1,1014.2,7.0,177.6,14.8
Gopalganj,9,1,2025,16.2,16.2,23.0,10.7,80.5,0.0,12.2,1016.9,7.0,196.0,12.4
Gopalganj,10,1,2025,16.4,16.4,24.5,10.2,78.1,0.0,9.4,1018.2,7.0,197.7,12.1
Gopalganj,11,1,2025,17.0,17.0,26.1,10.2,79.9,0.0,8.6,1017.8,7.0,197.2,12.9
Gopalganj,12,1,2025,18.3,18.2,27.8,11.1,75.7,0.0,9.0,1016.9,7.0,196.8,13.0
Gopalganj,13,1,2025,18.5,18.5,26.9,12.2,78.6,0.0,9.4,1014.9,7.0,191.7,14.2
Gopalganj,14,1,2025,19.1,19.1,26.1,13.9,78.3,0.0,12.6,1017.2,7.0,189.0,14.8
Gopalganj,15,1,2025,18.8,18.8,25.9,13.7,78.3,0.0,12.6,1017.7,7.0,192.9,14.4
Gopalganj,16,1,2025,18.8,18.8,27.0,12.7,80.0,0.0,10.1,1017.1,7.0,199.6,14.8
Gopalganj,17,1,2025,19.2,19.2,27.0,14.7,79.9,0.0,9.4,1015.8,7.0,197.2,15.2
Gopalganj,18,1,2025,19.3,19.3,26.5,14.6,79.1,0.0,10.8,1015.2,7.0,196.6,15.2
Gopalganj,19,1,2025,18.4,18.4,26.0,12.2,71.7,0.0,11.2,1014.3,8.0,207.6,12.4
Gopalganj,20,1,2025,17.2,17.2,25.2,11.1,78.8,0.0,10.4,1012.5,8.0,205.2,13.0
Gopalganj,21,1,2025,18.2,18.2,26.4,11.7,81.0,0.0,10.8,1011.8,7.0,203.7,14.4
Gopalganj,22,1,2025,19.3,19.3,27.1,13.4,80.9,0.0,9.0,1012.5,7.0,204.1,15.5
Gopalganj,23,1,2025,17.9,17.9,25.1,14.6,87.6,0.0,10.4,1013.3,7.0,200.6,15.6
Gopalganj,24,1,2025,18.3,18.3,25.2,13.4,84.8,0.0,11.2,1012.8,7.0,186.0,15.5
Gopalganj,25,1,2025,19.0,19.0,28.3,14.4,80.9,0.0,8.3,1013.6,5.0,146.2,15.2
Gopalganj,26,1,2025,18.1,18.1,25.5,12.1,73.6,0.0,10.8,1013.2,8.0,212.8,12.4
Gopalganj,27,1,2025,17.6,17.6,25.3,11.6,76.6,0.0,10.1,1011.2,8.0,210.8,12.9
Gopalganj,28,1,2025,18.2,18.2,26.7,11.2,74.4,0.0,9.4,1012.8,8.0,213.1,12.8
Gopalganj,29,1,2025,19.3,19.3,27.4,12.4,76.5,0.0,7.6,1015.1,7.0,199.2,14.4
Gopalganj,30,1,2025,21.5,21.6,27.0,16.1,84.1,1.4,15.8,1011.7,5.0,147.1,18.5
Gopalganj,31,1,2025,22.9,23.0,27.3,20.6,89.1,1.0,13.7,1011.1,4.0,112.7,20.9
Gopalganj,1,2,2025,22.8,22.9,27.5,20.1,89.8,0.8,7.2,1011.9,6.0,159.7,20.9
Gopalganj,2,2,2025,23.4,23.5,27.9,20.6,87.5,0.2,11.5,1011.9,6.0,164.7,21.0
Gopalganj,3,2,2025,22.4,22.4,29.0,18.3,76.6,0.0,7.9,1012.6,8.0,207.4,17.4
Gopalganj,4,2,2025,20.4,20.4,27.8,13.7,73.9,0.0,13.0,1012.6,8.0,220.2,14.9
Gopalganj,5,2,2025,21.2,21.2,29.0,15.1,76.2,0.0,8.6,1011.0,8.0,212.2,16.3
Gopalganj,6,2,2025,22.5,22.7,29.9,18.1,79.0,0.0,10.1,1011.7,8.0,211.6,18.2
Gopalganj,7,2,2025,19.8,19.7,27.5,13.4,66.5,0.0,8.6,1013.8,8.0,233.5,12.4
Gopalganj,8,2,2025,18.2,18.2,26.9,11.6,69.3,0.0,10.8,1014.2,8.0,232.7,11.4
Gopalganj,9,2,2025,18.4,18.3,27.0,10.7,69.3,0.0,11.2,1013.3,8.0,231.3,11.7
Gopalganj,10,2,2025,20.1,20.0,29.3,12.1,69.5,0.0,9.4,1013.5,8.0,229.5,13.3
Gopalganj,11,2,2025,23.2,23.5,30.1,17.9,81.6,0.0,14.0,1012.2,7.0,208.4,19.5
Gopalganj,12,2,2025,24.0,24.3,30.0,20.2,82.6,0.2,9.7,1012.3,5.0,146.1,20.4
Gopalganj,13,2,2025,24.9,25.4,30.6,20.8,79.6,0.0,11.2,1011.4,8.0,179.9,20.8
Gopalganj,14,2,2025,21.6,21.5,28.1,17.1,62.5,0.0,9.7,1011.9,8.0,238.4,13.0
Gopalganj,15,2,2025,21.2,21.0,29.4,14.7,67.5,0.0,9.4,1011.7,8.0,235.5,13.9
Gopalganj,16,2,2025,22.2,22.2,30.6,15.5,75.1,0.0,13.0,1011.9,8.0,224.2,16.8
Gopalganj,17,2,2025,23.5,23.8,30.8,18.7,81.7,0.1,10.1,1013.6,8.0,208.8,19.8
Gopalganj,18,2,2025,24.2,24.6,30.8,19.7,81.2,0.6,7.6,1013.1,8.0,220.0,20.4
Gopalganj,19,2,2025,23.8,24.2,29.0,19.9,83.4,0.3,9.0,1012.6,7.0,192.6,20.6
Gopalganj,20,2,2025,22.4,22.6,28.5,19.0,87.9,6.3,10.4,1013.8,8.0,191.9,20.0
Gopalganj,21,2,2025,23.3,23.6,30.4,17.2,80.3,0.0,9.0,1014.1,8.0,224.0,19.1
Gopalganj,22,2,2025,23.6,24.0,30.2,18.8,80.8,0.5,6.8,1014.3,8.0,216.8,19.7
Gopalganj,23,2,2025,23.8,23.9,30.6,19.7,75.7,0.7,10.1,1015.4,6.0,178.6,18.9
Gopalganj,24,2,2025,23.8,24.1,30.1,18.2,74.2,0.0,8.6,1016.3,8.0,212.8,18.4
Gopalganj,25,2,2025,23.6,23.6,31.5,17.1,71.6,0.0,9.7,1017.5,7.0,199.3,17.5
Gopalganj,26,2,2025,23.4,23.3,30.3,17.4,68.2,0.0,11.2,1017.4,9.0,250.1,16.3
Gopalganj,27,2,2025,23.1,23.1,30.5,15.2,69.5,0.0,10.8,1015.1,9.0,235.9,16.4
Gopalganj,28,2,2025,24.8,25.4,31.3,18.5,73.3,0.1,9.0,1013.8,8.0,222.3,19.2
Gopalganj,1,3,2025,26.1,27.0,32.7,19.9,74.4,0.0,11.5,1011.6,8.0,243.3,20.7
Gopalganj,2,3,2025,27.1,28.1,33.2,22.5,72.4,0.0,13.3,1008.6,9.0,245.6,21.2
Gopalganj,3,3,2025,26.4,26.4,33.5,22.6,69.5,0.0,10.8,1009.6,8.0,207.4,19.2
Gopalganj,4,3,2025,25.3,25.1,33.0,18.7,63.9,0.2,12.6,1009.9,9.0,261.2,16.6
Gopalganj,5,3,2025,25.0,24.8,32.0,19.2,61.5,0.0,12.6,1009.0,9.0,254.5,15.8
Gopalganj,6,3,2025,23.4,23.2,30.3,17.7,56.7,0.0,12.2,1011.0,9.0,267.4,13.3
Gopalganj,7,3,2025,22.4,22.1,30.7,14.2,59.6,0.0,11.2,1009.7,9.0,271.7,12.7
Gopalganj,8,3,2025,23.7,23.9,31.4,15.7,69.7,0.0,14.4,1009.1,9.0,241.7,17.1
Gopalganj,9,3,2025,25.1,25.8,31.5,19.3,77.7,0.0,8.3,1012.7,9.0,232.5,20.4
Gopalganj,10,3,2025,26.1,26.7,34.0,19.7,73.4,0.0,8.3,1014.5,9.0,252.0,20.1
Gopalganj,11,3,2025,26.4,26.5,33.4,20.2,64.8,0.0,14.0,1012.4,9.0,261.4,18.2
Gopalganj,12,3,2025,26.7,27.2,34.8,18.4,65.0,0.0,14.0,1008.9,9.0,254.9,18.8
Gopalganj,13,3,2025,28.6,30.8,34.8,23.9,72.9,0.0,16.9,1006.9,9.0,254.5,22.6
Gopalganj,14,3,2025,28.8,32.4,34.3,25.1,78.7,0.0,19.4,1008.3,9.0,253.3,24.5
Gopalganj,15,3,2025,29.0,32.4,34.0,25.4,77.9,0.0,14.0,1009.8,8.0,235.2,24.4
Gopalganj,16,3,2025,29.5,33.0,35.6,25.7,74.9,4.4,14.4,1009.4,9.0,262.1,24.2
Gopalganj,17,3,2025,28.5,31.3,35.0,25.0,77.7,2.9,13.0,1008.9,8.0,231.3,23.8
Gopalganj,18,3,2025,28.4,29.5,33.7,24.4,69.3,0.0,8.6,1009.6,9.0,259.4,21.4
Gopalganj,19,3,2025,27.9,29.6,33.9,21.7,71.8,0.0,11.9,1012.6,9.0,261.3,21.8
Gopalganj,20,3,2025,27.4,29.1,32.3,24.7,78.1,0.1,12.2,1014.0,9.0,216.3,22.9
Gopalganj,21,3,2025,26.3,26.9,31.5,23.2,67.6,0.1,16.9,1015.3,9.0,230.1,19.5
Gopalganj,22,3,2025,23.8,23.8,27.1,20.8,73.4,4.2,10.4,1015.2,4.0,111.3,18.6
Gopalganj,23,3,2025,24.6,25.0,30.6,19.2,73.2,0.0,7.9,1014.7,8.0,236.5,18.9
Gopalganj,24,3,2025,25.2,25.4,32.6,18.6,68.3,0.0,11.5,1013.3,9.0,263.9,18.2
Gopalganj,25,3,2025,25.8,26.0,33.6,18.2,64.5,0.0,11.2,1009.2,9.0,284.1,17.5
Gopalganj,26,3,2025,27.2,28.1,34.8,19.6,66.1,0.0,8.6,1007.0,9.0,253.9,19.5
Gopalganj,27,3,2025,28.6,30.8,35.8,22.7,71.1,0.0,11.9,1004.9,8.0,258.3,22.2
Gopalganj,28,3,2025,30.0,32.1,38.0,23.3,66.9,0.0,15.1,1004.0,9.0,284.3,22.0
Gopalganj,29,3,2025,30.3,33.4,38.1,25.5,70.0,0.0,12.6,1005.5,9.0,289.6,23.1
Gopalganj,30,3,2025,30.1,34.6,35.4,26.2,73.6,0.1,10.8,1008.7,9.0,241.8,24.4
Gopalganj,31,3,2025,29.6,33.3,34.5,25.6,74.5,0.0,14.4,1009.0,9.0,271.4,24.1
Gopalganj,1,4,2025,29.3,32.6,34.7,24.2,74.4,0.0,14.8,1008.7,9.0,252.5,23.8
Gopalganj,2,4,2025,29.1,32.8,34.0,25.0,76.4,0.0,11.5,1009.9,8.0,246.8,24.2
Gopalganj,3,4,2025,29.5,33.1,35.3,24.1,74.1,0.1,10.4,1010.7,9.0,276.7,23.9
Gopalganj,4,4,2025,29.3,32.6,34.4,25.1,73.5,0.2,10.1,1010.0,8.0,218.9,23.7
Gopalganj,5,4,2025,30.1,33.4,36.5,25.3,72.0,0.1,12.6,1008.2,9.0,271.4,23.7
Gopalganj,6,4,2025,29.8,33.2,35.7,25.1,74.7,0.2,13.0,1008.1,9.0,259.9,24.2
Gopalganj,7,4,2025,29.3,31.7,35.2,24.7,70.1,0.1,10.8,1010.8,9.0,272.4,22.7
Gopalganj,8,4,2025,29.0,32.0,34.6,24.6,73.9,0.4,13.0,1013.2,9.0,252.6,23.5
Gopalganj,9,4,2025,29.1,31.4,34.7,23.4,69.6,0.0,9.4,1011.0,9.0,259.1,22.4
Gopalganj,10,4,2025,29.0,31.0,34.8,23.7,68.6,0.1,14.0,1007.0,9.0,255.4,22.0
Gopalganj,11,4,2025,27.5,29.7,33.6,21.7,71.8,1.1,14.0,1005.3,8.0,226.6,21.7
Gopalganj,12,4,2025,29.4,32.7,35.2,24.1,72.9,0.4,7.6,1006.4,9.0,264.7,23.6
Gopalganj,13,4,2025,29.2,32.2,35.4,24.3,72.7,2.7,9.4,1008.3,9.0,251.1,23.3
Gopalganj,14,4,2025,28.9,31.6,34.8,24.2,73.1,1.0,6.5,1008.8,9.0,263.6,23.2
Gopalganj,15,4,2025,27.8,30.2,33.6,22.4,73.6,5.5,8.3,1009.7,8.0,256.3,22.3
Gopalganj,16,4,2025,27.5,29.6,32.9,24.4,78.7,7.5,11.9,1009.2,9.0,247.3,23.2
Gopalganj,17,4,2025,26.3,28.0,32.6,22.6,83.4,5.5,10.8,1008.3,7.0,211.7,23.0
Gopalganj,18,4,2025,24.9,25.8,30.2,21.6,87.2,36.1,7.9,1007.3,6.0,129.8,22.6
Gopalganj,19,4,2025,26.5,28.7,30.7,23.2,86.5,10.9,11.5,1006.3,7.0,184.4,23.9
Gopalganj,20,4,2025,29.0,34.3,34.7,24.4,81.1,3.4,12.6,1006.0,7.0,184.8,25.2
Gopalganj,21,4,2025,29.2,35.6,32.1,27.4,82.8,12.9,15.1,1007.7,7.0,192.2,25.9
Gopalganj,22,4,2025,30.1,36.6,34.5,26.2,79.6,0.0,20.9,1007.6,6.0,199.8,26.0
Gopalganj,23,4,2025,31.0,39.4,36.4,28.2,77.8,0.0,24.5,1004.9,9.0,249.8,26.5
Gopalganj,24,4,2025,30.7,38.9,34.6,27.9,79.2,0.2,25.2,1005.0,8.0,227.8,26.5
Gopalganj,25,4,2025,30.9,39.1,35.4,28.2,78.0,0.0,20.9,1005.7,7.0,215.8,26.4
