district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Habiganj,1,1,2025,17.0,17.0,20.8,14.3,95.0,0.0,8.6,1014.6,7.0,166.5,16.1
Habiganj,2,1,2025,16.9,16.9,21.5,14.1,92.5,0.0,9.4,1014.7,7.0,161.5,15.6
Habiganj,3,1,2025,16.6,16.6,23.5,13.1,93.8,0.0,9.4,1015.1,7.0,171.7,15.5
Habiganj,4,1,2025,19.0,19.1,27.3,14.7,87.3,0.0,7.6,1013.8,7.0,172.6,16.6
Habiganj,5,1,2025,20.7,20.8,29.0,14.1,81.8,0.0,8.6,1014.5,7.0,177.4,16.9
Habiganj,6,1,2025,21.3,21.4,29.0,14.5,76.0,0.0,11.2,1013.3,7.0,172.5,16.2
Habiganj,7,1,2025,21.0,21.0,26.4,15.0,77.7,0.0,14.8,1012.4,6.0,147.3,16.6
Habiganj,8,1,2025,17.3,17.3,19.1,15.0,90.4,0.1,13.0,1014.2,6.0,159.0,15.6
Habiganj,9,1,2025,17.2,17.2,23.2,13.0,87.3,0.0,7.9,1016.4,6.0,170.4,15.0
Habiganj,10,1,2025,16.8,16.8,24.7,10.6,84.9,0.0,9.0,1017.8,7.0,187.9,13.9
Habiganj,11,1,2025,19.3,19.2,28.2,11.2,78.6,0.0,9.4,1017.6,7.0,184.2,14.8
Habiganj,12,1,2025,20.5,20.4,30.0,11.8,74.1,0.0,11.2,1016.5,7.0,182.6,14.6
Habiganj,13,1,2025,20.3,20.3,28.0,13.7,75.1,0.0,14.8,1014.3,7.0,185.3,14.9
Habiganj,14,1,2025,19.0,19.0,26.1,13.1,80.6,0.0,14.8,1016.8,7.0,191.4,15.3
Habiganj,15,1,2025,19.2,19.2,27.7,11.8,79.3,0.0,11.2,1016.9,7.0,192.0,14.9
Habiganj,16,1,2025,19.7,19.8,28.3,12.2,80.2,0.0,8.6,1016.6,7.0,192.1,15.6
Habiganj,17,1,2025,19.7,19.7,27.2,12.3,78.2,0.0,11.2,1015.4,7.0,189.8,15.0
Habiganj,18,1,2025,19.3,19.3,26.5,12.5,80.1,0.0,11.2,1014.7,7.0,192.0,15.3
Habiganj,19,1,2025,19.0,19.0,27.6,12.2,77.1,0.0,14.8,1013.3,7.0,195.9,14.3
Habiganj,20,1,2025,18.5,18.5,26.9,11.8,78.3,0.0,9.4,1011.8,7.0,198.4,14.2
Habiganj,21,1,2025,18.4,18.4,25.2,12.1,82.4,0.0,13.0,1011.5,7.0,189.1,14.9
Habiganj,22,1,2025,18.3,18.3,25.2,12.6,83.5,0.0,11.2,1012.4,7.0,183.6,15.1
Habiganj,23,1,2025,16.8,16.8,21.1,13.1,93.5,0.0,9.0,1013.4,7.0,188.4,15.7
Habiganj,24,1,2025,17.3,17.3,24.5,13.0,88.2,0.0,9.4,1013.0,7.0,194.4,15.0
Habiganj,25,1,2025,18.6,18.6,24.9,14.8,83.8,0.0,11.2,1013.7,7.0,169.5,15.4
Habiganj,26,1,2025,17.5,17.5,24.3,11.1,79.0,0.0,13.0,1012.8,7.0,203.2,13.2
Habiganj,27,1,2025,17.7,17.7,25.1,11.2,81.6,0.0,9.4,1010.8,7.0,197.4,14.0
Habiganj,28,1,2025,18.3,18.3,25.9,13.3,82.7,0.0,9.4,1012.6,6.0,157.1,14.9
Habiganj,29,1,2025,18.4,18.4,25.4,12.6,78.3,0.0,9.4,1014.9,7.0,198.0,13.8
Habiganj,30,1,2025,19.6,19.6,27.0,13.0,75.6,0.1,14.8,1011.6,7.0,171.9,14.7
Habiganj,31,1,2025,22.4,22.4,26.9,18.9,81.9,1.6,24.1,1011.4,4.0,106.3,19.0
Habiganj,1,2,2025,22.2,22.3,27.8,17.7,85.2,0.0,9.4,1012.2,6.0,148.6,19.3
Habiganj,2,2,2025,21.1,21.3,27.1,15.2,85.2,0.0,11.2,1012.1,7.0,184.2,18.3
Habiganj,3,2,2025,20.9,21.0,27.3,16.3,83.2,0.0,14.8,1012.6,8.0,211.8,17.4
Habiganj,4,2,2025,19.7,19.7,27.0,12.0,77.4,0.0,9.4,1012.2,8.0,208.5,15.0
Habiganj,5,2,2025,20.3,20.3,27.2,13.8,80.2,0.0,11.2,1010.7,7.0,195.9,16.4
Habiganj,6,2,2025,21.4,21.6,29.5,14.7,79.2,0.0,9.4,1011.5,8.0,202.3,17.1
Habiganj,7,2,2025,19.7,19.7,27.8,13.8,72.5,0.0,11.2,1013.5,8.0,226.4,13.6
Habiganj,8,2,2025,18.4,18.3,26.7,9.6,72.1,0.0,13.0,1013.7,8.0,225.6,12.1
Habiganj,9,2,2025,18.5,18.5,26.6,9.8,72.4,0.0,11.2,1012.8,8.0,225.4,12.5
Habiganj,10,2,2025,19.4,19.4,27.4,11.7,73.5,0.0,9.0,1013.5,8.0,219.4,13.7
Habiganj,11,2,2025,20.3,20.5,27.0,13.4,82.9,0.0,14.8,1012.7,7.0,195.0,17.1
Habiganj,12,2,2025,23.6,23.9,29.2,19.7,81.5,0.0,16.6,1012.5,7.0,158.7,19.8
Habiganj,13,2,2025,24.3,24.7,29.0,19.8,80.3,0.0,14.8,1011.3,7.0,159.7,20.3
Habiganj,14,2,2025,22.0,22.0,27.7,17.0,69.5,0.4,13.0,1011.6,8.0,228.8,15.2
Habiganj,15,2,2025,20.4,20.3,28.0,11.6,65.0,0.0,11.2,1011.8,8.0,232.8,12.3
Habiganj,16,2,2025,21.1,21.0,29.9,12.4,69.5,0.0,18.4,1012.2,8.0,220.9,14.5
Habiganj,17,2,2025,22.9,23.0,30.5,14.8,68.1,0.0,13.0,1013.6,8.0,219.8,16.1
Habiganj,18,2,2025,23.5,23.7,30.7,16.8,70.8,0.4,13.0,1013.1,8.0,210.7,17.3
Habiganj,19,2,2025,23.2,23.5,31.0,16.9,76.5,0.0,13.0,1012.6,8.0,216.0,18.3
Habiganj,20,2,2025,23.7,23.7,31.7,15.4,69.7,0.0,14.8,1013.9,8.0,221.9,16.8
Habiganj,21,2,2025,23.5,23.6,30.5,17.1,70.9,0.0,13.0,1013.6,8.0,223.3,17.3
Habiganj,22,2,2025,23.4,23.9,30.2,16.4,77.4,0.1,29.5,1014.6,8.0,208.7,18.8
Habiganj,23,2,2025,22.9,23.0,30.3,19.1,77.1,0.0,18.4,1015.5,7.0,188.2,18.2
Habiganj,24,2,2025,22.4,22.5,29.5,15.8,73.4,0.0,13.0,1016.4,8.0,229.0,16.8
Habiganj,25,2,2025,22.8,22.5,31.0,14.4,65.3,0.0,14.8,1017.6,9.0,233.7,14.4
Habiganj,26,2,2025,21.9,21.7,30.5,13.1,67.1,0.0,14.8,1017.2,9.0,253.4,14.2
Habiganj,27,2,2025,22.9,22.9,30.0,14.7,67.5,0.0,11.2,1014.6,9.0,248.1,15.8
Habiganj,28,2,2025,23.1,23.3,30.1,16.1,72.5,0.0,9.4,1013.7,7.0,199.3,17.3
Habiganj,1,3,2025,24.7,25.3,31.5,17.6,71.4,0.0,14.8,1011.2,8.0,223.9,18.7
Habiganj,2,3,2025,26.2,27.2,31.4,21.6,72.4,0.0,14.8,1008.3,8.0,225.5,20.5
Habiganj,3,3,2025,25.8,26.3,31.8,21.1,71.9,0.0,11.2,1009.6,7.0,206.4,19.6
Habiganj,4,3,2025,24.4,24.2,31.0,16.3,64.2,0.0,14.8,1009.6,9.0,253.7,16.0
Habiganj,5,3,2025,23.7,23.5,31.0,16.5,55.8,0.0,20.5,1009.1,8.0,246.3,12.9
Habiganj,6,3,2025,23.4,23.4,30.3,15.0,61.1,0.0,18.4,1010.7,9.0,256.7,14.7
Habiganj,7,3,2025,22.1,21.9,29.5,14.9,66.1,0.0,16.6,1009.2,9.0,265.2,14.3
Habiganj,8,3,2025,23.7,23.5,32.0,14.3,58.3,0.0,18.4,1009.1,9.0,256.9,13.8
Habiganj,9,3,2025,24.4,25.0,32.1,17.4,68.9,0.0,11.2,1012.9,8.0,231.4,17.8
Habiganj,10,3,2025,24.4,24.8,32.5,16.6,69.2,0.0,13.0,1014.6,9.0,267.4,17.7
Habiganj,11,3,2025,25.3,25.9,32.3,17.1,68.9,0.0,13.0,1012.4,8.0,220.2,18.5
Habiganj,12,3,2025,26.0,26.5,32.4,19.1,67.0,0.0,14.8,1008.6,8.0,226.3,18.6
Habiganj,13,3,2025,27.2,29.0,34.0,22.2,73.9,0.0,18.4,1007.2,7.0,203.5,21.7
Habiganj,14,3,2025,28.2,30.7,33.1,24.1,76.0,0.0,18.4,1008.6,6.0,173.5,23.3
Habiganj,15,3,2025,28.5,31.1,33.7,24.7,75.6,0.3,18.4,1010.3,8.0,180.0,23.4
Habiganj,16,3,2025,29.0,31.8,35.1,24.9,72.4,0.3,16.6,1009.4,8.0,211.5,23.1
Habiganj,17,3,2025,27.9,30.0,33.0,24.2,74.2,0.2,18.4,1008.3,8.0,213.1,22.6
Habiganj,18,3,2025,28.1,29.1,33.2,23.5,66.9,0.0,11.2,1009.5,8.0,234.8,20.5
Habiganj,19,3,2025,27.9,29.0,34.0,22.1,64.6,0.0,11.2,1012.6,9.0,262.3,19.7
Habiganj,20,3,2025,26.7,28.5,32.1,23.4,78.1,0.2,22.3,1013.9,7.0,187.7,22.4
Habiganj,21,3,2025,24.6,24.8,28.0,20.8,79.5,0.0,13.0,1015.2,6.0,160.2,20.6
Habiganj,22,3,2025,24.1,24.3,27.5,21.0,77.0,0.2,13.0,1015.0,3.0,97.6,19.6
Habiganj,23,3,2025,24.1,24.3,31.0,18.1,73.0,0.0,16.6,1014.7,9.0,265.1,18.1
Habiganj,24,3,2025,25.0,25.2,32.7,16.9,68.2,0.0,14.8,1012.8,9.0,275.8,17.7
Habiganj,25,3,2025,25.6,25.8,34.3,16.4,64.9,0.0,14.8,1008.4,9.0,287.3,17.4
Habiganj,26,3,2025,26.4,26.6,34.2,17.6,63.3,0.0,10.4,1006.7,9.0,286.9,17.8
Habiganj,27,3,2025,27.7,29.0,35.1,20.7,63.8,0.1,7.2,1005.2,8.0,220.5,19.7
Habiganj,28,3,2025,29.7,31.7,36.7,23.2,63.0,0.0,22.3,1004.2,8.0,254.4,21.0
Habiganj,29,3,2025,30.0,33.4,36.5,24.5,68.8,0.0,18.4,1005.6,9.0,262.6,23.0
Habiganj,30,3,2025,29.7,33.2,35.7,24.9,71.9,0.0,16.6,1008.8,9.0,244.8,23.5
Habiganj,31,3,2025,29.1,31.9,34.8,25.1,70.9,0.0,14.8,1009.0,8.0,233.7,22.9
Habiganj,1,4,2025,29.2,32.4,34.1,25.8,71.8,0.0,14.8,1008.8,7.0,196.9,23.3
Habiganj,2,4,2025,28.8,31.5,34.3,23.1,73.2,0.0,13.0,1010.3,8.0,229.8,23.1
Habiganj,3,4,2025,29.3,32.5,35.1,23.4,72.1,0.0,13.0,1010.8,8.0,250.5,23.3
Habiganj,4,4,2025,28.8,31.4,34.1,24.2,72.8,0.3,9.0,1010.0,8.0,184.2,22.9
Habiganj,5,4,2025,29.6,32.0,35.5,24.3,68.2,2.4,12.6,1008.4,9.0,257.8,22.5
Habiganj,6,4,2025,28.9,31.6,35.5,24.0,69.3,0.0,11.2,1008.8,9.0,257.7,22.3
Habiganj,7,4,2025,27.8,29.0,34.7,21.1,64.7,0.4,11.2,1010.9,9.0,276.0,20.0
Habiganj,8,4,2025,28.7,31.4,35.1,23.1,69.3,0.1,9.4,1013.5,9.0,258.2,22.2
Habiganj,9,4,2025,29.3,31.7,35.6,22.6,66.0,0.1,16.6,1011.5,8.0,259.6,21.7
Habiganj,10,4,2025,28.8,30.7,35.0,23.6,68.4,0.2,14.8,1006.9,8.0,227.6,21.8
Habiganj,11,4,2025,28.3,30.0,34.5,22.9,68.2,3.1,14.8,1005.7,8.0,225.7,21.4
Habiganj,12,4,2025,27.9,30.3,33.4,23.5,76.4,1.4,13.0,1007.1,7.0,228.6,23.0
Habiganj,13,4,2025,28.8,30.3,35.3,23.4,68.8,0.0,20.5,1008.6,9.0,278.7,21.7
Habiganj,14,4,2025,30.0,32.0,36.0,23.2,63.9,0.0,18.4,1008.7,9.0,264.8,21.5
Habiganj,15,4,2025,28.7,30.9,35.0,24.3,67.4,0.0,20.5,1009.6,9.0,246.2,21.7
Habiganj,16,4,2025,25.8,27.4,34.0,22.1,84.0,29.0,22.3,1009.3,8.0,216.2,22.7
Habiganj,17,4,2025,23.9,24.4,30.0,21.5,86.2,12.0,24.1,1008.8,6.0,172.4,21.3
Habiganj,18,4,2025,25.7,26.8,32.0,21.4,79.1,5.7,27.7,1008.0,8.0,153.9,21.5
Habiganj,19,4,2025,27.0,29.0,32.3,22.6,78.2,6.3,14.8,1006.9,9.0,191.2,22.6
Habiganj,20,4,2025,27.9,31.1,33.0,23.8,77.8,0.7,16.6,1006.8,7.0,175.6,23.5
Habiganj,21,4,2025,26.4,28.3,30.8,23.0,85.7,15.0,20.5,1008.7,4.0,94.8,23.7
Habiganj,22,4,2025,29.3,34.2,34.2,24.7,78.3,2.3,20.5,1008.0,7.0,186.6,24.9
Habiganj,23,4,2025,30.2,37.0,34.1,27.7,77.0,0.0,33.5,1005.1,7.0,195.9,25.6
Habiganj,24,4,2025,30.1,36.4,34.5,25.4,76.9,1.2,29.5,1005.3,8.0,225.4,25.4
Habiganj,25,4,2025,30.6,36.9,35.0,26.0,74.2,0.0,25.9,1006.4,8.0,225.4,25.2
Habiganj,26,4,2025,30.6,36.4,35.4,26.1,72.6,0.2,20.5,1006.8,8.0,229.1,24.8
Habiganj,27,4,2025,29.0,33.2,34.0,22.5,74.9,0.4,14.8,1008.7,6.0,201.4,23.9
Habiganj,28,4,2025,24.9,26.1,29.0,22.1,88.5,16.0,31.7,1008.7,5.0,118.3,22.8
Habiganj,29,4,2025,26.1,27.2,32.0,21.6,78.0,0.4,14.8,1008.5,9.0,219.4,21.5
Habiganj,30,4,2025,27.6,29.8,33.0,22.8,74.0,0.2,11.2,1008.9,9.0,277.6,22.2
Habiganj,1,5,2025,27.0,29.0,34.0,23.0,80.3,10.0,27.7,1009.8,9.0,280.8,22.9
Habiganj,2,5,2025,27.4,29.3,33.0,21.8,73.9,0.8,11.2,1009.0,9.0,269.2,21.8
Habiganj,3,5,2025,27.5,29.3,33.5,22.1,72.8,0.0,24.1,1007.4,8.0,249.6,21.8
Habiganj,4,5,2025,27.7,29.4,34.0,23.8,76.9,4.0,14.8,1006.7,8.0,245.0,22.9
Habiganj,5,5,2025,29.4,32.8,35.0,23.6,72.1,0.0,9.4,1006.7,9.0,289.1,23.3
Habiganj,6,5,2025,27.2,29.1,32.9,24.6,84.0,0.7,20.5,1007.1,9.0,234.3,24.1
Habiganj,7,5,2025,28.8,32.7,34.2,23.5,77.1,2.6,11.2,1005.7,8.0,258.7,24.0
Habiganj,8,5,2025,30.8,35.9,37.0,26.0,71.7,0.3,14.8,1005.8,9.0,257.6,24.6
Habiganj,9,5,2025,31.1,37.5,37.0,25.9,72.2,0.0,11.2,1005.9,9.0,276.6,25.2
Habiganj,10,5,2025,30.6,37.0,38.0,26.8,73.6,2.0,37.1,1005.5,9.0,279.1,25.1
Habiganj,11,5,2025,28.8,33.3,38.0,23.0,80.4,25.0,25.9,1004.5,9.0,254.5,24.7
Habiganj,12,5,2025,24.6,24.7,27.0,22.5,91.6,36.0,20.5,1005.1,8.0,204.0,23.1
Habiganj,13,5,2025,28.2,32.8,33.0,23.9,84.8,0.2,20.5,1004.5,7.0,193.8,25.2
Habiganj,14,5,2025,28.1,31.7,35.0,25.1,84.4,4.1,22.3,1005.7,8.0,251.4,25.1
Habiganj,15,5,2025,28.3,32.2,33.0,24.6,81.4,0.4,22.3,1006.4,7.0,219.4,24.7
Habiganj,16,5,2025,29.3,34.4,35.0,25.0,82.0,29.0,33.5,1005.9,8.0,199.3,25.6
Habiganj,17,5,2025,27.5,30.6,33.0,23.7,85.0,32.0,18.4,1006.8,7.0,223.4,24.6
Habiganj,18,5,2025,28.2,31.9,33.0,23.9,81.2,1.2,18.4,1007.5,8.0,212.9,24.5
Habiganj,19,5,2025,27.2,29.4,33.0,24.6,86.3,4.0,29.5,1007.0,7.0,190.7,24.5
Habiganj,20,5,2025,26.4,28.5,33.0,24.0,92.4,16.0,20.5,1005.2,6.0,136.9,25.0
Habiganj,21,5,2025,26.7,29.5,31.0,24.0,90.8,17.0,22.3,1006.3,7.0,142.5,25.0
Habiganj,22,5,2025,27.8,31.5,31.0,25.4,86.0,0.2,13.0,1005.5,6.0,160.4,25.2
Habiganj,23,5,2025,28.7,33.2,32.4,24.9,82.1,0.0,14.8,1003.3,7.0,205.6,25.2
Habiganj,24,5,2025,29.1,34.4,34.0,26.4,83.1,1.1,14.8,1003.5,6.0,159.4,25.8
Habiganj,25,5,2025,29.6,35.5,35.0,26.0,82.1,22.0,13.0,1004.0,7.0,138.4,25.9
Habiganj,26,5,2025,28.6,33.7,34.0,26.0,87.4,15.0,13.0,1003.3,8.0,193.7,26.1
Habiganj,27,5,2025,29.9,35.6,36.0,25.0,79.8,8.0,14.8,1000.0,8.0,182.3,25.7
Habiganj,28,5,2025,29.3,35.6,34.0,26.6,82.8,1.0,16.6,998.2,3.0,91.8,25.9
Habiganj,29,5,2025,26.5,28.1,27.3,26.0,95.2,59.0,25.2,995.4,3.0,56.3,25.7
Habiganj,30,5,2025,26.9,29.7,28.0,25.8,95.2,83.0,31.0,993.6,1.0,30.8,26.0
Habiganj,31,5,2025,28.5,34.8,34.0,25.6,92.2,100.0,31.7,1000.0,4.0,85.3,27.0
Habiganj,1,6,2025,26.2,27.6,28.0,25.0,96.7,44.0,27.7,1000.3,3.0,54.2,25.6
Habiganj,2,6,2025,26.8,29.3,28.8,25.2,92.7,15.0,14.8,1000.5,3.0,71.6,25.5
Habiganj,3,6,2025,26.2,28.2,29.2,22.9,87.7,55.0,14.8,1002.7,6.0,164.1,24.0
Habiganj,4,6,2025,26.3,27.8,29.0,24.5,91.1,12.4,16.6,1005.1,4.0,74.0,24.7
Habiganj,5,6,2025,27.8,30.9,32.0,24.9,87.3,46.0,13.0,1006.5,6.0,156.6,25.3
Habiganj,6,6,2025,28.4,33.8,32.0,25.7,88.7,20.0,14.8,1006.4,6.0,154.1,26.2
Habiganj,7,6,2025,30.0,37.0,34.7,26.3,82.2,1.2,9.4,1005.4,8.0,228.0,26.4
Habiganj,8,6,2025,30.8,39.0,35.0,26.5,79.0,2.8,7.6,1003.5,9.0,260.5,26.5
Habiganj,9,6,2025,31.0,39.5,36.0,27.1,77.7,0.4,9.4,1002.2,8.0,238.7,26.5
Habiganj,10,6,2025,30.9,39.2,36.0,25.8,79.3,15.0,27.7,1001.4,8.0,272.5,26.6
Habiganj,11,6,2025,30.0,36.3,35.1,26.0,79.8,1.0,20.5,1002.6,8.0,234.1,25.9
Habiganj,12,6,2025,31.1,38.8,35.0,26.6,75.6,0.6,11.2,1002.6,9.0,260.1,26.1
Habiganj,13,6,2025,31.4,41.0,35.9,27.7,78.1,8.0,9.4,1002.4,9.0,260.0,27.0
Habiganj,14,6,2025,29.4,37.5,31.2,27.1,87.1,4.4,11.2,1001.8,8.0,143.4,27.0
Habiganj,15,6,2025,29.0,36.4,33.0,27.0,88.7,13.0,11.2,1001.3,8.0,162.8,26.9
Habiganj,16,6,2025,29.4,35.7,34.0,26.9,82.7,4.0,14.8,1000.7,6.0,129.0,25.9
Habiganj,17,6,2025,28.1,32.7,30.4,26.0,84.8,6.2,25.9,1000.3,5.0,107.4,25.3
Habiganj,18,6,2025,27.5,31.7,30.5,25.8,89.9,24.8,22.3,999.2,2.0,36.9,25.7
Habiganj,19,6,2025,27.8,31.5,31.0,26.1,87.5,2.5,25.9,1001.0,4.0,109.9,25.4
Habiganj,20,6,2025,28.3,33.0,32.3,25.0,86.0,12.0,20.5,1002.0,7.0,170.0,25.6
Habiganj,21,6,2025,29.3,35.5,33.7,26.4,84.0,2.9,18.4,1001.8,6.0,156.8,26.2
Habiganj,22,6,2025,30.4,38.2,35.0,27.3,79.7,0.5,16.6,1001.1,8.0,232.3,26.3
