district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Jamalpur,1,1,2025,16.8,16.8,20.7,14.9,90.6,0.0,12.6,1015.2,7.0,147.8,15.2
Jamalpur,2,1,2025,15.6,15.6,20.0,13.7,92.5,0.0,11.9,1015.7,7.0,154.4,14.3
Jamalpur,3,1,2025,16.8,16.8,23.7,13.3,89.2,0.0,9.7,1015.7,7.0,166.3,14.9
Jamalpur,4,1,2025,18.3,18.3,26.1,14.1,86.5,0.0,7.6,1014.4,7.0,168.6,15.8
Jamalpur,5,1,2025,20.2,20.2,28.1,13.8,77.9,0.0,7.6,1015.0,7.0,177.4,15.7
Jamalpur,6,1,2025,20.9,21.0,28.2,15.2,77.3,0.0,6.5,1013.9,7.0,173.3,16.3
Jamalpur,7,1,2025,20.4,20.4,26.5,16.4,79.9,0.1,6.5,1012.6,5.0,137.5,16.4
Jamalpur,8,1,2025,16.9,16.9,20.9,13.0,85.6,0.0,10.1,1014.6,6.0,152.2,14.3
Jamalpur,9,1,2025,16.6,16.6,23.0,12.2,84.2,0.0,9.4,1017.3,7.0,178.2,13.7
Jamalpur,10,1,2025,17.1,17.1,24.8,12.7,81.7,0.0,8.3,1018.3,7.0,179.4,13.6
Jamalpur,11,1,2025,18.2,18.2,26.1,11.4,78.0,0.0,7.6,1018.1,7.0,185.1,13.8
Jamalpur,12,1,2025,19.1,19.1,27.5,12.7,75.8,0.0,7.2,1017.3,7.0,172.5,14.1
Jamalpur,13,1,2025,19.2,19.2,26.3,14.2,78.2,0.0,7.9,1014.9,7.0,172.9,14.9
Jamalpur,14,1,2025,18.8,18.8,26.3,13.8,78.3,0.0,9.7,1017.5,7.0,179.5,14.5
Jamalpur,15,1,2025,19.1,19.1,26.9,14.3,79.9,0.0,10.4,1017.8,7.0,187.6,15.2
Jamalpur,16,1,2025,19.0,19.0,27.8,13.7,78.4,0.0,8.6,1017.3,7.0,187.6,14.7
Jamalpur,17,1,2025,19.1,19.1,27.3,14.2,80.7,0.0,8.3,1016.1,7.0,183.0,15.3
Jamalpur,18,1,2025,19.5,19.5,26.9,15.1,79.6,0.0,10.1,1015.4,7.0,183.5,15.5
Jamalpur,19,1,2025,18.5,18.5,25.9,13.8,74.5,0.0,10.4,1014.1,7.0,195.4,13.4
Jamalpur,20,1,2025,18.0,18.0,25.1,13.9,81.3,0.0,7.9,1012.3,7.0,179.6,14.5
Jamalpur,21,1,2025,17.6,17.6,24.1,13.3,83.8,0.0,7.6,1011.8,6.0,153.0,14.6
Jamalpur,22,1,2025,16.8,16.8,21.9,13.8,87.4,0.0,8.3,1013.0,7.0,148.6,14.6
Jamalpur,23,1,2025,16.4,16.4,19.8,14.2,88.3,0.0,8.3,1013.7,7.0,152.3,14.4
Jamalpur,24,1,2025,16.3,16.3,22.1,12.5,87.2,0.0,10.8,1013.4,7.0,170.1,14.1
Jamalpur,25,1,2025,17.7,17.7,24.1,13.8,78.8,0.0,10.8,1014.1,6.0,160.3,13.7
Jamalpur,26,1,2025,17.5,17.5,24.8,11.5,80.8,0.0,9.4,1013.4,7.0,177.9,13.8
Jamalpur,27,1,2025,18.1,18.1,25.5,13.3,83.3,0.0,8.3,1011.1,7.0,180.5,14.9
Jamalpur,28,1,2025,18.6,18.6,25.1,14.5,79.3,0.0,7.9,1012.6,6.0,151.8,14.5
Jamalpur,29,1,2025,18.2,18.2,25.8,12.8,79.0,0.0,6.1,1015.2,7.0,183.3,13.9
Jamalpur,30,1,2025,19.0,19.0,25.2,13.2,82.2,0.2,9.4,1011.6,6.0,155.0,15.6
Jamalpur,31,1,2025,20.5,20.5,26.9,16.1,85.1,0.3,9.0,1011.4,6.0,147.8,17.7
Jamalpur,1,2,2025,19.8,19.8,25.5,16.0,86.8,0.0,8.6,1012.6,7.0,171.3,17.4
Jamalpur,2,2,2025,19.6,19.6,26.4,14.1,85.2,0.0,9.0,1012.4,8.0,195.7,16.8
Jamalpur,3,2,2025,19.9,19.9,27.0,14.5,77.8,0.0,9.0,1013.0,8.0,202.5,15.3
Jamalpur,4,2,2025,19.4,19.4,26.4,13.5,80.9,0.0,8.6,1012.6,7.0,178.4,15.7
Jamalpur,5,2,2025,20.3,20.3,27.0,15.3,80.2,0.0,9.7,1010.9,7.0,187.3,16.4
Jamalpur,6,2,2025,20.9,20.8,28.2,16.1,77.2,0.0,11.2,1011.9,7.0,207.3,16.3
Jamalpur,7,2,2025,18.7,18.7,25.9,12.7,70.3,0.0,10.1,1013.7,8.0,222.2,12.5
Jamalpur,8,2,2025,18.1,18.1,25.6,12.0,70.9,0.0,9.4,1014.3,8.0,222.4,12.0
Jamalpur,9,2,2025,19.0,19.0,26.0,13.6,75.0,0.0,7.9,1013.2,8.0,206.0,14.1
Jamalpur,10,2,2025,19.2,19.2,26.6,13.5,77.4,0.0,9.4,1013.4,8.0,205.5,14.6
Jamalpur,11,2,2025,19.7,19.7,26.9,15.0,79.4,0.0,10.4,1012.5,8.0,219.8,15.7
Jamalpur,12,2,2025,21.0,21.0,28.7,15.2,75.8,0.0,11.5,1012.4,8.0,225.6,16.1
Jamalpur,13,2,2025,22.2,22.2,29.8,16.8,73.5,0.0,13.0,1011.4,7.0,192.2,16.6
Jamalpur,14,2,2025,19.9,19.8,26.7,14.2,63.6,0.0,10.1,1011.8,8.0,232.2,12.0
Jamalpur,15,2,2025,19.6,19.5,27.4,12.5,66.5,0.0,9.4,1012.1,8.0,230.9,12.1
Jamalpur,16,2,2025,20.1,20.1,28.3,12.5,68.1,0.0,8.6,1012.3,8.0,227.5,13.3
Jamalpur,17,2,2025,21.7,21.7,29.3,15.1,73.1,0.3,10.4,1014.0,8.0,213.9,16.2
Jamalpur,18,2,2025,22.4,22.4,29.6,16.7,75.0,0.0,10.1,1013.3,8.0,223.8,17.2
Jamalpur,19,2,2025,21.8,21.7,29.8,15.7,72.5,0.0,6.8,1012.9,8.0,230.3,15.9
Jamalpur,20,2,2025,22.4,22.5,29.3,15.8,71.2,0.6,8.3,1014.5,7.0,210.6,16.4
Jamalpur,21,2,2025,23.2,23.3,30.4,17.5,72.0,0.2,11.5,1014.0,8.0,211.1,17.2
Jamalpur,22,2,2025,22.9,23.0,29.4,17.7,79.0,1.4,10.1,1014.6,8.0,205.3,18.7
Jamalpur,23,2,2025,21.0,21.0,25.5,17.3,82.7,2.0,12.4,1016.2,8.0,187.6,17.8
Jamalpur,24,2,2025,22.0,22.0,29.3,16.3,72.4,0.0,10.8,1017.0,8.0,231.6,16.1
Jamalpur,25,2,2025,22.2,22.1,29.4,16.6,66.2,0.0,10.8,1018.1,8.0,240.5,14.8
Jamalpur,26,2,2025,22.1,22.1,29.3,15.9,66.9,0.0,9.7,1017.8,9.0,244.5,15.1
Jamalpur,27,2,2025,22.9,22.8,29.5,16.9,67.9,0.0,10.4,1015.1,8.0,223.1,15.9
Jamalpur,28,2,2025,23.1,23.1,30.6,17.5,70.7,0.0,8.3,1013.8,8.0,188.7,16.9
Jamalpur,1,3,2025,24.1,24.7,31.1,17.9,74.6,0.0,13.0,1011.0,8.0,237.8,19.0
Jamalpur,2,3,2025,25.4,25.4,32.2,20.0,69.1,0.0,18.7,1008.0,9.0,249.9,18.4
Jamalpur,3,3,2025,24.8,24.6,31.7,19.6,61.5,0.0,14.4,1009.7,9.0,242.2,15.8
Jamalpur,4,3,2025,23.5,23.2,30.6,17.2,59.9,0.0,13.7,1009.7,9.0,261.5,13.9
Jamalpur,5,3,2025,22.9,22.6,30.0,17.2,57.4,0.0,20.5,1008.9,9.0,263.0,12.6
Jamalpur,6,3,2025,22.0,21.9,29.0,15.7,58.4,0.0,9.4,1011.4,9.0,265.8,12.6
Jamalpur,7,3,2025,21.6,21.5,28.8,15.5,65.4,0.0,11.2,1009.5,9.0,257.5,14.0
Jamalpur,8,3,2025,22.3,22.2,30.1,14.6,65.3,0.0,9.0,1009.2,9.0,257.5,14.6
Jamalpur,9,3,2025,23.2,23.4,30.7,15.8,68.0,0.0,9.7,1013.1,9.0,244.9,16.5
Jamalpur,10,3,2025,24.6,24.9,32.1,17.1,66.7,0.0,10.4,1015.1,9.0,259.5,17.4
Jamalpur,11,3,2025,25.1,25.4,31.7,19.9,67.9,0.0,9.0,1012.4,8.0,212.3,18.2
Jamalpur,12,3,2025,25.0,25.5,31.9,19.7,73.8,0.3,10.1,1008.7,7.0,201.6,19.5
Jamalpur,13,3,2025,25.8,26.9,32.3,20.8,74.3,0.0,13.0,1006.8,9.0,249.9,20.6
Jamalpur,14,3,2025,26.5,28.1,32.6,20.6,76.5,0.0,11.9,1008.3,9.0,258.8,21.8
Jamalpur,15,3,2025,27.5,29.3,33.1,22.8,76.1,0.0,11.9,1009.8,8.0,229.8,22.6
Jamalpur,16,3,2025,28.1,30.1,34.5,24.1,71.6,1.8,18.7,1008.8,9.0,240.4,22.1
Jamalpur,17,3,2025,26.9,27.4,32.7,21.4,61.3,0.0,24.8,1007.5,8.0,236.1,18.5
Jamalpur,18,3,2025,26.3,26.0,33.5,21.1,58.0,0.0,16.6,1009.2,9.0,264.3,16.2
Jamalpur,19,3,2025,25.7,25.5,33.3,18.9,57.2,0.0,10.8,1012.8,9.0,283.7,15.5
Jamalpur,20,3,2025,24.6,25.2,31.0,19.1,71.7,0.0,15.5,1013.7,9.0,245.0,19.0
