district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Jessore,1,1,2025,17.4,17.4,24.8,13.1,83.6,0.0,11.5,1015.2,7.0,152.5,14.4
Jessore,2,1,2025,16.0,16.0,23.3,11.2,85.3,0.0,12.2,1015.6,7.0,173.8,13.4
Jessore,3,1,2025,16.1,16.1,22.8,11.4,84.9,0.0,10.4,1015.4,6.0,132.0,13.4
Jessore,4,1,2025,16.5,16.5,22.5,11.1,87.8,0.0,9.0,1014.4,6.0,132.7,14.4
Jessore,5,1,2025,17.6,17.6,25.7,12.1,85.9,0.0,9.4,1014.5,7.0,179.1,14.9
Jessore,6,1,2025,18.1,18.2,26.8,12.2,83.5,0.0,12.8,1013.6,7.0,178.6,14.9
Jessore,7,1,2025,18.8,18.8,27.1,12.1,81.3,0.0,10.4,1012.5,5.0,135.3,15.2
Jessore,8,1,2025,17.2,17.2,22.8,13.1,82.6,0.0,12.6,1014.3,7.0,191.3,14.1
Jessore,9,1,2025,16.2,16.2,23.0,11.2,78.9,0.0,12.8,1017.1,7.0,195.8,12.1
Jessore,10,1,2025,16.3,16.3,25.0,10.2,79.1,0.0,9.4,1018.4,7.0,196.6,12.2
Jessore,11,1,2025,16.7,16.7,25.8,10.2,80.8,0.0,11.2,1017.9,7.0,194.4,12.9
Jessore,12,1,2025,18.4,18.4,28.0,11.5,75.5,0.0,7.9,1016.9,7.0,195.9,13.2
Jessore,13,1,2025,18.3,18.3,26.6,10.9,78.6,0.0,9.4,1014.8,7.0,188.6,14.1
Jessore,14,1,2025,18.5,18.5,26.0,11.2,81.4,0.0,12.6,1017.0,7.0,184.5,15.0
Jessore,15,1,2025,18.1,18.1,25.4,11.7,79.2,0.0,12.6,1018.0,7.0,190.4,14.0
Jessore,16,1,2025,18.5,18.5,26.8,13.9,80.7,0.0,11.0,1017.2,7.0,197.1,14.8
Jessore,17,1,2025,18.6,18.6,26.6,12.7,80.3,0.0,9.7,1016.0,7.0,195.6,14.8
Jessore,18,1,2025,18.9,18.9,26.1,13.4,80.6,0.0,11.2,1015.5,7.0,194.5,15.1
Jessore,19,1,2025,18.3,18.3,26.3,13.1,73.0,0.0,14.6,1014.4,8.0,206.3,12.7
Jessore,20,1,2025,17.3,17.3,24.8,11.9,78.4,0.0,11.5,1012.5,7.0,204.2,13.1
Jessore,21,1,2025,18.1,18.1,26.8,11.4,80.4,0.0,11.2,1011.7,7.0,202.1,14.3
Jessore,22,1,2025,18.7,18.8,27.3,13.1,82.6,0.0,11.0,1012.5,7.0,203.1,15.3
Jessore,23,1,2025,17.5,17.5,23.7,14.3,87.3,0.0,10.8,1013.4,7.0,192.2,15.2
Jessore,24,1,2025,17.6,17.6,24.4,11.9,87.1,0.0,11.2,1012.8,7.0,182.2,15.3
Jessore,25,1,2025,18.6,18.6,25.3,14.1,82.3,0.0,7.5,1013.8,5.0,130.3,15.2
Jessore,26,1,2025,17.9,17.9,25.6,12.1,74.7,0.0,10.4,1013.3,8.0,212.9,12.6
Jessore,27,1,2025,17.4,17.4,26.0,11.9,77.9,0.0,11.0,1011.2,8.0,208.2,12.9
Jessore,28,1,2025,18.1,18.1,27.0,11.9,75.2,0.0,8.3,1012.7,8.0,211.6,12.9
Jessore,29,1,2025,19.1,19.1,27.1,12.2,77.8,0.0,11.2,1014.8,7.0,196.7,14.2
Jessore,30,1,2025,21.7,21.8,27.9,14.1,84.1,0.8,18.1,1011.2,5.0,143.6,18.7
Jessore,31,1,2025,23.2,23.4,28.0,20.5,87.2,0.3,11.5,1011.0,5.0,139.2,20.8
Jessore,1,2,2025,22.9,23.0,27.6,20.0,88.3,0.7,7.2,1011.8,6.0,158.6,20.7
Jessore,2,2,2025,22.7,22.9,28.0,19.6,86.2,0.0,12.7,1012.0,7.0,183.8,20.2
Jessore,3,2,2025,22.2,22.2,29.6,17.5,73.6,0.0,9.0,1012.7,8.0,216.8,16.5
Jessore,4,2,2025,20.5,20.4,28.6,14.4,72.3,0.0,14.6,1012.7,8.0,218.9,14.6
Jessore,5,2,2025,21.1,21.1,29.8,13.7,74.9,0.0,9.2,1010.9,8.0,212.9,15.8
Jessore,6,2,2025,21.9,21.9,30.6,16.1,76.3,0.0,12.4,1011.7,8.0,217.2,16.9
Jessore,7,2,2025,19.4,19.3,27.8,12.4,66.8,0.0,9.4,1014.0,8.0,232.5,12.1
Jessore,8,2,2025,18.2,18.2,27.3,11.3,69.6,0.0,11.1,1014.3,8.0,231.5,11.5
Jessore,9,2,2025,18.7,18.7,27.8,11.7,68.9,0.0,12.8,1013.4,8.0,229.6,12.0
Jessore,10,2,2025,19.7,19.6,30.3,11.0,71.5,0.0,8.3,1013.2,8.0,228.7,13.4
Jessore,11,2,2025,22.1,22.2,30.3,14.4,79.7,0.0,14.0,1012.3,7.0,198.9,18.0
Jessore,12,2,2025,23.1,23.5,30.2,16.2,82.3,0.0,8.6,1012.1,7.0,177.1,19.6
Jessore,13,2,2025,24.1,24.5,30.8,18.1,77.8,0.0,10.4,1011.3,8.0,193.8,19.5
Jessore,14,2,2025,21.0,20.8,29.0,15.1,60.9,0.0,13.0,1012.0,8.0,239.2,12.1
Jessore,15,2,2025,20.6,20.4,29.5,12.9,66.5,0.0,9.4,1011.7,8.0,235.5,12.9
Jessore,16,2,2025,22.1,22.1,32.1,14.6,71.6,0.0,14.5,1011.7,8.0,227.9,15.9
Jessore,17,2,2025,23.9,24.9,31.0,18.1,81.6,0.3,12.8,1013.2,7.0,206.1,20.3
Jessore,18,2,2025,24.1,24.7,30.3,19.9,83.3,0.8,11.0,1012.9,8.0,218.8,20.8
Jessore,19,2,2025,23.5,23.8,29.0,19.4,80.9,0.1,9.2,1012.4,7.0,189.5,19.6
Jessore,20,2,2025,22.0,22.2,27.1,18.2,89.5,7.3,11.0,1014.0,7.0,165.4,20.1
Jessore,21,2,2025,22.9,23.5,30.3,17.2,81.1,0.0,11.0,1014.0,8.0,217.1,19.1
Jessore,22,2,2025,23.8,24.3,30.2,18.6,81.0,0.1,12.7,1014.4,8.0,211.7,20.0
Jessore,23,2,2025,23.5,23.8,30.1,19.1,79.4,2.8,11.0,1015.5,7.0,195.6,19.4
Jessore,24,2,2025,23.6,24.0,31.6,18.6,76.9,0.0,9.2,1016.6,8.0,209.7,18.8
Jessore,25,2,2025,23.4,23.5,32.0,16.7,74.1,0.4,11.0,1017.5,7.0,188.7,17.8
Jessore,26,2,2025,23.1,23.2,31.0,17.1,72.8,0.0,10.1,1017.6,9.0,247.8,17.2
Jessore,27,2,2025,23.2,23.3,31.0,16.4,71.3,0.0,11.5,1015.1,9.0,223.6,17.0
Jessore,28,2,2025,24.2,24.7,31.3,18.9,75.7,0.0,8.6,1013.7,8.0,232.2,19.0
Jessore,1,3,2025,25.9,26.9,34.1,19.1,73.6,0.0,14.5,1011.2,9.0,241.7,20.2
