district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Jhalokati,1,1,2025,18.1,18.1,24.0,15.1,86.8,0.0,12.7,1014.7,7.0,170.8,15.7
Jhalokati,2,1,2025,16.6,16.6,20.5,14.9,89.0,0.0,12.2,1015.1,7.0,158.4,14.7
Jhalokati,3,1,2025,16.3,16.3,19.6,14.3,88.7,0.0,9.0,1015.5,6.0,147.6,14.4
Jhalokati,4,1,2025,16.9,16.9,21.8,13.4,89.0,0.0,7.2,1014.0,7.0,123.0,15.0
Jhalokati,5,1,2025,17.8,17.8,25.5,13.1,88.7,0.0,9.4,1014.6,7.0,160.4,15.6
Jhalokati,6,1,2025,19.6,19.6,28.1,13.7,84.3,0.0,7.9,1013.7,7.0,180.5,16.4
Jhalokati,7,1,2025,19.7,19.7,26.4,14.9,82.3,0.0,10.1,1012.8,7.0,164.4,16.2
Jhalokati,8,1,2025,17.4,17.4,21.7,15.0,90.2,0.1,10.1,1014.3,7.0,170.7,15.7
Jhalokati,9,1,2025,16.9,16.9,23.8,13.6,83.9,0.0,12.2,1016.9,7.0,196.9,13.8
Jhalokati,10,1,2025,17.1,17.1,25.4,11.8,81.0,0.0,9.7,1018.2,7.0,199.2,13.4
Jhalokati,11,1,2025,17.8,17.8,26.7,11.7,80.2,0.0,10.4,1017.9,7.0,200.6,13.8
Jhalokati,12,1,2025,19.2,19.2,28.5,12.4,78.0,0.0,9.7,1016.9,7.0,197.9,14.6
Jhalokati,13,1,2025,18.9,18.9,27.3,12.8,79.0,0.0,9.0,1014.9,7.0,197.7,14.5
Jhalokati,14,1,2025,19.2,19.2,26.6,14.1,79.0,0.0,12.6,1017.2,7.0,195.9,15.0
Jhalokati,15,1,2025,19.3,19.3,26.3,14.8,79.8,0.0,13.3,1017.5,7.0,196.7,15.3
Jhalokati,16,1,2025,19.4,19.5,28.1,14.7,81.7,0.0,10.1,1016.8,7.0,201.0,15.8
Jhalokati,17,1,2025,19.9,19.9,28.1,15.1,81.0,0.0,10.1,1015.8,7.0,200.5,16.1
Jhalokati,18,1,2025,19.9,19.9,27.0,15.4,79.7,0.0,10.1,1015.2,7.0,200.6,15.8
Jhalokati,19,1,2025,18.8,18.8,25.9,13.6,74.6,0.0,11.9,1014.1,8.0,208.6,13.5
Jhalokati,20,1,2025,17.9,17.9,25.5,12.4,79.0,0.0,10.1,1012.4,8.0,207.7,13.6
Jhalokati,21,1,2025,18.6,18.6,26.2,12.9,81.6,0.0,9.7,1011.9,8.0,206.2,14.9
Jhalokati,22,1,2025,19.7,19.8,27.7,14.6,82.8,0.0,9.0,1012.7,7.0,206.1,16.3
Jhalokati,23,1,2025,18.6,18.6,25.1,15.2,87.7,0.0,10.4,1013.4,7.0,206.6,16.4
Jhalokati,24,1,2025,19.2,19.2,26.3,14.9,84.0,0.0,11.2,1012.9,7.0,194.0,16.1
Jhalokati,25,1,2025,19.4,19.4,25.7,15.5,82.0,0.0,10.1,1013.7,6.0,158.6,15.8
Jhalokati,26,1,2025,18.7,18.7,25.6,13.8,76.9,0.0,11.5,1013.1,8.0,213.5,13.9
Jhalokati,27,1,2025,18.1,18.1,25.6,12.5,78.4,0.0,9.7,1011.3,8.0,213.3,13.8
Jhalokati,28,1,2025,18.6,18.6,26.6,12.5,76.0,0.0,9.7,1012.9,8.0,213.8,13.6
Jhalokati,29,1,2025,19.2,19.1,27.8,13.3,78.6,0.0,8.6,1015.3,8.0,210.7,14.6
Jhalokati,30,1,2025,21.1,21.2,27.1,15.1,83.9,0.9,14.4,1012.0,6.0,152.3,18.0
Jhalokati,31,1,2025,22.8,22.8,26.5,19.7,88.3,1.1,16.9,1011.6,4.0,110.0,20.7
Jhalokati,1,2,2025,23.0,23.2,27.3,19.9,88.4,0.6,8.6,1012.2,6.0,160.0,20.9
Jhalokati,2,2,2025,23.4,23.5,27.8,20.7,88.4,0.1,10.8,1012.1,7.0,157.6,21.2
Jhalokati,3,2,2025,22.6,22.7,28.8,18.9,82.7,0.0,8.3,1012.7,7.0,187.8,19.1
Jhalokati,4,2,2025,20.7,20.7,27.7,15.1,73.9,0.0,13.0,1012.6,8.0,221.4,15.1
Jhalokati,5,2,2025,21.6,21.6,28.8,15.8,76.1,0.0,8.3,1011.2,8.0,215.8,16.6
Jhalokati,6,2,2025,22.3,22.5,29.6,18.7,86.3,0.0,9.0,1011.8,8.0,203.4,19.6
Jhalokati,7,2,2025,20.3,20.2,27.7,14.4,70.8,0.0,9.4,1013.7,8.0,234.8,13.8
Jhalokati,8,2,2025,19.0,19.0,26.9,12.5,69.3,0.0,12.6,1014.1,8.0,234.6,12.1
Jhalokati,9,2,2025,18.4,18.4,27.0,12.0,72.8,0.0,10.4,1013.4,8.0,233.1,12.6
Jhalokati,10,2,2025,20.6,20.5,29.4,13.4,71.5,0.0,9.4,1013.7,8.0,232.5,14.2
Jhalokati,11,2,2025,23.1,23.4,30.0,18.0,82.4,0.0,13.3,1012.8,8.0,215.3,19.6
Jhalokati,12,2,2025,24.3,24.7,29.3,20.6,85.6,0.2,10.4,1012.6,5.0,141.4,21.5
Jhalokati,13,2,2025,25.2,25.9,29.6,22.4,85.7,0.5,11.2,1011.5,7.0,170.8,22.4
Jhalokati,14,2,2025,22.8,22.7,28.3,17.9,68.3,0.0,9.7,1011.9,8.0,235.9,15.5
Jhalokati,15,2,2025,22.0,21.8,29.4,15.0,69.9,0.0,7.9,1011.8,8.0,236.7,15.1
Jhalokati,16,2,2025,22.7,22.7,30.6,16.5,76.2,0.0,11.9,1012.2,8.0,220.9,17.5
Jhalokati,17,2,2025,23.4,23.5,31.1,18.6,80.1,0.0,9.7,1013.9,8.0,215.4,19.1
Jhalokati,18,2,2025,24.2,24.6,31.2,19.0,79.6,0.0,9.4,1013.4,8.0,226.9,19.9
Jhalokati,19,2,2025,23.7,24.1,28.4,20.0,85.6,2.0,6.8,1012.8,7.0,195.8,20.9
Jhalokati,20,2,2025,23.3,23.6,28.9,19.1,83.2,0.3,10.1,1014.0,8.0,207.7,19.9
Jhalokati,21,2,2025,23.8,24.2,30.6,19.0,79.4,0.0,9.4,1014.3,8.0,228.0,19.5
Jhalokati,22,2,2025,24.1,24.6,30.8,18.5,79.3,0.3,6.8,1014.6,8.0,223.5,19.8
Jhalokati,23,2,2025,24.0,24.2,30.2,20.2,77.2,0.4,8.3,1015.6,6.0,169.0,19.3
Jhalokati,24,2,2025,23.8,24.1,30.4,18.2,75.8,0.0,9.0,1016.4,8.0,219.7,18.7
Jhalokati,25,2,2025,24.3,24.3,31.3,17.8,69.0,0.0,10.8,1017.4,8.0,226.4,17.3
Jhalokati,26,2,2025,23.6,23.5,30.3,18.0,68.6,0.0,12.6,1017.4,9.0,252.4,16.5
Jhalokati,27,2,2025,23.5,23.4,30.3,16.6,69.3,0.0,10.4,1015.1,9.0,249.1,16.7
Jhalokati,28,2,2025,24.7,25.3,30.9,18.7,75.0,0.0,8.6,1013.9,8.0,220.8,19.5
Jhalokati,1,3,2025,25.9,26.8,32.7,20.4,77.1,0.0,11.9,1011.7,8.0,246.3,21.1
Jhalokati,2,3,2025,27.0,28.0,33.3,22.4,75.3,0.4,16.2,1008.6,9.0,243.6,21.7
Jhalokati,3,3,2025,26.2,26.9,32.1,22.9,78.7,0.0,8.3,1009.7,8.0,196.7,21.6
Jhalokati,4,3,2025,25.4,25.5,32.7,20.5,70.0,0.0,12.6,1009.9,8.0,247.1,18.5
Jhalokati,5,3,2025,25.1,24.9,31.8,18.9,67.0,0.0,13.7,1009.3,9.0,253.6,17.2
Jhalokati,6,3,2025,24.2,24.1,30.6,18.9,64.3,0.0,13.7,1010.7,9.0,265.4,16.0
Jhalokati,7,3,2025,22.9,22.6,30.6,15.3,62.2,0.0,10.8,1009.7,9.0,273.3,13.8
Jhalokati,8,3,2025,23.8,23.9,31.6,16.9,69.9,0.0,13.3,1009.5,9.0,245.8,17.1
Jhalokati,9,3,2025,24.8,25.5,31.0,19.3,78.6,0.0,8.3,1013.0,9.0,240.7,20.4
Jhalokati,10,3,2025,26.1,26.7,33.0,19.7,71.3,0.0,9.7,1014.7,9.0,264.9,19.7
Jhalokati,11,3,2025,26.3,26.7,33.1,20.1,69.3,0.0,10.8,1012.7,9.0,255.2,19.5
Jhalokati,12,3,2025,26.7,27.3,34.1,19.4,69.5,0.0,14.4,1009.1,9.0,257.2,19.9
Jhalokati,13,3,2025,28.3,31.1,34.3,24.0,78.4,0.3,16.9,1007.8,9.0,258.3,23.8
Jhalokati,14,3,2025,28.6,31.7,33.9,25.2,80.1,0.3,19.8,1008.9,9.0,248.0,24.5
Jhalokati,15,3,2025,28.7,31.7,33.6,25.2,78.9,0.0,13.3,1010.4,8.0,225.7,24.3
Jhalokati,16,3,2025,29.2,32.8,35.1,25.3,77.1,0.9,12.6,1009.8,9.0,261.1,24.4
Jhalokati,17,3,2025,28.0,31.0,33.7,25.1,83.0,5.9,12.2,1009.2,8.0,239.1,24.6
Jhalokati,18,3,2025,28.2,30.2,33.3,24.5,76.8,0.0,9.7,1009.8,8.0,238.2,23.3
Jhalokati,19,3,2025,28.3,30.9,33.5,23.3,78.2,0.0,11.9,1012.9,9.0,249.8,23.7
Jhalokati,20,3,2025,27.4,29.3,32.1,24.9,81.8,0.2,8.6,1014.3,9.0,216.5,23.8
Jhalokati,21,3,2025,26.7,27.4,31.4,23.5,72.6,0.0,15.1,1015.4,9.0,230.4,20.9
Jhalokati,22,3,2025,24.6,24.7,29.6,22.0,72.2,1.0,12.6,1015.2,4.0,130.8,19.1
Jhalokati,23,3,2025,24.9,25.2,29.8,20.3,73.3,0.0,8.3,1014.8,9.0,241.9,19.3
Jhalokati,24,3,2025,25.2,25.5,32.3,19.3,70.0,0.0,12.2,1013.2,9.0,270.1,18.6
Jhalokati,25,3,2025,25.4,25.7,32.8,18.1,67.8,0.0,12.2,1009.1,9.0,286.8,18.0
Jhalokati,26,3,2025,26.7,27.4,34.2,19.3,69.2,0.0,8.6,1007.1,9.0,266.6,19.7
Jhalokati,27,3,2025,28.4,31.0,35.1,22.5,74.4,0.0,12.2,1005.2,9.0,248.1,22.8
Jhalokati,28,3,2025,29.9,32.5,37.1,24.3,71.6,0.0,16.9,1004.4,9.0,278.9,23.1
Jhalokati,29,3,2025,29.9,34.1,36.4,25.5,76.5,0.0,14.4,1006.0,9.0,278.7,24.7
Jhalokati,30,3,2025,29.7,33.9,35.0,25.9,76.1,0.0,12.2,1009.1,9.0,248.6,24.6
Jhalokati,31,3,2025,29.2,33.0,34.3,25.4,77.4,0.0,15.1,1009.5,9.0,269.6,24.5
Jhalokati,1,4,2025,28.8,31.8,34.1,24.6,77.0,0.0,14.8,1009.1,9.0,254.7,24.0
Jhalokati,2,4,2025,28.7,31.8,33.7,24.5,76.9,0.0,11.2,1010.4,8.0,237.9,23.9
Jhalokati,3,4,2025,29.1,32.8,34.6,24.5,77.4,0.0,8.3,1011.1,9.0,279.3,24.3
Jhalokati,4,4,2025,29.4,32.9,34.6,25.3,75.8,0.0,10.8,1010.3,9.0,250.9,24.2
Jhalokati,5,4,2025,29.7,33.6,35.8,25.6,76.0,0.4,15.5,1008.6,9.0,267.6,24.5
Jhalokati,6,4,2025,29.5,33.3,35.0,25.7,76.8,0.4,12.2,1008.5,9.0,263.1,24.6
Jhalokati,7,4,2025,29.2,31.6,35.0,24.9,70.7,0.0,11.9,1011.0,9.0,276.1,22.7
Jhalokati,8,4,2025,28.8,32.0,33.3,24.5,76.1,1.2,12.2,1013.5,9.0,241.1,23.8
Jhalokati,9,4,2025,28.9,31.1,34.3,23.2,71.1,0.0,11.2,1011.4,9.0,264.0,22.5
Jhalokati,10,4,2025,28.8,30.4,34.7,23.7,69.4,0.0,11.9,1007.2,8.0,249.1,22.0
Jhalokati,11,4,2025,27.6,29.8,32.3,22.7,73.6,1.2,14.0,1005.6,8.0,219.1,22.2
Jhalokati,12,4,2025,29.1,32.3,34.5,24.1,74.1,0.2,7.9,1006.8,9.0,271.7,23.6
Jhalokati,13,4,2025,29.2,32.5,35.2,24.4,74.2,1.5,10.8,1008.5,9.0,261.2,23.7
Jhalokati,14,4,2025,28.7,31.4,34.2,24.7,75.2,0.7,6.1,1008.9,9.0,275.1,23.5
Jhalokati,15,4,2025,27.8,30.3,34.1,22.8,77.1,2.2,12.2,1009.8,9.0,260.6,23.1
Jhalokati,16,4,2025,27.1,29.0,33.0,24.3,82.7,10.8,12.2,1009.4,8.0,242.6,23.7
Jhalokati,17,4,2025,26.2,27.9,31.7,21.9,84.1,6.9,10.4,1008.6,8.0,231.5,23.1
Jhalokati,18,4,2025,25.6,27.1,31.8,21.7,86.5,33.2,10.1,1007.7,7.0,147.9,23.1
Jhalokati,19,4,2025,26.6,28.6,29.4,24.2,87.4,13.5,8.6,1006.8,7.0,179.3,24.2
Jhalokati,20,4,2025,28.7,33.4,34.3,24.7,84.0,3.6,13.0,1006.5,7.0,181.4,25.5
Jhalokati,21,4,2025,28.5,33.9,30.5,26.2,85.1,6.5,14.4,1008.3,7.0,189.2,25.7
Jhalokati,22,4,2025,29.6,35.2,33.6,26.1,80.7,0.0,20.2,1008.3,7.0,207.1,25.8
Jhalokati,23,4,2025,30.2,38.2,34.3,27.7,81.5,0.0,24.8,1005.7,7.0,209.6,26.6
Jhalokati,24,4,2025,30.2,38.1,33.4,27.8,81.3,0.3,24.5,1005.7,7.0,214.8,26.5
Jhalokati,25,4,2025,30.4,38.1,34.0,28.0,79.9,0.1,22.3,1006.5,6.0,201.8,26.4
Jhalokati,26,4,2025,30.4,37.3,34.7,27.2,78.2,0.0,21.2,1006.9,9.0,264.9,25.9
Jhalokati,27,4,2025,29.5,34.9,33.6,26.4,77.8,0.3,16.9,1008.3,9.0,262.6,25.1
Jhalokati,28,4,2025,27.6,31.4,32.1,23.3,84.2,20.5,11.2,1008.2,6.0,181.5,24.5
Jhalokati,29,4,2025,26.3,27.8,31.5,21.2,80.8,5.2,10.4,1008.4,9.0,202.4,22.5
Jhalokati,30,4,2025,26.9,28.8,30.1,23.0,82.2,9.8,6.5,1009.1,8.0,232.5,23.5
