district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Jhenaidah,1,1,2025,17.1,17.1,23.6,13.6,84.4,0.0,11.2,1015.4,7.0,148.8,14.3
Jhenaidah,2,1,2025,15.3,15.3,19.6,12.3,85.6,0.0,12.2,1015.9,7.0,169.7,12.8
Jhenaidah,3,1,2025,15.8,15.8,22.4,9.7,84.1,0.0,10.8,1015.7,6.0,137.4,12.9
Jhenaidah,4,1,2025,16.2,16.2,22.5,11.4,88.5,0.0,7.9,1014.5,6.0,131.0,14.2
Jhenaidah,5,1,2025,18.2,18.2,26.0,13.4,85.4,0.0,10.1,1014.8,7.0,180.1,15.4
Jhenaidah,6,1,2025,18.9,18.9,27.0,13.7,82.1,0.0,9.0,1013.7,7.0,176.9,15.2
Jhenaidah,7,1,2025,18.7,18.7,25.8,13.5,82.7,0.0,10.1,1012.7,5.0,136.5,15.3
Jhenaidah,8,1,2025,17.2,17.2,21.6,14.1,83.7,0.0,13.7,1014.8,7.0,191.2,14.2
Jhenaidah,9,1,2025,15.9,15.9,22.1,10.6,80.0,0.0,11.9,1017.4,7.0,194.0,12.0
Jhenaidah,10,1,2025,16.0,16.0,23.7,10.0,80.0,0.0,9.7,1018.3,7.0,194.8,12.2
Jhenaidah,11,1,2025,17.0,17.0,25.3,11.0,81.0,0.0,8.6,1018.1,7.0,192.3,13.2
Jhenaidah,12,1,2025,18.6,18.6,26.9,11.6,75.9,0.0,8.6,1017.1,7.0,193.5,13.6
Jhenaidah,13,1,2025,18.7,18.7,26.1,13.0,78.4,0.0,9.0,1015.1,7.0,186.1,14.5
Jhenaidah,14,1,2025,18.6,18.6,25.5,14.0,81.8,0.0,11.9,1017.4,7.0,184.3,15.2
Jhenaidah,15,1,2025,18.2,18.2,25.5,13.0,79.5,0.0,12.6,1018.3,7.0,188.9,14.3
Jhenaidah,16,1,2025,18.2,18.2,25.6,13.0,82.1,0.0,10.4,1017.5,7.0,195.2,14.7
Jhenaidah,17,1,2025,18.3,18.3,26.0,13.0,81.2,0.0,9.7,1016.5,7.0,192.5,14.6
Jhenaidah,18,1,2025,18.6,18.6,26.3,13.1,80.3,0.0,10.4,1015.8,7.0,192.7,14.7
Jhenaidah,19,1,2025,17.8,17.8,25.1,12.0,75.4,0.0,11.2,1014.6,8.0,204.6,12.8
