district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Joypurhat,1,1,2025,15.9,15.9,19.8,13.2,85.7,0.0,11.2,1015.7,7.0,140.7,13.4
Joypurhat,2,1,2025,14.8,14.8,19.2,11.8,86.9,0.0,10.4,1016.3,7.0,149.9,12.6
Joypurhat,3,1,2025,16.3,16.3,24.7,10.5,85.4,0.0,9.4,1015.9,7.0,171.9,13.6
Joypurhat,4,1,2025,18.3,18.3,27.6,13.4,83.7,0.0,9.7,1014.6,7.0,148.0,15.2
Joypurhat,5,1,2025,19.4,19.4,28.0,13.7,81.4,0.0,7.9,1015.4,6.0,170.3,15.7
Joypurhat,6,1,2025,20.1,20.1,27.6,14.4,79.7,0.0,7.6,1013.9,7.0,167.7,16.0
Joypurhat,7,1,2025,19.8,19.8,26.0,15.0,78.0,0.0,14.8,1012.7,6.0,131.4,15.5
Joypurhat,8,1,2025,16.6,16.6,19.4,13.7,84.7,0.0,13.7,1015.1,6.0,133.5,13.9
Joypurhat,9,1,2025,15.9,15.9,22.4,12.4,80.8,0.0,8.3,1017.5,7.0,170.0,12.4
Joypurhat,10,1,2025,17.1,17.1,24.8,11.6,79.8,0.0,8.3,1018.7,7.0,179.1,13.3
Joypurhat,11,1,2025,17.6,17.6,26.2,12.3,81.9,0.0,8.3,1018.3,7.0,183.6,14.0
Joypurhat,12,1,2025,18.4,18.4,26.1,12.3,80.0,0.0,7.2,1017.4,7.0,170.4,14.4
Joypurhat,13,1,2025,18.8,18.8,26.4,14.4,80.1,0.0,9.0,1014.9,7.0,168.5,14.9
Joypurhat,14,1,2025,18.5,18.5,25.6,14.0,78.8,0.0,9.7,1017.9,7.0,178.6,14.5
Joypurhat,15,1,2025,17.8,17.8,24.1,14.4,81.8,0.0,10.8,1018.8,7.0,181.4,14.4
Joypurhat,16,1,2025,18.3,18.3,26.1,13.8,81.8,0.0,10.1,1017.9,6.0,178.9,14.8
Joypurhat,17,1,2025,18.4,18.4,24.6,14.0,81.1,0.0,9.4,1016.7,7.0,172.4,14.9
Joypurhat,18,1,2025,18.7,18.7,25.9,14.6,78.8,0.0,9.7,1016.0,7.0,191.1,14.5
Joypurhat,19,1,2025,17.7,17.7,25.5,12.1,76.8,0.0,9.7,1014.5,7.0,197.2,13.1
Joypurhat,20,1,2025,16.9,16.9,23.2,12.8,83.5,0.0,8.6,1012.8,7.0,180.1,14.0
Joypurhat,21,1,2025,16.6,16.6,23.3,11.9,86.1,0.0,9.0,1012.1,7.0,163.4,14.0
Joypurhat,22,1,2025,16.0,16.0,21.3,13.5,89.4,0.0,7.9,1013.1,6.0,146.9,14.2
Joypurhat,23,1,2025,15.9,15.9,19.8,13.4,89.0,0.0,8.3,1013.9,7.0,169.3,14.0
Joypurhat,24,1,2025,15.4,15.4,19.1,11.8,88.3,0.0,11.9,1013.3,7.0,171.5,13.3
Joypurhat,25,1,2025,16.4,16.4,23.7,11.2,81.4,0.0,11.5,1014.1,7.0,182.5,12.9
Joypurhat,26,1,2025,16.9,16.9,24.4,10.5,79.1,0.0,8.3,1013.6,7.0,183.6,12.9
Joypurhat,27,1,2025,17.8,17.8,25.1,12.5,79.8,0.0,7.6,1011.4,7.0,176.8,13.9
Joypurhat,28,1,2025,17.8,17.8,25.2,12.9,79.8,0.0,7.9,1012.7,7.0,182.6,13.8
Joypurhat,29,1,2025,17.7,17.7,25.9,11.8,76.8,0.0,7.9,1015.1,7.0,189.8,13.1
Joypurhat,30,1,2025,18.3,18.3,26.0,12.4,81.7,0.0,13.0,1011.1,7.0,169.5,14.9
Joypurhat,31,1,2025,18.6,18.6,26.3,13.1,79.9,0.0,8.3,1011.2,8.0,202.5,14.7
Joypurhat,1,2,2025,18.5,18.5,26.1,13.3,82.9,0.0,8.6,1012.6,8.0,204.1,15.3
Joypurhat,2,2,2025,18.8,18.8,26.7,14.5,82.9,0.0,11.2,1012.3,7.0,206.8,15.5
Joypurhat,3,2,2025,19.1,19.1,27.2,13.9,78.0,0.0,9.4,1013.0,8.0,211.3,14.6
Joypurhat,4,2,2025,18.9,18.9,26.4,13.0,82.6,0.0,8.3,1012.9,7.0,186.2,15.6
Joypurhat,5,2,2025,20.3,20.3,27.5,14.7,77.1,0.0,9.4,1010.8,7.0,203.0,15.7
Joypurhat,6,2,2025,20.2,20.2,27.9,15.6,73.9,0.0,14.4,1011.8,8.0,215.7,14.8
Joypurhat,7,2,2025,18.5,18.5,25.5,13.6,65.0,0.0,12.2,1013.5,8.0,224.5,11.2
Joypurhat,8,2,2025,17.7,17.7,25.2,10.7,71.4,0.0,10.4,1014.5,8.0,223.3,11.9
Joypurhat,9,2,2025,18.4,18.4,26.0,12.8,75.8,0.0,8.3,1013.4,8.0,212.3,13.5
Joypurhat,10,2,2025,19.0,19.0,27.1,12.8,76.9,0.0,10.4,1013.2,8.0,212.3,14.3
Joypurhat,11,2,2025,19.4,19.4,27.4,14.1,74.8,0.0,11.9,1012.1,8.0,224.3,14.3
Joypurhat,12,2,2025,20.2,20.3,28.8,14.4,71.1,0.0,13.0,1012.0,8.0,226.1,14.2
Joypurhat,13,2,2025,20.8,20.7,29.4,14.4,64.3,0.0,16.6,1011.0,8.0,224.0,13.1
Joypurhat,14,2,2025,19.1,19.1,26.5,13.1,62.9,0.0,12.6,1011.7,8.0,231.9,11.2
Joypurhat,15,2,2025,18.8,18.8,27.5,11.9,66.1,0.0,9.7,1012.0,8.0,230.7,11.3
Joypurhat,16,2,2025,19.8,19.7,28.6,11.9,70.4,0.0,10.4,1012.2,8.0,228.0,13.4
Joypurhat,17,2,2025,21.4,21.4,29.2,15.4,69.8,0.0,9.4,1014.1,8.0,219.6,15.2
Joypurhat,18,2,2025,21.4,21.3,29.4,15.2,69.8,0.0,9.4,1013.6,8.0,231.5,15.0
Joypurhat,19,2,2025,21.3,21.4,29.7,14.5,71.0,0.0,7.6,1012.9,8.0,231.5,15.1
Joypurhat,20,2,2025,22.3,22.3,28.9,17.0,69.7,0.1,9.4,1014.4,7.0,204.6,16.0
Joypurhat,21,2,2025,22.8,23.0,29.8,17.2,71.5,0.0,11.9,1014.1,8.0,217.4,16.8
Joypurhat,22,2,2025,22.9,23.0,30.3,16.6,72.1,0.1,9.7,1014.2,8.0,214.3,16.9
Joypurhat,23,2,2025,21.3,21.3,26.8,17.4,78.8,3.9,7.2,1016.1,7.0,192.9,17.2
Joypurhat,24,2,2025,21.6,21.6,29.2,16.1,75.0,0.0,9.4,1017.1,7.0,223.6,16.3
Joypurhat,25,2,2025,21.5,21.4,29.2,15.0,69.4,0.0,10.1,1018.2,8.0,243.2,14.7
Joypurhat,26,2,2025,21.9,21.9,29.1,15.2,71.2,0.0,8.3,1018.0,8.0,243.3,15.7
Joypurhat,27,2,2025,22.7,22.7,29.1,16.8,70.4,0.0,9.0,1015.4,8.0,208.7,16.4
Joypurhat,28,2,2025,23.2,23.2,30.7,17.0,70.8,0.0,9.7,1013.8,8.0,218.7,16.9
Joypurhat,1,3,2025,24.0,24.5,31.6,17.8,73.3,0.0,11.9,1010.8,8.0,242.9,18.4
Joypurhat,2,3,2025,25.4,25.3,32.0,20.1,59.6,0.0,20.5,1007.9,9.0,251.2,16.2
Joypurhat,3,3,2025,24.2,23.9,31.6,18.1,56.8,0.0,16.9,1009.5,9.0,249.8,14.1
Joypurhat,4,3,2025,23.2,23.0,30.6,15.7,57.8,0.0,16.2,1009.6,9.0,260.0,13.6
Joypurhat,5,3,2025,23.2,23.0,29.5,17.4,54.4,0.0,21.6,1008.5,9.0,263.8,12.6
Joypurhat,6,3,2025,21.3,21.2,28.1,14.5,58.3,0.0,9.0,1011.5,9.0,263.3,12.2
Joypurhat,7,3,2025,21.8,21.7,28.6,14.7,62.7,0.0,9.7,1009.7,9.0,258.0,13.7
Joypurhat,8,3,2025,22.5,22.4,30.2,15.5,64.2,0.0,11.5,1009.1,9.0,258.3,14.6
Joypurhat,9,3,2025,23.6,23.6,31.1,16.6,65.2,0.0,10.8,1013.0,9.0,256.4,16.0
Joypurhat,10,3,2025,24.7,25.0,31.7,17.7,66.3,0.0,9.0,1015.1,9.0,235.2,17.3
Joypurhat,11,3,2025,25.2,25.4,32.3,20.5,68.8,0.0,8.6,1012.3,8.0,224.3,18.3
Joypurhat,12,3,2025,25.0,25.5,31.5,20.0,72.0,0.1,11.5,1008.7,7.0,214.7,19.2
Joypurhat,13,3,2025,25.0,25.7,31.9,19.3,73.2,0.0,11.2,1006.8,9.0,262.1,19.5
Joypurhat,14,3,2025,25.1,26.4,31.8,18.9,75.5,0.0,9.7,1008.3,9.0,264.2,20.2
Joypurhat,15,3,2025,26.5,27.8,33.4,20.9,75.6,0.0,10.4,1009.5,9.0,265.8,21.4
Joypurhat,16,3,2025,27.3,27.9,34.0,21.2,65.0,0.3,20.2,1008.7,9.0,254.1,19.4
Joypurhat,17,3,2025,27.5,27.8,34.4,21.9,52.6,0.0,25.6,1007.0,8.0,231.7,16.6
Joypurhat,18,3,2025,26.5,26.4,33.1,21.5,47.9,0.0,18.7,1009.1,9.0,275.8,13.7
Joypurhat,19,3,2025,25.3,25.0,33.1,17.7,51.8,0.0,11.2,1012.4,10.0,286.3,13.7
Joypurhat,20,3,2025,24.5,24.7,32.3,18.0,66.4,0.3,14.0,1013.6,9.0,244.9,17.2
Joypurhat,21,3,2025,23.5,23.5,26.5,21.1,78.3,2.2,16.9,1014.7,5.0,106.0,19.3
Joypurhat,22,3,2025,23.3,23.5,27.1,20.3,78.6,6.6,9.4,1014.8,6.0,172.0,19.3
Joypurhat,23,3,2025,23.5,23.7,29.3,18.0,74.4,0.2,6.8,1015.2,9.0,262.6,18.2
Joypurhat,24,3,2025,24.6,24.9,31.4,18.0,69.0,0.0,9.0,1013.9,9.0,264.9,17.9
Joypurhat,25,3,2025,25.5,25.9,33.0,18.8,66.9,0.0,7.9,1009.4,9.0,284.5,18.1
Joypurhat,26,3,2025,26.6,27.2,34.3,18.9,67.0,0.0,7.9,1006.6,9.0,276.5,19.1
Joypurhat,27,3,2025,27.6,29.1,34.7,21.9,69.5,0.0,8.3,1004.3,9.0,267.0,21.0
