district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Khagrachhari,1,1,2025,18.7,18.7,23.3,14.5,86.0,0.0,8.6,1014.3,7.0,186.9,16.1
Khagrachhari,2,1,2025,18.2,18.2,22.0,15.7,88.0,0.0,8.3,1014.6,7.0,187.8,16.1
Khagrachhari,3,1,2025,18.0,18.0,22.8,14.1,89.2,0.0,7.9,1015.1,7.0,173.1,16.1
Khagrachhari,4,1,2025,18.8,18.8,24.2,14.1,89.2,0.0,7.2,1014.0,7.0,165.6,16.9
Khagrachhari,5,1,2025,20.8,20.8,28.7,14.7,83.5,0.0,5.4,1014.8,7.0,166.5,17.5
Khagrachhari,6,1,2025,22.0,22.1,30.3,15.2,79.3,0.0,6.1,1013.7,7.0,177.6,17.7
Khagrachhari,7,1,2025,21.1,21.1,27.4,15.3,81.2,0.0,9.0,1013.0,6.0,162.4,17.4
Khagrachhari,8,1,2025,19.3,19.3,22.3,16.0,86.8,0.6,9.0,1014.1,5.0,151.0,16.9
Khagrachhari,9,1,2025,18.7,18.7,24.2,15.5,83.4,0.0,8.6,1016.2,7.0,179.9,15.6
Khagrachhari,10,1,2025,18.6,18.6,26.4,12.7,81.9,0.0,8.3,1017.8,7.0,198.6,15.1
Khagrachhari,11,1,2025,19.9,19.8,29.0,12.6,79.7,0.0,7.2,1017.3,7.0,192.3,15.4
Khagrachhari,12,1,2025,20.8,20.7,29.7,13.9,77.4,0.0,5.0,1016.9,7.0,187.3,15.9
Khagrachhari,13,1,2025,20.3,20.2,29.0,13.6,76.7,0.0,7.6,1015.2,7.0,189.9,15.2
Khagrachhari,14,1,2025,19.8,19.8,27.0,13.1,78.1,0.0,9.4,1016.7,7.0,193.8,15.4
Khagrachhari,15,1,2025,19.9,19.9,28.3,12.8,79.2,0.0,7.9,1016.9,7.0,196.8,15.8
Khagrachhari,16,1,2025,20.8,20.8,29.3,14.3,78.0,0.0,7.9,1016.6,7.0,197.9,16.2
Khagrachhari,17,1,2025,20.8,20.8,28.8,14.2,76.6,0.0,7.6,1015.4,7.0,197.4,15.9
Khagrachhari,18,1,2025,20.6,20.6,28.2,14.1,76.3,0.0,7.9,1014.7,7.0,201.7,15.7
Khagrachhari,19,1,2025,20.3,20.3,27.4,15.1,73.0,0.0,9.4,1013.5,7.0,204.5,14.8
Khagrachhari,20,1,2025,19.6,19.6,27.0,11.8,75.1,0.0,7.9,1012.1,8.0,206.6,14.6
Khagrachhari,21,1,2025,19.1,19.1,25.8,11.8,79.4,0.0,7.9,1011.9,8.0,205.7,15.0
Khagrachhari,22,1,2025,19.7,19.7,27.1,13.2,81.1,0.0,7.6,1012.7,8.0,205.0,16.0
Khagrachhari,23,1,2025,19.4,19.4,26.1,14.4,81.9,0.0,7.9,1013.4,8.0,207.9,15.9
Khagrachhari,24,1,2025,19.8,19.8,28.4,13.8,74.5,0.0,8.6,1013.0,8.0,211.2,14.4
Khagrachhari,25,1,2025,19.9,19.9,26.8,14.1,75.3,0.0,9.7,1013.6,6.0,147.5,14.9
Khagrachhari,26,1,2025,19.3,19.3,26.0,13.3,70.0,0.0,9.4,1012.8,8.0,213.9,12.9
Khagrachhari,27,1,2025,18.8,18.8,25.6,12.7,77.9,0.0,6.5,1011.0,8.0,212.1,14.4
Khagrachhari,28,1,2025,18.8,18.8,26.1,13.7,81.8,0.0,4.7,1012.9,7.0,199.0,15.1
Khagrachhari,29,1,2025,18.7,18.7,26.8,12.5,79.1,0.0,5.4,1015.2,8.0,208.3,14.4
Khagrachhari,30,1,2025,19.5,19.5,26.8,12.5,76.4,0.0,8.3,1012.6,8.0,192.2,14.6
Khagrachhari,31,1,2025,21.5,21.5,25.9,16.1,80.8,0.0,9.7,1012.6,6.0,158.8,17.9
Khagrachhari,1,2,2025,22.3,22.5,29.0,18.2,83.7,0.0,5.8,1012.6,7.0,161.6,19.2
Khagrachhari,2,2,2025,22.4,22.5,28.1,18.9,83.7,0.0,7.9,1012.5,7.0,165.6,19.3
Khagrachhari,3,2,2025,22.1,22.1,29.3,18.6,77.3,0.0,7.9,1012.8,7.0,203.4,17.3
Khagrachhari,4,2,2025,20.7,20.6,28.6,13.4,70.6,0.0,7.2,1012.4,8.0,222.7,14.4
Khagrachhari,5,2,2025,20.7,20.7,28.3,14.1,77.2,0.0,6.1,1011.3,8.0,216.5,16.0
Khagrachhari,6,2,2025,22.0,22.0,30.0,16.4,78.9,0.0,5.8,1012.0,8.0,211.5,17.6
Khagrachhari,7,2,2025,21.2,21.1,29.3,15.1,70.0,0.0,8.3,1013.4,8.0,230.5,14.6
Khagrachhari,8,2,2025,19.8,19.6,28.7,10.8,63.7,0.0,9.0,1013.6,8.0,236.0,11.4
Khagrachhari,9,2,2025,19.6,19.5,27.8,11.0,68.3,0.0,7.9,1013.2,8.0,234.2,12.8
Khagrachhari,10,2,2025,20.0,19.9,29.3,12.0,71.7,0.0,6.5,1013.9,8.0,227.7,13.7
Khagrachhari,11,2,2025,21.2,21.2,29.5,14.6,79.1,0.0,28.4,1013.5,8.0,216.9,16.9
Khagrachhari,12,2,2025,23.5,23.6,29.5,19.3,79.6,0.1,33.5,1013.3,8.0,212.0,19.4
Khagrachhari,13,2,2025,24.2,24.4,29.7,21.3,80.8,0.1,9.7,1012.3,7.0,178.0,20.4
Khagrachhari,14,2,2025,23.6,23.5,29.5,20.1,77.4,4.1,9.4,1011.9,8.0,184.0,18.7
Khagrachhari,15,2,2025,21.8,21.6,30.5,16.6,68.5,0.0,6.1,1012.0,8.0,226.7,14.4
Khagrachhari,16,2,2025,22.2,22.1,30.9,15.5,70.9,0.0,8.3,1012.8,8.0,216.6,15.8
Khagrachhari,17,2,2025,22.8,22.6,32.3,15.7,69.5,0.0,6.8,1014.1,8.0,226.8,15.9
Khagrachhari,18,2,2025,23.5,23.4,32.5,15.9,65.9,0.0,7.9,1013.5,8.0,226.5,15.8
Khagrachhari,19,2,2025,23.1,23.2,29.6,18.1,75.0,0.2,6.5,1013.1,8.0,215.4,18.0
Khagrachhari,20,2,2025,23.9,23.9,32.9,16.7,69.7,0.0,7.6,1013.8,8.0,212.6,17.2
Khagrachhari,21,2,2025,24.2,24.1,32.0,18.5,65.8,0.0,7.9,1014.0,8.0,230.1,16.7
Khagrachhari,22,2,2025,24.1,24.2,32.7,17.5,69.4,0.0,11.2,1014.6,8.0,228.0,17.4
Khagrachhari,23,2,2025,23.8,23.9,29.6,18.9,69.8,0.4,9.4,1015.4,7.0,192.7,17.6
Khagrachhari,24,2,2025,23.7,23.7,31.7,17.1,68.2,0.0,9.7,1016.1,9.0,244.0,16.7
Khagrachhari,25,2,2025,24.0,23.7,32.1,16.0,60.5,0.0,10.4,1017.4,9.0,251.8,14.3
Khagrachhari,26,2,2025,23.4,23.1,31.6,15.6,58.3,0.0,10.4,1017.0,9.0,259.2,13.4
Khagrachhari,27,2,2025,23.2,23.0,31.2,15.1,62.2,0.0,9.7,1014.9,9.0,257.2,14.6
Khagrachhari,28,2,2025,23.7,23.7,31.0,16.3,67.9,0.0,9.4,1013.9,8.0,224.7,16.5
Khagrachhari,1,3,2025,24.8,25.2,32.7,18.5,72.6,0.0,9.0,1012.1,9.0,230.9,19.0
Khagrachhari,2,3,2025,25.7,26.5,31.7,20.7,76.0,0.4,14.8,1009.6,9.0,235.3,20.6
Khagrachhari,3,3,2025,25.9,26.3,32.6,20.5,73.9,0.0,6.8,1010.0,6.0,172.0,20.3
Khagrachhari,4,3,2025,25.1,25.3,33.4,20.0,70.8,0.0,9.4,1010.0,8.0,221.4,18.7
Khagrachhari,5,3,2025,24.7,24.6,32.3,17.6,67.4,0.0,11.2,1009.4,9.0,220.4,17.2
Khagrachhari,6,3,2025,24.9,24.9,32.2,19.4,66.5,0.0,8.3,1010.5,8.0,222.5,17.5
Khagrachhari,7,3,2025,24.3,24.0,32.4,18.3,63.3,0.0,11.5,1009.6,9.0,269.3,15.4
Khagrachhari,8,3,2025,23.7,23.5,32.0,15.0,64.5,0.0,11.2,1010.0,9.0,267.9,15.3
Khagrachhari,9,3,2025,24.8,24.9,32.7,18.2,69.2,0.0,10.1,1013.0,9.0,257.5,17.8
Khagrachhari,10,3,2025,25.5,25.4,33.4,16.9,58.7,0.0,10.8,1014.5,9.0,274.2,15.8
Khagrachhari,11,3,2025,25.4,25.5,33.1,17.1,64.4,0.0,9.7,1012.7,9.0,258.1,17.3
Khagrachhari,12,3,2025,25.9,26.1,33.1,19.0,69.2,0.0,14.8,1009.9,9.0,245.7,18.9
Khagrachhari,13,3,2025,26.3,27.3,32.0,20.1,76.2,0.2,16.9,1008.7,9.0,240.2,21.4
Khagrachhari,14,3,2025,27.0,28.2,31.9,22.6,75.6,0.0,15.1,1010.1,8.0,234.1,21.9
Khagrachhari,15,3,2025,27.4,28.8,34.3,23.2,75.7,0.0,11.5,1011.3,9.0,234.8,22.1
Khagrachhari,16,3,2025,27.7,29.6,33.6,23.5,76.4,0.3,11.2,1010.6,9.0,236.2,22.7
Khagrachhari,17,3,2025,27.8,29.8,33.3,24.4,78.6,1.6,11.5,1009.7,8.0,236.6,23.4
Khagrachhari,18,3,2025,27.4,29.3,32.2,24.2,80.0,1.0,10.8,1010.4,7.0,203.8,23.4
Khagrachhari,19,3,2025,28.5,30.4,34.8,23.8,72.9,0.0,9.4,1013.2,8.0,236.0,22.4
Khagrachhari,20,3,2025,27.9,29.6,32.9,24.4,77.3,1.0,12.6,1014.4,9.0,247.3,23.1
Khagrachhari,21,3,2025,27.6,28.0,32.9,23.9,68.3,0.1,15.8,1015.2,9.0,212.8,20.5
Khagrachhari,22,3,2025,26.6,26.7,32.2,23.7,59.8,0.1,16.6,1014.7,7.0,209.6,17.7
Khagrachhari,23,3,2025,26.4,26.4,32.3,21.1,62.0,0.0,10.8,1014.0,9.0,278.3,17.7
Khagrachhari,24,3,2025,26.3,26.2,33.4,18.9,58.4,0.0,11.5,1012.5,9.0,274.9,16.3
Khagrachhari,25,3,2025,26.7,26.7,34.2,18.0,58.1,0.0,10.4,1008.7,10.0,290.3,16.7
Khagrachhari,26,3,2025,27.2,27.3,35.6,19.8,59.9,0.0,43.8,1006.8,10.0,289.6,17.2
Khagrachhari,27,3,2025,27.5,28.8,35.5,20.5,67.8,0.0,10.8,1005.9,7.0,211.3,20.2
Khagrachhari,28,3,2025,28.3,30.1,34.8,22.7,73.2,0.0,12.2,1005.5,9.0,253.4,22.4
Khagrachhari,29,3,2025,28.4,31.1,33.6,24.1,77.2,0.0,12.6,1007.1,9.0,261.4,23.6
Khagrachhari,30,3,2025,28.9,31.5,34.9,24.4,74.5,0.0,9.7,1009.7,10.0,277.3,23.3
Khagrachhari,31,3,2025,28.7,30.8,34.9,24.6,75.0,0.0,10.8,1010.0,9.0,262.9,23.2
Khagrachhari,1,4,2025,28.5,30.7,33.8,24.4,75.8,0.5,10.4,1009.8,8.0,232.6,23.3
Khagrachhari,2,4,2025,28.6,30.8,34.2,24.2,73.1,0.0,10.8,1010.7,9.0,281.6,22.7
Khagrachhari,3,4,2025,29.4,32.6,35.7,24.6,74.1,0.0,10.1,1011.3,9.0,279.1,23.8
Khagrachhari,4,4,2025,29.2,32.4,34.8,25.3,75.4,1.0,7.6,1010.6,8.0,223.5,23.8
Khagrachhari,5,4,2025,29.1,32.4,34.7,25.0,75.6,6.3,12.2,1009.3,8.0,241.2,23.8
Khagrachhari,6,4,2025,29.1,31.2,35.7,24.4,70.8,0.0,11.5,1009.2,10.0,287.1,22.6
Khagrachhari,7,4,2025,29.1,30.5,36.8,23.3,65.7,0.0,13.3,1011.3,10.0,285.9,21.0
Khagrachhari,8,4,2025,28.9,31.6,33.8,24.3,71.5,0.6,13.7,1014.1,9.0,249.8,22.8
Khagrachhari,9,4,2025,29.1,30.8,35.2,23.6,66.2,0.0,9.7,1011.6,9.0,269.4,21.4
Khagrachhari,10,4,2025,28.3,29.8,35.6,23.7,69.4,4.8,9.7,1007.5,8.0,241.8,21.6
Khagrachhari,11,4,2025,27.3,28.9,32.1,22.2,74.7,7.0,13.0,1006.3,9.0,234.3,21.9
Khagrachhari,12,4,2025,28.8,31.6,35.8,23.5,73.7,1.7,10.1,1007.3,9.0,253.2,23.1
Khagrachhari,13,4,2025,29.9,32.7,37.5,24.9,71.1,0.5,8.6,1008.6,9.0,271.6,23.2
Khagrachhari,14,4,2025,28.9,31.0,36.1,24.8,71.1,2.0,10.1,1008.9,9.0,266.5,22.6
Khagrachhari,15,4,2025,27.6,29.8,33.8,23.9,76.2,3.1,9.4,1010.2,9.0,256.7,22.8
Khagrachhari,16,4,2025,26.9,28.4,33.5,23.7,78.9,9.1,8.3,1010.0,9.0,213.2,22.7
Khagrachhari,17,4,2025,25.5,26.6,32.6,22.2,81.3,6.7,10.8,1009.3,9.0,236.8,21.8
Khagrachhari,18,4,2025,25.8,27.1,30.9,21.9,83.6,5.0,8.6,1008.3,8.0,209.7,22.6
Khagrachhari,19,4,2025,26.2,27.8,30.5,23.0,83.9,11.7,7.9,1007.7,7.0,208.8,23.1
Khagrachhari,20,4,2025,27.3,29.9,31.7,23.6,81.6,4.8,10.1,1007.6,6.0,179.8,23.7
Khagrachhari,21,4,2025,26.5,28.0,30.0,23.8,86.2,8.5,9.7,1009.6,7.0,175.8,23.9
Khagrachhari,22,4,2025,28.6,32.4,33.4,24.2,79.6,0.6,17.3,1009.3,7.0,231.7,24.5
Khagrachhari,23,4,2025,28.7,32.7,31.8,26.1,78.8,0.7,21.6,1007.4,7.0,203.2,24.5
Khagrachhari,24,4,2025,29.2,34.5,32.4,26.8,78.6,0.7,20.5,1007.1,7.0,200.9,25.0
Khagrachhari,25,4,2025,29.4,34.9,33.3,26.8,78.5,0.4,18.7,1007.9,8.0,226.1,25.1
Khagrachhari,26,4,2025,29.5,34.4,33.6,26.0,77.3,0.3,16.9,1008.2,7.0,238.3,24.9
Khagrachhari,27,4,2025,28.8,32.7,32.8,25.1,77.3,0.2,10.1,1009.2,9.0,256.5,24.1
Khagrachhari,28,4,2025,27.3,29.1,34.1,24.1,81.7,5.2,9.7,1008.7,8.0,185.9,23.7
Khagrachhari,29,4,2025,27.0,28.2,33.2,20.8,75.1,5.2,10.8,1008.6,9.0,224.2,21.7
Khagrachhari,30,4,2025,27.9,29.9,31.9,23.7,75.6,0.4,6.8,1009.2,8.0,242.7,22.7
Khagrachhari,1,5,2025,28.3,29.8,34.6,24.0,72.2,2.5,9.7,1010.0,9.0,266.6,22.2
Khagrachhari,2,5,2025,27.0,28.6,32.9,22.3,75.3,8.9,11.2,1009.4,9.0,255.1,21.9
Khagrachhari,3,5,2025,27.3,29.3,32.5,22.6,77.5,1.3,8.6,1008.2,9.0,255.0,22.7
Khagrachhari,4,5,2025,28.1,30.5,32.7,23.7,76.3,1.0,9.0,1007.4,9.0,265.9,23.1
Khagrachhari,5,5,2025,29.4,32.5,33.8,24.7,72.3,0.2,9.7,1007.3,8.0,265.0,23.5
Khagrachhari,6,5,2025,28.5,31.4,33.1,24.5,76.7,0.7,8.6,1007.4,8.0,257.9,23.7
Khagrachhari,7,5,2025,29.3,32.9,34.7,23.5,73.1,0.3,10.1,1006.1,9.0,276.3,23.5
Khagrachhari,8,5,2025,30.2,34.1,35.8,25.4,70.7,0.3,10.4,1006.4,9.0,282.2,23.7
Khagrachhari,9,5,2025,30.8,35.8,35.9,25.1,71.5,0.0,8.6,1006.5,9.0,281.2,24.6
Khagrachhari,10,5,2025,31.4,38.3,37.8,26.5,72.3,0.0,9.0,1006.2,9.0,278.0,25.4
Khagrachhari,11,5,2025,31.0,38.0,37.0,27.0,74.1,2.1,7.6,1005.0,9.0,271.5,25.5
Khagrachhari,12,5,2025,27.8,30.9,30.9,24.8,81.2,14.1,6.2,1004.9,7.0,237.1,24.1
