district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Khulna,1,1,2025,18.2,18.2,23.4,15.1,83.9,0.0,11.9,1015.2,7.0,161.3,15.3
Khulna,2,1,2025,17.0,17.0,22.8,13.6,84.0,0.0,12.2,1015.4,7.0,172.6,14.0
Khulna,3,1,2025,16.1,16.1,20.0,13.1,88.1,0.0,9.4,1015.7,6.0,133.0,14.0
Khulna,4,1,2025,17.0,17.0,21.8,13.6,87.9,0.0,7.6,1014.3,6.0,137.6,14.9
Khulna,5,1,2025,17.7,17.7,24.7,13.4,86.1,0.0,7.6,1014.6,7.0,176.2,15.1
Khulna,6,1,2025,19.1,19.1,26.5,13.6,83.9,0.0,8.6,1013.9,7.0,179.8,15.9
Khulna,7,1,2025,19.6,19.6,26.6,14.7,83.4,0.0,10.4,1013.0,5.0,134.8,16.4
Khulna,8,1,2025,17.9,17.9,21.5,14.9,86.1,0.0,11.9,1014.5,7.0,184.2,15.4
Khulna,9,1,2025,16.9,16.9,23.1,12.9,79.6,0.0,13.0,1017.1,7.0,197.9,13.0
Khulna,10,1,2025,17.1,17.1,24.2,12.5,78.7,0.0,9.7,1018.4,7.0,199.4,13.0
Khulna,11,1,2025,17.8,17.8,26.0,12.1,80.0,0.0,9.0,1018.0,7.0,198.5,13.8
Khulna,12,1,2025,19.0,19.0,27.6,13.2,77.1,0.0,8.3,1017.0,7.0,198.1,14.2
Khulna,13,1,2025,19.3,19.3,26.5,13.8,79.3,0.0,9.7,1015.1,7.0,194.3,15.1
Khulna,14,1,2025,19.5,19.5,26.1,15.3,79.5,0.0,12.6,1017.4,7.0,187.8,15.5
Khulna,15,1,2025,19.2,19.2,26.5,14.3,78.4,0.0,12.6,1018.0,7.0,194.9,14.9
Khulna,16,1,2025,19.2,19.2,26.6,14.7,80.5,0.0,10.8,1017.3,7.0,200.8,15.4
Khulna,17,1,2025,19.7,19.7,26.7,15.3,80.5,0.0,10.4,1016.0,7.0,199.2,15.8
Khulna,18,1,2025,19.7,19.7,26.2,15.4,80.0,0.0,10.8,1015.5,7.0,198.7,15.8
Khulna,19,1,2025,18.9,18.9,25.7,14.6,73.3,0.0,12.6,1014.5,8.0,209.1,13.3
Khulna,20,1,2025,17.9,17.9,24.9,12.9,78.3,0.0,11.2,1012.7,8.0,207.5,13.5
Khulna,21,1,2025,19.1,19.1,26.6,12.4,79.6,0.0,11.2,1011.9,8.0,204.6,15.1
Khulna,22,1,2025,20.2,20.2,28.0,15.6,80.6,0.0,9.4,1012.7,8.0,204.7,16.3
Khulna,23,1,2025,18.8,18.8,24.6,15.4,86.6,0.0,8.6,1013.6,7.0,203.4,16.4
Khulna,24,1,2025,19.4,19.4,25.2,15.2,85.2,0.0,9.0,1012.9,7.0,191.2,16.6
Khulna,25,1,2025,19.6,19.6,25.5,15.8,82.5,0.0,8.6,1013.8,6.0,152.0,16.3
Khulna,26,1,2025,19.1,19.1,25.5,14.4,73.8,0.0,10.8,1013.4,8.0,212.8,13.6
Khulna,27,1,2025,18.4,18.4,25.2,13.5,77.4,0.0,10.8,1011.5,8.0,213.7,13.9
Khulna,28,1,2025,19.0,19.0,26.8,13.5,76.5,0.0,8.6,1013.0,8.0,213.5,14.2
Khulna,29,1,2025,20.4,20.4,27.2,14.2,77.8,0.0,8.6,1015.0,7.0,186.2,15.9
Khulna,30,1,2025,22.2,22.3,28.0,17.3,84.9,1.0,17.6,1011.8,5.0,144.6,19.4
Khulna,31,1,2025,23.2,23.4,27.2,21.0,89.2,0.6,13.7,1011.3,4.0,108.4,21.3
Khulna,1,2,2025,23.4,23.5,27.2,20.3,91.7,1.0,7.9,1012.2,6.0,155.1,21.9
Khulna,2,2,2025,23.9,24.1,28.0,21.6,89.4,0.1,11.5,1012.1,6.0,152.1,21.9
Khulna,3,2,2025,23.2,23.3,29.5,19.0,78.6,0.0,8.6,1012.9,7.0,202.3,18.7
Khulna,4,2,2025,21.5,21.5,27.9,16.2,71.4,0.0,11.5,1012.8,8.0,219.9,15.5
Khulna,5,2,2025,22.1,22.2,29.2,14.7,77.2,0.0,9.4,1011.2,8.0,210.8,17.5
Khulna,6,2,2025,23.5,23.6,30.0,19.7,81.0,0.0,9.7,1011.8,8.0,209.7,19.6
