district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Kishoreganj,1,1,2025,16.5,16.5,18.4,15.1,93.2,0.0,14.8,1014.6,7.0,164.1,15.4
Kishoreganj,2,1,2025,15.4,15.4,18.1,14.0,93.1,0.0,14.8,1014.9,7.0,161.3,14.3
Kishoreganj,3,1,2025,15.8,15.8,19.0,14.0,92.0,0.0,11.2,1015.3,7.0,172.0,14.5
Kishoreganj,4,1,2025,18.2,18.2,24.4,13.0,85.5,0.0,8.6,1013.9,7.0,174.2,15.6
Kishoreganj,5,1,2025,20.7,20.8,28.4,14.6,78.9,0.0,10.8,1014.4,7.0,177.8,16.3
Kishoreganj,6,1,2025,21.9,21.9,28.7,15.8,74.4,0.0,10.4,1013.2,7.0,174.8,16.4
Kishoreganj,7,1,2025,21.0,21.0,26.0,17.0,73.2,0.0,11.1,1012.3,5.0,142.0,15.6
Kishoreganj,8,1,2025,17.6,17.6,20.9,15.4,83.9,0.0,16.6,1014.0,6.0,167.7,14.7
Kishoreganj,9,1,2025,17.3,17.3,22.6,13.2,78.8,0.0,11.2,1016.5,7.0,179.2,13.3
Kishoreganj,10,1,2025,17.9,17.9,24.6,12.2,73.7,0.0,9.4,1017.9,7.0,188.5,12.7
Kishoreganj,11,1,2025,19.1,19.1,26.8,12.4,71.4,0.0,9.4,1017.5,7.0,184.4,13.0
Kishoreganj,12,1,2025,20.7,20.7,28.4,13.3,66.9,0.0,9.4,1016.5,7.0,182.2,13.5
Kishoreganj,13,1,2025,20.7,20.7,26.8,15.0,69.6,0.0,12.6,1014.2,7.0,178.8,14.4
Kishoreganj,14,1,2025,20.2,20.2,26.1,14.7,71.5,0.0,13.7,1016.7,7.0,188.1,14.4
Kishoreganj,15,1,2025,20.0,20.0,26.6,14.6,73.0,0.0,13.0,1017.1,7.0,190.9,14.4
Kishoreganj,16,1,2025,20.2,20.2,27.7,15.0,73.0,0.0,11.2,1016.6,7.0,192.2,14.5
Kishoreganj,17,1,2025,20.6,20.6,27.2,15.2,70.6,0.0,14.8,1015.4,7.0,186.7,14.4
Kishoreganj,18,1,2025,20.3,20.3,26.8,14.8,73.9,0.0,13.0,1014.9,7.0,186.9,14.9
Kishoreganj,19,1,2025,19.7,19.7,26.0,14.4,66.8,0.0,13.7,1013.5,7.0,196.0,12.9
Kishoreganj,20,1,2025,19.1,19.1,25.4,13.8,71.7,0.0,9.4,1012.0,7.0,196.8,13.5
Kishoreganj,21,1,2025,18.7,18.7,24.5,13.6,77.5,0.0,13.0,1011.4,7.0,178.2,14.4
Kishoreganj,22,1,2025,18.9,18.9,24.4,14.2,84.2,0.0,11.2,1012.4,7.0,175.8,16.0
Kishoreganj,23,1,2025,17.1,17.1,21.6,14.0,85.0,0.0,11.2,1013.2,7.0,183.8,14.4
Kishoreganj,24,1,2025,17.0,17.0,22.4,13.6,86.9,0.0,8.3,1013.1,7.0,180.6,14.7
Kishoreganj,25,1,2025,19.3,19.3,24.5,15.6,73.7,0.0,11.2,1013.7,6.0,161.1,14.0
Kishoreganj,26,1,2025,18.6,18.6,24.0,12.5,72.4,0.0,12.2,1012.9,7.0,202.8,13.1
Kishoreganj,27,1,2025,18.9,18.9,24.9,13.0,76.2,0.0,9.4,1010.8,7.0,188.1,14.2
