district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Kurigram,1,1,2025,15.2,15.2,20.1,11.5,96.3,0.0,13.0,1015.6,7.0,134.9,14.6
Kurigram,2,1,2025,15.4,15.4,22.1,11.5,93.3,0.0,9.0,1016.0,6.0,138.2,14.2
Kurigram,3,1,2025,16.5,16.5,26.1,9.8,89.2,0.0,9.4,1015.8,7.0,170.6,14.4
Kurigram,4,1,2025,19.3,19.4,27.0,13.4,81.6,0.0,7.9,1014.5,7.0,169.5,15.6
Kurigram,5,1,2025,20.0,20.0,27.1,13.5,76.9,0.0,9.7,1015.4,7.0,174.8,15.2
Kurigram,6,1,2025,20.4,20.5,28.1,14.2,78.4,0.0,10.1,1013.9,7.0,160.4,16.0
Kurigram,7,1,2025,20.3,20.3,26.1,13.8,79.2,0.1,9.7,1012.2,5.0,118.5,16.2
Kurigram,8,1,2025,16.7,16.7,18.4,13.2,90.4,0.1,11.2,1014.6,5.0,112.4,15.1
Kurigram,9,1,2025,16.5,16.5,22.1,12.0,86.7,0.0,7.6,1017.4,7.0,161.6,14.0
Kurigram,10,1,2025,17.8,17.8,25.1,11.3,82.1,0.0,9.4,1018.6,7.0,156.7,14.2
Kurigram,11,1,2025,18.6,18.6,26.1,10.4,79.3,0.0,11.2,1018.3,7.0,181.3,14.5
Kurigram,12,1,2025,19.0,19.0,27.1,10.7,81.4,0.0,9.4,1017.5,6.0,158.2,15.4
Kurigram,13,1,2025,19.1,19.1,26.1,13.5,83.0,0.0,8.3,1014.8,5.0,143.5,15.7
Kurigram,14,1,2025,18.5,18.5,25.5,12.1,84.6,0.0,10.1,1017.7,7.0,180.9,15.6
Kurigram,15,1,2025,18.7,18.7,26.1,11.8,79.9,0.0,10.1,1018.6,7.0,182.2,14.6
Kurigram,16,1,2025,19.5,19.5,26.6,12.3,77.3,0.0,9.4,1017.6,7.0,176.5,14.9
Kurigram,17,1,2025,18.8,18.8,25.1,14.3,84.1,0.0,8.6,1016.3,6.0,146.1,15.8
Kurigram,18,1,2025,19.2,19.2,25.8,14.4,79.7,0.0,9.4,1015.5,7.0,189.6,15.1
Kurigram,19,1,2025,17.8,17.8,26.1,10.0,82.5,0.0,9.4,1014.0,7.0,192.2,14.4
Kurigram,20,1,2025,17.7,17.7,26.1,11.6,86.3,0.0,13.0,1012.2,7.0,179.0,15.1
Kurigram,21,1,2025,17.2,17.2,23.1,12.2,91.2,0.0,8.3,1011.8,6.0,138.8,15.7
Kurigram,22,1,2025,16.4,16.4,21.1,12.7,95.0,0.0,9.4,1012.8,6.0,141.1,15.6
Kurigram,23,1,2025,16.7,16.7,19.4,13.0,92.6,0.0,7.6,1013.7,6.0,122.9,15.5
Kurigram,24,1,2025,16.0,16.0,18.1,14.7,93.2,0.0,7.6,1013.1,6.0,149.6,14.9
Kurigram,25,1,2025,16.8,16.8,21.5,11.7,89.3,0.0,5.4,1014.1,7.0,142.2,14.9
Kurigram,26,1,2025,17.7,17.7,24.1,11.6,86.6,0.0,6.8,1013.5,7.0,167.1,15.1
Kurigram,27,1,2025,18.6,18.6,26.1,11.8,85.5,0.0,9.0,1010.9,7.0,177.7,15.8
Kurigram,28,1,2025,18.3,18.3,24.5,12.4,86.8,0.2,7.6,1012.6,6.0,151.4,15.8
Kurigram,29,1,2025,18.5,18.5,24.5,11.6,84.5,0.0,9.4,1015.0,6.0,163.9,15.5
Kurigram,30,1,2025,18.7,18.7,24.1,11.1,84.9,0.2,7.9,1011.2,6.0,155.7,15.9
Kurigram,31,1,2025,19.3,19.3,24.6,14.6,87.9,0.0,8.3,1011.3,7.0,188.2,17.0
Kurigram,1,2,2025,18.5,18.5,23.5,13.3,89.4,0.0,9.0,1012.8,7.0,183.9,16.5
Kurigram,2,2,2025,18.4,18.4,24.1,13.2,89.1,0.0,8.6,1012.4,7.0,178.8,16.4
Kurigram,3,2,2025,18.8,18.8,24.1,14.2,88.8,0.0,9.4,1013.1,7.0,175.3,16.7
Kurigram,4,2,2025,19.4,19.4,26.1,12.9,81.5,0.0,8.3,1012.7,7.0,164.2,15.7
Kurigram,5,2,2025,19.9,19.9,26.1,13.8,86.1,0.0,9.4,1010.7,7.0,151.9,17.2
Kurigram,6,2,2025,20.1,20.1,26.3,15.2,87.8,0.0,8.6,1011.4,7.0,188.7,17.9
