district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Lakshmipur,1,1,2025,18.4,18.4,22.5,16.1,88.6,0.0,23.5,1014.6,7.0,176.1,16.4
Lakshmipur,2,1,2025,17.0,17.0,20.5,15.7,90.4,0.0,12.2,1015.0,7.0,163.1,15.4
Lakshmipur,3,1,2025,16.9,16.9,21.0,15.2,89.6,0.0,10.1,1015.3,7.0,155.4,15.2
Lakshmipur,4,1,2025,17.7,17.7,22.6,15.2,90.9,0.0,5.0,1014.0,7.0,125.0,16.1
Lakshmipur,5,1,2025,19.2,19.2,26.2,14.5,88.7,0.0,7.9,1014.7,6.0,147.7,17.1
Lakshmipur,6,1,2025,20.7,20.7,28.2,15.7,85.3,0.0,8.3,1013.7,7.0,173.4,17.7
Lakshmipur,7,1,2025,20.4,20.4,26.1,16.3,82.0,0.0,10.4,1012.8,7.0,177.0,16.9
Lakshmipur,8,1,2025,18.3,18.3,21.4,16.2,88.7,0.1,11.2,1014.3,7.0,173.7,16.3
Lakshmipur,9,1,2025,17.8,17.8,23.5,14.4,81.9,0.0,12.2,1016.8,7.0,194.4,14.4
Lakshmipur,10,1,2025,18.1,18.1,25.5,13.3,80.4,0.0,10.1,1018.1,7.0,196.4,14.3
Lakshmipur,11,1,2025,19.0,19.0,27.2,13.5,78.6,0.0,9.7,1017.8,7.0,199.2,14.6
Lakshmipur,12,1,2025,20.0,20.0,28.0,13.6,76.9,0.0,9.0,1016.9,7.0,195.9,15.2
Lakshmipur,13,1,2025,19.9,19.9,27.5,14.3,77.4,0.0,8.3,1014.9,7.0,196.0,15.1
Lakshmipur,14,1,2025,20.0,20.0,26.4,15.1,77.9,0.0,13.3,1016.9,7.0,196.2,15.6
Lakshmipur,15,1,2025,20.1,20.2,26.8,15.2,78.5,0.0,13.3,1017.3,7.0,195.0,15.9
Lakshmipur,16,1,2025,20.4,20.4,28.2,15.5,79.6,0.0,10.1,1016.8,7.0,199.0,16.3
Lakshmipur,17,1,2025,21.0,21.0,28.6,15.7,75.0,0.0,9.7,1015.7,7.0,200.0,15.8
Lakshmipur,18,1,2025,20.9,20.9,27.0,16.8,76.8,0.0,11.5,1015.0,7.0,198.3,16.2
Lakshmipur,19,1,2025,20.0,20.0,26.0,15.2,72.1,0.0,13.0,1013.9,8.0,204.6,14.2
Lakshmipur,20,1,2025,19.1,19.1,25.8,13.7,76.4,0.0,10.8,1012.3,8.0,205.2,14.4
Lakshmipur,21,1,2025,18.9,18.9,25.3,12.9,80.2,0.0,10.4,1011.8,7.0,203.7,15.1
Lakshmipur,22,1,2025,19.9,19.9,26.7,14.9,80.7,0.0,9.7,1012.6,7.0,203.8,16.1
Lakshmipur,23,1,2025,18.8,18.8,25.5,15.9,84.9,0.0,13.0,1013.4,8.0,207.2,16.0
Lakshmipur,24,1,2025,19.3,19.3,25.9,15.5,81.8,0.0,12.6,1012.9,7.0,196.7,15.8
Lakshmipur,25,1,2025,19.6,19.6,25.2,16.4,79.2,0.0,10.8,1013.7,6.0,139.7,15.5
Lakshmipur,26,1,2025,19.2,19.2,25.1,14.7,73.8,0.0,13.0,1013.0,8.0,212.0,13.8
Lakshmipur,27,1,2025,19.0,19.0,24.9,13.6,79.3,0.0,9.0,1011.1,8.0,206.5,14.9
Lakshmipur,28,1,2025,19.4,19.4,26.1,14.2,77.8,0.0,6.8,1012.9,7.0,203.6,14.8
Lakshmipur,29,1,2025,19.4,19.4,26.8,13.9,76.3,0.0,7.9,1015.2,8.0,211.7,14.4
Lakshmipur,30,1,2025,21.0,21.1,26.8,14.8,79.9,0.1,15.1,1012.1,6.0,145.0,17.1
