district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Lalmonirhat,1,1,2025,15.3,15.3,20.1,11.9,95.1,0.0,13.0,1015.6,7.0,137.6,14.5
Lalmonirhat,2,1,2025,15.4,15.4,22.1,11.8,92.2,0.0,9.7,1016.1,6.0,154.7,14.0
Lalmonirhat,3,1,2025,16.5,16.5,26.1,9.9,87.6,0.0,9.4,1015.9,6.0,170.0,14.1
Lalmonirhat,4,1,2025,19.1,19.2,27.4,13.5,80.2,0.0,9.0,1014.7,7.0,172.0,15.2
Lalmonirhat,5,1,2025,19.6,19.7,27.1,13.2,74.4,0.0,10.4,1015.6,7.0,174.8,14.5
Lalmonirhat,6,1,2025,20.4,20.4,28.1,14.5,74.6,0.0,10.8,1014.2,7.0,162.8,15.2
Lalmonirhat,7,1,2025,20.1,20.1,26.2,14.2,76.0,0.0,13.3,1012.3,5.0,125.5,15.3
Lalmonirhat,8,1,2025,16.8,16.8,18.2,13.8,88.5,0.0,14.0,1014.6,5.0,113.6,14.8
Lalmonirhat,9,1,2025,16.7,16.7,22.2,11.7,83.8,0.0,7.2,1017.5,7.0,151.7,13.7
Lalmonirhat,10,1,2025,17.6,17.6,25.1,11.7,80.6,0.0,9.4,1018.7,7.0,169.5,13.7
Lalmonirhat,11,1,2025,18.3,18.3,26.1,11.1,76.9,0.0,11.2,1018.6,7.0,183.3,13.7
Lalmonirhat,12,1,2025,18.9,18.9,27.1,12.0,79.6,0.0,11.9,1017.7,6.0,145.0,14.9
Lalmonirhat,13,1,2025,19.0,19.0,26.1,14.0,81.6,0.6,8.6,1014.8,5.0,137.3,15.3
Lalmonirhat,14,1,2025,18.6,18.6,25.5,12.7,82.5,0.0,8.3,1017.8,7.0,175.5,15.2
Lalmonirhat,15,1,2025,18.6,18.6,26.1,12.5,79.0,0.0,9.7,1018.7,7.0,185.3,14.4
Lalmonirhat,16,1,2025,18.9,18.9,26.6,12.1,78.2,0.0,9.4,1017.7,6.0,173.4,14.5
Lalmonirhat,17,1,2025,18.6,18.6,25.1,14.3,81.7,0.0,7.6,1016.4,6.0,137.1,15.2
Lalmonirhat,18,1,2025,19.0,19.0,25.9,14.3,78.7,0.0,7.9,1015.6,7.0,188.6,14.8
Lalmonirhat,19,1,2025,17.9,17.9,26.1,10.5,80.1,0.0,8.3,1014.2,7.0,190.0,14.1
Lalmonirhat,20,1,2025,17.9,17.9,26.1,12.0,84.6,0.0,13.0,1012.2,7.0,177.1,14.9
Lalmonirhat,21,1,2025,17.1,17.1,23.1,12.3,88.9,0.0,9.4,1011.8,6.0,151.4,15.1
Lalmonirhat,22,1,2025,16.2,16.2,21.1,13.0,93.5,0.0,9.4,1012.9,6.0,142.0,15.1
Lalmonirhat,23,1,2025,16.6,16.6,19.9,13.5,91.3,0.4,7.6,1013.7,6.0,122.8,15.1
Lalmonirhat,24,1,2025,16.0,16.0,18.1,14.5,91.6,0.0,7.6,1013.2,6.0,126.7,14.6
Lalmonirhat,25,1,2025,16.2,16.2,21.1,11.8,89.6,0.0,6.8,1014.2,7.0,142.0,14.4
