district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Madaripur,1,1,2025,16.8,16.8,23.0,15.0,90.2,0.0,14.8,1014.7,7.0,169.5,15.1
Madaripur,2,1,2025,14.5,14.5,18.5,11.1,91.6,0.0,14.8,1015.4,7.0,156.6,13.1
Madaripur,3,1,2025,15.3,15.3,17.1,13.6,90.9,0.0,11.2,1015.6,6.0,152.4,13.8
Madaripur,4,1,2025,17.6,17.6,22.0,13.0,84.5,0.2,9.4,1014.1,7.0,121.5,14.8
Madaripur,5,1,2025,19.8,19.7,28.0,13.1,78.5,0.0,13.0,1014.6,7.0,150.3,15.3
Madaripur,6,1,2025,21.2,21.2,28.0,13.4,75.0,0.0,11.2,1013.6,7.0,171.5,15.9
Madaripur,7,1,2025,20.4,20.4,26.0,13.7,73.4,0.0,14.8,1012.6,7.0,168.4,14.9
Madaripur,8,1,2025,17.6,17.6,21.0,14.4,82.0,0.0,16.6,1014.3,7.0,166.1,14.3
Madaripur,9,1,2025,17.2,17.2,22.2,12.4,74.7,0.0,14.8,1016.8,7.0,193.7,12.3
Madaripur,10,1,2025,17.9,17.9,25.0,12.0,71.1,0.0,9.4,1018.0,7.0,195.9,11.9
Madaripur,11,1,2025,18.9,18.9,26.0,11.1,69.9,0.0,9.4,1017.6,7.0,197.1,12.3
Madaripur,12,1,2025,20.0,19.9,28.0,11.9,67.0,0.0,9.4,1016.6,7.0,195.3,12.7
Madaripur,13,1,2025,20.0,20.0,26.0,12.6,70.3,0.0,11.2,1014.6,7.0,189.5,13.7
Madaripur,14,1,2025,20.2,20.2,26.0,13.7,70.6,0.0,13.0,1017.0,7.0,191.4,14.1
Madaripur,15,1,2025,20.0,20.0,26.0,14.1,72.8,0.0,13.0,1017.3,7.0,193.0,14.2
Madaripur,16,1,2025,20.1,20.1,27.0,14.5,72.8,0.0,11.2,1016.8,7.0,198.5,14.2
Madaripur,17,1,2025,20.5,20.4,27.0,14.6,71.0,0.0,14.8,1015.8,7.0,196.8,14.2
Madaripur,18,1,2025,20.2,20.2,26.2,15.6,72.7,0.0,13.0,1015.1,7.0,195.1,14.4
Madaripur,19,1,2025,19.5,19.5,25.0,13.5,65.1,0.0,13.0,1013.9,8.0,205.2,11.9
Madaripur,20,1,2025,18.4,18.4,24.0,11.9,71.8,0.0,9.4,1012.4,7.0,202.8,12.7
Madaripur,21,1,2025,18.6,18.6,24.7,11.7,76.2,0.0,14.8,1011.7,7.0,201.3,13.8
Madaripur,22,1,2025,19.0,19.0,25.7,13.6,84.4,0.0,11.2,1012.5,7.0,201.7,16.0
Madaripur,23,1,2025,17.2,17.2,23.7,13.7,83.5,0.0,11.2,1013.4,7.0,202.8,14.2
Madaripur,24,1,2025,17.4,17.4,23.1,14.0,84.2,0.0,7.6,1013.2,7.0,184.3,14.5
Madaripur,25,1,2025,19.2,19.2,25.0,13.9,71.3,0.0,13.0,1013.7,5.0,133.9,13.2
Madaripur,26,1,2025,18.8,18.8,24.7,13.1,70.1,0.0,13.0,1013.0,8.0,211.5,12.6
Madaripur,27,1,2025,18.7,18.7,24.1,13.0,75.1,0.0,11.2,1011.3,8.0,207.1,13.7
Madaripur,28,1,2025,19.3,19.3,26.0,12.1,67.2,0.0,11.2,1012.8,8.0,207.9,12.0
Madaripur,29,1,2025,19.5,19.5,26.1,12.7,66.3,0.0,9.4,1015.1,8.0,210.5,11.6
Madaripur,30,1,2025,21.0,21.0,26.6,15.1,76.2,0.7,18.4,1011.4,5.0,147.3,16.4
Madaripur,31,1,2025,23.1,23.3,27.0,20.4,84.7,1.9,14.8,1011.0,4.0,113.7,20.2
Madaripur,1,2,2025,22.9,23.0,27.0,19.0,83.6,0.2,11.2,1012.0,7.0,169.1,19.8
Madaripur,2,2,2025,23.0,23.2,28.0,19.0,78.9,0.0,11.2,1011.9,7.0,176.4,18.8
Madaripur,3,2,2025,22.3,22.3,28.1,18.2,71.7,0.0,14.8,1012.7,8.0,200.3,16.0
Madaripur,4,2,2025,20.8,20.8,27.0,13.6,66.7,0.0,11.2,1012.5,8.0,219.9,13.6
Madaripur,5,2,2025,21.8,21.7,28.0,15.1,71.4,0.0,9.4,1010.9,8.0,212.5,15.7
Madaripur,6,2,2025,22.6,22.8,29.0,16.6,69.6,0.0,13.0,1011.7,8.0,210.6,15.9
Madaripur,7,2,2025,20.4,20.4,26.1,13.6,55.6,0.0,13.0,1013.7,8.0,232.2,10.1
Madaripur,8,2,2025,19.8,19.8,26.1,12.9,55.6,0.0,14.8,1014.1,8.0,232.3,9.2
Madaripur,9,2,2025,19.7,19.7,26.0,11.6,57.7,0.0,13.0,1013.1,8.0,230.0,10.1
Madaripur,10,2,2025,20.5,20.4,27.6,12.4,61.6,0.0,13.0,1013.4,8.0,229.3,11.8
Madaripur,11,2,2025,22.4,22.5,28.9,16.1,72.9,0.0,13.0,1012.3,7.0,211.4,16.8
Madaripur,12,2,2025,23.8,24.1,29.1,20.0,78.0,0.7,11.2,1012.2,6.0,154.2,19.4
Madaripur,13,2,2025,25.0,25.4,30.0,21.9,74.0,0.0,13.0,1011.1,8.0,161.7,19.5
Madaripur,14,2,2025,22.1,22.1,27.1,17.2,55.9,0.0,14.8,1011.7,8.0,238.0,11.6
Madaripur,15,2,2025,21.7,21.4,28.0,14.1,52.5,0.0,13.0,1011.8,8.0,235.5,9.8
Madaripur,16,2,2025,22.7,22.5,30.0,16.1,61.5,0.0,11.2,1011.9,8.0,229.6,13.6
Madaripur,17,2,2025,24.0,24.1,30.0,19.0,70.9,0.0,9.4,1013.6,8.0,217.2,17.8
Madaripur,18,2,2025,24.4,24.8,29.4,19.1,74.9,1.1,11.2,1013.1,8.0,220.7,19.3
Madaripur,19,2,2025,24.6,24.6,29.0,20.1,66.6,0.0,14.8,1012.6,7.0,193.1,17.2
Madaripur,20,2,2025,24.2,24.1,29.0,18.6,68.3,0.6,9.4,1014.0,8.0,208.7,17.0
