district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Magura,1,1,2025,17.2,17.2,23.9,13.6,85.3,0.0,11.2,1015.3,7.0,151.6,14.6
Magura,2,1,2025,15.5,15.5,19.7,12.0,86.8,0.0,13.0,1015.7,7.0,165.4,13.3
Magura,3,1,2025,15.9,15.9,21.6,11.6,86.0,0.0,10.8,1015.6,6.0,142.2,13.4
Magura,4,1,2025,16.4,16.4,22.6,12.4,89.1,0.0,7.2,1014.4,6.0,132.3,14.5
Magura,5,1,2025,18.1,18.1,26.0,13.3,86.5,0.0,9.7,1014.8,7.0,179.1,15.6
Magura,6,1,2025,19.0,19.1,27.3,13.6,82.5,0.0,9.0,1013.7,7.0,175.0,15.5
Magura,7,1,2025,18.7,18.7,26.1,13.6,82.0,0.0,9.7,1012.6,6.0,144.4,15.2
Magura,8,1,2025,17.2,17.2,22.0,14.2,83.7,0.0,12.6,1014.6,7.0,188.8,14.3
Magura,9,1,2025,16.1,16.1,22.5,11.3,80.0,0.0,11.5,1017.3,7.0,193.6,12.3
Magura,10,1,2025,16.3,16.3,24.3,10.5,79.7,0.0,9.0,1018.4,7.0,194.6,12.4
Magura,11,1,2025,17.1,17.1,25.8,11.2,79.7,0.0,9.7,1018.0,7.0,193.2,13.0
Magura,12,1,2025,18.8,18.7,27.5,11.9,74.7,0.0,8.6,1017.1,7.0,193.7,13.4
Magura,13,1,2025,18.7,18.7,26.2,12.5,78.3,0.0,9.0,1015.0,7.0,185.8,14.4
Magura,14,1,2025,18.7,18.7,25.9,12.7,81.4,0.0,11.2,1017.3,7.0,185.4,15.1
Magura,15,1,2025,18.3,18.3,25.6,13.0,79.5,0.0,12.6,1018.1,7.0,189.5,14.4
Magura,16,1,2025,18.4,18.4,26.2,13.4,80.9,0.0,10.4,1017.4,7.0,196.9,14.8
Magura,17,1,2025,18.5,18.5,26.3,13.5,81.1,0.0,9.0,1016.3,7.0,192.3,14.8
Magura,18,1,2025,18.8,18.8,26.3,13.8,80.2,0.0,10.4,1015.5,7.0,192.1,15.0
Magura,19,1,2025,18.1,18.1,25.7,13.0,74.2,0.0,11.2,1014.5,8.0,204.6,12.8
Magura,20,1,2025,17.3,17.3,24.3,11.8,79.4,0.0,10.8,1012.6,7.0,201.3,13.3
Magura,21,1,2025,17.8,17.8,25.6,12.0,82.0,0.0,10.8,1011.8,7.0,200.5,14.3
Magura,22,1,2025,18.1,18.1,24.9,13.6,85.1,0.0,9.4,1012.9,7.0,199.7,15.3
Magura,23,1,2025,17.0,17.0,23.1,13.3,88.1,0.0,12.6,1013.6,7.0,187.5,14.9
Magura,24,1,2025,17.3,17.3,23.3,13.0,88.1,0.0,11.9,1013.0,7.0,175.9,15.1
Magura,25,1,2025,18.5,18.5,25.1,13.1,81.6,0.0,6.8,1014.0,4.0,121.7,15.0
Magura,26,1,2025,17.8,17.8,25.2,11.7,74.9,0.0,10.1,1013.5,8.0,211.6,12.5
Magura,27,1,2025,17.5,17.5,25.0,12.3,78.2,0.0,10.1,1011.3,7.0,202.5,13.2
Magura,28,1,2025,17.8,17.8,26.5,12.3,76.5,0.0,9.4,1012.9,8.0,209.8,13.0
Magura,29,1,2025,18.7,18.7,27.2,12.6,75.2,0.0,9.7,1015.1,8.0,208.3,13.6
Magura,30,1,2025,21.2,21.3,27.1,15.1,84.1,1.8,15.1,1011.3,5.0,140.1,18.3
Magura,31,1,2025,22.8,22.9,28.0,20.2,85.9,0.0,11.9,1011.1,6.0,148.9,20.1
Magura,1,2,2025,22.4,22.5,27.5,19.1,87.7,0.7,7.9,1012.0,6.0,164.3,20.1
Magura,2,2,2025,22.2,22.3,28.2,18.9,84.7,0.0,11.9,1012.0,7.0,195.3,19.3
Magura,3,2,2025,21.9,21.8,29.0,17.5,72.5,0.0,8.6,1012.9,8.0,217.9,16.0
Magura,4,2,2025,20.2,20.1,27.3,14.1,73.5,0.0,12.6,1012.8,8.0,218.1,14.7
Magura,5,2,2025,21.0,20.9,29.0,14.6,74.7,0.0,8.3,1011.0,8.0,212.8,15.7
Magura,6,2,2025,21.6,21.6,29.8,16.1,75.5,0.0,10.4,1011.8,8.0,216.2,16.5
Magura,7,2,2025,19.3,19.2,27.3,12.8,67.0,0.0,9.0,1014.0,8.0,230.8,12.0
Magura,8,2,2025,18.4,18.4,26.4,12.0,68.8,0.0,10.1,1014.4,8.0,229.9,11.5
Magura,9,2,2025,18.5,18.5,26.5,12.0,70.3,0.0,10.4,1013.5,8.0,228.3,12.2
Magura,10,2,2025,20.2,20.1,29.3,12.2,68.0,0.0,8.6,1013.5,8.0,228.4,13.2
Magura,11,2,2025,21.8,21.8,30.0,15.9,79.2,0.0,14.4,1012.4,7.0,195.6,17.5
Magura,12,2,2025,22.7,22.9,30.2,16.8,80.4,0.1,8.6,1012.2,7.0,184.5,18.7
Magura,13,2,2025,23.7,24.0,30.4,17.2,78.3,0.0,11.2,1011.4,8.0,188.9,19.2
Magura,14,2,2025,20.8,20.7,28.2,14.6,62.4,0.0,11.8,1012.1,8.0,238.7,12.2
Magura,15,2,2025,20.6,20.5,29.1,13.2,65.5,0.0,9.7,1011.8,8.0,235.2,12.8
Magura,16,2,2025,22.0,21.9,31.3,14.1,69.6,0.0,10.8,1011.8,8.0,232.7,15.2
Magura,17,2,2025,23.3,23.6,30.5,17.7,81.1,0.9,9.4,1013.6,8.0,210.8,19.5
Magura,18,2,2025,23.8,24.2,30.1,19.7,83.0,1.0,7.6,1013.1,8.0,212.4,20.4
Magura,19,2,2025,23.4,23.5,29.3,18.1,76.4,0.0,7.6,1012.6,7.0,190.8,18.4
Magura,20,2,2025,22.2,22.3,27.4,17.9,85.9,5.4,7.9,1014.0,7.0,172.7,19.5
Magura,21,2,2025,23.2,23.6,30.6,17.1,78.6,0.0,8.3,1014.2,8.0,217.0,18.7
Magura,22,2,2025,23.4,23.8,30.3,18.1,80.9,0.9,7.6,1014.6,8.0,212.6,19.6
Magura,23,2,2025,23.2,23.3,28.2,18.6,78.5,5.8,7.9,1015.7,7.0,199.0,19.0
Magura,24,2,2025,23.3,23.4,30.8,18.5,74.1,0.1,8.6,1016.8,8.0,216.6,17.9
Magura,25,2,2025,23.4,23.4,30.4,16.8,72.9,0.1,9.0,1017.8,7.0,194.5,17.7
Magura,26,2,2025,23.0,22.9,30.4,16.4,70.0,0.0,11.9,1017.7,9.0,249.3,16.4
Magura,27,2,2025,23.0,22.9,30.3,16.7,70.4,0.0,12.2,1015.2,9.0,225.5,16.6
Magura,28,2,2025,24.2,24.5,31.6,18.7,73.1,0.0,9.4,1013.9,8.0,230.7,18.5
Magura,1,3,2025,25.8,26.6,33.4,19.0,71.4,0.0,12.6,1011.1,9.0,238.9,19.7
Magura,2,3,2025,26.6,27.2,33.1,21.2,70.9,0.4,14.0,1008.4,9.0,244.2,20.3
Magura,3,3,2025,26.2,26.0,32.9,21.0,62.9,0.0,8.3,1009.8,7.0,203.5,17.5
Magura,4,3,2025,24.8,24.5,32.4,18.8,60.4,0.0,12.6,1010.0,9.0,262.9,15.2
Magura,5,3,2025,24.5,24.3,31.8,19.4,56.0,0.0,13.0,1009.2,9.0,254.7,14.2
Magura,6,3,2025,22.6,22.4,29.7,15.8,55.5,0.0,9.4,1011.4,9.0,268.6,12.3
Magura,7,3,2025,22.4,22.1,30.2,14.3,58.8,0.0,11.5,1009.7,9.0,269.8,12.7
Magura,8,3,2025,23.5,23.7,31.9,15.4,67.7,0.0,13.3,1009.0,9.0,247.9,16.4
Magura,9,3,2025,25.1,25.8,32.7,19.1,76.0,0.0,8.6,1012.7,9.0,227.8,20.0
Magura,10,3,2025,26.2,26.9,33.9,20.1,70.5,0.0,7.9,1014.7,9.0,244.1,19.8
Magura,11,3,2025,26.4,26.5,34.3,20.5,65.0,0.0,16.9,1012.3,9.0,260.7,18.2
Magura,12,3,2025,26.7,27.0,34.8,19.3,63.1,0.0,11.9,1008.8,9.0,238.6,18.2
Magura,13,3,2025,28.0,29.2,36.0,22.4,69.8,0.0,14.4,1006.6,9.0,254.3,21.2
Magura,14,3,2025,28.7,31.6,35.3,24.4,75.6,0.1,16.6,1008.1,9.0,254.8,23.5
Magura,15,3,2025,29.2,32.7,35.7,25.5,76.4,0.2,13.3,1009.7,9.0,241.4,24.2
Magura,16,3,2025,29.2,32.4,36.6,25.0,75.7,7.0,15.1,1009.2,9.0,257.3,24.0
Magura,17,3,2025,27.7,29.2,33.7,23.4,72.6,1.8,13.3,1008.6,9.0,232.0,21.9
Magura,18,3,2025,27.7,27.8,34.5,22.6,62.7,0.0,11.2,1009.6,9.0,272.2,18.7
Magura,19,3,2025,27.4,27.7,35.1,19.7,60.4,0.0,7.9,1012.6,9.0,276.6,17.8
Magura,20,3,2025,26.1,27.0,28.6,23.3,79.0,0.1,18.0,1014.1,8.0,226.2,22.0
Magura,21,3,2025,24.6,24.8,27.6,22.1,71.7,0.6,19.8,1015.5,8.0,196.0,19.0
Magura,22,3,2025,23.6,23.6,26.6,21.1,74.7,1.8,11.9,1015.2,5.0,135.5,18.7
