district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Meherpur,1,1,2025,16.7,16.7,22.4,12.3,83.4,0.0,11.2,1015.7,7.0,146.9,13.7
Meherpur,2,1,2025,15.0,15.0,20.7,10.1,84.9,0.0,12.2,1016.1,7.0,171.5,12.4
Meherpur,3,1,2025,15.8,15.8,22.2,11.5,84.7,0.0,10.4,1015.7,7.0,144.1,13.1
Meherpur,4,1,2025,17.1,17.1,22.7,13.4,86.0,0.0,11.2,1014.4,6.0,123.5,14.7
Meherpur,5,1,2025,18.5,18.5,26.0,12.6,84.3,0.0,10.8,1014.8,6.0,169.3,15.6
Meherpur,6,1,2025,19.0,19.0,26.4,13.9,82.9,0.0,9.0,1013.7,7.0,178.5,15.7
Meherpur,7,1,2025,18.7,18.7,25.7,13.0,82.2,0.0,14.0,1012.7,5.0,129.5,15.3
Meherpur,8,1,2025,16.9,16.9,21.0,13.6,83.3,0.0,14.0,1015.0,7.0,191.1,13.9
Meherpur,9,1,2025,15.5,15.5,21.6,10.7,79.5,0.0,10.8,1017.6,7.0,193.3,11.6
Meherpur,10,1,2025,15.7,15.7,23.3,9.4,80.3,0.0,10.1,1018.8,7.0,192.9,12.0
Meherpur,11,1,2025,17.0,17.0,24.9,10.8,82.0,0.0,8.6,1018.1,7.0,188.4,13.4
Meherpur,12,1,2025,18.0,18.0,26.4,10.9,78.4,0.0,8.3,1017.3,7.0,189.3,13.6
Meherpur,13,1,2025,18.9,18.9,25.8,12.1,77.9,0.0,9.7,1015.1,7.0,183.7,14.6
Meherpur,14,1,2025,18.4,18.4,24.8,13.0,81.4,0.0,12.2,1017.7,7.0,180.2,14.9
Meherpur,15,1,2025,17.8,17.8,24.1,12.0,78.7,0.0,11.9,1018.5,7.0,187.5,13.7
Meherpur,16,1,2025,17.9,17.9,24.9,12.1,81.9,0.0,10.8,1017.7,7.0,189.5,14.4
Meherpur,17,1,2025,18.2,18.2,25.4,13.0,81.3,0.0,10.8,1016.6,7.0,175.2,14.6
Meherpur,18,1,2025,18.3,18.3,25.5,12.3,80.2,0.0,10.4,1016.0,7.0,193.5,14.4
Meherpur,19,1,2025,17.6,17.6,24.8,11.2,75.4,0.0,10.8,1014.6,7.0,203.1,12.5
Meherpur,20,1,2025,17.0,17.0,23.6,10.1,77.6,0.0,11.9,1012.7,7.0,201.6,12.7
Meherpur,21,1,2025,18.2,18.2,25.3,11.5,81.4,0.0,10.4,1011.9,7.0,197.6,14.6
Meherpur,22,1,2025,17.3,17.3,23.9,13.2,86.7,0.0,9.7,1013.0,7.0,195.3,14.9
Meherpur,23,1,2025,16.7,16.7,23.1,12.9,88.6,0.0,9.7,1013.8,7.0,181.4,14.7
Meherpur,24,1,2025,16.8,16.8,22.3,12.6,88.5,0.0,9.0,1013.1,7.0,179.1,14.8
Meherpur,25,1,2025,17.9,17.9,24.4,12.8,82.1,0.0,10.1,1014.0,6.0,136.5,14.5
Meherpur,26,1,2025,17.0,17.0,24.4,10.4,76.7,0.0,9.7,1013.7,8.0,208.4,12.4
Meherpur,27,1,2025,17.4,17.4,24.2,11.0,76.1,0.0,9.4,1011.7,7.0,198.7,12.6
Meherpur,28,1,2025,17.3,17.3,26.0,11.0,77.7,0.0,9.4,1013.0,7.0,208.2,12.8
Meherpur,29,1,2025,18.2,18.2,26.7,11.1,75.8,0.0,8.3,1015.0,8.0,204.0,13.3
Meherpur,30,1,2025,20.8,20.9,27.4,15.3,85.3,0.8,15.8,1011.1,5.0,142.6,18.1
Meherpur,31,1,2025,22.1,22.2,28.0,19.0,83.5,0.0,7.9,1011.0,8.0,184.6,18.9
Meherpur,1,2,2025,21.5,21.7,27.8,17.7,82.6,0.1,7.6,1012.1,7.0,176.0,18.3
