district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Munshiganj,1,1,2025,16.5,16.5,18.5,15.0,90.1,0.0,14.8,1014.5,7.0,171.2,14.8
Munshiganj,2,1,2025,14.7,14.7,15.4,14.0,92.5,0.0,14.8,1015.2,7.0,158.5,13.4
Munshiganj,3,1,2025,15.4,15.4,17.1,13.9,90.7,0.0,11.2,1015.4,7.0,162.4,13.8
Munshiganj,4,1,2025,18.0,18.0,22.3,13.0,83.0,0.0,9.4,1013.8,7.0,136.0,15.0
Munshiganj,5,1,2025,20.6,20.6,28.0,15.0,75.2,0.0,13.0,1014.3,6.0,147.1,15.4
Munshiganj,6,1,2025,22.1,22.1,28.5,16.0,71.5,0.0,11.2,1013.2,7.0,167.2,15.9
Munshiganj,7,1,2025,21.3,21.3,26.0,17.0,66.7,0.0,14.8,1012.2,7.0,172.8,14.3
Munshiganj,8,1,2025,18.0,18.0,21.0,16.0,78.8,0.0,16.6,1014.0,6.0,163.8,14.1
Munshiganj,9,1,2025,17.7,17.7,22.4,14.0,69.9,0.0,14.8,1016.6,7.0,190.9,11.9
Munshiganj,10,1,2025,18.7,18.7,25.0,13.0,64.5,0.0,9.4,1017.9,7.0,193.9,11.3
Munshiganj,11,1,2025,19.6,19.6,26.4,13.0,63.8,0.0,9.4,1017.5,7.0,194.8,11.4
Munshiganj,12,1,2025,21.0,20.9,28.0,14.9,60.3,0.0,9.4,1016.4,7.0,192.9,12.2
Munshiganj,13,1,2025,21.0,21.0,26.2,15.0,63.4,0.0,11.2,1014.3,7.0,187.0,13.1
Munshiganj,14,1,2025,21.0,21.0,26.3,16.0,64.6,0.0,13.0,1016.7,7.0,190.4,13.5
Munshiganj,15,1,2025,20.6,20.6,26.3,16.0,67.2,0.0,13.0,1017.1,7.0,191.9,13.6
Munshiganj,16,1,2025,20.7,20.7,27.4,15.0,67.0,0.0,11.2,1016.6,7.0,196.6,13.4
Munshiganj,17,1,2025,21.4,21.3,27.2,16.0,63.5,0.0,14.8,1015.5,7.0,194.8,13.4
Munshiganj,18,1,2025,21.0,21.0,26.4,16.0,66.8,0.0,13.0,1014.9,7.0,192.8,13.8
Munshiganj,19,1,2025,20.0,20.0,25.2,15.9,58.8,0.0,13.0,1013.5,7.0,202.3,11.1
Munshiganj,20,1,2025,19.3,19.3,24.4,14.9,66.3,0.0,9.4,1012.0,7.0,200.3,12.4
Munshiganj,21,1,2025,19.2,19.2,24.1,14.0,71.6,0.0,14.8,1011.4,7.0,197.6,13.5
Munshiganj,22,1,2025,19.2,19.2,24.3,15.0,84.1,0.0,11.2,1012.3,7.0,197.6,16.3
Munshiganj,23,1,2025,17.5,17.5,22.0,14.0,80.1,0.0,11.2,1013.1,7.0,202.8,13.9
Munshiganj,24,1,2025,17.5,17.5,23.0,14.0,82.0,0.0,7.6,1012.9,7.0,184.9,14.2
Munshiganj,25,1,2025,19.8,19.8,25.1,16.0,65.8,0.0,13.0,1013.6,5.0,120.0,12.7
Munshiganj,26,1,2025,19.3,19.3,24.2,14.0,66.0,0.0,13.0,1012.9,8.0,209.4,12.3
Munshiganj,27,1,2025,19.4,19.4,24.2,15.0,70.6,0.0,11.2,1010.8,7.0,197.5,13.5
Munshiganj,28,1,2025,20.0,20.0,26.2,15.0,60.3,0.0,11.2,1012.5,7.0,191.8,11.1
Munshiganj,29,1,2025,20.3,20.3,26.4,15.0,56.4,0.0,9.4,1014.8,8.0,210.6,10.0
Munshiganj,30,1,2025,21.3,21.3,26.1,16.0,70.7,1.8,18.4,1011.0,5.0,143.2,15.7
Munshiganj,31,1,2025,23.3,23.6,27.2,21.0,82.1,0.9,14.8,1010.8,5.0,109.6,19.9
Munshiganj,1,2,2025,23.0,23.1,27.1,19.0,81.3,0.7,11.2,1011.9,7.0,166.9,19.4
Munshiganj,2,2,2025,23.2,23.3,28.1,19.0,75.9,0.0,11.2,1011.6,7.0,179.8,18.3
Munshiganj,3,2,2025,22.4,22.4,28.2,18.9,68.5,0.0,14.8,1012.5,8.0,199.5,15.2
Munshiganj,4,2,2025,21.4,21.4,26.4,16.0,59.9,0.0,11.2,1012.1,8.0,217.7,12.8
Munshiganj,5,2,2025,22.4,22.3,28.1,18.0,66.7,0.0,9.4,1010.5,8.0,210.4,15.2
Munshiganj,6,2,2025,23.2,23.1,29.2,18.0,61.5,0.0,13.0,1011.2,8.0,212.1,14.5
Munshiganj,7,2,2025,21.2,21.2,26.3,15.0,44.7,0.0,13.0,1013.4,8.0,230.5,7.9
Munshiganj,8,2,2025,20.7,20.7,26.4,16.0,44.0,0.0,14.8,1013.6,8.0,230.9,6.9
Munshiganj,9,2,2025,20.4,20.4,25.5,15.0,50.1,0.0,13.0,1012.8,8.0,227.9,8.8
Munshiganj,10,2,2025,21.2,21.1,28.2,15.0,57.3,0.0,13.0,1013.2,8.0,226.7,11.3
Munshiganj,11,2,2025,22.5,22.6,28.5,18.0,68.1,0.1,13.0,1012.1,7.0,208.4,15.8
Munshiganj,12,2,2025,23.7,24.0,28.4,19.9,75.5,0.1,11.2,1012.0,7.0,173.6,18.8
Munshiganj,13,2,2025,25.1,25.2,29.4,22.0,69.9,0.1,13.0,1010.9,8.0,156.6,18.6
Munshiganj,14,2,2025,22.5,22.4,27.5,18.0,48.8,0.0,14.8,1011.5,8.0,238.3,9.9
Munshiganj,15,2,2025,22.3,22.0,28.3,16.2,44.2,0.0,13.0,1011.6,8.0,234.5,8.1
Munshiganj,16,2,2025,23.2,22.8,30.0,17.0,54.5,0.0,11.2,1011.7,8.0,229.1,12.3
Munshiganj,17,2,2025,24.4,24.4,30.1,19.0,66.0,0.0,9.4,1013.2,8.0,220.4,16.9
Munshiganj,18,2,2025,24.9,25.4,29.4,21.0,71.8,1.5,11.2,1012.8,8.0,219.4,19.2
Munshiganj,19,2,2025,25.1,25.0,30.0,20.3,59.5,0.0,14.8,1012.3,7.0,193.8,15.9
Munshiganj,20,2,2025,24.9,24.6,30.2,20.1,60.8,0.0,9.4,1013.9,8.0,212.2,15.7
Munshiganj,21,2,2025,25.2,25.1,30.4,21.0,63.5,0.0,11.2,1013.6,8.0,223.7,16.9
Munshiganj,22,2,2025,23.7,23.9,29.0,20.0,69.7,0.6,23.5,1014.3,8.0,217.7,17.5
