district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Mymensingh,1,1,2025,17.4,17.4,22.0,15.5,89.8,0.0,12.6,1015.1,7.0,163.7,15.6
Mymensingh,2,1,2025,16.1,16.1,21.1,14.1,91.8,0.0,10.4,1015.5,7.0,160.9,14.7
Mymensingh,3,1,2025,17.2,17.2,23.4,12.9,88.3,0.0,7.5,1015.8,7.0,168.9,15.1
Mymensingh,4,1,2025,18.5,18.5,26.3,14.0,86.2,0.0,7.6,1014.4,7.0,173.6,15.8
Mymensingh,5,1,2025,20.0,20.0,28.3,14.1,78.6,0.0,7.9,1015.1,7.0,178.7,15.6
Mymensingh,6,1,2025,20.9,21.0,29.0,14.7,77.1,0.0,7.6,1013.9,7.0,174.9,16.2
Mymensingh,7,1,2025,20.6,20.6,26.9,16.7,79.6,0.2,9.0,1012.6,5.0,137.9,16.5
Mymensingh,8,1,2025,17.2,17.2,20.9,14.1,85.9,0.0,11.2,1014.6,6.0,167.4,14.7
Mymensingh,9,1,2025,17.0,17.0,23.6,12.2,83.5,0.0,7.6,1017.2,7.0,180.1,13.9
Mymensingh,10,1,2025,17.1,17.1,25.1,12.2,82.7,0.0,7.9,1018.3,7.0,187.4,13.7
Mymensingh,11,1,2025,18.3,18.3,26.5,11.1,77.5,0.0,9.0,1018.1,7.0,187.0,13.6
Mymensingh,12,1,2025,19.4,19.4,27.8,12.6,75.5,0.0,8.6,1017.3,7.0,182.5,14.3
Mymensingh,13,1,2025,19.4,19.4,26.9,14.1,79.9,0.0,6.8,1014.9,7.0,174.2,15.4
Mymensingh,14,1,2025,18.9,18.9,26.7,13.2,78.1,0.0,9.7,1017.4,7.0,186.1,14.5
Mymensingh,15,1,2025,19.2,19.2,27.0,13.6,79.1,0.0,7.9,1017.8,7.0,190.3,15.0
Mymensingh,16,1,2025,19.5,19.4,28.0,13.2,77.6,0.0,7.5,1017.3,7.0,191.5,14.8
Mymensingh,17,1,2025,19.2,19.2,27.5,14.1,79.6,0.0,8.3,1016.1,7.0,188.7,15.0
Mymensingh,18,1,2025,19.7,19.7,27.0,15.1,78.9,0.0,9.0,1015.3,7.0,181.9,15.5
Mymensingh,19,1,2025,19.2,19.2,26.7,14.1,71.0,0.0,10.4,1013.9,7.0,195.4,13.3
Mymensingh,20,1,2025,18.5,18.5,25.5,13.7,78.4,0.0,7.9,1012.3,7.0,193.9,14.4
Mymensingh,21,1,2025,17.7,17.7,24.3,13.0,84.5,0.0,6.8,1011.9,6.0,168.7,14.7
Mymensingh,22,1,2025,17.2,17.2,22.9,13.2,87.2,0.0,7.5,1013.1,7.0,169.5,14.9
Mymensingh,23,1,2025,16.8,16.8,21.0,14.3,87.3,0.0,8.3,1013.7,7.0,170.0,14.5
Mymensingh,24,1,2025,17.1,17.1,22.5,13.3,85.4,0.0,9.7,1013.4,7.0,175.2,14.4
Mymensingh,25,1,2025,17.9,17.9,24.3,14.3,78.9,0.0,12.2,1014.1,6.0,163.7,13.9
Mymensingh,26,1,2025,17.4,17.4,24.7,11.8,80.1,0.0,9.0,1013.4,7.0,200.3,13.6
Mymensingh,27,1,2025,18.5,18.5,25.6,13.1,80.3,0.0,7.2,1011.1,7.0,192.8,14.6
Mymensingh,28,1,2025,18.6,18.6,25.2,14.2,81.3,0.0,7.5,1012.7,6.0,150.0,15.0
Mymensingh,29,1,2025,18.2,18.2,26.1,12.2,80.3,0.0,6.5,1015.3,7.0,190.1,14.2
Mymensingh,30,1,2025,19.0,19.0,25.9,13.3,82.9,0.7,8.3,1011.9,7.0,157.1,15.7
Mymensingh,31,1,2025,21.3,21.4,27.1,18.1,86.4,1.5,8.6,1011.4,6.0,122.2,18.7
Mymensingh,1,2,2025,20.8,20.8,26.2,17.7,87.5,0.0,9.0,1012.6,6.0,147.5,18.5
Mymensingh,2,2,2025,19.8,19.8,26.8,15.2,87.4,0.0,9.0,1012.5,7.0,189.2,17.4
Mymensingh,3,2,2025,20.1,20.1,27.1,15.1,78.7,0.0,7.5,1013.1,8.0,207.5,15.7
Mymensingh,4,2,2025,19.8,19.8,26.7,13.8,79.7,0.0,6.5,1012.7,7.0,198.9,15.7
Mymensingh,5,2,2025,20.6,20.6,27.3,15.7,80.6,0.0,9.4,1011.1,7.0,188.6,16.7
Mymensingh,6,2,2025,21.1,21.2,28.7,16.4,79.4,0.0,11.0,1012.0,7.0,199.8,17.0
Mymensingh,7,2,2025,18.7,18.7,26.4,12.7,71.1,0.0,11.1,1013.8,8.0,222.7,12.6
Mymensingh,8,2,2025,18.4,18.4,25.9,12.1,69.4,0.0,7.6,1014.4,8.0,223.9,11.9
Mymensingh,9,2,2025,18.7,18.7,26.2,13.2,76.2,0.0,7.6,1013.3,8.0,214.5,14.0
Mymensingh,10,2,2025,19.4,19.4,27.1,13.5,76.2,0.0,8.6,1013.7,8.0,209.8,14.5
Mymensingh,11,2,2025,20.0,20.1,27.6,15.3,81.0,0.0,9.0,1012.7,8.0,213.0,16.4
Mymensingh,12,2,2025,21.3,21.4,28.8,16.8,79.3,0.0,9.0,1012.6,7.0,204.3,17.2
Mymensingh,13,2,2025,22.6,22.6,29.1,18.1,78.7,0.1,12.2,1011.6,6.0,154.9,18.2
Mymensingh,14,2,2025,20.2,20.2,26.6,14.8,63.1,0.0,9.7,1012.0,8.0,232.1,12.2
Mymensingh,15,2,2025,19.4,19.4,27.8,12.1,69.7,0.0,10.1,1012.2,8.0,229.5,12.7
Mymensingh,16,2,2025,20.2,20.1,28.8,13.1,71.8,0.0,7.9,1012.4,8.0,226.0,14.1
Mymensingh,17,2,2025,21.9,22.0,29.4,15.7,73.0,0.8,12.2,1014.2,8.0,214.7,16.4
Mymensingh,18,2,2025,22.7,23.0,29.5,17.7,78.8,0.1,9.0,1013.5,8.0,215.9,18.4
Mymensingh,19,2,2025,22.0,22.0,29.8,15.7,77.2,0.0,9.7,1013.1,8.0,223.4,17.1
Mymensingh,20,2,2025,22.5,22.6,29.8,16.3,73.4,0.0,9.4,1014.6,8.0,215.2,16.9
Mymensingh,21,2,2025,23.4,23.5,30.3,17.4,72.8,0.0,9.7,1014.0,8.0,213.4,17.6
Mymensingh,22,2,2025,23.1,23.4,29.8,17.9,81.1,3.5,9.0,1014.8,8.0,201.9,19.3
Mymensingh,23,2,2025,21.0,21.0,26.5,17.3,82.7,1.4,14.7,1016.2,8.0,194.2,17.8
Mymensingh,24,2,2025,21.7,21.6,29.4,16.1,74.1,0.0,10.4,1017.1,8.0,231.7,16.1
Mymensingh,25,2,2025,21.8,21.7,29.8,15.3,69.0,0.0,9.7,1018.1,8.0,230.0,15.0
Mymensingh,26,2,2025,21.6,21.5,29.1,14.8,69.3,0.0,8.6,1017.8,9.0,247.9,15.0
Mymensingh,27,2,2025,22.4,22.4,29.3,16.2,71.1,0.0,9.3,1015.1,9.0,244.5,16.2
Mymensingh,28,2,2025,22.8,23.0,30.4,17.0,73.4,0.0,9.3,1013.9,8.0,190.9,17.2
Mymensingh,1,3,2025,24.0,24.6,31.1,18.0,75.9,0.0,13.3,1011.3,8.0,230.0,19.1
Mymensingh,2,3,2025,25.5,25.7,32.2,20.8,70.5,0.0,17.3,1008.1,9.0,246.7,19.0
Mymensingh,3,3,2025,24.5,24.4,31.9,19.1,65.6,0.0,13.7,1009.8,9.0,226.7,16.6
Mymensingh,4,3,2025,23.4,23.1,30.9,16.9,61.5,0.0,13.0,1009.9,9.0,260.8,14.0
Mymensingh,5,3,2025,23.0,22.7,30.1,17.7,57.7,0.0,22.2,1009.2,9.0,259.3,12.9
Mymensingh,6,3,2025,22.1,22.0,29.1,15.6,59.9,0.0,7.9,1011.5,9.0,263.4,13.1
Mymensingh,7,3,2025,21.6,21.5,28.9,14.7,63.8,0.0,10.4,1009.7,9.0,261.5,13.6
Mymensingh,8,3,2025,22.2,22.1,30.5,14.9,67.2,0.0,9.7,1009.5,9.0,258.5,15.0
Mymensingh,9,3,2025,23.2,23.7,30.5,16.8,72.6,0.0,9.0,1013.3,9.0,231.7,17.6
Mymensingh,10,3,2025,24.2,24.6,31.9,17.3,70.6,0.0,9.0,1015.2,9.0,258.4,17.9
Mymensingh,11,3,2025,24.4,25.0,31.5,18.9,73.3,0.0,7.9,1012.7,8.0,216.9,18.9
Mymensingh,12,3,2025,25.0,25.6,31.7,19.7,75.3,0.0,11.5,1008.8,7.0,212.4,19.8
Mymensingh,13,3,2025,26.2,27.3,32.5,21.4,73.9,0.0,10.8,1007.1,8.0,226.2,20.9
Mymensingh,14,3,2025,27.0,28.6,33.1,22.7,78.4,0.0,11.9,1008.4,8.0,230.5,22.6
Mymensingh,15,3,2025,27.3,29.6,32.7,23.7,81.1,0.6,12.2,1010.2,7.0,183.4,23.6
Mymensingh,16,3,2025,28.2,30.1,34.6,24.2,74.2,2.3,17.3,1009.1,9.0,210.8,22.7
Mymensingh,17,3,2025,27.2,27.8,33.2,22.6,63.7,0.2,20.5,1007.9,8.0,232.6,19.3
Mymensingh,18,3,2025,26.5,26.4,33.6,21.4,62.6,0.0,14.0,1009.5,9.0,253.1,17.6
Mymensingh,19,3,2025,25.5,25.5,33.6,19.0,63.3,0.0,9.4,1013.0,9.0,279.4,17.0
Mymensingh,20,3,2025,25.3,26.2,31.4,21.1,75.0,1.8,15.5,1013.9,9.0,226.0,20.4
Mymensingh,21,3,2025,23.4,23.4,27.0,21.1,85.5,2.8,14.0,1015.3,4.0,111.5,20.6
Mymensingh,22,3,2025,23.5,23.6,27.1,20.5,79.4,0.9,8.3,1015.3,6.0,154.5,19.5
Mymensingh,23,3,2025,23.6,23.8,30.1,18.1,74.0,0.0,8.3,1015.2,9.0,264.4,18.1
Mymensingh,24,3,2025,24.9,24.9,32.8,18.2,65.5,0.0,10.4,1013.4,9.0,273.6,17.1
Mymensingh,25,3,2025,25.9,26.0,33.4,19.4,61.7,0.0,9.3,1009.1,9.0,283.4,17.2
Mymensingh,26,3,2025,26.0,26.4,33.7,18.2,67.1,0.0,8.3,1007.0,9.0,280.7,18.5
Mymensingh,27,3,2025,26.8,28.6,33.6,20.5,72.1,0.0,9.7,1005.1,8.0,232.6,21.1
Mymensingh,28,3,2025,28.7,31.1,36.0,23.7,69.5,0.0,14.0,1003.8,9.0,269.9,22.1
Mymensingh,29,3,2025,28.4,29.5,36.1,23.2,66.2,0.0,15.5,1005.3,9.0,281.0,20.6
Mymensingh,30,3,2025,27.3,28.7,35.3,20.8,70.1,0.0,7.6,1008.9,9.0,277.6,20.8
Mymensingh,31,3,2025,28.4,31.2,34.3,23.1,72.4,0.2,10.4,1008.9,7.0,247.4,22.6
Mymensingh,1,4,2025,28.1,31.8,32.6,24.7,80.3,1.7,9.4,1008.7,7.0,202.1,24.3
Mymensingh,2,4,2025,28.0,31.1,33.0,25.0,80.7,0.8,11.2,1010.1,8.0,219.4,24.2
Mymensingh,3,4,2025,28.6,31.2,34.7,25.0,75.2,0.0,12.6,1010.6,9.0,266.5,23.4
Mymensingh,4,4,2025,27.6,29.2,33.0,23.7,74.5,0.5,12.6,1009.9,9.0,233.1,22.2
Mymensingh,5,4,2025,28.2,31.2,34.8,22.9,76.1,0.3,10.1,1008.3,9.0,274.2,23.2
Mymensingh,6,4,2025,27.4,30.1,32.4,23.1,78.6,8.7,14.4,1008.9,8.0,247.2,23.2
Mymensingh,7,4,2025,26.5,27.6,32.4,21.0,70.8,0.0,13.7,1011.3,9.0,273.4,20.5
Mymensingh,8,4,2025,28.1,31.5,33.8,22.3,77.0,0.7,7.6,1013.6,9.0,271.4,23.4
Mymensingh,9,4,2025,28.3,31.3,32.9,24.4,77.8,1.0,6.5,1011.7,8.0,251.5,23.8
Mymensingh,10,4,2025,26.6,28.0,32.5,23.3,80.0,1.1,9.7,1007.3,8.0,240.4,22.6
Mymensingh,11,4,2025,26.4,27.7,32.5,22.1,79.6,9.8,12.6,1005.9,9.0,225.3,22.3
Mymensingh,12,4,2025,27.5,30.0,32.3,23.6,78.9,0.8,12.2,1007.3,7.0,213.1,23.3
Mymensingh,13,4,2025,27.2,28.7,32.1,22.9,75.4,0.0,11.1,1009.3,9.0,267.6,22.2
Mymensingh,14,4,2025,28.1,30.0,34.2,22.3,71.0,0.1,6.5,1009.3,9.0,265.0,21.8
Mymensingh,15,4,2025,27.4,29.1,32.8,22.6,74.8,2.7,7.6,1010.0,8.0,257.1,22.2
Mymensingh,16,4,2025,25.9,27.3,32.3,23.0,82.9,17.9,10.4,1009.6,9.0,243.5,22.6
Mymensingh,17,4,2025,23.8,23.8,27.0,21.9,87.7,15.5,11.9,1009.2,5.0,127.6,21.6
