district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Naogaon,1,1,2025,16.3,16.3,21.8,12.7,84.0,0.0,10.8,1015.8,7.0,143.4,13.4
Naogaon,2,1,2025,14.8,14.8,19.3,10.8,86.1,0.0,10.8,1016.2,7.0,148.1,12.4
Naogaon,3,1,2025,16.1,16.1,23.0,10.5,84.7,0.0,9.7,1015.9,7.0,170.1,13.4
Naogaon,4,1,2025,17.9,17.9,25.1,13.4,84.8,0.0,9.7,1014.5,7.0,143.0,15.1
Naogaon,5,1,2025,19.3,19.3,27.4,14.0,82.5,0.0,9.0,1015.1,6.0,169.4,15.9
Naogaon,6,1,2025,19.7,19.7,27.6,14.0,82.9,0.0,6.5,1013.8,7.0,172.3,16.3
Naogaon,7,1,2025,19.5,19.5,26.0,14.3,79.7,0.0,15.1,1012.7,6.0,131.9,15.6
Naogaon,8,1,2025,16.7,16.7,20.0,13.4,84.2,0.0,14.0,1015.1,6.0,147.2,13.9
Naogaon,9,1,2025,15.7,15.7,21.8,10.7,80.3,0.0,7.9,1017.5,7.0,177.1,12.0
Naogaon,10,1,2025,16.5,16.5,24.3,10.4,79.3,0.0,8.6,1018.7,7.0,184.4,12.6
Naogaon,11,1,2025,17.4,17.4,25.8,12.2,81.9,0.0,9.0,1018.2,7.0,184.5,13.9
Naogaon,12,1,2025,18.2,18.2,26.3,11.8,79.6,0.0,6.1,1017.4,7.0,176.7,14.0
Naogaon,13,1,2025,18.6,18.6,26.2,13.2,81.0,0.0,9.0,1015.0,7.0,174.6,14.9
Naogaon,14,1,2025,18.4,18.4,25.5,14.3,79.6,0.0,10.1,1017.8,7.0,178.4,14.5
Naogaon,15,1,2025,17.8,17.8,24.3,13.4,81.2,0.0,11.5,1018.7,7.0,182.9,14.3
Naogaon,16,1,2025,18.1,18.1,25.0,12.8,82.2,0.0,10.8,1017.8,7.0,182.5,14.7
Naogaon,17,1,2025,18.5,18.5,25.0,13.3,80.5,0.0,10.1,1016.7,7.0,176.6,14.8
Naogaon,18,1,2025,18.7,18.7,26.0,13.9,78.6,0.0,10.4,1015.9,7.0,191.5,14.4
Naogaon,19,1,2025,17.7,17.7,25.2,11.4,75.9,0.0,10.4,1014.5,7.0,198.2,12.8
Naogaon,20,1,2025,16.8,16.8,23.3,12.2,82.0,0.0,9.0,1012.8,7.0,184.5,13.5
Naogaon,21,1,2025,16.7,16.7,24.0,11.5,85.8,0.0,10.1,1012.0,7.0,173.5,14.1
Naogaon,22,1,2025,16.0,16.0,21.8,12.4,89.3,0.0,9.4,1013.1,7.0,156.8,14.1
Naogaon,23,1,2025,15.6,15.6,23.1,12.9,88.1,0.0,7.9,1013.8,7.0,177.4,13.5
Naogaon,24,1,2025,15.3,15.3,19.8,11.5,87.9,0.0,11.5,1013.3,7.0,175.2,13.2
Naogaon,25,1,2025,16.8,16.8,24.1,11.8,81.1,0.0,12.2,1014.1,7.0,179.0,13.2
Naogaon,26,1,2025,16.7,16.7,24.5,10.1,77.9,0.0,9.0,1013.6,7.0,190.0,12.4
Naogaon,27,1,2025,17.5,17.5,24.7,11.6,78.8,0.0,8.3,1011.4,7.0,175.8,13.4
Naogaon,28,1,2025,17.4,17.4,25.4,11.9,78.4,0.0,7.9,1012.8,7.0,190.8,13.1
Naogaon,29,1,2025,17.7,17.7,26.2,11.2,76.7,0.0,7.6,1015.1,7.0,196.9,12.9
Naogaon,30,1,2025,18.8,18.8,26.0,12.6,84.9,0.3,13.3,1011.2,6.0,167.5,16.0
Naogaon,31,1,2025,19.5,19.5,27.1,14.9,78.3,0.0,8.3,1011.3,7.0,199.4,15.1
Naogaon,1,2,2025,19.4,19.4,27.0,14.0,79.9,0.0,8.3,1012.4,8.0,203.8,15.5
Naogaon,2,2,2025,19.6,19.7,27.1,15.1,81.4,0.0,11.5,1012.2,7.0,207.7,16.0
Naogaon,3,2,2025,19.5,19.4,27.6,13.9,74.9,0.0,10.1,1013.1,8.0,212.2,14.1
Naogaon,4,2,2025,18.7,18.7,26.4,13.1,82.3,0.0,9.0,1012.9,7.0,194.9,15.2
Naogaon,5,2,2025,20.0,20.0,27.8,14.0,77.6,0.0,9.4,1010.8,8.0,211.5,15.4
Naogaon,6,2,2025,20.3,20.3,28.2,15.6,73.1,0.0,14.4,1011.9,8.0,216.1,14.7
Naogaon,7,2,2025,18.5,18.5,25.9,12.1,64.5,0.0,11.5,1013.6,8.0,225.7,11.0
Naogaon,8,2,2025,17.2,17.2,25.2,10.2,71.6,0.0,9.4,1014.5,8.0,223.0,11.3
Naogaon,9,2,2025,17.9,17.9,25.9,11.1,75.8,0.0,9.0,1013.5,8.0,218.1,12.9
Naogaon,10,2,2025,18.8,18.7,27.4,12.1,76.9,0.0,10.1,1013.3,8.0,219.9,14.0
Naogaon,11,2,2025,19.6,19.5,28.7,13.4,74.5,0.0,11.9,1012.2,8.0,225.0,14.2
Naogaon,12,2,2025,20.4,20.3,30.2,13.3,70.9,0.0,11.9,1012.0,8.0,226.9,14.0
Naogaon,13,2,2025,21.0,20.9,29.7,15.3,67.0,0.0,15.8,1011.2,8.0,224.0,13.8
Naogaon,14,2,2025,19.1,19.1,26.7,11.7,63.6,0.0,12.2,1011.9,8.0,232.7,11.2
Naogaon,15,2,2025,19.1,19.0,27.7,11.5,65.7,0.0,9.7,1012.0,8.0,231.6,11.3
Naogaon,16,2,2025,20.0,19.9,29.3,12.0,69.2,0.0,10.1,1012.1,8.0,227.9,13.1
Naogaon,17,2,2025,21.7,21.8,29.3,15.8,72.0,0.0,9.0,1013.8,8.0,221.3,16.0
Naogaon,18,2,2025,21.9,21.9,29.6,16.4,70.3,0.0,9.4,1013.4,8.0,231.5,15.6
Naogaon,19,2,2025,21.9,21.8,29.9,14.7,70.0,0.0,6.8,1012.8,8.0,231.2,15.3
Naogaon,20,2,2025,22.2,22.2,28.6,16.6,73.0,0.2,9.0,1014.3,7.0,208.5,16.7
Naogaon,21,2,2025,22.8,23.1,30.2,16.7,76.5,0.0,10.8,1014.0,8.0,216.2,17.9
Naogaon,22,2,2025,22.8,22.9,30.3,17.4,77.6,0.1,9.7,1014.4,8.0,213.4,18.2
Naogaon,23,2,2025,21.4,21.4,26.2,17.5,80.6,6.1,8.0,1016.0,7.0,193.6,17.7
Naogaon,24,2,2025,21.8,21.8,29.3,16.2,75.0,0.0,9.0,1017.0,8.0,227.6,16.5
Naogaon,25,2,2025,21.5,21.5,29.2,14.5,69.8,0.0,10.8,1018.2,9.0,245.0,14.9
Naogaon,26,2,2025,21.6,21.5,29.2,14.9,70.8,0.0,9.4,1018.0,8.0,245.9,15.2
Naogaon,27,2,2025,22.5,22.5,29.1,16.3,72.4,0.0,9.7,1015.3,8.0,209.5,16.7
Naogaon,28,2,2025,23.2,23.3,30.7,16.4,72.5,0.0,9.4,1013.8,8.0,226.4,17.3
Naogaon,1,3,2025,24.2,24.9,32.1,17.9,75.2,0.1,11.2,1010.9,8.0,242.6,19.1
Naogaon,2,3,2025,25.4,25.4,32.7,20.4,64.5,0.0,18.4,1008.0,9.0,250.8,17.4
Naogaon,3,3,2025,24.3,24.1,32.0,18.7,61.0,0.0,15.1,1009.7,9.0,240.6,15.3
Naogaon,4,3,2025,23.3,23.1,31.0,15.9,60.7,0.0,15.1,1009.8,9.0,261.0,14.4
Naogaon,5,3,2025,23.3,23.0,30.7,17.3,54.9,0.0,21.2,1008.9,9.0,264.9,12.5
Naogaon,6,3,2025,20.9,20.8,28.2,13.9,59.4,0.0,9.7,1011.6,9.0,265.9,11.9
Naogaon,7,3,2025,21.3,21.1,28.6,13.6,62.9,0.0,10.4,1009.7,9.0,265.3,13.0
Naogaon,8,3,2025,22.2,22.1,30.9,14.8,65.5,0.0,11.5,1009.0,9.0,265.0,14.4
Naogaon,9,3,2025,23.5,23.6,30.9,16.2,66.0,0.0,10.4,1012.8,9.0,259.3,16.1
Naogaon,10,3,2025,24.8,25.3,32.0,18.1,69.2,0.0,9.4,1015.0,9.0,236.1,18.2
Naogaon,11,3,2025,25.4,25.7,32.6,20.4,70.0,0.0,9.4,1012.2,8.0,235.4,18.8
Naogaon,12,3,2025,25.3,25.7,33.4,19.5,71.8,0.0,11.2,1008.6,8.0,220.9,19.1
Naogaon,13,3,2025,25.7,26.5,34.1,20.2,72.9,0.0,11.5,1006.5,9.0,264.4,19.9
Naogaon,14,3,2025,25.7,26.9,33.2,20.1,76.9,0.0,9.0,1008.0,9.0,265.0,20.9
Naogaon,15,3,2025,27.2,28.7,35.8,21.1,75.0,0.0,9.0,1009.4,9.0,266.6,21.8
Naogaon,16,3,2025,28.1,29.1,36.1,23.5,66.6,1.0,19.4,1008.8,9.0,249.5,20.5
Naogaon,17,3,2025,27.1,27.5,32.6,22.8,56.0,0.0,24.5,1007.6,8.0,226.7,17.4
Naogaon,18,3,2025,26.4,26.1,34.2,20.7,51.0,0.0,17.3,1009.3,9.0,273.0,14.4
Naogaon,19,3,2025,25.0,24.7,34.3,17.3,57.8,0.0,10.8,1012.5,10.0,286.3,14.8
Naogaon,20,3,2025,23.7,23.8,30.7,18.9,74.2,0.6,14.0,1013.7,8.0,230.1,18.5
Naogaon,21,3,2025,22.8,22.8,25.5,20.6,81.6,3.3,16.9,1014.9,4.0,100.0,19.5
Naogaon,22,3,2025,23.1,23.2,27.1,20.0,78.0,4.4,11.2,1014.8,6.0,170.1,18.9
Naogaon,23,3,2025,23.1,23.4,28.8,17.6,76.1,0.1,6.5,1015.2,9.0,261.7,18.3
Naogaon,24,3,2025,24.3,24.5,31.3,17.7,71.0,0.0,9.0,1013.9,8.0,264.4,18.0
Naogaon,25,3,2025,25.3,25.6,32.9,18.0,67.5,0.0,7.2,1009.5,9.0,285.0,18.0
Naogaon,26,3,2025,26.6,27.1,34.6,18.5,67.3,0.0,8.6,1006.7,9.0,276.7,19.1
Naogaon,27,3,2025,27.6,28.9,35.8,22.2,70.2,0.0,7.9,1004.3,9.0,274.3,21.1
Naogaon,28,3,2025,28.3,29.3,37.0,22.5,64.9,0.0,12.2,1003.0,10.0,288.8,20.1
Naogaon,29,3,2025,27.8,27.7,36.9,21.1,54.4,0.0,15.1,1004.9,10.0,301.2,16.4
Naogaon,30,3,2025,26.1,25.9,35.4,17.8,55.9,0.0,9.4,1008.6,10.0,302.3,15.1
Naogaon,31,3,2025,27.3,29.1,35.9,19.8,67.9,0.2,10.4,1008.5,9.0,272.7,20.4
Naogaon,1,4,2025,28.8,30.7,36.5,23.1,70.0,0.0,14.8,1007.7,9.0,280.7,22.0
Naogaon,2,4,2025,29.1,31.5,35.5,24.9,70.4,0.0,16.2,1009.2,9.0,285.3,22.6
Naogaon,3,4,2025,28.0,29.0,35.4,22.8,65.4,0.0,8.3,1010.2,9.0,292.1,20.1
Naogaon,4,4,2025,28.1,29.3,33.2,23.8,62.7,0.0,11.5,1009.3,9.0,231.8,20.0
Naogaon,5,4,2025,28.9,30.3,36.9,23.4,64.8,0.0,9.7,1007.6,9.0,278.3,20.8
Naogaon,6,4,2025,28.4,31.4,34.8,24.0,75.0,16.2,14.0,1007.5,9.0,250.9,23.3
Naogaon,7,4,2025,27.4,28.7,32.9,22.8,71.0,0.0,13.3,1010.7,9.0,277.5,21.3
Naogaon,8,4,2025,28.2,31.5,34.1,22.9,75.6,0.3,7.9,1013.1,9.0,267.1,23.2
Naogaon,9,4,2025,28.6,31.4,33.7,24.1,72.8,0.3,8.3,1011.2,8.0,260.8,22.9
Naogaon,10,4,2025,26.2,27.2,32.1,21.2,79.9,6.6,14.0,1007.2,8.0,230.3,22.2
Naogaon,11,4,2025,25.9,27.2,31.8,20.7,80.5,9.8,9.7,1005.7,8.0,191.3,21.9
Naogaon,12,4,2025,28.1,31.3,34.0,23.2,76.7,0.4,8.6,1006.5,8.0,254.1,23.3
Naogaon,13,4,2025,26.4,27.8,30.9,22.0,77.9,5.8,14.8,1009.1,8.0,251.2,22.0
Naogaon,14,4,2025,27.4,28.9,33.2,22.7,74.8,0.2,8.6,1009.4,9.0,266.8,22.1
Naogaon,15,4,2025,26.7,28.1,32.3,22.1,75.8,0.5,10.7,1010.1,8.0,269.8,21.8
Naogaon,16,4,2025,27.2,29.1,33.0,23.5,77.0,7.5,13.7,1008.8,8.0,243.7,22.5
Naogaon,17,4,2025,24.6,25.1,28.2,22.2,85.6,13.1,14.8,1008.3,7.0,137.5,22.0
Naogaon,18,4,2025,24.0,24.1,27.0,21.5,88.2,32.8,9.4,1007.8,6.0,119.9,21.8
