district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Narail,1,1,2025,17.5,17.5,24.1,14.0,84.2,0.0,11.5,1015.1,7.0,154.9,14.7
Narail,2,1,2025,16.1,16.1,22.1,12.3,85.0,0.0,13.7,1015.5,7.0,168.7,13.5
Narail,3,1,2025,15.9,15.9,20.4,12.2,86.3,0.0,10.4,1015.5,6.0,135.9,13.5
Narail,4,1,2025,16.5,16.5,22.4,12.7,88.5,0.0,7.6,1014.2,6.0,133.4,14.5
Narail,5,1,2025,17.6,17.6,25.7,13.1,86.9,0.0,9.0,1014.6,7.0,178.1,15.2
Narail,6,1,2025,18.5,18.5,27.0,12.5,83.0,0.0,9.4,1013.7,7.0,177.1,15.1
Narail,7,1,2025,18.9,18.9,26.5,13.2,81.6,0.0,10.1,1012.6,5.0,141.4,15.4
Narail,8,1,2025,17.3,17.3,21.9,14.3,84.0,0.0,12.2,1014.4,7.0,188.1,14.4
Narail,9,1,2025,16.3,16.3,23.0,11.5,79.1,0.0,12.2,1017.1,7.0,195.5,12.2
Narail,10,1,2025,16.4,16.4,24.5,10.8,78.9,0.0,9.4,1018.3,7.0,196.5,12.3
Narail,11,1,2025,17.0,17.0,25.9,10.9,80.2,0.0,9.0,1017.9,7.0,195.3,12.9
Narail,12,1,2025,18.5,18.5,27.6,11.5,75.3,0.0,8.6,1016.9,7.0,196.1,13.3
Narail,13,1,2025,18.5,18.5,26.5,12.3,78.8,0.0,9.4,1014.9,7.0,188.6,14.3
Narail,14,1,2025,18.8,18.8,26.0,13.2,80.3,0.0,12.2,1017.2,7.0,186.3,15.0
Narail,15,1,2025,18.5,18.5,25.8,12.9,78.9,0.0,12.6,1017.9,7.0,191.0,14.4
Narail,16,1,2025,18.7,18.7,26.7,13.8,80.2,0.0,10.4,1017.2,7.0,198.5,14.8
Narail,17,1,2025,18.9,18.9,26.4,14.1,80.1,0.0,9.4,1016.0,7.0,195.3,15.0
Narail,18,1,2025,19.1,19.1,26.2,14.3,80.2,0.0,10.8,1015.4,7.0,194.1,15.2
Narail,19,1,2025,18.3,18.3,25.8,13.2,72.8,0.0,11.2,1014.4,8.0,206.4,12.7
Narail,20,1,2025,17.3,17.3,24.7,11.9,78.8,0.0,10.8,1012.6,7.0,203.7,13.2
Narail,21,1,2025,18.1,18.1,26.4,11.7,80.8,0.0,10.8,1011.7,7.0,202.4,14.3
Narail,22,1,2025,19.0,19.0,27.0,13.7,82.4,0.0,9.4,1012.6,7.0,203.0,15.5
Narail,23,1,2025,17.7,17.7,23.5,14.6,87.3,0.0,11.2,1013.5,7.0,193.5,15.4
Narail,24,1,2025,18.0,18.0,24.4,13.5,86.5,0.0,11.5,1012.9,7.0,181.6,15.5
Narail,25,1,2025,18.8,18.8,25.8,14.7,82.0,0.0,8.3,1013.8,4.0,130.4,15.3
Narail,26,1,2025,18.2,18.2,25.4,12.8,73.7,0.0,10.4,1013.3,8.0,212.9,12.6
Narail,27,1,2025,17.6,17.6,25.5,12.2,77.4,0.0,9.7,1011.3,8.0,207.4,13.1
Narail,28,1,2025,18.3,18.3,26.7,12.2,74.4,0.0,9.0,1012.7,8.0,211.9,13.0
Narail,29,1,2025,19.3,19.3,27.1,12.9,74.8,0.0,8.7,1014.9,7.0,199.8,14.1
Narail,30,1,2025,21.7,21.8,27.5,15.7,83.7,1.1,16.2,1011.3,5.0,141.1,18.7
Narail,31,1,2025,23.0,23.2,27.8,20.6,87.9,0.4,12.2,1011.1,5.0,130.2,20.8
Narail,1,2,2025,22.9,23.0,27.6,20.3,88.5,0.6,7.2,1012.0,6.0,160.1,20.8
Narail,2,2,2025,22.9,23.0,28.0,19.9,86.3,0.0,11.9,1012.0,7.0,182.7,20.3
Narail,3,2,2025,22.3,22.3,29.4,17.9,73.7,0.0,8.6,1012.7,8.0,215.8,16.7
Narail,4,2,2025,20.5,20.5,28.0,14.8,72.0,0.0,13.3,1012.7,8.0,219.5,14.7
Narail,5,2,2025,21.2,21.2,29.3,14.7,74.7,0.0,8.6,1010.9,8.0,212.3,15.9
Narail,6,2,2025,22.2,22.2,30.1,17.4,77.3,0.0,10.4,1011.7,8.0,216.3,17.4
Narail,7,2,2025,19.7,19.6,27.4,13.4,66.2,0.0,9.4,1013.9,8.0,232.3,12.3
Narail,8,2,2025,18.5,18.5,26.9,12.2,68.8,0.0,9.7,1014.3,8.0,231.7,11.6
Narail,9,2,2025,18.6,18.6,27.2,11.9,68.9,0.0,11.2,1013.4,8.0,229.8,12.0
Narail,10,2,2025,20.0,19.9,29.7,11.6,70.3,0.0,8.6,1013.4,8.0,228.7,13.4
Narail,11,2,2025,22.7,22.8,30.1,17.7,80.0,0.0,14.4,1012.4,7.0,199.8,18.7
Narail,12,2,2025,23.4,23.7,30.4,18.9,82.8,0.0,9.4,1012.2,7.0,167.3,20.0
Narail,13,2,2025,24.5,24.8,30.8,20.4,77.7,0.0,11.2,1011.3,8.0,186.5,19.9
Narail,14,2,2025,21.2,21.1,28.2,15.1,61.2,0.0,13.0,1011.9,8.0,239.0,12.4
Narail,15,2,2025,21.0,20.8,29.5,13.7,66.5,0.0,9.7,1011.7,8.0,235.4,13.3
Narail,16,2,2025,22.2,22.2,31.2,14.7,72.6,0.0,12.6,1011.8,8.0,227.9,16.2
Narail,17,2,2025,23.8,24.4,30.7,18.4,81.9,0.3,10.1,1013.5,8.0,210.1,20.1
Narail,18,2,2025,24.1,24.6,30.4,20.1,83.8,1.3,7.9,1013.0,8.0,215.5,20.9
