district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Narayanganj,1,1,2025,16.5,16.5,18.6,15.0,89.8,0.0,14.8,1014.5,7.0,166.5,14.8
Narayanganj,2,1,2025,14.7,14.7,15.4,14.0,92.4,0.0,14.8,1015.2,7.0,157.9,13.4
Narayanganj,3,1,2025,15.4,15.4,17.1,13.9,90.7,0.0,11.2,1015.4,7.0,166.8,13.8
Narayanganj,4,1,2025,18.0,18.0,22.3,13.0,83.0,0.0,9.4,1013.8,7.0,147.4,15.0
Narayanganj,5,1,2025,20.6,20.6,28.0,15.0,75.3,0.0,13.0,1014.3,7.0,155.4,15.5
Narayanganj,6,1,2025,22.1,22.1,28.6,16.0,71.5,0.0,11.2,1013.2,7.0,167.9,15.9
Narayanganj,7,1,2025,21.3,21.3,26.0,17.0,66.7,0.0,14.8,1012.2,7.0,169.4,14.3
Narayanganj,8,1,2025,18.0,18.0,21.0,16.0,78.7,0.0,16.6,1014.0,6.0,167.1,14.1
Narayanganj,9,1,2025,17.7,17.7,22.4,14.0,69.9,0.0,14.8,1016.6,7.0,188.6,11.9
Narayanganj,10,1,2025,18.7,18.7,25.0,13.0,64.3,0.0,9.4,1017.9,7.0,192.5,11.2
Narayanganj,11,1,2025,19.6,19.6,26.4,13.0,63.8,0.0,9.4,1017.5,7.0,192.3,11.4
Narayanganj,12,1,2025,21.0,20.9,28.0,14.9,60.4,0.0,9.4,1016.4,7.0,190.4,12.2
Narayanganj,13,1,2025,21.0,21.0,26.2,15.0,63.4,0.0,11.2,1014.3,7.0,186.2,13.1
Narayanganj,14,1,2025,21.0,21.0,26.3,16.0,64.5,0.0,13.0,1016.7,7.0,188.9,13.5
Narayanganj,15,1,2025,20.6,20.6,26.3,16.0,67.1,0.0,13.0,1017.1,7.0,191.5,13.6
Narayanganj,16,1,2025,20.7,20.7,27.4,15.0,66.9,0.0,11.2,1016.6,7.0,195.7,13.4
Narayanganj,17,1,2025,21.4,21.4,27.2,16.0,63.5,0.0,14.8,1015.5,7.0,190.7,13.4
Narayanganj,18,1,2025,21.0,21.0,26.4,16.0,66.7,0.0,13.0,1014.9,7.0,190.8,13.8
Narayanganj,19,1,2025,20.1,20.1,25.2,16.0,58.7,0.0,13.0,1013.5,7.0,200.9,11.1
Narayanganj,20,1,2025,19.3,19.3,24.4,15.0,66.2,0.0,9.4,1012.0,7.0,198.4,12.4
Narayanganj,21,1,2025,19.2,19.2,24.1,14.0,71.6,0.0,14.8,1011.4,7.0,194.0,13.5
Narayanganj,22,1,2025,19.2,19.2,24.3,15.0,84.0,0.0,11.2,1012.3,7.0,194.1,16.3
Narayanganj,23,1,2025,17.5,17.5,22.0,14.0,80.0,0.0,11.2,1013.2,7.0,200.8,13.9
Narayanganj,24,1,2025,17.5,17.5,23.0,14.0,82.0,0.0,7.6,1012.9,7.0,183.8,14.2
Narayanganj,25,1,2025,19.8,19.8,25.1,16.0,65.8,0.0,13.0,1013.6,5.0,123.6,12.6
Narayanganj,26,1,2025,19.3,19.3,24.2,14.0,66.0,0.0,13.0,1012.9,8.0,207.7,12.3
Narayanganj,27,1,2025,19.4,19.4,24.2,15.0,70.6,0.0,11.2,1010.8,7.0,188.3,13.5
Narayanganj,28,1,2025,20.0,20.0,26.2,15.0,60.3,0.0,11.2,1012.5,7.0,183.3,11.1
Narayanganj,29,1,2025,20.3,20.3,26.4,15.0,56.5,0.0,9.4,1014.8,8.0,210.4,10.0
Narayanganj,30,1,2025,21.3,21.3,26.1,16.0,70.8,2.1,18.4,1011.0,6.0,145.7,15.7
Narayanganj,31,1,2025,23.3,23.6,27.2,21.0,82.1,1.7,14.8,1010.8,5.0,117.5,19.9
Narayanganj,1,2,2025,23.0,23.1,27.1,19.0,81.1,0.9,11.2,1011.9,7.0,158.1,19.4
Narayanganj,2,2,2025,23.2,23.3,28.1,19.0,75.9,0.0,11.2,1011.6,7.0,185.1,18.3
Narayanganj,3,2,2025,22.4,22.4,28.2,18.9,68.4,0.0,14.8,1012.5,8.0,205.6,15.2
Narayanganj,4,2,2025,21.4,21.4,26.4,16.0,59.9,0.0,11.2,1012.1,8.0,214.4,12.8
Narayanganj,5,2,2025,22.4,22.3,28.1,18.0,66.7,0.0,9.4,1010.5,8.0,209.5,15.2
Narayanganj,6,2,2025,23.2,23.1,29.2,18.0,61.5,0.0,13.0,1011.2,8.0,212.5,14.5
Narayanganj,7,2,2025,21.2,21.2,26.3,15.0,44.8,0.0,13.0,1013.4,8.0,229.2,8.0
Narayanganj,8,2,2025,20.7,20.7,26.4,16.0,44.0,0.0,14.8,1013.6,8.0,229.4,6.9
Narayanganj,9,2,2025,20.4,20.4,25.6,15.0,50.0,0.0,13.0,1012.8,8.0,226.4,8.8
Narayanganj,10,2,2025,21.2,21.1,28.2,15.0,57.3,0.0,13.0,1013.2,8.0,225.6,11.3
Narayanganj,11,2,2025,22.5,22.6,28.6,18.0,68.1,0.2,13.0,1012.1,7.0,205.3,15.8
Narayanganj,12,2,2025,23.7,24.0,28.4,20.0,75.5,0.3,11.2,1012.0,7.0,189.4,18.8
Narayanganj,13,2,2025,25.1,25.2,29.4,22.0,69.9,0.0,13.0,1010.9,8.0,161.0,18.6
Narayanganj,14,2,2025,22.5,22.4,27.6,18.0,48.8,0.0,14.8,1011.5,8.0,238.2,9.9
Narayanganj,15,2,2025,22.3,22.0,28.3,16.2,44.3,0.0,13.0,1011.6,8.0,233.8,8.1
Narayanganj,16,2,2025,23.2,22.8,30.0,17.0,54.5,0.0,11.2,1011.7,8.0,230.4,12.3
Narayanganj,17,2,2025,24.4,24.3,30.1,19.0,66.0,0.1,9.4,1013.2,8.0,218.6,16.9
Narayanganj,18,2,2025,24.9,25.4,29.4,21.0,71.8,2.8,11.2,1012.8,8.0,217.4,19.3
Narayanganj,19,2,2025,25.1,25.0,30.1,20.3,59.5,0.2,14.8,1012.3,7.0,196.8,15.9
Narayanganj,20,2,2025,24.9,24.6,30.2,20.1,60.8,0.2,9.4,1013.9,8.0,212.5,15.7
Narayanganj,21,2,2025,25.2,25.1,30.4,21.0,63.3,0.0,11.2,1013.6,8.0,220.4,16.9
Narayanganj,22,2,2025,23.8,24.0,29.0,20.0,69.7,1.5,22.7,1014.3,8.0,214.0,17.5
Narayanganj,23,2,2025,23.2,23.3,29.0,20.0,66.9,0.3,27.7,1015.2,7.0,196.5,16.4
Narayanganj,24,2,2025,24.0,23.7,30.4,19.0,55.8,0.0,11.2,1016.2,8.0,229.6,13.4
Narayanganj,25,2,2025,24.8,24.5,30.0,19.0,51.8,0.0,13.0,1017.2,8.0,197.0,13.3
Narayanganj,26,2,2025,24.3,23.9,30.4,18.5,47.6,0.0,137.2,1017.1,9.0,252.5,10.7
Narayanganj,27,2,2025,24.5,24.3,30.0,19.0,50.1,0.0,13.0,1014.6,9.0,246.4,12.6
Narayanganj,28,2,2025,25.0,25.0,30.2,20.8,57.1,0.0,7.6,1013.3,8.0,202.3,15.5
Narayanganj,1,3,2025,26.1,26.2,32.2,20.0,63.9,0.0,14.8,1010.8,8.0,237.1,17.9
Narayanganj,2,3,2025,27.2,27.1,32.2,23.0,58.7,0.0,14.8,1007.9,8.0,236.6,17.4
Narayanganj,3,3,2025,27.2,26.5,32.0,23.2,46.2,0.0,18.4,1009.5,6.0,178.0,12.6
