district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Narsingdi,1,1,2025,16.4,16.4,18.1,15.1,91.4,0.0,14.8,1014.4,7.0,164.5,15.0
Narsingdi,2,1,2025,14.8,14.8,15.5,14.0,92.7,0.0,14.8,1015.1,7.0,158.6,13.6
Narsingdi,3,1,2025,15.5,15.5,17.3,14.0,91.1,0.0,11.2,1015.3,7.0,170.1,14.0
Narsingdi,4,1,2025,18.0,18.0,22.3,13.0,83.7,0.0,9.2,1013.7,7.0,163.9,15.1
Narsingdi,5,1,2025,20.7,20.6,28.1,15.0,75.7,0.0,12.3,1014.2,7.0,167.3,15.6
Narsingdi,6,1,2025,22.0,22.0,28.2,16.0,72.0,0.0,11.0,1013.1,7.0,171.2,16.0
Narsingdi,7,1,2025,21.2,21.2,26.0,16.9,68.0,0.0,13.7,1012.1,6.0,161.9,14.6
Narsingdi,8,1,2025,17.9,17.9,20.8,16.0,79.8,0.0,16.6,1013.9,6.0,168.9,14.3
Narsingdi,9,1,2025,17.6,17.6,22.1,13.8,71.8,0.0,16.5,1016.4,7.0,182.8,12.2
Narsingdi,10,1,2025,18.5,18.5,24.9,12.8,66.0,0.0,9.9,1017.8,7.0,190.7,11.5
Narsingdi,11,1,2025,19.6,19.6,26.3,13.0,65.1,0.0,9.4,1017.4,7.0,186.2,11.8
Narsingdi,12,1,2025,21.1,21.0,28.1,14.8,60.6,0.0,9.4,1016.3,7.0,184.3,12.3
Narsingdi,13,1,2025,21.0,21.0,26.3,15.0,64.6,0.0,11.6,1014.1,7.0,186.6,13.4
Narsingdi,14,1,2025,20.8,20.8,26.0,15.8,66.8,0.0,13.5,1016.6,7.0,189.4,13.9
Narsingdi,15,1,2025,20.5,20.5,26.1,15.6,68.8,0.0,13.3,1017.0,7.0,191.6,13.8
Narsingdi,16,1,2025,20.6,20.6,27.2,14.9,68.4,0.0,11.2,1016.5,7.0,194.1,13.7
Narsingdi,17,1,2025,21.2,21.2,27.1,15.8,65.2,0.0,14.8,1015.4,7.0,186.2,13.7
Narsingdi,18,1,2025,20.8,20.8,26.1,15.7,68.5,0.0,13.0,1014.8,7.0,189.4,14.1
Narsingdi,19,1,2025,19.8,19.8,25.2,14.7,60.9,0.0,13.2,1013.4,7.0,198.5,11.4
Narsingdi,20,1,2025,19.1,19.1,24.3,13.8,68.0,0.0,9.4,1011.9,7.0,197.7,12.7
Narsingdi,21,1,2025,19.1,19.1,24.1,13.9,72.7,0.0,13.9,1011.3,7.0,186.6,13.6
