district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Natore,1,1,2025,16.4,16.4,22.3,12.8,84.1,0.0,11.9,1015.7,7.0,146.0,13.6
Natore,2,1,2025,14.8,14.8,19.4,10.9,85.9,0.0,10.8,1016.2,7.0,149.9,12.4
Natore,3,1,2025,16.0,16.0,22.7,10.7,84.7,0.0,10.1,1015.8,7.0,167.2,13.3
Natore,4,1,2025,17.6,17.6,24.4,13.3,85.5,0.0,10.1,1014.5,7.0,140.1,15.0
Natore,5,1,2025,19.3,19.3,27.1,13.7,81.8,0.0,9.4,1015.0,6.0,168.5,15.8
Natore,6,1,2025,19.5,19.6,27.4,13.6,83.7,0.0,6.8,1013.7,7.0,175.2,16.3
Natore,7,1,2025,19.3,19.3,26.0,14.0,80.8,0.0,15.5,1012.6,6.0,130.1,15.5
Natore,8,1,2025,16.8,16.8,20.3,13.8,84.2,0.0,14.0,1015.1,6.0,164.8,14.0
Natore,9,1,2025,15.7,15.7,21.8,10.8,80.1,0.0,9.0,1017.6,7.0,183.5,11.9
Natore,10,1,2025,16.3,16.3,24.1,10.3,79.5,0.0,9.0,1018.7,7.0,186.6,12.4
Natore,11,1,2025,17.6,17.6,25.6,11.9,80.9,0.0,7.6,1018.2,7.0,185.2,13.8
Natore,12,1,2025,18.2,18.2,26.2,11.8,78.8,0.0,8.6,1017.3,7.0,179.2,13.9
Natore,13,1,2025,18.6,18.6,26.1,13.1,80.9,0.0,9.7,1015.1,7.0,177.9,14.8
Natore,14,1,2025,18.3,18.3,25.4,14.3,80.5,0.0,10.4,1017.8,6.0,177.3,14.6
Natore,15,1,2025,17.9,17.9,24.3,13.6,80.8,0.0,11.9,1018.6,7.0,184.6,14.4
Natore,16,1,2025,18.2,18.2,25.1,13.1,81.9,0.0,10.8,1017.7,7.0,186.5,14.8
Natore,17,1,2025,18.5,18.5,25.0,13.2,81.0,0.0,10.4,1016.8,7.0,174.0,14.9
Natore,18,1,2025,18.6,18.6,25.9,13.6,79.1,0.0,10.8,1015.9,7.0,191.9,14.5
Natore,19,1,2025,17.7,17.7,25.1,11.7,75.9,0.0,11.2,1014.5,7.0,199.4,12.8
Natore,20,1,2025,16.9,16.9,23.3,12.2,81.6,0.0,10.4,1012.7,7.0,189.3,13.4
Natore,21,1,2025,17.0,17.0,24.2,11.8,85.9,0.0,10.4,1011.9,7.0,182.6,14.3
Natore,22,1,2025,16.2,16.2,22.2,13.0,89.2,0.0,10.8,1013.0,7.0,167.8,14.3
Natore,23,1,2025,15.7,15.7,23.1,12.7,88.3,0.0,9.0,1013.7,7.0,176.8,13.7
Natore,24,1,2025,15.6,15.6,20.2,12.1,88.1,0.0,11.5,1013.4,7.0,175.2,13.5
Natore,25,1,2025,17.1,17.1,24.2,12.1,81.1,0.0,12.2,1014.1,7.0,170.3,13.5
Natore,26,1,2025,16.7,16.7,24.4,10.1,78.0,0.0,9.7,1013.6,7.0,195.5,12.4
Natore,27,1,2025,17.4,17.4,24.6,11.9,79.0,0.0,8.3,1011.4,7.0,177.3,13.3
Natore,28,1,2025,17.3,17.3,25.2,11.9,78.7,0.0,8.3,1012.9,7.0,196.9,13.0
Natore,29,1,2025,17.8,17.8,26.4,11.4,77.5,0.0,8.3,1015.1,7.0,202.7,13.2
Natore,30,1,2025,19.2,19.2,25.9,13.2,86.0,0.5,13.7,1011.2,6.0,158.4,16.7
Natore,31,1,2025,20.1,20.1,27.3,15.8,79.4,0.0,8.6,1011.2,7.0,194.9,16.0
Natore,1,2,2025,19.8,19.8,27.5,14.4,80.2,0.0,7.9,1012.4,8.0,203.5,16.0
Natore,2,2,2025,20.2,20.2,27.0,15.8,81.4,0.0,11.5,1012.2,7.0,206.9,16.5
Natore,3,2,2025,19.8,19.8,27.7,14.4,74.4,0.0,10.4,1013.1,8.0,214.3,14.5
Natore,4,2,2025,18.7,18.7,26.4,13.4,81.4,0.0,9.7,1013.0,7.0,201.9,15.1
Natore,5,2,2025,19.9,19.9,27.8,13.7,78.7,0.0,9.4,1011.0,8.0,212.9,15.5
Natore,6,2,2025,20.7,20.6,28.3,15.9,73.3,0.0,13.7,1011.9,8.0,216.5,15.0
Natore,7,2,2025,18.5,18.5,26.0,11.7,65.8,0.0,10.8,1013.9,8.0,226.8,11.3
Natore,8,2,2025,17.3,17.3,25.1,10.5,71.7,0.0,9.4,1014.5,8.0,223.8,11.4
Natore,9,2,2025,17.8,17.8,25.7,11.3,75.1,0.0,8.3,1013.5,8.0,220.3,12.8
Natore,10,2,2025,18.8,18.8,27.4,12.2,76.2,0.0,9.7,1013.3,8.0,222.3,13.9
Natore,11,2,2025,19.7,19.7,28.6,13.8,75.4,0.0,11.5,1012.2,8.0,226.0,14.6
Natore,12,2,2025,20.5,20.4,30.3,13.8,72.1,0.0,10.8,1012.1,8.0,228.2,14.4
Natore,13,2,2025,21.4,21.3,29.7,15.7,67.9,0.0,14.4,1011.2,8.0,225.0,14.4
Natore,14,2,2025,19.4,19.4,26.7,11.7,62.8,0.0,11.5,1011.9,8.0,234.2,11.3
Natore,15,2,2025,19.4,19.3,27.8,11.7,65.2,0.0,9.4,1011.9,8.0,232.5,11.5
Natore,16,2,2025,20.4,20.3,29.4,12.9,67.8,0.0,9.4,1012.1,8.0,228.9,13.2
Natore,17,2,2025,21.9,22.1,29.2,16.0,73.8,0.0,9.0,1013.8,8.0,221.4,16.7
Natore,18,2,2025,22.3,22.3,29.6,17.0,70.8,0.0,9.4,1013.4,8.0,230.6,16.1
Natore,19,2,2025,22.3,22.2,29.8,15.4,68.9,0.0,7.2,1012.9,8.0,230.6,15.5
Natore,20,2,2025,22.0,22.1,28.1,16.6,76.8,0.4,8.6,1014.3,7.0,208.2,17.4
Natore,21,2,2025,23.0,23.3,30.5,16.6,78.4,0.0,10.1,1014.1,8.0,215.5,18.4
Natore,22,2,2025,22.7,22.9,30.0,17.5,82.0,0.7,9.4,1014.5,8.0,212.1,19.2
Natore,23,2,2025,21.8,21.8,26.5,17.5,80.9,6.0,7.6,1016.1,7.0,199.8,18.1
Natore,24,2,2025,22.1,22.0,29.3,16.3,75.3,0.0,8.3,1017.0,8.0,226.5,16.8
