district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Nawabganj,1,1,2025,16.4,16.4,18.6,15.0,90.0,0.0,14.8,1014.5,7.0,163.2,14.8
Nawabganj,2,1,2025,14.6,14.6,15.4,14.0,92.5,0.0,14.8,1015.2,7.0,157.6,13.4
Nawabganj,3,1,2025,15.4,15.4,17.1,13.9,90.7,0.0,11.2,1015.4,7.0,164.8,13.8
Nawabganj,4,1,2025,18.0,18.0,22.3,13.0,83.0,0.0,9.4,1013.8,7.0,141.8,15.0
Nawabganj,5,1,2025,20.6,20.6,28.0,15.0,75.2,0.0,13.0,1014.3,7.0,157.2,15.4
Nawabganj,6,1,2025,22.1,22.0,28.5,16.0,71.5,0.0,11.2,1013.1,7.0,166.9,15.9
Nawabganj,7,1,2025,21.3,21.3,26.0,17.0,66.7,0.0,14.8,1012.2,7.0,168.3,14.3
Nawabganj,8,1,2025,18.0,18.0,21.0,16.0,78.7,0.0,16.6,1014.0,7.0,169.7,14.1
Nawabganj,9,1,2025,17.7,17.7,22.4,14.0,69.9,0.0,14.8,1016.6,7.0,190.3,11.9
Nawabganj,10,1,2025,18.7,18.7,25.0,13.0,64.4,0.0,9.4,1017.9,7.0,192.7,11.2
Nawabganj,11,1,2025,19.6,19.6,26.4,13.0,63.8,0.0,9.4,1017.5,7.0,193.6,11.4
Nawabganj,12,1,2025,21.0,20.9,28.0,14.9,60.4,0.0,9.4,1016.4,7.0,191.4,12.2
Nawabganj,13,1,2025,21.0,21.0,26.2,15.0,63.4,0.0,11.2,1014.3,7.0,185.3,13.1
Nawabganj,14,1,2025,21.0,21.0,26.3,16.0,64.6,0.0,13.0,1016.7,7.0,187.2,13.5
Nawabganj,15,1,2025,20.6,20.6,26.3,16.0,67.2,0.0,13.0,1017.1,7.0,191.5,13.6
Nawabganj,16,1,2025,20.7,20.7,27.4,15.0,67.0,0.0,11.2,1016.6,7.0,196.5,13.4
Nawabganj,17,1,2025,21.4,21.3,27.2,16.0,63.5,0.0,14.8,1015.5,7.0,190.8,13.4
Nawabganj,18,1,2025,21.0,21.0,26.4,16.0,66.8,0.0,13.0,1014.9,7.0,190.6,13.8
Nawabganj,19,1,2025,20.0,20.0,25.2,15.9,58.8,0.0,13.0,1013.5,7.0,201.9,11.1
Nawabganj,20,1,2025,19.3,19.3,24.4,14.9,66.3,0.0,9.4,1012.0,7.0,198.0,12.4
Nawabganj,21,1,2025,19.2,19.2,24.1,14.0,71.6,0.0,14.8,1011.4,7.0,195.8,13.5
Nawabganj,22,1,2025,19.2,19.2,24.3,15.0,84.1,0.0,11.2,1012.3,7.0,195.9,16.4
Nawabganj,23,1,2025,17.5,17.5,22.0,14.0,80.1,0.0,11.2,1013.2,7.0,198.7,13.9
Nawabganj,24,1,2025,17.5,17.5,23.0,14.0,82.0,0.0,7.6,1012.9,7.0,180.2,14.2
Nawabganj,25,1,2025,19.8,19.8,25.1,16.0,65.8,0.0,13.0,1013.6,5.0,124.4,12.7
Nawabganj,26,1,2025,19.3,19.3,24.2,14.0,66.0,0.0,13.0,1012.9,8.0,208.8,12.3
Nawabganj,27,1,2025,19.4,19.4,24.2,15.0,70.6,0.0,11.2,1010.8,7.0,191.5,13.5
Nawabganj,28,1,2025,20.0,20.0,26.2,15.0,60.3,0.0,11.2,1012.5,7.0,194.4,11.1
Nawabganj,29,1,2025,20.3,20.3,26.4,15.0,56.4,0.0,9.4,1014.8,8.0,210.7,10.0
Nawabganj,30,1,2025,21.3,21.3,26.1,16.0,70.7,2.2,18.4,1011.0,6.0,148.1,15.7
Nawabganj,31,1,2025,23.3,23.6,27.2,21.0,82.1,0.6,14.8,1010.8,6.0,126.6,19.9
Nawabganj,1,2,2025,22.9,23.1,27.1,19.0,81.6,0.7,11.2,1011.9,7.0,161.1,19.4
Nawabganj,2,2,2025,23.2,23.3,28.1,19.0,75.9,0.0,11.2,1011.6,7.0,190.5,18.3
Nawabganj,3,2,2025,22.4,22.4,28.2,18.9,68.4,0.0,14.8,1012.5,8.0,209.2,15.2
Nawabganj,4,2,2025,21.4,21.4,26.4,16.0,59.9,0.0,11.2,1012.1,8.0,214.4,12.8
Nawabganj,5,2,2025,22.4,22.3,28.1,18.0,66.7,0.0,9.4,1010.5,8.0,211.0,15.2
Nawabganj,6,2,2025,23.2,23.1,29.2,18.0,61.5,0.0,13.0,1011.2,8.0,214.6,14.5
Nawabganj,7,2,2025,21.2,21.2,26.3,15.0,44.7,0.0,13.0,1013.4,8.0,229.2,7.9
Nawabganj,8,2,2025,20.7,20.7,26.4,16.0,44.0,0.0,14.8,1013.6,8.0,229.3,6.9
Nawabganj,9,2,2025,20.4,20.4,25.5,15.0,50.1,0.0,13.0,1012.8,8.0,226.8,8.8
Nawabganj,10,2,2025,21.2,21.1,28.2,15.0,57.2,0.0,13.0,1013.2,8.0,226.4,11.3
Nawabganj,11,2,2025,22.5,22.6,28.5,18.0,68.1,0.2,13.0,1012.1,7.0,207.5,15.8
Nawabganj,12,2,2025,23.7,24.0,28.4,19.9,75.5,0.0,11.2,1012.0,7.0,190.2,18.8
Nawabganj,13,2,2025,25.1,25.2,29.4,22.0,69.9,0.0,13.0,1010.9,8.0,162.6,18.6
Nawabganj,14,2,2025,22.5,22.4,27.5,18.0,48.8,0.0,14.8,1011.5,8.0,237.5,9.9
Nawabganj,15,2,2025,22.3,22.0,28.3,16.2,44.2,0.0,13.0,1011.6,8.0,234.0,8.1
Nawabganj,16,2,2025,23.2,22.8,30.0,17.0,54.5,0.0,11.2,1011.7,8.0,233.5,12.3
Nawabganj,17,2,2025,24.4,24.3,30.1,19.0,66.0,0.3,9.4,1013.2,8.0,218.7,16.9
Nawabganj,18,2,2025,24.9,25.4,29.4,21.0,71.8,0.5,11.2,1012.8,8.0,216.8,19.2
Nawabganj,19,2,2025,25.1,25.0,30.0,20.3,59.5,0.1,14.8,1012.3,7.0,195.8,15.9
Nawabganj,20,2,2025,24.9,24.6,30.2,20.1,60.8,0.0,9.4,1013.9,8.0,209.4,15.7
Nawabganj,21,2,2025,25.1,25.1,30.4,21.0,63.4,0.0,11.2,1013.6,8.0,218.5,16.9
Nawabganj,22,2,2025,23.7,23.9,29.0,20.0,69.8,1.3,23.4,1014.3,8.0,215.4,17.5
Nawabganj,23,2,2025,23.2,23.3,29.0,20.0,66.9,1.2,27.7,1015.2,7.0,196.1,16.4
Nawabganj,24,2,2025,24.0,23.7,30.4,19.0,55.8,0.0,11.2,1016.2,8.0,229.2,13.4
Nawabganj,25,2,2025,24.8,24.5,30.0,19.0,51.7,0.0,13.0,1017.2,7.0,195.7,13.2
Nawabganj,26,2,2025,24.3,23.9,30.4,18.6,47.6,0.0,137.2,1017.1,9.0,252.1,10.7
Nawabganj,27,2,2025,24.5,24.3,30.0,19.0,50.0,0.0,13.0,1014.6,9.0,243.0,12.6
Nawabganj,28,2,2025,25.0,25.0,30.2,20.9,57.2,0.0,8.3,1013.3,8.0,210.3,15.5
Nawabganj,1,3,2025,26.1,26.2,32.2,20.0,63.9,0.0,14.8,1010.8,8.0,240.1,17.9
Nawabganj,2,3,2025,27.1,27.1,32.2,23.0,58.6,0.0,14.8,1007.9,8.0,239.7,17.4
Nawabganj,3,3,2025,27.2,26.5,32.0,23.2,46.2,0.0,18.4,1009.5,6.0,183.0,12.6
