district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Netrakona,1,1,2025,17.8,17.8,23.0,15.3,88.1,0.0,11.5,1014.8,7.0,167.0,15.7
Netrakona,2,1,2025,16.6,16.6,21.6,14.4,91.0,0.0,9.7,1015.3,7.0,162.6,15.0
Netrakona,3,1,2025,17.7,17.7,23.6,13.0,86.8,0.0,7.1,1015.5,7.0,171.2,15.3
Netrakona,4,1,2025,18.8,18.8,26.5,14.3,84.0,0.0,7.9,1014.2,7.0,176.3,15.8
Netrakona,5,1,2025,20.2,20.2,28.5,14.5,76.2,0.0,7.9,1015.0,7.0,178.6,15.3
Netrakona,6,1,2025,21.1,21.1,28.8,15.0,75.0,0.0,7.9,1013.7,7.0,175.1,15.9
Netrakona,7,1,2025,20.8,20.8,27.0,16.7,79.6,0.1,10.4,1012.5,5.0,132.3,16.8
Netrakona,8,1,2025,17.3,17.3,21.0,13.7,85.5,0.3,11.9,1014.4,6.0,163.5,14.7
Netrakona,9,1,2025,16.9,16.9,23.9,12.3,83.5,0.0,7.2,1016.9,7.0,177.4,13.8
Netrakona,10,1,2025,17.0,17.0,25.3,12.1,83.2,0.0,9.0,1018.2,7.0,186.8,13.7
Netrakona,11,1,2025,18.0,18.0,26.7,11.1,81.1,0.0,9.0,1018.1,7.0,184.7,14.1
Netrakona,12,1,2025,19.4,19.4,27.8,12.6,76.9,0.0,9.4,1017.2,7.0,181.9,14.5
Netrakona,13,1,2025,19.6,19.6,27.2,14.3,79.1,0.0,7.9,1014.7,7.0,173.3,15.4
Netrakona,14,1,2025,19.0,19.0,26.8,13.4,77.7,0.0,9.0,1017.1,7.0,187.5,14.5
Netrakona,15,1,2025,19.1,19.1,27.3,12.9,80.0,0.0,7.9,1017.5,7.0,190.1,15.0
Netrakona,16,1,2025,19.7,19.6,28.0,13.1,77.5,0.0,7.6,1017.1,7.0,190.9,14.9
Netrakona,17,1,2025,19.5,19.5,27.4,13.9,79.0,0.0,7.9,1015.9,7.0,188.6,15.1
Netrakona,18,1,2025,19.6,19.6,27.5,14.6,80.7,0.0,8.6,1015.1,7.0,184.5,15.7
Netrakona,19,1,2025,19.5,19.5,27.0,14.5,73.7,0.0,9.4,1013.7,7.0,194.6,14.2
Netrakona,20,1,2025,18.6,18.6,26.0,13.6,79.0,0.0,8.3,1012.0,7.0,195.3,14.5
Netrakona,21,1,2025,17.8,17.8,24.6,13.1,85.5,0.0,7.6,1011.8,6.0,171.7,15.1
Netrakona,22,1,2025,17.3,17.3,24.0,13.2,88.2,0.0,6.1,1012.9,7.0,169.6,15.2
Netrakona,23,1,2025,16.5,16.5,21.3,14.1,90.1,0.0,8.3,1013.7,7.0,174.1,14.8
Netrakona,24,1,2025,16.9,16.9,21.7,13.6,85.9,0.0,9.7,1013.3,7.0,178.2,14.3
Netrakona,25,1,2025,18.3,18.3,25.5,14.6,77.2,0.0,13.0,1014.0,6.0,167.9,13.8
Netrakona,26,1,2025,17.5,17.5,24.8,12.6,79.2,0.0,8.6,1013.3,7.0,200.6,13.4
Netrakona,27,1,2025,18.4,18.4,25.5,13.0,80.7,0.0,6.8,1010.9,7.0,196.1,14.6
Netrakona,28,1,2025,18.4,18.4,25.1,13.7,85.4,0.0,7.6,1012.7,5.0,144.7,15.6
Netrakona,29,1,2025,18.5,18.5,26.1,13.5,82.3,0.0,7.2,1015.3,7.0,190.2,14.8
Netrakona,30,1,2025,18.9,18.9,26.1,13.7,82.4,1.3,8.6,1011.8,7.0,159.9,15.5
Netrakona,31,1,2025,21.1,21.1,26.2,18.4,88.5,2.7,8.6,1011.3,5.0,115.7,19.0
Netrakona,1,2,2025,20.9,20.9,26.3,17.7,88.5,0.0,10.1,1012.6,6.0,144.5,18.7
Netrakona,2,2,2025,19.9,20.0,26.9,15.6,86.3,0.0,9.0,1012.3,7.0,186.5,17.4
Netrakona,3,2,2025,20.1,20.1,27.1,15.4,79.2,0.0,6.1,1013.0,8.0,208.3,15.9
Netrakona,4,2,2025,19.9,19.9,26.8,14.3,79.9,0.0,7.6,1012.4,7.0,197.5,15.8
Netrakona,5,2,2025,20.7,20.7,27.4,15.6,80.0,0.0,8.6,1011.0,7.0,185.5,16.7
Netrakona,6,2,2025,21.2,21.2,28.8,16.8,79.5,0.0,9.0,1011.8,7.0,195.0,17.1
Netrakona,7,2,2025,19.0,19.0,26.6,13.0,72.1,0.0,8.3,1013.6,8.0,222.6,13.1
Netrakona,8,2,2025,18.4,18.4,26.0,12.1,74.2,0.0,9.0,1014.2,8.0,223.5,13.0
Netrakona,9,2,2025,18.6,18.6,26.3,12.7,77.3,0.0,7.6,1013.1,8.0,216.6,14.1
Netrakona,10,2,2025,19.5,19.5,27.1,13.2,76.4,0.0,8.3,1013.8,8.0,208.4,14.7
Netrakona,11,2,2025,20.1,20.1,27.6,15.8,82.7,0.1,10.4,1012.7,7.0,209.0,16.8
Netrakona,12,2,2025,21.6,21.6,28.7,17.3,81.1,0.0,9.0,1012.5,7.0,180.6,17.9
Netrakona,13,2,2025,22.6,22.7,28.8,18.4,80.9,0.3,12.2,1011.5,6.0,144.8,18.8
Netrakona,14,2,2025,20.5,20.5,26.7,15.2,64.0,0.0,10.1,1011.9,8.0,231.8,12.5
Netrakona,15,2,2025,19.5,19.4,27.8,12.9,69.9,0.0,9.4,1012.1,8.0,228.8,12.8
Netrakona,16,2,2025,20.3,20.2,28.8,13.7,71.2,0.0,8.3,1012.4,8.0,224.0,14.1
Netrakona,17,2,2025,21.8,21.9,29.5,15.6,72.0,0.4,12.6,1014.2,8.0,217.2,16.1
Netrakona,18,2,2025,22.8,23.0,29.6,18.1,78.8,0.1,7.2,1013.3,8.0,214.0,18.5
Netrakona,19,2,2025,22.2,22.2,29.6,15.9,78.1,0.0,11.5,1013.1,8.0,223.0,17.6
Netrakona,20,2,2025,22.7,22.8,30.0,16.1,74.0,0.0,10.1,1014.4,8.0,216.1,17.3
Netrakona,21,2,2025,23.2,23.6,30.6,17.6,75.1,0.0,9.7,1013.9,8.0,215.6,18.0
Netrakona,22,2,2025,23.2,23.5,29.8,18.3,79.8,4.8,6.5,1014.7,8.0,203.3,19.2
Netrakona,23,2,2025,20.8,20.9,26.8,17.5,83.2,1.6,13.0,1016.1,8.0,194.9,17.7
Netrakona,24,2,2025,21.6,21.6,30.0,15.1,74.2,0.0,9.4,1016.9,8.0,229.9,16.1
Netrakona,25,2,2025,21.8,21.7,29.9,15.1,69.1,0.0,9.0,1018.0,8.0,230.0,14.9
Netrakona,26,2,2025,21.6,21.6,29.1,15.1,69.9,0.0,8.6,1017.6,9.0,249.1,15.1
Netrakona,27,2,2025,22.0,22.0,29.2,15.9,74.2,0.0,8.6,1015.0,9.0,246.8,16.5
Netrakona,28,2,2025,22.4,22.6,30.2,16.7,74.4,0.0,7.9,1013.8,8.0,195.1,17.1
Netrakona,1,3,2025,23.8,24.3,31.1,18.0,77.0,0.0,13.3,1011.2,8.0,225.2,19.1
Netrakona,2,3,2025,25.3,25.6,32.2,20.7,72.0,0.0,17.3,1008.0,9.0,244.7,19.2
Netrakona,3,3,2025,24.6,24.5,31.8,19.1,66.7,0.0,13.3,1009.8,8.0,225.3,17.0
Netrakona,4,3,2025,23.6,23.3,31.0,16.2,62.4,0.0,12.6,1009.8,9.0,260.0,14.7
Netrakona,5,3,2025,23.3,23.0,30.4,17.2,57.7,0.0,18.4,1009.0,9.0,256.8,13.3
Netrakona,6,3,2025,22.1,22.0,29.4,15.4,61.2,0.0,7.9,1011.3,9.0,262.4,13.3
Netrakona,7,3,2025,21.6,21.5,29.1,14.9,64.6,0.0,10.1,1009.5,9.0,261.7,13.9
Netrakona,8,3,2025,21.8,21.8,30.5,15.1,70.4,0.0,9.4,1009.3,9.0,255.0,15.4
Netrakona,9,3,2025,23.4,23.9,30.2,16.6,70.8,0.0,9.0,1013.2,8.0,232.3,17.5
Netrakona,10,3,2025,24.2,24.5,31.9,17.7,69.5,0.0,9.0,1015.0,9.0,260.9,17.6
Netrakona,11,3,2025,24.1,24.5,31.4,18.7,73.2,0.0,8.6,1012.7,8.0,212.7,18.6
Netrakona,12,3,2025,24.8,25.5,32.0,19.1,74.8,0.1,12.2,1008.7,7.0,216.2,19.6
Netrakona,13,3,2025,26.0,27.2,32.3,20.6,74.9,0.0,10.1,1007.1,8.0,210.3,20.9
Netrakona,14,3,2025,26.5,27.8,33.1,21.6,79.8,0.2,13.0,1008.5,7.0,207.2,22.5
Netrakona,15,3,2025,26.5,28.6,31.8,21.9,86.5,1.5,13.3,1010.3,6.0,169.8,23.9
Netrakona,16,3,2025,27.4,29.0,34.3,23.1,77.7,2.9,16.9,1009.0,8.0,201.3,22.8
Netrakona,17,3,2025,26.8,27.5,33.0,21.4,69.4,0.2,19.4,1007.9,7.0,225.7,20.2
Netrakona,18,3,2025,26.4,26.4,33.7,21.1,63.7,0.1,13.3,1009.5,9.0,250.2,17.9
Netrakona,19,3,2025,25.4,25.3,33.8,18.6,63.6,0.0,8.6,1013.0,9.0,277.8,16.9
Netrakona,20,3,2025,25.2,26.2,31.5,20.6,77.3,3.1,13.7,1013.8,9.0,222.6,20.8
Netrakona,21,3,2025,23.6,23.7,27.1,21.1,85.9,2.3,12.2,1015.4,5.0,118.6,21.0
Netrakona,22,3,2025,23.5,23.6,27.1,20.4,80.3,1.9,7.6,1015.3,6.0,143.8,19.7
Netrakona,23,3,2025,23.7,23.9,30.0,17.7,74.0,0.0,8.6,1014.9,9.0,265.4,18.3
Netrakona,24,3,2025,24.8,24.9,32.8,18.0,68.2,0.0,9.0,1013.1,9.0,274.5,17.5
Netrakona,25,3,2025,25.5,25.8,33.3,18.4,65.1,0.0,9.0,1008.7,9.0,284.0,17.7
Netrakona,26,3,2025,25.8,26.3,33.7,18.4,68.3,0.0,9.0,1006.8,9.0,283.2,18.7
Netrakona,27,3,2025,26.5,27.9,33.5,20.5,72.6,0.0,11.1,1005.2,8.0,235.8,20.8
Netrakona,28,3,2025,28.5,30.9,35.8,23.8,70.5,0.0,15.1,1004.0,9.0,263.6,22.2
Netrakona,29,3,2025,28.7,30.7,36.3,23.9,70.4,0.0,16.2,1005.4,9.0,267.1,22.0
Netrakona,30,3,2025,28.1,30.4,35.5,22.3,72.9,0.1,10.4,1008.9,9.0,268.8,22.3
Netrakona,31,3,2025,28.3,31.3,34.5,23.4,74.5,0.6,10.1,1008.9,8.0,237.5,23.0
Netrakona,1,4,2025,27.4,30.2,32.0,23.6,83.6,2.3,9.7,1008.7,6.0,188.9,24.3
Netrakona,2,4,2025,27.7,30.5,32.7,24.4,81.6,1.0,11.9,1010.2,7.0,206.7,24.2
Netrakona,3,4,2025,28.3,30.8,34.8,24.4,76.9,0.0,12.6,1010.7,9.0,257.3,23.5
Netrakona,4,4,2025,27.4,29.5,33.1,23.6,79.2,0.3,11.9,1009.8,9.0,227.4,23.1
Netrakona,5,4,2025,28.1,30.8,34.8,22.6,77.7,0.7,10.4,1008.4,9.0,272.0,23.3
Netrakona,6,4,2025,27.3,29.9,32.6,22.1,78.6,7.8,15.5,1009.0,8.0,242.7,23.1
Netrakona,7,4,2025,26.2,27.2,32.5,19.6,71.5,0.0,14.0,1011.3,9.0,272.9,20.4
Netrakona,8,4,2025,27.9,31.1,34.2,21.6,76.6,0.6,7.9,1013.4,9.0,271.5,23.0
Netrakona,9,4,2025,28.1,30.9,32.9,23.6,77.4,0.9,7.2,1011.6,8.0,250.8,23.5
Netrakona,10,4,2025,26.8,28.2,31.8,23.8,79.4,2.0,10.1,1007.3,8.0,238.4,22.7
Netrakona,11,4,2025,26.4,27.7,32.2,22.3,79.3,12.5,14.8,1006.0,9.0,219.3,22.2
Netrakona,12,4,2025,27.2,29.1,32.3,23.5,78.6,1.5,11.9,1007.3,7.0,215.3,22.9
Netrakona,13,4,2025,27.2,28.7,32.0,23.2,76.4,0.0,9.4,1009.1,9.0,268.7,22.4
Netrakona,14,4,2025,28.1,29.8,35.0,22.4,71.4,0.0,7.6,1009.1,9.0,263.9,21.7
Netrakona,15,4,2025,27.2,29.0,33.1,22.2,76.4,2.3,11.2,1009.8,8.0,256.7,22.4
Netrakona,16,4,2025,25.8,27.0,32.2,22.4,82.3,17.6,11.1,1009.5,9.0,236.1,22.3
Netrakona,17,4,2025,23.6,23.7,27.0,21.9,87.7,13.6,11.5,1009.2,5.0,126.6,21.4
Netrakona,18,4,2025,24.8,25.3,29.6,21.2,84.4,23.9,16.5,1008.4,8.0,141.9,21.8
Netrakona,19,4,2025,26.6,28.2,32.5,22.2,80.0,22.4,10.4,1007.1,8.0,188.3,22.6
Netrakona,20,4,2025,27.5,30.8,31.9,22.5,81.9,2.6,10.1,1006.8,8.0,214.3,24.0
Netrakona,21,4,2025,26.0,27.3,29.6,22.6,87.3,32.0,12.6,1008.5,4.0,87.9,23.6
Netrakona,22,4,2025,27.3,31.3,32.1,23.9,88.2,11.9,13.0,1007.9,5.0,123.7,25.2
Netrakona,23,4,2025,29.8,36.4,35.2,25.1,80.0,1.6,23.4,1004.4,8.0,197.2,25.8
Netrakona,24,4,2025,30.3,37.1,35.4,25.1,78.5,2.0,20.2,1004.5,8.0,247.0,25.9
Netrakona,25,4,2025,30.0,36.9,34.7,23.1,78.4,2.1,19.4,1005.6,7.0,208.7,25.7
Netrakona,26,4,2025,29.9,35.6,34.6,23.1,75.5,1.9,18.0,1006.5,7.0,202.9,24.9
Netrakona,27,4,2025,28.4,32.4,32.3,21.1,76.6,2.7,16.6,1008.6,7.0,177.2,23.7
Netrakona,28,4,2025,24.2,24.6,27.4,20.1,84.4,27.9,14.7,1009.0,9.0,220.2,21.3
Netrakona,29,4,2025,25.3,26.2,30.1,21.4,81.6,8.9,9.7,1009.1,8.0,246.0,21.7
Netrakona,30,4,2025,26.7,27.9,31.6,22.4,74.7,1.2,8.6,1009.3,9.0,275.1,21.5
Netrakona,1,5,2025,25.9,27.0,32.4,22.1,78.8,0.6,11.2,1010.3,9.0,278.2,21.6
Netrakona,2,5,2025,26.6,28.4,32.7,21.1,78.1,1.5,10.1,1009.3,9.0,268.6,22.2
Netrakona,3,5,2025,27.5,29.7,33.1,22.1,76.4,0.5,9.7,1007.5,9.0,261.1,22.7
Netrakona,4,5,2025,27.8,30.1,32.4,23.7,78.5,1.3,9.4,1006.8,8.0,257.7,23.5
Netrakona,5,5,2025,28.6,31.4,33.5,24.2,75.7,0.2,6.8,1007.0,9.0,284.4,23.5
Netrakona,6,5,2025,27.0,29.0,30.0,23.9,82.2,3.1,11.9,1007.4,8.0,237.6,23.6
Netrakona,7,5,2025,28.7,32.4,33.8,23.6,77.4,7.2,8.6,1005.7,9.0,261.7,24.0
Netrakona,8,5,2025,29.8,34.8,35.4,24.5,76.9,4.8,10.8,1005.8,9.0,261.8,25.0
Netrakona,9,5,2025,30.8,36.4,36.6,26.1,74.2,0.0,12.6,1006.0,9.0,276.3,25.3
Netrakona,10,5,2025,31.4,38.6,36.9,26.6,74.1,0.0,11.2,1005.4,9.0,285.6,25.8
Netrakona,11,5,2025,28.9,34.0,35.6,24.1,82.3,20.4,11.5,1004.7,9.0,263.2,25.3
Netrakona,12,5,2025,25.4,26.2,28.9,22.6,87.9,2.2,13.7,1004.9,8.0,197.7,23.2
Netrakona,13,5,2025,26.8,29.5,31.2,23.6,86.0,20.6,16.6,1004.6,5.0,156.6,24.2
Netrakona,14,5,2025,27.6,30.4,32.5,24.0,84.3,14.2,16.2,1005.5,6.0,211.5,24.6
Netrakona,15,5,2025,27.1,29.6,31.2,23.1,83.5,3.9,17.6,1006.6,6.0,191.9,23.9
Netrakona,16,5,2025,28.1,31.7,33.7,24.6,82.5,10.5,12.2,1006.1,7.0,182.2,24.7
Netrakona,17,5,2025,27.0,29.7,32.3,23.0,84.4,8.3,14.0,1006.7,7.0,204.2,24.0
Netrakona,18,5,2025,27.2,30.2,32.2,23.1,84.1,8.2,15.5,1007.8,9.0,205.0,24.1
Netrakona,19,5,2025,25.9,27.4,29.9,22.1,90.5,24.0,10.8,1007.3,6.0,146.5,24.2
Netrakona,20,5,2025,25.7,26.4,28.8,23.7,93.6,37.5,12.2,1005.1,6.0,112.8,24.6
Netrakona,21,5,2025,26.3,28.5,29.5,24.1,90.4,17.3,10.8,1006.3,7.0,148.0,24.5
Netrakona,22,5,2025,27.7,31.1,31.9,25.0,84.0,1.7,11.5,1005.7,6.0,166.7,24.7
Netrakona,23,5,2025,28.5,32.8,32.0,25.1,84.2,2.9,8.6,1003.4,7.0,186.7,25.4
Netrakona,24,5,2025,28.4,33.1,33.4,25.4,84.8,17.2,10.1,1003.6,7.0,145.1,25.5
Netrakona,25,5,2025,29.4,35.4,33.7,26.1,83.1,7.7,8.6,1004.2,8.0,182.8,26.0
Netrakona,26,5,2025,28.9,34.0,31.9,26.1,83.7,7.9,13.7,1003.7,6.0,176.4,25.8
Netrakona,27,5,2025,29.8,34.9,34.3,25.6,78.2,6.5,12.2,1000.4,9.0,205.6,25.3
Netrakona,28,5,2025,30.3,36.6,34.3,26.7,77.1,2.0,15.5,998.1,7.0,216.1,25.6
Netrakona,29,5,2025,27.2,30.1,28.9,26.3,90.1,59.0,30.6,995.7,3.0,57.1,25.4
Netrakona,30,5,2025,26.4,27.6,27.2,25.6,94.8,95.7,46.4,991.8,2.0,38.6,25.5
Netrakona,31,5,2025,27.3,30.9,31.9,25.1,93.7,25.1,13.7,1000.0,4.0,66.7,26.1
Netrakona,1,6,2025,26.2,27.4,27.8,23.6,94.6,41.8,11.5,1000.1,4.0,70.5,25.3
Netrakona,2,6,2025,27.2,29.4,30.2,24.9,87.3,25.2,13.0,1000.2,4.0,105.6,24.8
Netrakona,3,6,2025,26.2,28.2,30.0,22.4,86.6,35.1,16.2,1002.7,6.0,158.8,23.7
Netrakona,4,6,2025,26.0,26.9,29.0,24.2,91.7,38.0,13.7,1005.3,2.0,49.6,24.5
Netrakona,5,6,2025,27.5,30.5,30.9,25.0,87.1,4.3,12.2,1006.7,5.0,138.8,25.1
Netrakona,6,6,2025,28.8,33.6,32.6,25.7,84.5,5.7,9.4,1006.5,8.0,183.1,25.7
Netrakona,7,6,2025,29.5,35.8,33.1,26.2,82.7,1.6,8.6,1005.6,9.0,248.8,26.1
Netrakona,8,6,2025,30.8,37.7,35.1,26.8,75.5,1.3,9.4,1003.8,9.0,270.9,25.7
Netrakona,9,6,2025,31.5,40.6,36.2,27.5,77.8,1.5,7.6,1002.1,8.0,255.3,26.9
Netrakona,10,6,2025,31.9,42.2,36.4,27.5,77.9,8.6,6.5,1001.4,8.0,261.5,27.3
Netrakona,11,6,2025,31.1,38.6,36.5,27.1,75.0,5.4,10.8,1002.5,8.0,236.5,25.9
Netrakona,12,6,2025,31.7,39.9,36.4,27.8,74.3,1.0,8.6,1002.6,9.0,262.6,26.2
Netrakona,13,6,2025,32.1,42.9,36.1,28.5,77.3,0.7,6.8,1002.5,8.0,256.9,27.5
Netrakona,14,6,2025,29.8,38.0,33.7,26.5,86.1,5.7,9.7,1001.8,8.0,170.7,27.1
Netrakona,15,6,2025,29.3,36.9,32.5,27.1,87.6,19.6,11.2,1001.3,7.0,100.7,26.9
Netrakona,16,6,2025,29.1,36.1,32.1,27.2,86.5,15.1,15.8,1000.8,6.0,130.1,26.5
Netrakona,17,6,2025,28.6,34.0,30.8,27.1,83.9,32.7,24.8,1000.2,4.0,92.3,25.5
Netrakona,18,6,2025,27.4,31.0,29.8,26.0,91.6,8.0,21.2,998.7,2.0,42.8,25.9
Netrakona,19,6,2025,28.0,32.1,30.6,25.6,86.7,9.5,24.8,1000.5,6.0,155.8,25.5
Netrakona,20,6,2025,27.7,31.7,30.5,25.8,88.7,10.1,20.5,1001.8,6.0,145.1,25.7
Netrakona,21,6,2025,28.9,35.4,33.4,26.5,87.5,11.5,11.2,1001.7,6.0,123.5,26.5
Netrakona,22,6,2025,29.5,37.1,33.2,27.1,85.5,11.2,11.2,1001.1,7.0,163.4,26.7
Netrakona,23,6,2025,29.1,35.6,32.2,27.1,85.0,12.3,14.0,999.8,4.0,126.7,26.2
Netrakona,24,6,2025,29.5,36.2,32.7,26.6,83.3,9.3,14.0,999.2,7.0,177.2,26.3
Netrakona,25,6,2025,29.0,35.2,32.4,26.1,84.3,18.3,15.5,1001.8,6.0,159.4,26.0
Netrakona,26,6,2025,29.4,35.8,31.9,26.9,82.5,7.4,16.6,1003.9,8.0,198.0,26.0
Netrakona,27,6,2025,29.3,35.7,33.4,27.6,81.9,9.5,16.9,1002.8,7.0,142.4,25.8
Netrakona,28,6,2025,29.7,35.9,32.3,27.1,79.0,2.1,20.2,1000.0,6.0,152.1,25.5
Netrakona,29,6,2025,29.3,35.1,33.4,25.1,80.7,4.7,17.6,997.5,8.0,152.5,25.5
Netrakona,30,6,2025,29.7,36.4,32.9,27.1,80.2,8.6,18.7,998.5,7.0,194.6,25.8
Netrakona,1,7,2025,29.8,36.8,33.0,27.5,80.4,9.3,15.1,999.9,6.0,194.9,26.0
Netrakona,2,7,2025,29.2,35.0,32.8,26.9,81.0,14.2,18.7,1001.0,6.0,169.4,25.4
Netrakona,3,7,2025,29.3,34.9,33.2,26.2,81.2,16.4,19.1,1001.8,7.0,155.7,25.6
Netrakona,4,7,2025,28.7,34.0,31.6,26.3,83.5,11.8,18.4,1001.2,4.0,106.3,25.6
Netrakona,5,7,2025,28.7,33.8,32.7,26.4,85.5,21.9,15.8,999.7,8.0,159.0,26.0
Netrakona,6,7,2025,28.7,34.2,31.9,26.7,84.5,7.8,20.2,999.0,6.0,134.8,25.8
Netrakona,7,7,2025,28.4,33.3,31.9,26.5,85.1,14.0,20.2,998.9,6.0,146.3,25.5
Netrakona,8,7,2025,26.4,27.3,27.7,25.5,93.8,63.9,22.7,1000.1,1.0,20.0,25.3
Netrakona,9,7,2025,25.9,26.1,27.0,25.3,93.9,39.5,22.3,1002.7,1.0,23.1,24.9
Netrakona,10,7,2025,26.9,29.3,30.9,25.1,90.6,30.4,16.9,1003.6,5.0,92.5,25.2
Netrakona,11,7,2025,29.7,35.4,35.1,26.2,80.3,7.0,16.9,1002.0,7.0,191.7,25.8
Netrakona,12,7,2025,31.2,40.4,35.9,27.2,79.7,6.9,10.4,1001.5,8.0,261.6,27.0
Netrakona,13,7,2025,30.7,39.3,35.1,27.8,80.7,18.3,11.2,1001.1,8.0,222.4,26.8
Netrakona,14,7,2025,27.7,31.6,31.8,26.1,88.6,21.1,19.4,1002.8,5.0,90.1,25.6
Netrakona,15,7,2025,28.1,33.0,32.1,26.6,87.7,17.6,16.6,1003.1,4.0,99.2,25.9
Netrakona,16,7,2025,28.7,34.6,33.3,26.3,86.1,8.5,11.5,1004.2,6.0,147.3,26.1
Netrakona,17,7,2025,28.1,32.7,31.0,25.5,88.8,3.4,7.9,1005.4,4.0,97.6,26.0
Netrakona,18,7,2025,29.7,36.6,33.8,26.5,83.5,8.4,7.9,1003.4,5.0,173.0,26.5
Netrakona,19,7,2025,29.9,38.4,34.2,27.2,85.4,11.8,8.6,999.9,6.0,176.5,27.1
Netrakona,20,7,2025,28.9,36.3,30.5,27.6,89.8,16.7,6.5,1000.1,4.0,110.3,27.0
Netrakona,21,7,2025,30.3,38.7,34.6,26.8,83.3,8.9,7.6,1000.6,8.0,235.8,27.0
Netrakona,22,7,2025,30.3,39.7,33.7,27.8,86.3,22.3,5.4,999.4,7.0,173.0,27.6
Netrakona,23,7,2025,31.6,41.6,36.2,26.6,80.6,17.8,6.1,995.9,8.0,229.9,27.5
Netrakona,24,7,2025,30.2,39.7,33.3,27.0,85.6,40.5,21.6,994.1,6.0,170.0,27.4
Netrakona,25,7,2025,30.4,37.3,34.8,27.1,77.2,6.1,21.6,995.4,7.0,201.9,25.8
Netrakona,26,7,2025,29.6,36.5,33.4,27.6,81.3,6.2,20.2,999.4,7.0,173.3,26.0
Netrakona,27,7,2025,29.2,36.9,32.8,27.2,88.0,19.1,14.4,998.9,3.0,98.0,27.0
Netrakona,28,7,2025,27.8,32.4,30.0,26.6,91.8,14.7,11.9,999.5,4.0,66.3,26.3
Netrakona,29,7,2025,29.0,35.2,33.2,26.9,85.5,7.5,18.4,1000.2,7.0,200.7,26.2
Netrakona,30,7,2025,29.1,35.3,32.9,27.0,83.3,6.4,18.4,1001.7,6.0,167.1,25.9
Netrakona,31,7,2025,28.0,33.2,31.1,26.4,88.2,6.9,20.2,1001.1,5.0,108.0,25.9
Netrakona,1,8,2025,28.6,35.1,32.1,27.0,88.8,12.8,14.4,1001.1,4.0,102.9,26.5
Netrakona,2,8,2025,28.5,34.5,31.5,26.1,89.6,15.5,13.3,1002.4,4.0,114.4,26.5
Netrakona,3,8,2025,28.0,33.1,31.0,26.1,91.4,23.5,14.8,1005.3,5.0,107.4,26.4
Netrakona,4,8,2025,27.4,31.1,29.1,26.0,94.2,31.6,10.4,1006.0,3.0,69.5,26.3
Netrakona,5,8,2025,26.8,28.9,28.8,25.1,93.5,30.0,7.6,1006.2,3.0,61.2,25.6
Netrakona,6,8,2025,27.7,31.7,31.8,26.0,90.7,12.7,10.1,1004.2,5.0,119.3,26.0
Netrakona,7,8,2025,28.1,33.2,32.2,26.5,89.6,13.4,10.1,1003.4,3.0,86.4,26.2
Netrakona,8,8,2025,27.4,30.6,28.9,26.4,90.6,8.4,16.6,1006.5,4.0,84.8,25.7
Netrakona,9,8,2025,27.7,31.3,31.7,26.1,88.6,11.0,13.3,1007.9,4.0,89.5,25.6
Netrakona,10,8,2025,29.0,34.9,32.7,26.4,86.6,10.3,15.8,1006.0,7.0,199.0,26.4
Netrakona,11,8,2025,30.2,37.7,34.2,27.2,80.7,3.2,9.7,1004.2,5.0,159.3,26.3
Netrakona,12,8,2025,29.3,37.3,31.8,27.8,87.8,13.8,9.4,1002.6,4.0,108.2,27.0
Netrakona,13,8,2025,27.2,31.0,28.7,25.6,93.7,20.5,13.7,1005.4,3.0,76.6,26.1
Netrakona,14,8,2025,28.6,33.4,31.9,26.4,86.1,6.9,10.1,1006.0,6.0,154.9,26.0
Netrakona,15,8,2025,29.1,35.1,33.2,25.6,85.4,4.3,20.5,1003.5,7.0,193.2,26.2
Netrakona,16,8,2025,30.0,38.3,34.1,26.1,84.5,13.6,9.0,1001.8,7.0,223.5,27.0
Netrakona,17,8,2025,30.0,37.2,34.0,26.6,82.0,32.0,13.0,1003.3,5.0,152.8,26.4
Netrakona,18,8,2025,30.0,36.5,34.7,26.5,80.3,10.5,9.0,1005.5,8.0,208.6,26.1
Netrakona,19,8,2025,28.9,34.9,32.0,25.6,84.1,5.4,16.2,1005.8,6.0,188.0,25.9
