district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Nilphamari,1,1,2025,15.3,15.3,20.1,12.8,92.5,0.0,13.0,1015.8,7.0,157.5,14.1
Nilphamari,2,1,2025,15.2,15.2,22.1,11.8,91.1,0.0,9.7,1016.3,6.0,165.7,13.7
Nilphamari,3,1,2025,16.9,16.8,26.1,9.9,85.1,0.0,10.4,1015.9,6.0,170.0,14.0
Nilphamari,4,1,2025,19.3,19.4,29.1,12.4,77.7,0.0,11.2,1014.7,7.0,173.7,14.7
Nilphamari,5,1,2025,19.6,19.7,28.1,13.1,74.1,0.0,10.4,1015.5,6.0,171.4,14.4
Nilphamari,6,1,2025,19.9,19.9,28.1,14.2,74.6,0.0,10.4,1014.1,6.0,151.0,14.9
Nilphamari,7,1,2025,20.2,20.2,26.5,14.5,72.9,0.0,15.1,1012.5,6.0,132.4,14.8
Nilphamari,8,1,2025,16.8,16.8,18.4,14.3,86.7,0.0,17.3,1014.6,5.0,118.5,14.5
Nilphamari,9,1,2025,16.8,16.8,23.1,12.7,79.9,0.0,9.4,1017.5,6.0,136.5,13.1
Nilphamari,10,1,2025,17.6,17.6,25.1,11.3,78.4,0.0,9.4,1018.8,7.0,168.4,13.3
Nilphamari,11,1,2025,18.3,18.3,26.5,11.7,73.9,0.0,11.2,1018.4,7.0,182.8,13.1
Nilphamari,12,1,2025,19.0,19.1,27.1,13.0,74.9,0.0,11.5,1017.4,6.0,151.5,14.1
Nilphamari,13,1,2025,19.3,19.3,26.7,14.1,77.8,0.0,7.6,1014.8,6.0,158.7,14.8
Nilphamari,14,1,2025,18.5,18.5,25.9,13.1,78.6,0.0,8.3,1017.9,7.0,180.2,14.3
Nilphamari,15,1,2025,18.1,18.1,26.1,12.9,81.2,0.0,6.8,1018.8,7.0,178.9,14.5
Nilphamari,16,1,2025,18.9,18.9,27.1,12.7,77.2,0.0,9.4,1017.9,6.0,160.5,14.4
Nilphamari,17,1,2025,18.5,18.5,25.1,14.6,80.5,0.0,9.4,1016.7,6.0,129.2,14.9
Nilphamari,18,1,2025,18.8,18.8,26.2,14.1,77.2,0.0,8.6,1015.7,7.0,188.8,14.2
Nilphamari,19,1,2025,18.0,18.0,26.1,11.6,78.1,0.0,9.0,1014.2,7.0,190.3,13.7
Nilphamari,20,1,2025,17.7,17.7,26.1,12.8,84.8,0.0,13.0,1012.4,7.0,177.8,14.9
Nilphamari,21,1,2025,17.0,17.0,23.1,12.1,87.1,0.0,7.6,1011.8,6.0,139.6,14.6
Nilphamari,22,1,2025,16.3,16.3,21.1,13.6,92.4,0.0,9.4,1012.9,6.0,124.1,15.0
Nilphamari,23,1,2025,16.2,16.2,19.9,14.1,90.3,0.0,7.2,1013.8,6.0,123.7,14.5
Nilphamari,24,1,2025,15.4,15.4,18.1,12.9,92.3,0.0,7.6,1013.2,6.0,126.9,14.1
Nilphamari,25,1,2025,15.7,15.7,21.8,10.3,88.3,0.0,7.2,1014.0,7.0,161.7,13.6
Nilphamari,26,1,2025,17.2,17.2,24.5,11.3,85.3,0.0,8.3,1013.6,7.0,176.4,14.3
Nilphamari,27,1,2025,18.2,18.2,26.1,11.2,82.5,0.0,8.6,1011.1,7.0,189.3,14.8
Nilphamari,28,1,2025,18.4,18.4,24.1,13.4,82.2,0.0,7.6,1012.6,6.0,150.7,15.1
Nilphamari,29,1,2025,18.3,18.3,24.8,12.1,79.8,0.0,9.4,1015.0,7.0,159.7,14.3
Nilphamari,30,1,2025,18.1,18.1,25.1,12.5,83.1,0.0,6.8,1011.0,7.0,161.0,14.9
Nilphamari,31,1,2025,17.6,17.6,25.1,12.3,90.3,0.0,7.2,1011.3,7.0,185.9,15.9
