district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Noakhali,1,1,2025,18.1,18.1,23.0,16.0,89.1,0.0,10.8,1014.6,7.0,178.8,16.2
Noakhali,2,1,2025,17.1,17.1,21.2,14.4,90.3,0.0,12.6,1014.9,7.0,174.2,15.5
Noakhali,3,1,2025,17.1,17.1,21.6,15.0,90.0,0.0,10.4,1015.3,7.0,162.2,15.4
Noakhali,4,1,2025,17.5,17.5,22.7,14.9,91.2,0.0,6.1,1014.1,7.0,132.9,15.9
Noakhali,5,1,2025,19.3,19.4,27.0,15.0,88.3,0.0,7.6,1014.7,7.0,155.3,17.1
Noakhali,6,1,2025,20.8,20.8,28.9,15.7,85.5,0.0,7.6,1013.8,7.0,175.2,17.8
Noakhali,7,1,2025,20.5,20.5,26.3,16.8,83.8,0.0,11.5,1013.1,7.0,176.1,17.3
Noakhali,8,1,2025,18.5,18.5,22.1,16.4,89.2,0.1,10.8,1014.2,7.0,174.7,16.6
Noakhali,9,1,2025,18.0,18.0,23.4,15.0,81.5,0.0,12.6,1016.8,7.0,196.3,14.5
Noakhali,10,1,2025,18.0,18.0,25.5,13.8,80.7,0.0,10.8,1018.0,7.0,198.7,14.2
Noakhali,11,1,2025,19.2,19.2,27.6,14.0,78.7,0.0,9.7,1017.8,7.0,200.8,14.8
Noakhali,12,1,2025,19.9,19.8,28.7,13.9,77.4,0.0,8.3,1016.9,7.0,196.4,15.0
Noakhali,13,1,2025,20.1,20.0,27.8,15.5,78.0,0.0,8.6,1015.0,7.0,199.3,15.3
Noakhali,14,1,2025,19.8,19.8,26.9,14.3,77.7,0.0,14.0,1016.7,7.0,198.8,15.3
Noakhali,15,1,2025,20.3,20.3,27.1,15.6,77.8,0.0,14.0,1017.2,7.0,197.5,15.9
Noakhali,16,1,2025,20.6,20.6,28.7,15.5,78.4,0.0,10.1,1016.6,7.0,200.6,16.2
Noakhali,17,1,2025,21.1,21.1,28.4,16.4,73.1,0.0,10.8,1015.6,7.0,202.5,15.4
Noakhali,18,1,2025,21.2,21.1,27.4,16.3,74.8,0.0,10.8,1014.9,7.0,201.6,15.9
Noakhali,19,1,2025,20.3,20.3,26.6,16.3,71.1,0.0,13.7,1013.8,8.0,205.6,14.3
Noakhali,20,1,2025,19.3,19.3,26.1,13.7,75.3,0.0,11.2,1012.3,8.0,207.8,14.3
