district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Pabna,1,1,2025,16.6,16.6,22.7,12.7,85.4,0.0,12.2,1015.5,7.0,147.9,14.0
Pabna,2,1,2025,15.0,15.0,19.3,10.8,86.7,0.0,11.5,1016.0,7.0,154.9,12.7
Pabna,3,1,2025,16.0,16.0,22.4,11.0,85.3,0.0,9.7,1015.7,6.0,156.5,13.4
Pabna,4,1,2025,17.1,17.1,23.2,13.1,87.2,0.0,7.9,1014.4,6.0,139.1,14.8
Pabna,5,1,2025,18.9,18.9,26.6,13.0,85.3,0.0,9.7,1014.9,7.0,173.9,16.2
Pabna,6,1,2025,19.6,19.6,27.3,15.0,84.6,0.0,8.3,1013.7,7.0,174.2,16.5
Pabna,7,1,2025,18.8,18.8,25.6,13.6,82.8,0.0,13.3,1012.6,5.0,132.4,15.5
Pabna,8,1,2025,17.0,17.0,20.6,13.5,84.5,0.1,14.0,1014.9,7.0,188.4,14.2
Pabna,9,1,2025,15.6,15.6,21.7,10.9,81.0,0.0,10.1,1017.5,7.0,190.3,12.0
Pabna,10,1,2025,16.2,16.2,23.5,9.9,80.3,0.0,9.7,1018.6,7.0,190.6,12.4
Pabna,11,1,2025,17.4,17.4,25.3,11.3,81.0,0.0,7.9,1018.1,7.0,188.6,13.6
Pabna,12,1,2025,18.5,18.5,26.3,11.7,77.8,0.0,7.9,1017.2,7.0,184.7,13.9
Pabna,13,1,2025,18.5,18.5,25.8,12.8,81.0,0.0,9.7,1015.1,7.0,183.1,14.8
Pabna,14,1,2025,18.2,18.2,25.0,14.1,83.0,0.0,10.1,1017.6,7.0,178.5,15.0
Pabna,15,1,2025,18.0,18.0,24.3,13.5,81.5,0.0,12.2,1018.3,7.0,188.1,14.5
Pabna,16,1,2025,18.1,18.1,25.2,13.1,82.4,0.0,10.8,1017.5,7.0,193.8,14.8
Pabna,17,1,2025,18.2,18.2,25.0,13.0,82.1,0.0,10.1,1016.5,7.0,181.7,14.7
Pabna,18,1,2025,18.5,18.5,25.7,13.1,80.8,0.0,10.4,1015.8,7.0,192.0,14.7
Pabna,19,1,2025,17.6,17.6,24.8,11.7,76.5,0.0,10.8,1014.5,7.0,201.8,12.9
Pabna,20,1,2025,16.9,16.9,23.4,11.6,81.4,0.0,11.2,1012.7,7.0,197.1,13.5
Pabna,21,1,2025,17.5,17.5,24.6,12.0,85.4,0.0,10.8,1011.9,7.0,195.7,14.7
Pabna,22,1,2025,16.7,16.7,23.1,13.5,88.9,0.0,10.4,1012.9,7.0,186.5,14.7
Pabna,23,1,2025,16.2,16.2,23.1,12.2,88.6,0.0,12.2,1013.7,7.0,178.7,14.2
Pabna,24,1,2025,16.1,16.1,20.9,11.8,89.1,0.0,10.1,1013.2,7.0,170.7,14.2
Pabna,25,1,2025,17.6,17.6,24.1,12.2,83.3,0.0,9.7,1014.1,5.0,138.4,14.4
Pabna,26,1,2025,17.0,17.0,24.2,10.9,77.9,0.0,9.7,1013.5,8.0,206.4,12.6
Pabna,27,1,2025,17.2,17.2,24.3,12.0,80.5,0.0,9.4,1011.3,7.0,188.8,13.4
Pabna,28,1,2025,17.6,17.6,25.2,11.5,78.3,0.0,9.7,1012.9,7.0,206.1,13.1
Pabna,29,1,2025,18.2,18.2,26.7,11.6,77.5,0.0,8.6,1015.2,8.0,209.9,13.7
Pabna,30,1,2025,20.3,20.3,26.5,15.2,85.6,1.3,13.7,1011.2,6.0,152.7,17.6
Pabna,31,1,2025,21.5,21.5,27.6,18.5,82.8,0.2,8.3,1011.1,7.0,170.7,18.1
Pabna,1,2,2025,20.6,20.7,28.0,15.3,84.1,0.1,8.3,1012.2,7.0,185.6,17.7
Pabna,2,2,2025,21.0,21.0,27.3,17.1,83.2,0.0,10.8,1012.1,7.0,203.5,17.8
Pabna,3,2,2025,20.5,20.5,27.9,15.0,76.1,0.0,9.4,1013.0,8.0,217.7,15.4
Pabna,4,2,2025,19.1,19.1,26.3,13.2,78.9,0.0,11.2,1012.8,8.0,211.6,15.0
Pabna,5,2,2025,20.4,20.4,27.7,14.6,77.8,0.0,8.6,1010.9,8.0,212.7,15.9
Pabna,6,2,2025,21.1,21.0,28.3,16.0,75.2,0.0,11.2,1011.8,8.0,216.5,15.9
Pabna,7,2,2025,18.4,18.4,26.1,11.1,68.9,0.0,9.4,1014.0,8.0,228.6,11.9
Pabna,8,2,2025,17.6,17.6,25.1,10.7,73.3,0.0,9.7,1014.5,8.0,224.1,11.9
Pabna,9,2,2025,18.1,18.1,25.4,11.4,73.2,0.0,9.0,1013.5,8.0,223.9,12.6
Pabna,10,2,2025,20.0,19.9,27.6,12.1,71.3,0.0,8.6,1013.5,8.0,225.7,13.9
Pabna,11,2,2025,20.4,20.4,28.7,14.9,77.9,0.0,10.4,1012.2,8.0,213.2,16.0
Pabna,12,2,2025,21.6,21.5,30.3,14.3,71.8,0.0,9.7,1012.2,8.0,219.4,15.5
Pabna,13,2,2025,22.1,22.1,29.8,16.3,75.9,0.0,11.5,1011.4,8.0,207.4,17.0
Pabna,14,2,2025,19.6,19.6,26.6,11.7,65.5,0.0,9.0,1012.1,8.0,237.0,12.0
Pabna,15,2,2025,20.2,20.1,28.1,12.2,66.6,0.0,8.6,1011.9,8.0,233.9,12.6
Pabna,16,2,2025,21.3,21.2,29.7,12.9,69.0,0.0,8.6,1012.0,8.0,232.0,14.4
Pabna,17,2,2025,22.3,22.5,29.5,16.2,79.3,0.8,7.9,1013.7,8.0,213.8,18.3
Pabna,18,2,2025,23.0,23.2,29.5,18.0,77.5,0.0,7.9,1013.1,8.0,222.2,18.3
Pabna,19,2,2025,22.7,22.7,29.6,16.2,69.9,0.0,8.3,1012.7,8.0,215.9,16.2
Pabna,20,2,2025,22.0,22.1,27.3,16.6,82.6,0.9,8.3,1014.2,7.0,196.2,18.6
Pabna,21,2,2025,23.1,23.4,30.7,16.4,79.2,0.0,8.6,1014.1,8.0,211.7,18.7
Pabna,22,2,2025,23.2,23.7,29.1,18.4,82.7,1.7,8.6,1014.5,8.0,210.8,19.8
Pabna,23,2,2025,22.2,22.3,26.8,17.4,81.9,9.6,10.4,1016.0,8.0,207.8,18.8
Pabna,24,2,2025,22.8,22.9,29.3,16.5,75.5,0.0,6.5,1016.9,8.0,218.0,17.7
Pabna,25,2,2025,22.3,22.4,29.3,16.6,75.4,0.0,8.3,1018.0,7.0,218.0,17.1
Pabna,26,2,2025,21.9,21.9,29.3,15.4,72.2,0.0,11.5,1017.8,9.0,249.0,15.9
Pabna,27,2,2025,22.6,22.6,29.2,16.7,73.5,0.0,11.9,1015.3,9.0,211.8,17.1
Pabna,28,2,2025,23.7,23.9,30.2,18.1,74.7,0.0,9.0,1013.9,8.0,232.7,18.4
Pabna,1,3,2025,25.4,26.3,32.9,18.4,73.3,0.1,12.6,1011.1,8.0,241.8,19.9
Pabna,2,3,2025,25.8,26.2,32.7,20.9,72.9,0.0,13.3,1008.3,9.0,246.9,19.9
Pabna,3,3,2025,25.3,25.3,32.0,20.1,64.7,0.0,10.8,1009.7,8.0,208.6,17.3
Pabna,4,3,2025,24.0,23.9,31.3,16.8,62.8,0.0,12.6,1010.0,9.0,263.1,15.5
Pabna,5,3,2025,23.6,23.3,30.7,18.3,58.3,0.0,15.8,1009.2,9.0,261.1,13.7
Pabna,6,3,2025,21.2,21.1,28.2,14.5,59.6,0.0,9.7,1011.5,9.0,269.7,12.1
Pabna,7,3,2025,21.4,21.2,28.8,13.8,64.9,0.0,11.9,1009.7,9.0,267.7,13.4
Pabna,8,3,2025,22.9,22.8,31.6,15.0,65.9,0.0,11.5,1009.0,9.0,260.6,15.1
Pabna,9,3,2025,24.0,24.5,31.3,16.4,75.3,0.0,9.0,1012.9,9.0,240.6,18.8
Pabna,10,3,2025,25.5,26.2,33.1,19.3,73.0,0.0,7.6,1014.8,9.0,240.2,19.7
Pabna,11,3,2025,26.1,26.4,33.3,20.4,67.1,0.0,15.5,1012.3,9.0,258.3,18.7
Pabna,12,3,2025,26.1,26.4,33.7,19.5,68.2,0.0,11.5,1008.6,8.0,234.0,18.9
Pabna,13,3,2025,26.8,27.5,34.7,20.8,70.4,0.0,14.0,1006.5,9.0,260.9,20.2
Pabna,14,3,2025,27.5,29.0,34.2,22.5,74.6,0.0,12.6,1007.9,9.0,263.4,22.1
Pabna,15,3,2025,28.7,31.4,35.8,24.7,74.2,0.0,9.7,1009.4,9.0,255.5,23.2
Pabna,16,3,2025,29.0,31.4,36.4,25.2,72.4,1.4,14.0,1009.0,9.0,246.3,22.9
Pabna,17,3,2025,27.6,28.4,32.0,23.8,64.1,0.2,17.6,1008.3,7.0,230.1,19.7
Pabna,18,3,2025,27.1,26.9,33.9,22.3,57.8,0.0,13.0,1009.5,9.0,268.0,16.7
Pabna,19,3,2025,27.0,26.9,34.3,18.5,56.1,0.0,9.0,1012.6,9.0,280.7,16.2
Pabna,20,3,2025,24.7,25.2,29.6,21.0,80.0,0.3,19.8,1013.9,7.0,206.6,21.0
Pabna,21,3,2025,23.1,23.1,24.9,21.4,79.2,2.8,20.5,1015.3,5.0,122.5,19.2
Pabna,22,3,2025,23.3,23.3,26.2,20.5,76.9,1.6,13.3,1015.0,6.0,152.8,18.8
Pabna,23,3,2025,23.8,24.0,29.5,18.5,74.7,0.0,6.1,1015.0,9.0,256.7,18.5
Pabna,24,3,2025,24.6,24.8,31.7,17.3,71.2,0.0,11.2,1013.6,9.0,263.9,18.2
Pabna,25,3,2025,25.9,26.0,33.1,18.6,64.6,0.0,9.4,1009.4,9.0,284.8,17.7
Pabna,26,3,2025,27.1,28.0,34.2,20.0,67.3,0.0,7.9,1006.7,9.0,255.9,19.7
Pabna,27,3,2025,28.2,29.8,35.8,23.3,70.5,0.0,9.0,1004.5,9.0,273.7,21.6
Pabna,28,3,2025,28.7,29.7,37.0,23.1,61.6,0.0,15.8,1003.2,10.0,289.9,19.7
Pabna,29,3,2025,28.7,28.7,37.3,22.1,54.9,0.0,13.7,1005.2,10.0,297.8,17.2
Pabna,30,3,2025,27.3,27.8,36.1,18.7,60.8,0.0,8.6,1008.6,10.0,287.9,18.0
Pabna,31,3,2025,29.2,32.0,35.9,23.9,69.9,0.0,11.9,1008.5,9.0,275.8,22.6
Pabna,1,4,2025,29.7,33.5,35.9,25.6,72.9,0.3,15.8,1008.0,9.0,261.4,23.9
Pabna,2,4,2025,29.6,33.8,36.0,25.4,74.2,0.0,14.0,1009.4,9.0,276.9,24.2
Pabna,3,4,2025,29.9,31.9,36.5,24.9,65.6,0.0,13.7,1010.4,9.0,286.7,21.6
Pabna,4,4,2025,28.9,31.0,33.9,25.5,68.2,1.1,11.9,1009.6,8.0,201.2,22.0
Pabna,5,4,2025,29.5,31.5,37.0,23.5,65.8,1.1,12.2,1007.6,9.0,271.2,21.6
Pabna,6,4,2025,29.3,32.4,36.7,24.5,73.6,1.7,16.6,1007.5,9.0,262.9,23.6
Pabna,7,4,2025,28.4,30.1,34.5,23.3,66.4,0.0,14.4,1010.7,9.0,277.6,21.1
Pabna,8,4,2025,29.1,32.0,33.8,23.6,70.8,0.0,10.1,1013.1,9.0,260.9,22.9
Pabna,9,4,2025,29.1,31.8,34.0,24.0,70.3,0.0,8.6,1011.1,9.0,264.6,22.7
Pabna,10,4,2025,27.7,29.2,33.7,22.6,74.3,3.9,10.4,1007.2,9.0,247.6,22.3
Pabna,11,4,2025,26.9,28.8,33.0,21.3,77.5,1.2,9.4,1005.6,8.0,230.3,22.3
Pabna,12,4,2025,29.0,32.7,34.2,23.5,75.7,0.3,7.6,1006.4,8.0,254.0,24.0
Pabna,13,4,2025,28.6,30.9,33.2,24.5,70.1,1.3,14.4,1008.6,8.0,257.5,22.3
