district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Panchagarh,1,1,2025,15.0,15.0,20.5,12.6,89.7,0.0,10.8,1016.1,7.0,162.6,13.2
Panchagarh,2,1,2025,14.9,14.9,21.2,11.7,87.0,0.0,8.6,1016.4,6.0,164.4,12.6
Panchagarh,3,1,2025,16.4,16.3,26.2,9.1,81.0,0.0,8.3,1016.1,6.0,167.5,12.5
Panchagarh,4,1,2025,18.4,18.4,27.6,9.9,73.4,0.0,9.7,1015.0,7.0,174.2,13.0
Panchagarh,5,1,2025,18.8,18.8,27.8,10.1,72.1,0.0,10.1,1015.8,6.0,170.4,13.1
Panchagarh,6,1,2025,18.3,18.4,26.9,12.7,74.5,0.0,10.1,1014.5,6.0,150.1,13.3
Panchagarh,7,1,2025,18.6,18.6,26.6,9.7,75.3,0.0,14.8,1012.8,6.0,139.8,13.6
Panchagarh,8,1,2025,17.1,17.1,21.9,12.7,79.5,0.0,17.3,1014.6,5.0,125.7,13.4
Panchagarh,9,1,2025,16.0,16.0,23.2,11.7,79.2,0.0,7.6,1017.8,6.0,127.9,12.0
Panchagarh,10,1,2025,16.5,16.5,25.4,8.1,77.2,0.0,8.3,1019.0,7.0,170.0,11.9
Panchagarh,11,1,2025,17.2,17.2,26.5,8.7,71.3,0.0,9.0,1018.9,7.0,182.6,11.4
Panchagarh,12,1,2025,18.3,18.3,26.5,11.6,71.7,0.0,10.1,1017.8,6.0,155.9,12.4
Panchagarh,13,1,2025,18.9,18.9,26.5,14.0,73.1,0.0,9.0,1015.0,6.0,171.1,13.4
Panchagarh,14,1,2025,17.4,17.4,25.7,9.9,78.4,0.0,7.6,1018.1,7.0,183.0,12.9
Panchagarh,15,1,2025,16.6,16.6,24.6,10.7,83.8,0.0,7.9,1019.2,7.0,181.4,13.6
Panchagarh,16,1,2025,16.9,16.9,24.6,10.7,79.8,0.0,7.6,1018.3,6.0,147.2,13.0
Panchagarh,17,1,2025,17.5,17.5,23.7,13.1,81.2,0.0,9.4,1016.9,5.0,134.1,13.9
Panchagarh,18,1,2025,17.0,17.0,25.7,12.6,82.1,0.0,11.5,1015.9,7.0,188.4,13.5
Panchagarh,19,1,2025,16.7,16.7,25.8,8.2,79.8,0.0,10.4,1014.4,7.0,187.8,12.9
Panchagarh,20,1,2025,16.4,16.4,24.0,11.2,85.6,0.0,9.0,1012.4,7.0,185.7,13.8
