district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Patuakhali,1,1,2025,18.5,18.5,24.1,15.3,86.7,0.0,11.9,1014.8,7.0,177.0,16.1
Patuakhali,2,1,2025,17.1,17.1,21.3,15.1,90.0,0.0,14.8,1014.9,7.0,178.1,15.3
Patuakhali,3,1,2025,16.4,16.4,19.9,14.3,90.2,0.0,14.5,1015.4,7.0,168.1,14.8
Patuakhali,4,1,2025,17.2,17.2,23.1,13.5,88.0,0.0,7.6,1014.0,7.0,160.0,15.0
Patuakhali,5,1,2025,17.9,17.9,26.3,13.6,87.4,0.0,9.0,1014.6,7.0,176.4,15.5
Patuakhali,6,1,2025,19.8,20.1,29.0,14.0,86.5,0.0,10.1,1013.8,7.0,179.9,17.1
Patuakhali,7,1,2025,19.9,19.9,27.0,15.6,83.5,0.0,10.1,1013.0,7.0,176.5,16.5
Patuakhali,8,1,2025,18.1,18.1,22.7,15.7,90.7,0.0,10.8,1014.3,7.0,170.3,16.4
Patuakhali,9,1,2025,17.2,17.2,23.9,14.1,84.5,0.0,13.7,1016.7,7.0,200.7,14.3
Patuakhali,10,1,2025,17.5,17.5,25.6,13.0,81.0,0.0,11.5,1018.0,7.0,203.6,13.8
Patuakhali,11,1,2025,18.5,18.6,27.2,12.9,80.1,0.0,10.1,1017.7,7.0,204.4,14.5
Patuakhali,12,1,2025,19.3,19.4,29.5,13.0,80.4,0.0,10.1,1016.9,7.0,200.2,15.2
Patuakhali,13,1,2025,19.5,19.4,28.8,13.1,78.4,0.0,9.7,1015.1,7.0,202.7,14.8
Patuakhali,14,1,2025,19.5,19.5,26.8,14.5,79.6,0.0,14.4,1016.9,7.0,200.0,15.4
Patuakhali,15,1,2025,19.5,19.5,26.6,15.1,80.1,0.0,15.5,1017.5,7.0,202.6,15.5
Patuakhali,16,1,2025,20.0,20.1,28.3,14.9,81.2,0.0,10.8,1016.7,7.0,204.1,16.3
Patuakhali,17,1,2025,20.4,20.4,28.1,15.8,79.7,0.0,13.0,1015.7,7.0,203.9,16.3
Patuakhali,18,1,2025,20.4,20.4,28.8,15.2,79.3,0.0,10.4,1015.1,8.0,205.7,16.2
Patuakhali,19,1,2025,19.4,19.4,26.3,15.1,75.3,0.0,14.0,1014.0,8.0,211.9,14.2
Patuakhali,20,1,2025,18.3,18.3,26.1,12.6,79.3,0.0,11.9,1012.5,8.0,212.0,14.1
Patuakhali,21,1,2025,18.7,18.7,26.6,12.7,82.4,0.0,10.4,1011.9,8.0,210.4,15.2
Patuakhali,22,1,2025,20.3,20.4,28.3,15.0,83.0,0.0,9.0,1012.5,8.0,209.8,16.9
Patuakhali,23,1,2025,19.7,19.7,26.0,15.7,86.0,0.0,10.4,1013.3,8.0,209.9,17.0
Patuakhali,24,1,2025,20.3,20.4,28.0,15.6,83.6,0.0,8.6,1012.8,8.0,204.3,17.1
Patuakhali,25,1,2025,20.4,20.4,26.7,15.8,81.1,0.0,11.0,1013.6,7.0,170.4,16.6
Patuakhali,26,1,2025,19.7,19.7,26.0,15.1,76.4,0.0,12.2,1012.9,8.0,216.1,14.9
Patuakhali,27,1,2025,18.9,18.9,26.9,12.6,76.3,0.0,11.9,1011.3,8.0,217.8,13.9
Patuakhali,28,1,2025,18.9,18.9,27.1,12.6,79.6,0.0,9.0,1012.8,8.0,216.9,14.6
Patuakhali,29,1,2025,19.8,19.8,28.0,13.8,80.2,0.0,8.3,1015.2,8.0,215.4,15.6
Patuakhali,30,1,2025,21.6,21.8,27.6,15.3,84.5,0.2,18.0,1012.1,7.0,160.5,18.6
Patuakhali,31,1,2025,23.0,23.0,26.6,19.7,87.9,1.0,18.0,1011.8,5.0,126.1,20.8
Patuakhali,1,2,2025,23.4,23.7,29.3,20.7,87.9,1.0,8.3,1012.3,6.0,150.9,21.0
Patuakhali,2,2,2025,23.6,23.8,28.3,21.0,89.9,0.1,10.1,1012.2,6.0,148.9,21.7
Patuakhali,3,2,2025,23.3,23.5,29.2,19.1,85.8,0.1,7.9,1012.7,7.0,171.6,20.5
Patuakhali,4,2,2025,21.6,21.6,28.5,16.3,76.5,0.0,12.6,1012.7,8.0,222.1,16.5
Patuakhali,5,2,2025,22.0,22.1,30.0,15.8,79.3,0.0,8.6,1011.2,8.0,220.0,17.6
Patuakhali,6,2,2025,23.5,23.8,30.2,20.2,87.2,0.0,9.0,1011.9,8.0,202.1,21.0
Patuakhali,7,2,2025,21.1,21.0,29.0,14.5,72.5,0.0,11.5,1013.5,8.0,236.0,14.7
Patuakhali,8,2,2025,19.6,19.6,28.0,13.3,70.7,0.0,14.0,1014.0,8.0,237.1,13.1
Patuakhali,9,2,2025,19.6,19.6,28.3,12.3,70.9,0.0,10.8,1013.3,8.0,236.2,13.3
Patuakhali,10,2,2025,21.2,21.2,30.8,14.1,73.6,0.0,9.7,1013.8,8.0,235.9,15.2
Patuakhali,11,2,2025,23.5,24.1,31.1,18.1,85.4,0.0,12.6,1012.9,8.0,214.2,20.6
Patuakhali,12,2,2025,25.0,26.0,31.0,20.9,86.5,0.9,11.5,1012.7,6.0,169.5,22.3
Patuakhali,13,2,2025,25.2,26.1,28.8,21.9,90.5,1.6,14.0,1011.6,7.0,170.3,23.3
Patuakhali,14,2,2025,24.0,23.9,29.8,18.8,71.2,0.0,13.0,1012.0,8.0,229.3,17.4
Patuakhali,15,2,2025,22.6,22.6,30.8,14.8,74.5,0.0,8.6,1012.0,8.0,237.4,16.8
Patuakhali,16,2,2025,23.4,23.6,32.0,16.8,78.8,0.0,11.2,1012.3,8.0,215.1,18.8
Patuakhali,17,2,2025,24.0,24.4,32.3,20.0,82.6,0.0,11.2,1013.8,8.0,231.3,20.1
Patuakhali,18,2,2025,24.2,24.8,31.2,19.6,83.9,0.3,11.9,1013.5,8.0,233.4,20.8
Patuakhali,19,2,2025,24.0,24.3,28.7,20.6,87.5,2.9,7.2,1012.8,7.0,195.4,21.6
Patuakhali,20,2,2025,23.7,24.2,30.5,19.7,85.1,0.0,9.7,1013.9,7.0,196.5,20.8
Patuakhali,21,2,2025,24.4,25.1,31.5,19.3,79.7,0.0,9.7,1014.3,8.0,230.9,20.2
Patuakhali,22,2,2025,24.6,25.5,31.8,19.2,81.0,0.0,7.6,1014.6,8.0,236.5,20.7
Patuakhali,23,2,2025,24.7,25.1,31.0,20.9,78.6,1.0,11.2,1015.5,5.0,168.0,20.3
Patuakhali,24,2,2025,24.4,25.1,31.8,19.3,77.5,0.0,9.0,1016.4,8.0,219.5,19.7
Patuakhali,25,2,2025,25.1,25.4,32.8,18.4,70.2,0.0,8.6,1017.3,9.0,247.6,18.3
Patuakhali,26,2,2025,24.5,24.6,31.2,19.4,69.1,0.0,13.0,1017.2,9.0,252.6,17.5
Patuakhali,27,2,2025,24.0,24.3,31.1,17.4,71.9,0.0,10.4,1015.1,9.0,252.8,17.8
Patuakhali,28,2,2025,25.2,26.1,32.3,19.3,78.6,0.0,9.7,1013.9,8.0,222.6,20.6
Patuakhali,1,3,2025,26.4,27.9,34.0,21.0,80.7,0.0,11.9,1011.8,9.0,249.7,22.3
Patuakhali,2,3,2025,27.7,29.8,34.6,23.1,77.3,0.4,19.4,1009.0,9.0,250.8,22.8
Patuakhali,3,3,2025,26.7,28.4,32.3,23.2,84.6,0.4,7.6,1009.7,7.0,195.2,23.6
Patuakhali,4,3,2025,26.3,27.2,33.0,21.6,77.4,0.1,11.5,1010.0,8.0,214.9,21.3
Patuakhali,5,3,2025,26.0,26.6,33.0,20.0,73.9,0.0,13.0,1009.3,9.0,250.9,19.9
Patuakhali,6,3,2025,25.2,25.5,31.6,19.7,70.5,0.0,13.0,1010.6,9.0,263.4,18.6
Patuakhali,7,3,2025,24.2,24.4,32.5,16.3,63.0,0.0,10.8,1009.6,9.0,275.0,15.4
Patuakhali,8,3,2025,24.2,25.0,32.0,17.2,76.0,0.0,15.5,1009.6,9.0,250.1,19.1
Patuakhali,9,3,2025,25.4,26.6,32.6,20.0,81.1,0.0,9.0,1012.9,9.0,246.4,21.5
Patuakhali,10,3,2025,26.7,27.5,34.0,20.5,71.6,0.0,11.5,1014.6,9.0,271.0,20.0
Patuakhali,11,3,2025,26.9,28.2,34.6,20.6,72.9,0.0,13.3,1012.4,9.0,261.8,20.9
Patuakhali,12,3,2025,27.1,29.0,35.5,19.7,76.6,0.1,16.2,1009.6,9.0,256.9,22.0
Patuakhali,13,3,2025,28.3,32.2,34.5,23.7,83.7,0.0,19.4,1007.9,9.0,263.9,24.9
Patuakhali,14,3,2025,28.5,32.4,33.6,25.2,84.0,0.0,20.5,1009.2,9.0,251.6,25.3
Patuakhali,15,3,2025,28.5,32.5,33.8,25.0,83.5,0.0,14.8,1010.6,8.0,232.5,25.2
Patuakhali,16,3,2025,29.0,33.4,35.5,24.7,82.3,0.0,17.3,1010.1,9.0,267.5,25.3
Patuakhali,17,3,2025,28.7,33.5,34.6,25.1,84.6,3.1,12.6,1009.3,8.0,241.9,25.6
Patuakhali,18,3,2025,28.6,32.0,34.0,24.9,81.0,0.4,11.2,1009.9,8.0,226.7,24.7
Patuakhali,19,3,2025,28.6,32.1,35.0,24.5,81.0,0.0,13.0,1012.9,9.0,251.1,24.7
Patuakhali,20,3,2025,28.1,30.4,32.8,25.0,79.7,0.9,9.7,1014.4,9.0,244.7,23.9
Patuakhali,21,3,2025,27.7,29.1,32.5,24.2,73.9,1.8,12.6,1015.2,9.0,224.9,22.1
Patuakhali,22,3,2025,25.8,26.1,29.9,22.5,67.6,0.0,12.6,1014.9,7.0,195.5,19.0
Patuakhali,23,3,2025,25.8,26.1,31.0,21.0,69.6,0.0,10.4,1014.5,9.0,259.1,19.2
Patuakhali,24,3,2025,26.1,26.2,33.0,20.3,65.8,0.0,13.3,1013.2,9.0,265.1,18.2
Patuakhali,25,3,2025,26.2,26.4,33.1,19.3,65.3,0.0,13.0,1009.2,9.0,284.8,18.1
Patuakhali,26,3,2025,27.4,28.5,35.8,20.1,70.2,0.0,10.1,1007.1,9.0,266.3,20.4
Patuakhali,27,3,2025,28.7,32.1,35.4,22.6,76.9,0.0,13.7,1005.4,9.0,242.0,23.7
Patuakhali,28,3,2025,29.7,33.3,37.8,24.9,76.7,0.0,19.8,1004.9,10.0,282.6,24.3
Patuakhali,29,3,2025,29.7,35.2,35.3,25.8,81.7,0.0,16.9,1006.4,9.0,269.7,25.8
Patuakhali,30,3,2025,29.6,34.5,35.3,25.1,79.1,0.0,13.7,1009.2,8.0,255.3,25.2
Patuakhali,31,3,2025,29.0,33.0,34.6,24.6,80.0,0.0,15.8,1009.5,9.0,245.9,24.8
Patuakhali,1,4,2025,28.5,31.7,34.0,24.2,79.7,0.0,14.0,1009.4,9.0,256.5,24.4
Patuakhali,2,4,2025,28.6,31.9,34.3,23.9,78.6,0.1,12.2,1010.4,9.0,257.8,24.2
Patuakhali,3,4,2025,29.0,32.9,35.0,24.3,79.3,0.0,11.5,1011.2,9.0,282.2,24.7
Patuakhali,4,4,2025,29.5,33.8,34.8,25.5,78.0,0.1,11.9,1010.5,9.0,268.8,24.9
Patuakhali,5,4,2025,29.7,34.7,35.4,25.1,78.0,1.3,16.2,1008.9,9.0,269.5,25.1
Patuakhali,6,4,2025,29.5,34.6,35.0,25.5,80.5,0.2,15.8,1008.7,9.0,275.5,25.5
Patuakhali,7,4,2025,29.4,32.5,35.1,25.6,74.9,0.0,13.3,1011.0,9.0,278.7,23.9
Patuakhali,8,4,2025,29.0,32.4,33.6,25.5,77.2,0.8,15.5,1013.5,7.0,228.3,24.3
Patuakhali,9,4,2025,29.1,31.6,35.5,24.0,72.5,0.2,14.0,1011.4,9.0,268.3,23.0
Patuakhali,10,4,2025,28.6,30.7,35.5,24.0,73.7,0.4,15.1,1007.5,8.0,238.4,22.9
Patuakhali,11,4,2025,27.6,30.1,32.0,23.1,76.9,4.0,15.8,1005.7,8.0,208.5,23.0
Patuakhali,12,4,2025,29.2,33.0,34.3,24.3,77.7,0.0,8.6,1006.9,9.0,269.8,24.4
Patuakhali,13,4,2025,29.8,33.7,36.0,25.0,74.7,0.5,9.7,1008.4,9.0,272.0,24.3
Patuakhali,14,4,2025,29.2,32.4,35.1,25.6,75.4,0.7,8.3,1008.9,9.0,277.5,24.0
Patuakhali,15,4,2025,28.1,31.2,33.0,23.6,77.6,2.0,11.0,1009.8,9.0,275.7,23.6
Patuakhali,16,4,2025,27.9,30.7,33.9,25.0,80.6,6.6,14.8,1009.4,9.0,248.1,24.0
Patuakhali,17,4,2025,26.6,28.8,31.3,21.7,84.2,2.4,14.4,1008.5,8.0,244.6,23.6
Patuakhali,18,4,2025,26.4,28.6,32.5,22.6,83.5,13.9,13.3,1007.6,7.0,205.1,23.2
Patuakhali,19,4,2025,26.9,29.4,29.8,24.2,87.2,7.7,11.2,1006.8,7.0,169.4,24.5
Patuakhali,20,4,2025,29.0,34.4,34.5,25.5,84.4,3.5,13.3,1006.6,7.0,179.3,25.9
Patuakhali,21,4,2025,28.9,35.4,33.8,26.2,85.7,2.2,16.9,1008.6,7.0,209.6,26.2
Patuakhali,22,4,2025,29.9,36.9,34.0,25.4,81.2,0.0,22.7,1008.6,7.0,214.8,26.1
Patuakhali,23,4,2025,30.2,38.9,33.5,27.6,82.9,0.5,26.6,1006.3,5.0,188.9,26.9
Patuakhali,24,4,2025,30.3,38.9,33.0,27.9,82.7,0.3,26.3,1006.1,6.0,205.1,26.9
Patuakhali,25,4,2025,30.5,39.1,34.3,28.2,81.3,0.2,24.1,1006.9,6.0,201.7,26.8
Patuakhali,26,4,2025,30.5,38.3,35.0,27.2,79.6,0.0,23.4,1007.3,9.0,265.3,26.4
Patuakhali,27,4,2025,30.3,37.4,35.0,27.4,78.0,0.0,16.9,1008.5,9.0,275.6,25.8
Patuakhali,28,4,2025,28.9,34.4,35.4,25.0,82.2,13.0,11.2,1008.1,7.0,223.1,25.4
Patuakhali,29,4,2025,27.2,29.4,32.9,21.1,79.3,5.0,12.6,1008.5,9.0,235.0,22.9
Patuakhali,30,4,2025,27.1,29.3,30.2,23.6,82.6,9.6,11.9,1008.9,8.0,221.0,23.7
Patuakhali,1,5,2025,28.2,31.2,34.0,24.1,78.7,2.7,14.5,1010.0,9.0,262.4,23.8
Patuakhali,2,5,2025,27.3,29.6,33.1,22.6,80.6,1.0,8.6,1009.1,9.0,274.0,23.3
Patuakhali,3,5,2025,28.3,31.4,34.0,24.2,80.2,2.2,11.2,1007.6,9.0,271.8,24.2
Patuakhali,4,5,2025,27.6,30.4,31.1,24.7,84.4,7.8,10.4,1007.0,7.0,194.6,24.6
Patuakhali,5,5,2025,29.2,33.5,34.5,25.0,78.7,2.8,10.1,1006.9,7.0,243.5,24.8
Patuakhali,6,5,2025,28.7,32.4,33.7,25.6,81.6,0.3,8.3,1007.0,8.0,255.7,25.0
Patuakhali,7,5,2025,29.7,34.8,34.5,24.8,78.6,0.8,9.0,1006.0,9.0,276.7,25.2
Patuakhali,8,5,2025,30.1,36.4,36.2,24.4,78.7,0.3,10.4,1006.3,9.0,287.8,25.7
Patuakhali,9,5,2025,30.8,38.0,37.6,24.4,77.9,0.0,10.1,1006.5,10.0,297.2,26.0
Patuakhali,10,5,2025,32.1,41.4,38.5,26.6,76.1,0.1,11.9,1006.0,9.0,283.5,26.9
Patuakhali,11,5,2025,32.2,41.7,38.5,27.7,75.7,1.7,10.4,1004.5,9.0,282.0,26.9
Patuakhali,12,5,2025,30.3,37.7,35.8,26.1,80.5,0.1,13.7,1004.0,9.0,280.6,26.3
Patuakhali,13,5,2025,31.0,39.7,35.1,27.4,78.8,1.6,16.9,1004.7,9.0,256.4,26.6
Patuakhali,14,5,2025,31.4,40.3,35.8,28.2,76.9,0.7,18.0,1005.6,8.0,269.0,26.6
Patuakhali,15,5,2025,30.9,39.8,35.1,28.0,79.6,2.0,15.8,1006.1,9.0,245.7,26.8
Patuakhali,16,5,2025,31.3,40.6,35.3,28.4,78.3,0.0,17.6,1006.0,8.0,240.7,26.8
Patuakhali,17,5,2025,30.7,39.1,34.7,27.8,79.2,0.1,18.7,1006.5,9.0,263.5,26.5
