district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Pirojpur,1,1,2025,18.2,18.2,24.0,14.9,85.3,0.0,11.5,1014.9,7.0,171.7,15.6
Pirojpur,2,1,2025,16.8,16.8,20.8,14.5,87.1,0.0,13.0,1015.1,7.0,167.4,14.5
Pirojpur,3,1,2025,16.1,16.1,19.7,13.8,88.6,0.0,8.6,1015.5,6.0,154.9,14.2
Pirojpur,4,1,2025,16.9,16.9,21.7,14.0,87.2,0.0,5.8,1014.1,7.0,143.5,14.7
Pirojpur,5,1,2025,17.5,17.5,25.1,12.4,87.1,0.0,9.4,1014.6,7.0,173.2,15.0
Pirojpur,6,1,2025,19.3,19.4,27.7,13.9,84.7,0.0,9.4,1013.8,7.0,181.5,16.3
Pirojpur,7,1,2025,19.6,19.6,26.3,15.0,83.4,0.0,10.1,1012.9,7.0,158.1,16.4
Pirojpur,8,1,2025,17.6,17.6,22.0,15.1,89.6,0.1,10.1,1014.3,7.0,170.2,15.8
Pirojpur,9,1,2025,16.8,16.8,23.5,13.2,83.3,0.0,12.6,1016.9,7.0,199.1,13.6
Pirojpur,10,1,2025,17.0,17.0,24.9,12.1,80.1,0.0,9.7,1018.1,7.0,201.6,13.1
Pirojpur,11,1,2025,17.8,17.8,26.4,11.7,80.3,0.0,9.7,1017.8,7.0,202.0,13.8
Pirojpur,12,1,2025,18.8,18.8,28.4,12.8,78.7,0.0,10.1,1016.9,7.0,199.3,14.4
Pirojpur,13,1,2025,19.0,19.0,27.2,13.1,79.7,0.0,9.7,1015.0,7.0,199.6,14.8
Pirojpur,14,1,2025,19.2,19.2,26.5,14.3,79.2,0.0,13.0,1017.1,7.0,196.0,15.1
Pirojpur,15,1,2025,19.1,19.1,26.2,14.6,79.6,0.0,13.3,1017.6,7.0,199.0,15.1
Pirojpur,16,1,2025,19.4,19.4,27.7,14.5,81.5,0.0,10.4,1016.8,7.0,202.4,15.7
Pirojpur,17,1,2025,19.8,19.8,27.4,15.2,80.9,0.0,10.4,1015.8,7.0,201.7,16.0
Pirojpur,18,1,2025,19.8,19.8,26.6,15.2,79.6,0.0,10.4,1015.3,7.0,202.9,15.8
Pirojpur,19,1,2025,18.9,18.9,25.9,14.3,73.8,0.0,12.6,1014.2,8.0,211.0,13.4
Pirojpur,20,1,2025,17.9,17.9,25.4,12.6,78.5,0.0,10.8,1012.5,8.0,209.8,13.5
Pirojpur,21,1,2025,18.6,18.6,26.5,13.1,81.2,0.0,10.4,1012.0,8.0,207.7,14.9
Pirojpur,22,1,2025,20.0,20.0,28.2,14.9,81.7,0.0,8.6,1012.6,8.0,207.3,16.3
Pirojpur,23,1,2025,18.8,18.8,25.1,14.9,87.6,0.0,10.1,1013.4,8.0,207.5,16.5
Pirojpur,24,1,2025,19.5,19.5,26.1,15.0,84.0,0.0,9.4,1012.8,7.0,196.9,16.5
Pirojpur,25,1,2025,19.6,19.6,26.3,15.4,82.0,0.0,10.1,1013.6,7.0,162.0,16.1
Pirojpur,26,1,2025,18.9,18.9,25.6,14.2,76.0,0.0,11.9,1013.2,8.0,214.1,13.9
Pirojpur,27,1,2025,18.3,18.3,25.7,12.9,77.1,0.0,11.2,1011.4,8.0,216.1,13.6
Pirojpur,28,1,2025,18.6,18.6,26.6,12.7,77.6,0.0,9.0,1012.9,8.0,215.6,13.9
Pirojpur,29,1,2025,19.7,19.7,27.7,13.8,78.6,0.0,9.4,1015.2,8.0,208.0,15.2
Pirojpur,30,1,2025,21.5,21.6,27.4,16.2,84.5,0.9,16.2,1012.0,6.0,152.4,18.6
Pirojpur,31,1,2025,22.9,22.9,26.5,19.7,88.7,1.3,17.6,1011.6,4.0,115.9,20.8
Pirojpur,1,2,2025,23.1,23.3,27.3,19.9,90.2,1.2,8.3,1012.2,6.0,151.9,21.3
Pirojpur,2,2,2025,23.4,23.5,27.7,21.2,90.1,0.3,10.8,1012.2,6.0,143.3,21.5
Pirojpur,3,2,2025,22.9,23.0,29.0,18.8,82.9,0.1,7.9,1012.7,7.0,182.5,19.4
Pirojpur,4,2,2025,21.1,21.0,27.9,15.7,73.3,0.0,12.2,1012.6,8.0,221.6,15.4
Pirojpur,5,2,2025,21.7,21.7,29.2,16.1,77.4,0.0,9.0,1011.2,8.0,215.9,17.0
Pirojpur,6,2,2025,22.9,23.0,29.7,19.5,85.1,0.0,9.7,1011.8,8.0,202.5,19.9
Pirojpur,7,2,2025,20.4,20.4,27.9,15.3,70.1,0.0,9.4,1013.8,8.0,236.0,13.8
Pirojpur,8,2,2025,19.1,19.0,27.0,12.9,69.7,0.0,12.6,1014.1,8.0,235.2,12.3
Pirojpur,9,2,2025,18.8,18.8,27.2,12.4,71.4,0.0,11.2,1013.4,8.0,234.5,12.8
Pirojpur,10,2,2025,20.9,20.8,29.8,14.1,72.8,0.0,9.0,1013.7,8.0,233.0,14.8
Pirojpur,11,2,2025,23.6,24.0,30.1,18.9,83.3,0.0,13.3,1012.8,8.0,215.1,20.3
Pirojpur,12,2,2025,24.6,25.1,30.0,20.6,85.3,0.5,11.5,1012.6,5.0,151.9,21.7
Pirojpur,13,2,2025,25.3,26.0,29.9,22.6,86.6,1.5,11.2,1011.5,7.0,173.6,22.7
Pirojpur,14,2,2025,23.0,22.9,28.3,18.5,68.1,0.0,10.8,1012.1,8.0,234.9,15.7
Pirojpur,15,2,2025,22.0,21.9,29.7,16.2,72.7,0.0,7.9,1011.9,8.0,236.7,15.8
Pirojpur,16,2,2025,23.1,23.1,30.8,17.1,77.4,0.0,11.2,1012.2,8.0,215.5,18.2
Pirojpur,17,2,2025,23.8,24.1,30.9,19.7,82.1,0.0,10.1,1013.8,8.0,218.0,20.0
Pirojpur,18,2,2025,24.4,25.0,31.2,19.8,81.6,0.1,10.8,1013.4,8.0,228.4,20.6
Pirojpur,19,2,2025,23.9,24.3,28.4,20.6,86.6,2.9,7.2,1012.8,7.0,191.8,21.3
Pirojpur,20,2,2025,23.2,23.5,28.7,19.7,86.4,0.8,10.1,1014.0,7.0,196.8,20.5
Pirojpur,21,2,2025,23.8,24.2,30.4,18.8,80.2,0.0,9.0,1014.4,8.0,227.8,19.6
Pirojpur,22,2,2025,24.3,24.8,30.9,19.4,80.6,0.5,7.2,1014.5,8.0,225.4,20.3
Pirojpur,23,2,2025,24.3,24.4,30.7,20.8,78.3,1.2,7.6,1015.6,6.0,165.9,19.8
Pirojpur,24,2,2025,24.1,24.4,30.3,18.7,76.1,0.0,9.0,1016.4,8.0,215.1,19.1
Pirojpur,25,2,2025,24.4,24.6,31.4,18.4,70.2,0.0,10.1,1017.5,8.0,228.9,17.8
Pirojpur,26,2,2025,23.8,23.7,30.5,18.5,69.8,0.0,12.2,1017.4,9.0,250.9,17.1
Pirojpur,27,2,2025,23.6,23.6,30.4,17.1,70.5,0.0,10.1,1015.2,9.0,246.5,17.2
Pirojpur,28,2,2025,24.9,25.7,31.0,19.3,77.9,0.0,8.3,1013.9,8.0,218.4,20.3
Pirojpur,1,3,2025,26.2,27.2,32.8,21.1,78.3,0.0,11.5,1011.7,8.0,248.3,21.5
Pirojpur,2,3,2025,27.3,28.6,33.6,22.7,75.0,0.2,16.6,1008.7,9.0,249.1,21.9
Pirojpur,3,3,2025,26.5,27.3,32.7,23.3,79.3,0.2,7.9,1009.8,8.0,202.9,22.1
Pirojpur,4,3,2025,25.9,26.1,32.9,21.1,71.3,0.0,13.0,1010.0,8.0,236.1,19.4
Pirojpur,5,3,2025,25.4,25.4,32.2,20.2,70.3,0.0,12.6,1009.3,9.0,254.2,18.4
Pirojpur,6,3,2025,24.4,24.3,30.8,19.4,63.9,0.0,14.0,1010.8,9.0,266.9,16.1
Pirojpur,7,3,2025,23.0,22.7,31.0,15.7,62.2,0.0,10.4,1009.8,9.0,273.9,14.0
Pirojpur,8,3,2025,24.0,24.4,31.6,17.2,73.2,0.0,14.8,1009.5,9.0,240.0,18.2
Pirojpur,9,3,2025,25.2,26.0,31.4,19.7,78.7,0.0,8.6,1012.9,9.0,240.3,20.8
Pirojpur,10,3,2025,26.4,27.0,33.4,20.0,71.6,0.0,9.4,1014.6,9.0,264.3,20.0
Pirojpur,11,3,2025,26.6,27.1,33.6,20.6,69.4,0.0,11.9,1012.7,9.0,260.1,19.6
Pirojpur,12,3,2025,27.0,28.0,34.4,19.8,71.7,0.0,14.4,1009.2,9.0,259.8,20.7
Pirojpur,13,3,2025,28.5,31.4,34.3,24.3,78.6,0.3,18.0,1007.7,9.0,260.3,23.9
Pirojpur,14,3,2025,28.7,32.1,34.0,25.6,81.1,0.4,20.2,1008.9,9.0,251.3,24.8
