district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Rajbari,1,1,2025,16.8,16.8,22.7,14.6,89.3,0.0,14.8,1014.6,7.0,151.8,14.9
Rajbari,2,1,2025,14.5,14.5,15.6,13.3,92.6,0.0,14.8,1015.3,7.0,157.6,13.3
Rajbari,3,1,2025,15.4,15.4,18.7,13.7,89.9,0.0,11.2,1015.5,6.0,155.4,13.7
Rajbari,4,1,2025,17.6,17.6,22.0,13.0,85.0,0.1,9.4,1013.9,6.0,138.8,15.0
Rajbari,5,1,2025,20.2,20.2,28.0,14.3,76.8,0.0,13.0,1014.4,7.0,173.6,15.3
Rajbari,6,1,2025,21.7,21.7,28.3,15.2,73.4,0.0,11.2,1013.2,7.0,169.7,16.0
Rajbari,7,1,2025,20.8,20.8,26.0,15.4,70.6,0.0,14.8,1012.3,6.0,151.3,14.7
Rajbari,8,1,2025,18.0,18.0,21.9,15.8,78.8,0.0,16.6,1014.2,7.0,185.3,14.1
Rajbari,9,1,2025,17.4,17.4,22.9,12.9,72.9,0.0,14.8,1016.8,7.0,190.7,12.1
Rajbari,10,1,2025,18.3,18.3,25.0,12.2,67.8,0.0,9.4,1018.0,7.0,192.7,11.6
Rajbari,11,1,2025,19.2,19.2,26.7,13.0,66.6,0.0,9.4,1017.6,7.0,192.3,11.7
Rajbari,12,1,2025,20.6,20.4,28.0,13.0,63.2,0.0,9.4,1016.6,7.0,189.5,12.3
Rajbari,13,1,2025,20.5,20.5,26.3,14.0,67.0,0.0,11.2,1014.4,7.0,184.6,13.4
Rajbari,14,1,2025,20.8,20.8,26.3,16.0,67.5,0.0,13.0,1016.8,7.0,182.8,14.0
Rajbari,15,1,2025,20.3,20.3,26.1,15.0,70.4,0.0,13.0,1017.3,7.0,190.5,14.0
Rajbari,16,1,2025,20.3,20.3,27.0,14.3,69.6,0.0,11.2,1016.8,7.0,196.8,13.8
Rajbari,17,1,2025,20.7,20.6,27.0,15.4,68.9,0.0,14.8,1015.6,7.0,190.1,14.0
Rajbari,18,1,2025,20.5,20.5,26.5,15.8,70.1,0.0,13.0,1015.1,7.0,190.7,14.1
Rajbari,19,1,2025,19.7,19.7,25.9,14.6,63.8,0.0,13.0,1013.7,7.0,202.8,11.8
Rajbari,20,1,2025,18.7,18.7,24.9,12.8,68.9,0.0,9.4,1012.2,7.0,198.1,12.4
Rajbari,21,1,2025,18.8,18.8,24.9,12.8,74.2,0.0,14.8,1011.5,7.0,198.0,13.7
Rajbari,22,1,2025,18.8,18.8,24.9,14.4,84.6,0.0,11.2,1012.4,7.0,193.7,16.1
Rajbari,23,1,2025,17.3,17.3,22.4,13.5,82.7,0.0,11.2,1013.2,7.0,187.6,14.1
Rajbari,24,1,2025,17.1,17.1,22.0,13.6,83.7,0.0,7.6,1013.0,7.0,173.1,14.2
Rajbari,25,1,2025,19.4,19.4,25.6,13.8,69.8,0.0,13.0,1013.6,4.0,122.0,13.0
Rajbari,26,1,2025,19.0,19.0,25.1,12.6,68.3,0.0,13.0,1013.0,8.0,210.0,12.4
Rajbari,27,1,2025,19.1,19.1,24.7,14.2,72.6,0.0,11.2,1011.0,7.0,195.6,13.6
Rajbari,28,1,2025,19.6,19.6,26.6,13.2,63.9,0.0,11.2,1012.6,7.0,205.0,11.5
Rajbari,29,1,2025,19.9,19.9,27.6,13.3,60.8,0.0,9.4,1014.9,8.0,210.8,10.8
Rajbari,30,1,2025,21.4,21.5,26.7,16.0,74.1,1.5,18.4,1011.1,5.0,143.7,16.4
Rajbari,31,1,2025,23.3,23.6,28.0,20.6,83.0,0.2,14.8,1010.8,7.0,143.0,20.1
Rajbari,1,2,2025,22.6,22.7,27.0,19.0,83.9,0.2,11.2,1011.9,7.0,167.5,19.6
Rajbari,2,2,2025,23.0,23.2,28.5,19.0,77.8,0.0,11.2,1011.7,7.0,198.9,18.5
Rajbari,3,2,2025,22.3,22.2,28.9,17.0,68.4,0.0,14.8,1012.6,8.0,216.7,15.0
Rajbari,4,2,2025,21.1,21.1,26.7,14.4,63.6,0.0,11.2,1012.2,8.0,213.9,13.4
Rajbari,5,2,2025,22.0,22.0,29.0,16.0,69.4,0.0,9.4,1010.6,8.0,212.0,15.4
Rajbari,6,2,2025,23.0,22.9,30.0,17.0,63.3,0.0,13.0,1011.4,8.0,215.9,14.7
Rajbari,7,2,2025,20.6,20.6,27.1,13.9,50.7,0.0,13.0,1013.5,8.0,229.0,8.8
Rajbari,8,2,2025,20.3,20.2,26.9,13.5,49.3,0.0,14.8,1013.8,8.0,226.3,7.9
Rajbari,9,2,2025,19.9,19.9,25.4,13.4,55.5,0.0,13.0,1012.9,8.0,226.5,9.6
Rajbari,10,2,2025,20.9,20.7,28.9,13.5,59.7,0.0,13.0,1013.2,8.0,227.0,11.6
Rajbari,11,2,2025,22.3,22.4,29.8,17.3,69.6,0.0,13.0,1012.1,7.0,202.6,16.0
Rajbari,12,2,2025,23.6,23.9,29.7,18.6,77.3,0.0,11.2,1012.0,8.0,195.7,19.0
Rajbari,13,2,2025,24.8,25.1,30.3,20.9,72.5,0.0,13.0,1011.0,8.0,180.6,18.9
Rajbari,14,2,2025,22.2,22.0,28.1,16.3,51.5,0.0,14.8,1011.6,8.0,237.8,10.3
Rajbari,15,2,2025,21.9,21.7,28.9,14.2,49.4,0.0,13.0,1011.7,8.0,234.3,9.2
Rajbari,16,2,2025,22.8,22.5,30.5,14.8,58.1,0.0,11.2,1011.7,8.0,233.4,12.8
Rajbari,17,2,2025,24.2,24.3,30.6,18.5,69.3,0.9,9.4,1013.4,8.0,215.1,17.6
Rajbari,18,2,2025,24.7,25.3,29.9,21.0,74.2,0.1,11.2,1012.8,8.0,211.8,19.6
Rajbari,19,2,2025,24.7,24.6,30.3,19.2,62.7,0.0,14.8,1012.4,7.0,198.9,16.3
Rajbari,20,2,2025,24.3,24.2,29.0,19.5,65.4,0.2,9.4,1014.0,8.0,194.7,16.4
