district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Rajshahi,1,1,2025,16.3,16.3,22.3,13.0,83.5,0.0,12.6,1016.1,7.0,155.5,13.3
Rajshahi,2,1,2025,14.7,14.7,19.7,11.0,85.3,0.0,10.8,1016.4,7.0,162.2,12.2
Rajshahi,3,1,2025,16.0,16.0,22.5,10.2,84.2,0.0,10.8,1016.1,7.0,167.1,13.2
Rajshahi,4,1,2025,18.1,18.1,24.8,13.9,83.5,0.0,11.5,1014.6,6.0,138.1,15.0
Rajshahi,5,1,2025,19.3,19.3,26.1,14.9,83.4,0.0,10.8,1015.2,6.0,162.8,16.2
Rajshahi,6,1,2025,19.5,19.5,27.1,14.1,83.6,0.0,6.8,1014.0,6.0,171.1,16.3
Rajshahi,7,1,2025,19.3,19.3,25.6,14.1,81.1,0.0,14.8,1012.9,6.0,133.2,15.7
Rajshahi,8,1,2025,16.7,16.7,20.3,13.5,83.8,0.0,14.0,1015.3,6.0,166.6,13.9
Rajshahi,9,1,2025,15.4,15.4,21.2,11.0,79.7,0.0,8.6,1017.9,7.0,186.4,11.6
Rajshahi,10,1,2025,15.9,15.9,23.4,10.5,81.7,0.0,9.4,1018.9,7.0,187.2,12.6
Rajshahi,11,1,2025,17.5,17.5,25.0,13.1,81.9,0.0,8.6,1018.4,7.0,185.9,14.0
Rajshahi,12,1,2025,18.5,18.5,26.1,11.6,79.4,0.0,7.6,1017.4,7.0,180.5,14.4
Rajshahi,13,1,2025,18.7,18.7,25.6,13.3,82.4,0.0,10.8,1015.2,7.0,175.8,15.3
Rajshahi,14,1,2025,18.3,18.3,24.9,14.6,80.8,0.0,10.8,1018.1,7.0,179.0,14.7
Rajshahi,15,1,2025,17.4,17.4,23.1,13.1,82.5,0.0,10.8,1018.9,7.0,183.0,14.2
