district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Rangamati,1,1,2025,19.1,19.1,25.3,13.9,84.5,0.0,18.4,1013.7,7.0,191.0,16.2
Rangamati,2,1,2025,18.4,18.4,23.0,15.4,87.2,0.0,16.6,1014.2,7.0,190.7,16.1
Rangamati,3,1,2025,18.3,18.3,25.4,14.9,91.1,0.0,11.4,1014.8,7.0,171.3,16.8
Rangamati,4,1,2025,19.4,19.4,27.0,16.0,88.3,0.0,11.2,1013.7,7.0,165.3,17.3
Rangamati,5,1,2025,21.1,21.2,29.3,16.0,82.2,0.0,18.4,1014.6,7.0,164.2,17.5
Rangamati,6,1,2025,22.5,22.6,29.8,17.1,78.3,0.0,11.2,1013.5,7.0,180.6,17.9
Rangamati,7,1,2025,21.5,21.5,27.7,16.3,77.8,0.0,18.4,1012.8,7.0,175.0,16.9
Rangamati,8,1,2025,20.3,20.3,26.0,15.8,83.1,0.0,22.3,1013.6,6.0,158.6,17.0
Rangamati,9,1,2025,19.7,19.7,24.8,14.7,79.2,0.0,14.8,1015.7,7.0,181.8,15.7
Rangamati,10,1,2025,19.7,19.7,26.2,13.8,78.5,0.0,11.2,1017.2,7.0,199.9,15.3
Rangamati,11,1,2025,21.1,21.1,29.0,13.8,73.1,0.0,14.8,1017.1,7.0,193.0,15.2
Rangamati,12,1,2025,21.7,21.6,29.1,15.2,71.6,0.0,13.0,1016.7,7.0,188.2,15.5
Rangamati,13,1,2025,21.0,20.9,29.4,14.5,72.1,0.0,14.8,1015.0,7.0,190.9,14.8
Rangamati,14,1,2025,20.7,20.7,27.6,13.4,72.3,0.0,14.8,1016.2,7.0,196.1,14.8
Rangamati,15,1,2025,21.3,21.3,28.1,14.5,73.1,0.0,13.0,1016.6,7.0,199.5,15.7
Rangamati,16,1,2025,22.0,21.9,29.4,15.1,68.4,0.0,11.2,1016.1,7.0,199.4,15.0
Rangamati,17,1,2025,21.7,21.6,29.0,15.0,69.8,0.0,18.4,1015.1,7.0,199.1,15.0
Rangamati,18,1,2025,21.5,21.4,28.4,14.2,70.7,0.0,18.4,1014.4,8.0,204.9,15.1
Rangamati,19,1,2025,21.5,21.5,27.1,15.2,65.1,0.0,22.3,1013.2,8.0,207.1,14.0
Rangamati,20,1,2025,20.0,20.0,27.7,12.9,71.2,0.0,14.8,1012.0,8.0,209.1,13.9
Rangamati,21,1,2025,19.6,19.6,25.8,12.9,75.6,0.0,14.8,1011.6,8.0,208.8,14.5
Rangamati,22,1,2025,20.5,20.7,27.0,13.9,77.4,0.0,20.5,1012.5,8.0,207.8,15.9
Rangamati,23,1,2025,20.5,20.5,28.0,14.6,74.1,0.0,18.4,1013.1,8.0,210.2,15.0
Rangamati,24,1,2025,21.1,20.9,29.1,13.5,68.2,0.0,14.8,1012.5,8.0,214.1,13.8
Rangamati,25,1,2025,21.1,21.0,27.3,14.4,67.7,0.0,16.6,1012.9,7.0,166.9,14.0
Rangamati,26,1,2025,20.4,20.4,25.7,14.5,67.5,0.0,24.1,1012.3,8.0,216.3,13.4
Rangamati,27,1,2025,19.7,19.7,25.5,14.2,72.6,0.0,13.0,1010.9,8.0,216.5,14.1
Rangamati,28,1,2025,19.8,19.8,26.0,14.0,77.0,0.0,14.8,1012.7,8.0,205.1,15.1
Rangamati,29,1,2025,19.5,19.5,27.0,13.6,77.0,0.0,11.2,1014.7,8.0,210.7,14.4
Rangamati,30,1,2025,19.8,19.8,26.5,12.7,74.5,0.0,16.6,1012.4,8.0,208.0,14.5
Rangamati,31,1,2025,21.6,21.7,26.8,16.3,78.2,0.0,11.2,1012.6,7.0,184.0,17.5
Rangamati,1,2,2025,22.7,23.0,29.3,17.9,81.5,0.0,11.2,1012.4,7.0,184.0,19.0
Rangamati,2,2,2025,23.2,23.4,28.8,17.9,80.6,0.0,14.8,1012.2,7.0,178.2,19.3
Rangamati,3,2,2025,23.0,23.1,29.4,17.3,74.4,0.0,14.8,1012.5,8.0,213.0,17.5
Rangamati,4,2,2025,21.7,21.5,28.5,14.0,62.3,0.0,13.0,1012.3,8.0,225.5,13.0
Rangamati,5,2,2025,21.4,21.4,28.0,14.8,74.0,0.0,16.6,1011.1,8.0,219.9,15.9
Rangamati,6,2,2025,22.7,23.0,29.9,16.3,78.5,0.0,14.8,1011.6,8.0,215.4,18.3
Rangamati,7,2,2025,22.7,22.4,30.0,16.2,64.5,0.0,20.5,1013.1,8.0,231.6,13.8
Rangamati,8,2,2025,21.4,21.2,29.4,13.7,55.1,0.0,25.9,1013.4,8.0,238.1,10.5
Rangamati,9,2,2025,20.4,20.3,27.4,11.6,62.4,0.0,16.6,1012.9,8.0,236.8,11.9
Rangamati,10,2,2025,21.2,21.0,29.0,12.6,64.4,0.0,14.8,1013.9,8.0,230.3,12.7
Rangamati,11,2,2025,21.9,22.0,29.8,14.2,74.8,0.0,16.6,1013.4,8.0,225.9,16.5
Rangamati,12,2,2025,23.7,23.9,29.9,17.4,74.6,0.0,14.8,1013.2,8.0,225.3,18.3
Rangamati,13,2,2025,24.5,24.7,30.7,20.1,76.5,0.0,14.8,1012.3,7.0,190.0,19.6
