district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Rangpur,1,1,2025,15.5,15.5,20.1,13.0,93.5,0.0,13.0,1015.7,7.0,136.9,14.4
Rangpur,2,1,2025,15.3,15.3,22.1,12.4,91.7,0.0,10.4,1016.2,6.0,155.5,13.9
Rangpur,3,1,2025,16.8,16.8,26.1,10.2,87.5,0.0,9.4,1016.0,6.0,172.4,14.4
Rangpur,4,1,2025,19.4,19.5,27.6,13.4,80.5,0.0,8.0,1014.6,7.0,170.4,15.5
Rangpur,5,1,2025,20.1,20.1,28.1,13.4,74.0,0.0,10.1,1015.4,6.0,173.6,14.8
Rangpur,6,1,2025,20.7,20.8,28.1,14.9,74.9,0.0,10.4,1014.1,6.0,155.6,15.7
Rangpur,7,1,2025,20.6,20.6,26.6,15.8,74.1,0.0,14.8,1012.3,5.0,122.6,15.4
Rangpur,8,1,2025,16.8,16.8,18.3,13.9,87.7,0.0,14.4,1014.7,5.0,116.4,14.7
Rangpur,9,1,2025,16.9,16.9,22.2,12.4,81.3,0.0,8.3,1017.5,6.0,151.0,13.5
Rangpur,10,1,2025,18.0,18.0,25.1,11.8,79.6,0.0,9.4,1018.7,7.0,162.8,14.0
Rangpur,11,1,2025,18.7,18.7,26.1,12.0,77.0,0.0,11.2,1018.4,7.0,181.9,14.0
Rangpur,12,1,2025,19.3,19.4,27.1,14.2,76.4,0.1,10.4,1017.6,5.0,145.1,14.7
Rangpur,13,1,2025,19.4,19.4,26.5,13.7,80.3,0.1,8.6,1015.0,6.0,146.2,15.4
Rangpur,14,1,2025,19.2,19.2,26.1,14.2,79.1,0.0,7.6,1017.9,7.0,175.4,15.2
Rangpur,15,1,2025,18.8,18.8,26.1,13.6,79.7,0.0,7.9,1018.7,7.0,181.2,14.8
Rangpur,16,1,2025,19.3,19.3,27.6,12.8,77.6,0.0,9.4,1017.8,6.0,171.9,14.8
Rangpur,17,1,2025,19.0,19.0,25.1,14.8,80.5,0.0,8.6,1016.6,6.0,142.5,15.3
Rangpur,18,1,2025,19.2,19.2,26.5,14.8,79.4,0.0,8.3,1015.8,7.0,188.6,15.1
Rangpur,19,1,2025,18.2,18.2,26.1,12.1,78.4,0.0,9.7,1014.3,7.0,192.1,14.0
Rangpur,20,1,2025,18.0,18.0,26.1,13.3,84.6,0.0,13.0,1012.3,7.0,175.4,15.1
Rangpur,21,1,2025,17.0,17.0,23.1,12.3,89.5,0.0,7.6,1011.9,6.0,144.3,15.1
Rangpur,22,1,2025,16.2,16.2,21.1,13.0,93.5,0.0,9.4,1013.0,6.0,134.3,15.1
Rangpur,23,1,2025,16.4,16.4,19.8,13.5,91.6,0.0,7.2,1013.8,6.0,124.1,15.0
Rangpur,24,1,2025,15.4,15.4,18.1,13.2,92.2,0.0,7.6,1013.3,6.0,139.0,14.1
Rangpur,25,1,2025,16.0,16.0,21.1,11.9,88.4,0.0,6.8,1014.2,7.0,156.0,13.9
Rangpur,26,1,2025,17.3,17.3,24.3,11.6,85.4,0.0,6.8,1013.7,7.0,174.3,14.5
Rangpur,27,1,2025,18.5,18.5,26.1,12.5,84.3,0.0,7.9,1011.1,7.0,187.2,15.5
Rangpur,28,1,2025,18.4,18.4,24.1,14.0,82.7,0.1,7.6,1012.7,6.0,150.9,15.2
Rangpur,29,1,2025,18.4,18.4,25.1,13.3,81.4,0.0,9.4,1015.1,7.0,166.7,14.8
Rangpur,30,1,2025,18.4,18.4,25.1,13.3,82.9,0.0,8.3,1011.2,7.0,156.4,15.2
Rangpur,31,1,2025,18.3,18.3,25.8,12.5,89.8,0.0,8.3,1011.3,7.0,187.1,16.4
Rangpur,1,2,2025,18.0,18.0,23.6,12.9,89.9,0.0,8.6,1012.8,7.0,181.3,16.2
Rangpur,2,2,2025,18.3,18.3,24.1,13.3,90.4,0.0,9.0,1012.4,7.0,182.6,16.5
Rangpur,3,2,2025,18.9,18.9,24.6,14.2,87.8,0.0,9.4,1013.1,7.0,183.3,16.7
Rangpur,4,2,2025,19.8,19.8,26.2,13.7,79.8,0.0,6.5,1012.9,7.0,169.9,15.8
Rangpur,5,2,2025,20.0,20.0,26.5,14.6,82.6,0.0,9.4,1010.8,7.0,157.5,16.7
Rangpur,6,2,2025,20.3,20.3,27.1,15.4,83.0,0.0,9.7,1011.4,7.0,196.8,17.1
Rangpur,7,2,2025,18.1,18.1,24.5,13.1,71.8,0.0,13.0,1013.2,8.0,215.0,12.6
Rangpur,8,2,2025,18.1,18.1,25.1,11.1,77.7,0.0,7.6,1014.4,8.0,210.3,13.7
Rangpur,9,2,2025,19.1,19.1,26.1,13.3,77.7,0.0,8.6,1013.0,7.0,190.4,14.7
Rangpur,10,2,2025,19.4,19.4,25.8,13.4,79.6,0.0,9.4,1013.1,7.0,174.0,15.4
Rangpur,11,2,2025,19.4,19.4,25.2,13.7,81.2,0.0,8.6,1011.9,8.0,218.1,15.8
