district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Satkhira,1,1,2025,18.3,18.3,23.2,14.1,74.2,0.0,16.0,1015.4,7.0,163.0,13.4
Satkhira,2,1,2025,17.0,17.0,22.3,12.0,74.4,0.0,15.4,1015.5,7.0,184.9,12.1
Satkhira,3,1,2025,16.7,16.7,22.0,12.7,80.3,0.0,12.4,1015.6,7.0,138.1,13.1
Satkhira,4,1,2025,17.7,17.7,24.0,14.0,84.5,0.0,11.8,1014.0,6.0,129.6,14.8
Satkhira,5,1,2025,18.1,18.1,24.0,13.9,84.5,0.0,11.2,1014.7,6.0,168.7,15.2
Satkhira,6,1,2025,18.9,18.9,25.7,14.0,78.3,0.0,8.8,1013.7,7.0,183.1,14.4
Satkhira,7,1,2025,20.9,21.0,26.7,16.0,76.0,0.0,13.0,1012.6,5.0,140.7,16.1
Satkhira,8,1,2025,18.6,18.6,22.0,15.9,75.4,0.0,30.2,1014.5,7.0,192.8,13.9
Satkhira,9,1,2025,17.3,17.3,22.4,12.4,75.6,0.0,14.8,1017.2,7.0,198.0,12.6
Satkhira,10,1,2025,17.5,17.5,23.4,12.4,69.4,0.0,16.0,1018.5,7.0,199.2,11.4
Satkhira,11,1,2025,18.1,18.1,24.8,11.9,73.3,0.0,14.8,1018.1,7.0,197.7,12.8
Satkhira,12,1,2025,19.6,19.6,26.4,13.1,70.1,0.0,7.6,1016.9,7.0,198.0,13.3
Satkhira,13,1,2025,20.3,20.3,26.1,14.1,70.8,0.0,10.6,1014.9,7.0,192.2,14.3
Satkhira,14,1,2025,20.1,20.1,25.1,16.3,74.7,0.0,18.4,1017.3,7.0,179.6,15.3
Satkhira,15,1,2025,19.6,19.6,25.3,15.0,69.0,0.0,20.5,1018.0,7.0,193.5,13.1
Satkhira,16,1,2025,19.2,19.2,26.0,14.0,74.3,0.0,15.4,1017.3,7.0,200.4,14.0
Satkhira,17,1,2025,19.7,19.7,25.6,15.0,73.7,0.0,13.6,1016.2,7.0,199.4,14.4
Satkhira,18,1,2025,19.8,19.8,25.3,15.0,71.0,0.0,16.6,1015.7,7.0,198.2,13.8
Satkhira,19,1,2025,19.9,19.9,26.0,15.0,65.4,0.0,15.4,1014.4,8.0,208.6,12.4
Satkhira,20,1,2025,18.9,18.9,25.0,13.2,67.6,0.0,18.4,1012.7,8.0,208.5,12.0
Satkhira,21,1,2025,20.6,20.6,27.0,13.9,70.7,0.0,14.8,1011.7,8.0,204.0,14.5
Satkhira,22,1,2025,21.1,21.1,27.7,15.4,72.6,0.0,17.8,1012.5,8.0,205.4,15.4
Satkhira,23,1,2025,19.4,19.5,26.7,15.0,85.4,0.0,13.6,1013.2,7.0,202.9,16.6
Satkhira,24,1,2025,20.1,20.1,26.4,16.0,82.8,0.0,12.4,1012.6,7.0,191.3,16.8
Satkhira,25,1,2025,20.2,20.2,24.7,17.1,78.9,0.0,14.2,1013.8,6.0,146.4,16.2
Satkhira,26,1,2025,19.8,19.8,25.1,15.0,64.4,0.0,13.6,1013.4,8.0,212.8,11.9
Satkhira,27,1,2025,19.3,19.3,25.4,12.9,62.0,0.0,16.0,1011.4,8.0,214.3,10.9
Satkhira,28,1,2025,19.9,19.9,26.2,13.2,66.8,0.0,10.6,1012.6,8.0,213.6,12.8
Satkhira,29,1,2025,21.0,21.0,26.2,14.7,78.7,0.0,13.0,1014.7,7.0,172.9,16.9
Satkhira,30,1,2025,23.4,23.8,28.0,18.4,81.1,0.0,24.7,1011.0,6.0,140.1,19.8
Satkhira,31,1,2025,24.1,24.4,27.4,21.6,85.4,0.0,14.8,1010.8,5.0,121.9,21.4
Satkhira,1,2,2025,24.0,24.4,27.1,21.6,88.7,0.0,10.6,1011.8,6.0,149.7,21.9
Satkhira,2,2,2025,23.6,23.7,27.0,21.7,89.5,0.0,11.2,1012.0,6.0,159.5,21.7
Satkhira,3,2,2025,23.7,23.7,29.0,20.9,71.9,0.0,14.2,1012.8,8.0,205.8,17.6
Satkhira,4,2,2025,22.4,22.3,28.1,16.1,63.5,0.0,14.7,1012.8,8.0,219.4,14.3
Satkhira,5,2,2025,23.0,23.0,29.4,16.7,71.3,0.0,12.4,1010.9,8.0,211.5,16.9
Satkhira,6,2,2025,24.6,24.6,29.8,20.1,68.9,0.0,16.6,1011.8,8.0,213.3,17.7
Satkhira,7,2,2025,21.5,21.4,28.0,15.2,56.4,0.0,17.8,1013.9,8.0,235.0,11.3
Satkhira,8,2,2025,20.3,20.3,26.1,13.9,59.2,0.0,14.8,1014.3,8.0,233.0,11.1
Satkhira,9,2,2025,21.0,20.8,28.0,13.1,58.3,0.0,14.8,1013.4,8.0,231.6,11.3
Satkhira,10,2,2025,22.9,22.7,31.0,13.7,65.4,0.0,14.2,1013.5,8.0,227.3,14.9
Satkhira,11,2,2025,25.2,25.4,31.0,21.4,73.8,0.0,14.8,1012.1,8.0,215.9,19.6
Satkhira,12,2,2025,25.0,25.7,29.4,20.0,78.9,0.0,13.0,1011.9,7.0,170.3,20.8
Satkhira,13,2,2025,25.7,26.1,30.0,22.2,74.5,0.0,13.6,1011.3,7.0,189.2,20.2
Satkhira,14,2,2025,22.6,22.4,28.0,16.6,53.0,0.0,17.2,1012.0,8.0,239.6,11.4
Satkhira,15,2,2025,23.2,23.0,30.0,15.9,58.6,0.0,11.2,1011.6,8.0,236.0,13.5
Satkhira,16,2,2025,24.6,24.6,32.0,18.4,66.8,0.0,17.8,1011.6,8.0,222.8,17.0
Satkhira,17,2,2025,25.8,26.1,32.0,21.5,73.2,0.0,19.7,1013.3,8.0,212.4,19.8
Satkhira,18,2,2025,26.0,26.9,30.0,22.0,75.8,0.0,14.8,1012.9,8.0,220.6,21.0
Satkhira,19,2,2025,24.8,25.3,28.4,21.2,82.2,0.0,12.4,1012.5,7.0,188.6,21.4
Satkhira,20,2,2025,22.3,22.6,28.0,20.0,87.4,26.938,22.3,1014.1,7.0,168.7,20.1
Satkhira,21,2,2025,23.8,24.3,29.7,18.7,78.1,0.0,11.2,1014.1,8.0,214.1,19.3
Satkhira,22,2,2025,25.0,25.8,30.0,19.4,78.9,0.04,12.4,1014.4,8.0,214.8,20.8
Satkhira,23,2,2025,25.5,26.1,29.2,21.7,73.8,1.191,8.8,1015.2,7.0,188.1,20.1
Satkhira,24,2,2025,25.0,25.5,30.1,20.6,70.9,0.0,11.2,1016.4,7.0,214.8,18.9
Satkhira,25,2,2025,24.9,25.4,30.5,19.1,68.3,0.0,13.6,1017.3,7.0,191.6,18.3
Satkhira,26,2,2025,24.7,24.7,30.0,19.4,63.8,0.0,13.6,1017.5,9.0,244.5,16.7
Satkhira,27,2,2025,24.7,24.9,30.0,18.2,65.8,0.0,11.2,1015.0,9.0,214.8,17.3
Satkhira,28,2,2025,26.5,27.0,32.0,20.9,66.7,0.0,10.0,1013.7,8.0,231.1,19.1
Satkhira,1,3,2025,27.9,28.9,34.0,22.7,66.2,0.0,22.3,1011.1,9.0,245.0,20.4
Satkhira,2,3,2025,28.4,29.7,34.0,23.8,63.5,0.0,16.0,1008.3,9.0,249.2,20.3
Satkhira,3,3,2025,27.8,27.8,32.5,23.7,61.4,0.0,14.8,1009.7,8.0,238.1,18.5
Satkhira,4,3,2025,27.4,27.0,33.0,22.4,55.1,0.0,18.5,1010.0,9.0,262.1,16.1
Satkhira,5,3,2025,27.0,26.7,32.0,20.7,49.8,0.0,21.0,1009.2,9.0,257.0,14.8
