district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Sherpur,1,1,2025,16.3,16.3,21.0,13.0,86.7,0.0,11.2,1015.4,7.0,137.9,14.0
Sherpur,2,1,2025,14.7,14.7,19.4,11.7,89.9,0.0,12.2,1015.9,7.0,154.3,13.0
Sherpur,3,1,2025,16.0,16.0,22.7,12.2,87.7,0.0,10.8,1015.8,7.0,168.1,13.8
Sherpur,4,1,2025,17.6,17.6,25.3,13.3,87.4,0.0,6.5,1014.4,7.0,155.6,15.3
Sherpur,5,1,2025,19.5,19.5,27.5,13.0,81.9,0.0,7.6,1014.9,7.0,174.6,15.9
Sherpur,6,1,2025,20.1,20.1,27.8,14.9,83.4,0.0,7.6,1013.7,7.0,174.2,16.8
Sherpur,7,1,2025,19.7,19.7,26.2,14.7,79.8,0.0,15.1,1012.5,6.0,139.6,15.7
Sherpur,8,1,2025,16.9,16.9,20.4,13.6,84.0,0.0,13.7,1014.7,6.0,156.0,14.1
Sherpur,9,1,2025,15.8,15.8,22.1,11.3,82.2,0.0,10.1,1017.3,7.0,178.8,12.6
Sherpur,10,1,2025,16.6,16.6,24.2,10.5,79.9,0.0,9.0,1018.6,7.0,185.9,12.8
Sherpur,11,1,2025,17.5,17.5,26.2,11.7,81.8,0.0,7.6,1018.1,7.0,185.6,13.9
Sherpur,12,1,2025,18.4,18.4,26.6,12.4,78.5,0.0,7.6,1017.2,7.0,170.0,14.0
Sherpur,13,1,2025,18.8,18.8,26.3,13.7,80.0,0.0,8.6,1014.9,7.0,178.5,14.8
Sherpur,14,1,2025,18.4,18.4,25.6,14.5,81.0,0.0,10.1,1017.6,7.0,174.0,14.8
Sherpur,15,1,2025,18.4,18.4,24.9,14.3,80.9,0.0,11.5,1018.2,7.0,188.0,14.8
Sherpur,16,1,2025,18.5,18.5,25.6,13.8,80.8,0.0,10.8,1017.4,7.0,187.7,14.8
Sherpur,17,1,2025,18.5,18.5,25.4,13.7,81.0,0.0,9.7,1016.2,7.0,186.1,14.9
Sherpur,18,1,2025,18.8,18.8,26.0,14.3,79.8,0.0,9.7,1015.6,7.0,190.1,14.9
Sherpur,19,1,2025,17.8,17.8,25.3,12.5,75.9,0.0,10.4,1014.3,7.0,198.1,13.0
Sherpur,20,1,2025,17.1,17.1,23.6,12.5,83.0,0.0,9.4,1012.5,7.0,176.5,14.0
Sherpur,21,1,2025,17.1,17.1,23.6,11.9,85.4,0.0,8.3,1011.9,7.0,169.5,14.4
Sherpur,22,1,2025,16.5,16.5,21.8,13.2,88.7,0.0,8.3,1012.9,7.0,151.1,14.5
Sherpur,23,1,2025,15.9,15.9,23.1,12.9,89.0,0.0,8.6,1013.7,7.0,168.6,13.9
Sherpur,24,1,2025,15.9,15.9,20.6,11.9,87.7,0.0,11.5,1013.3,7.0,169.8,13.7
Sherpur,25,1,2025,17.3,17.3,23.9,13.3,81.5,0.0,11.2,1014.0,6.0,164.3,13.7
Sherpur,26,1,2025,17.0,17.0,24.4,10.9,79.8,0.0,7.6,1013.5,7.0,181.2,13.1
Sherpur,27,1,2025,17.6,17.6,25.0,12.6,80.2,0.0,8.3,1011.1,7.0,174.9,13.8
Sherpur,28,1,2025,17.7,17.7,25.4,12.1,78.0,0.0,8.3,1012.6,7.0,173.7,13.2
Sherpur,29,1,2025,18.0,18.0,26.4,12.5,77.3,0.0,7.9,1015.0,7.0,195.5,13.4
Sherpur,30,1,2025,19.6,19.6,26.2,13.3,82.4,0.2,10.8,1011.4,6.0,160.1,16.4
