district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Sunamganj,1,1,2025,16.5,16.5,22.7,12.6,87.0,0.0,5.4,1014.5,7.0,165.3,14.2
Sunamganj,2,1,2025,16.4,16.4,22.1,12.2,86.3,0.1,6.7,1014.9,7.0,170.3,13.9
Sunamganj,3,1,2025,16.9,16.9,24.2,12.3,82.7,0.0,6.4,1015.2,7.0,177.6,13.7
Sunamganj,4,1,2025,18.0,18.0,26.3,12.3,74.7,0.0,8.3,1014.2,7.0,178.3,13.1
Sunamganj,5,1,2025,18.7,18.7,27.6,12.3,72.5,0.0,7.6,1015.1,7.0,178.6,13.3
Sunamganj,6,1,2025,19.3,19.3,28.0,11.6,72.1,0.0,6.3,1013.9,7.0,173.9,13.8
Sunamganj,7,1,2025,18.9,18.9,26.6,13.2,79.5,0.4,6.7,1012.6,5.0,119.8,15.0
Sunamganj,8,1,2025,16.4,16.4,20.6,10.6,87.3,0.8,9.4,1014.1,6.0,154.1,14.2
Sunamganj,9,1,2025,15.9,15.9,23.4,8.9,83.2,0.0,6.8,1016.7,7.0,177.3,12.9
Sunamganj,10,1,2025,16.2,16.2,24.9,9.6,82.7,0.0,7.2,1018.1,7.0,182.5,13.0
Sunamganj,11,1,2025,17.2,17.2,26.3,9.4,75.9,0.0,7.6,1018.2,7.0,184.7,12.5
Sunamganj,12,1,2025,17.9,17.9,27.0,10.2,70.7,0.0,7.9,1017.3,7.0,185.6,12.1
Sunamganj,13,1,2025,17.8,17.8,25.9,11.4,75.4,0.0,6.5,1014.9,7.0,171.9,13.1
Sunamganj,14,1,2025,17.0,17.0,25.3,10.2,76.7,0.0,5.0,1017.1,7.0,183.3,12.6
Sunamganj,15,1,2025,17.6,17.6,26.4,10.3,77.7,0.0,7.2,1017.4,7.0,189.7,13.3
Sunamganj,16,1,2025,18.4,18.4,27.1,11.1,75.2,0.0,7.2,1017.0,7.0,189.6,13.7
Sunamganj,17,1,2025,18.3,18.3,26.5,11.0,77.4,0.0,5.8,1015.9,7.0,189.6,14.0
Sunamganj,18,1,2025,17.9,17.9,26.1,11.3,81.2,0.0,5.1,1015.0,7.0,188.1,14.4
Sunamganj,19,1,2025,17.7,17.7,26.2,10.5,82.1,0.0,7.4,1013.5,7.0,190.3,14.3
Sunamganj,20,1,2025,17.2,17.2,25.1,11.4,82.6,0.0,6.1,1012.0,7.0,187.4,14.0
Sunamganj,21,1,2025,17.1,17.1,24.7,10.8,84.0,0.0,6.1,1011.8,7.0,179.5,14.2
Sunamganj,22,1,2025,17.0,17.0,23.5,11.6,87.7,0.2,5.8,1012.8,6.0,170.0,14.8
Sunamganj,23,1,2025,16.1,16.1,21.6,9.9,87.9,0.0,7.2,1013.5,7.0,181.8,14.1
Sunamganj,24,1,2025,15.8,15.8,22.4,10.5,83.5,0.0,7.9,1013.3,7.0,193.4,12.9
Sunamganj,25,1,2025,16.6,16.6,23.8,11.3,78.9,0.0,11.9,1013.9,7.0,181.3,12.7
Sunamganj,26,1,2025,15.9,15.9,23.7,9.9,80.4,0.0,6.6,1013.2,7.0,194.8,12.2
Sunamganj,27,1,2025,16.3,16.3,24.5,9.8,84.3,0.0,5.4,1010.9,7.0,192.5,13.4
Sunamganj,28,1,2025,16.7,16.7,23.6,12.1,87.2,1.1,5.8,1012.8,5.0,134.7,14.4
