district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Sylhet,1,1,2025,17.6,17.6,25.8,13.2,87.6,0.0,5.4,1014.5,7.0,164.1,15.4
Sylhet,2,1,2025,18.0,18.0,23.5,14.1,86.1,0.0,10.6,1014.8,7.0,174.0,15.5
Sylhet,3,1,2025,18.5,18.5,26.2,14.0,83.5,0.0,6.5,1015.1,7.0,177.0,15.4
Sylhet,4,1,2025,19.1,19.1,27.4,13.5,76.8,0.0,7.6,1014.3,7.0,177.6,14.5
Sylhet,5,1,2025,19.9,19.9,27.6,12.9,70.4,0.0,7.6,1015.1,7.0,179.1,13.8
Sylhet,6,1,2025,20.2,20.2,28.7,14.3,72.0,0.0,7.0,1014.0,7.0,169.8,14.6
Sylhet,7,1,2025,20.3,20.3,26.4,15.8,77.5,0.7,7.2,1012.6,6.0,123.9,16.0
Sylhet,8,1,2025,18.0,18.0,20.5,15.9,87.6,0.8,6.8,1014.2,6.0,147.2,15.9
Sylhet,9,1,2025,17.5,17.5,23.4,13.4,84.0,0.0,7.2,1016.6,7.0,174.4,14.6
Sylhet,10,1,2025,17.5,17.5,25.0,12.7,84.1,0.0,7.2,1018.1,7.0,182.0,14.5
Sylhet,11,1,2025,18.2,18.2,26.4,8.4,74.4,0.0,7.6,1018.3,7.0,186.3,13.1
Sylhet,12,1,2025,19.3,19.3,27.3,12.7,68.5,0.0,7.2,1017.4,7.0,185.1,12.8
Sylhet,13,1,2025,19.0,19.0,25.5,13.9,75.8,0.0,5.8,1014.9,7.0,174.0,14.4
Sylhet,14,1,2025,18.5,18.5,26.5,12.4,76.2,0.0,7.6,1017.1,7.0,178.6,13.8
Sylhet,15,1,2025,19.3,19.3,27.3,12.8,75.5,0.0,7.6,1017.4,7.0,189.0,14.4
Sylhet,16,1,2025,19.8,19.7,27.9,13.9,72.1,0.0,7.2,1017.1,7.0,189.7,14.2
Sylhet,17,1,2025,19.6,19.6,27.6,14.0,75.0,0.0,7.2,1015.9,7.0,190.9,14.6
Sylhet,18,1,2025,19.4,19.4,27.3,13.1,77.4,0.0,6.1,1014.9,7.0,188.3,14.9
Sylhet,19,1,2025,19.1,19.1,27.4,11.0,80.5,0.0,5.8,1013.5,7.0,187.1,15.3
Sylhet,20,1,2025,18.7,18.7,26.2,13.5,83.3,0.0,7.2,1012.0,7.0,183.8,15.6
Sylhet,21,1,2025,18.8,18.8,25.9,13.7,83.4,0.0,5.8,1011.7,7.0,180.0,15.6
Sylhet,22,1,2025,18.2,18.2,24.2,14.4,87.1,0.1,5.0,1012.8,7.0,163.9,15.9
Sylhet,23,1,2025,17.5,17.5,22.6,10.5,89.5,0.3,7.9,1013.5,7.0,180.8,15.7
Sylhet,24,1,2025,17.7,17.7,23.1,14.5,84.2,0.0,8.3,1013.3,7.0,193.0,14.8
Sylhet,25,1,2025,17.9,17.9,23.3,13.9,81.8,0.0,10.4,1014.0,7.0,179.1,14.5
Sylhet,26,1,2025,17.6,17.6,25.8,12.6,80.0,0.0,6.8,1013.0,7.0,194.3,13.8
Sylhet,27,1,2025,17.7,17.7,25.4,12.7,81.3,0.0,7.2,1010.8,7.0,190.1,14.1
Sylhet,28,1,2025,18.5,18.5,25.8,14.3,81.5,0.0,7.3,1012.9,6.0,155.1,15.0
Sylhet,29,1,2025,18.0,18.0,24.4,11.8,80.9,0.0,6.1,1015.4,6.0,150.9,14.4
Sylhet,30,1,2025,18.2,18.2,24.4,13.6,78.0,0.9,9.0,1012.3,7.0,173.3,14.1
Sylhet,31,1,2025,19.3,19.3,23.6,16.4,87.0,3.9,6.1,1012.3,4.0,95.2,17.0
