district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Tangail,1,1,2025,16.1,16.1,18.3,13.4,91.1,0.0,14.8,1014.6,7.0,148.7,14.6
Tangail,2,1,2025,14.4,14.4,15.1,12.9,92.9,0.0,14.8,1015.2,7.0,153.1,13.2
Tangail,3,1,2025,15.5,15.5,20.0,14.0,88.7,0.0,11.2,1015.4,7.0,167.9,13.6
Tangail,4,1,2025,17.4,17.4,22.0,13.0,84.9,0.0,9.4,1013.8,7.0,158.2,14.7
Tangail,5,1,2025,20.1,20.2,28.0,12.7,76.3,0.0,13.0,1014.3,7.0,174.7,15.2
Tangail,6,1,2025,21.5,21.6,28.0,16.0,74.3,0.0,11.2,1013.4,7.0,170.1,16.1
Tangail,7,1,2025,20.8,20.8,26.1,16.1,69.5,0.0,14.8,1012.3,6.0,149.7,14.4
Tangail,8,1,2025,17.9,17.9,21.0,15.2,77.8,0.0,16.6,1014.0,7.0,180.6,13.8
Tangail,9,1,2025,17.2,17.2,22.8,11.7,73.1,0.0,14.8,1016.7,7.0,186.0,11.9
Tangail,10,1,2025,18.1,18.1,25.0,11.4,68.7,0.0,9.4,1017.9,7.0,189.8,11.6
Tangail,11,1,2025,19.0,19.0,27.0,12.2,67.9,0.0,9.4,1017.5,7.0,190.1,11.8
Tangail,12,1,2025,20.4,20.3,28.0,13.1,63.4,0.0,9.4,1016.4,7.0,182.5,12.3
Tangail,13,1,2025,20.2,20.2,26.0,14.4,67.8,0.0,11.2,1014.3,7.0,184.2,13.4
Tangail,14,1,2025,20.4,20.4,26.0,14.9,68.6,0.0,13.0,1016.8,7.0,179.8,13.9
Tangail,15,1,2025,20.2,20.2,26.3,14.4,70.2,0.0,13.0,1017.2,7.0,191.5,13.8
Tangail,16,1,2025,20.2,20.1,27.1,14.6,70.8,0.0,11.2,1016.6,7.0,194.5,13.8
Tangail,17,1,2025,20.4,20.4,27.0,14.4,69.3,0.0,14.8,1015.5,7.0,187.6,13.8
Tangail,18,1,2025,20.3,20.3,26.5,15.2,71.0,0.0,13.0,1015.0,7.0,187.9,14.1
