district,day,month,year,temperature(degree C),feels_like(degree C),max_temperature(degree C),minimum_temperature(degree C),humidity,precipitation,windspeed,atmospheric_pressure,UV,solar_radiation,dew_point
Thakurgaon,1,1,2025,15.0,15.0,19.8,12.6,88.6,0.0,12.6,1015.9,7.0,167.3,13.0
Thakurgaon,2,1,2025,14.6,14.6,20.4,11.5,88.5,0.0,10.1,1016.3,6.0,167.1,12.6
Thakurgaon,3,1,2025,16.5,16.5,25.3,10.1,83.1,0.0,10.4,1015.9,6.0,170.3,13.2
Thakurgaon,4,1,2025,18.3,18.3,27.0,11.9,78.4,0.0,10.4,1014.8,7.0,174.0,14.0
Thakurgaon,5,1,2025,18.7,18.7,27.2,11.9,74.6,0.0,10.1,1015.6,6.0,170.0,13.6
Thakurgaon,6,1,2025,18.8,18.8,26.5,13.6,75.1,0.0,10.8,1014.3,6.0,145.0,13.9
Thakurgaon,7,1,2025,19.0,19.0,26.1,14.4,75.9,0.0,15.8,1012.7,6.0,136.8,14.3
Thakurgaon,8,1,2025,16.7,16.7,20.0,14.3,82.2,0.0,18.0,1014.5,5.0,120.4,13.5
Thakurgaon,9,1,2025,16.2,16.2,22.3,12.7,79.1,0.0,9.0,1017.7,6.0,133.3,12.3
Thakurgaon,10,1,2025,16.7,16.7,25.0,10.6,80.3,0.0,8.6,1018.8,7.0,167.6,12.9
Thakurgaon,11,1,2025,17.6,17.6,26.2,11.1,73.8,0.0,10.1,1018.7,7.0,182.7,12.4
Thakurgaon,12,1,2025,18.6,18.6,26.5,13.1,74.1,0.0,11.9,1017.4,6.0,159.4,13.4
Thakurgaon,13,1,2025,18.8,18.8,26.2,13.7,77.1,0.0,8.6,1014.8,6.0,164.1,14.2
Thakurgaon,14,1,2025,17.9,17.9,25.5,11.9,75.6,0.0,7.9,1018.0,7.0,185.1,13.1
Thakurgaon,15,1,2025,17.2,17.2,24.0,12.5,82.9,0.0,9.0,1019.0,7.0,177.1,13.9
Thakurgaon,16,1,2025,17.6,17.6,24.3,12.5,79.8,0.0,8.6,1018.1,6.0,156.3,13.7
Thakurgaon,17,1,2025,17.7,17.7,23.0,14.6,82.9,0.0,8.3,1016.8,5.0,126.4,14.5
Thakurgaon,18,1,2025,17.6,17.6,25.4,13.8,80.3,0.0,11.2,1015.8,7.0,189.8,13.8
Thakurgaon,19,1,2025,17.1,17.1,25.3,10.6,77.8,0.0,10.4,1014.3,7.0,191.3,12.8
Thakurgaon,20,1,2025,16.4,16.4,23.5,12.3,84.9,0.0,8.6,1012.4,7.0,180.2,13.7
Thakurgaon,21,1,2025,16.5,16.5,22.7,11.8,84.7,0.0,6.5,1011.8,7.0,136.0,13.7
Thakurgaon,22,1,2025,15.9,15.9,20.4,13.1,89.0,0.0,7.6,1013.0,6.0,121.2,14.0
Thakurgaon,23,1,2025,15.7,15.7,20.0,13.6,89.8,0.1,9.7,1013.8,6.0,126.6,14.0
Thakurgaon,24,1,2025,15.0,15.0,18.6,12.9,88.3,0.0,15.5,1013.2,6.0,128.2,13.0
Thakurgaon,25,1,2025,15.4,15.4,22.8,10.2,84.9,0.0,10.8,1014.1,7.0,169.6,12.6
Thakurgaon,26,1,2025,17.0,17.0,24.6,11.0,81.4,0.0,6.8,1013.7,7.0,173.7,13.4
Thakurgaon,27,1,2025,17.6,17.6,25.2,11.3,79.8,0.0,9.0,1011.2,7.0,187.9,13.7
Thakurgaon,28,1,2025,17.9,17.9,24.7,13.8,80.6,0.0,8.3,1012.6,6.0,160.2,14.2
Thakurgaon,29,1,2025,17.8,17.8,24.8,11.8,78.2,0.0,8.3,1015.0,7.0,161.0,13.5
Thakurgaon,30,1,2025,17.5,17.5,24.8,10.9,82.3,0.0,8.6,1011.2,7.0,167.6,14.0
Thakurgaon,31,1,2025,17.1,17.1,24.9,12.1,85.9,0.0,9.4,1011.3,7.0,192.4,14.5
