iter	RMSE
0	4.753366919
1	4.665306278
2	4.570310653
3	4.479798226
4	4.386674573
5	4.302305131
6	4.225488278
7	4.136341626
8	4.066059579
9	3.999773441
10	3.934618173
11	3.87139756
12	3.805952813
13	3.745155691
14	3.690291778
15	3.609754836
16	3.543608382
17	3.479240593
18	3.414423646
19	3.352611289
20	3.290256815
21	3.247846848
22	3.184501437
23	3.130312121
24	3.084389043
25	3.029644292
26	2.983394479
27	2.942206715
28	2.887791096
29	2.842375251
30	2.791652285
31	2.739172499
32	2.708752331
33	2.660902604
34	2.619227471
35	2.572925017
36	2.52287647
37	2.478376169
38	2.434129235
39	2.396707126
40	2.354820688
41	2.319005621
42	2.277578592
43	2.233473776
44	2.190549692
45	2.161552401
46	2.128415451
47	2.09253367
48	2.058655538
49	2.034294678
50	1.998427085
51	1.968493922
52	1.934817156
53	1.907251843
54	1.876022204
55	1.83879786
56	1.807443912
57	1.77472563
58	1.746132828
59	1.725341352
60	1.697851674
61	1.670531841
62	1.643907166
63	1.617811195
64	1.587854911
65	1.563821859
66	1.5406632
67	1.51615515
68	1.49737589
69	1.476714998
70	1.454498554
71	1.433017223
72	1.414961925
73	1.394317329
74	1.376366931
75	1.361419733
76	1.342460225
77	1.323154712
78	1.304715211
79	1.28587591
80	1.26875704
81	1.256459017
82	1.239659492
83	1.223396879
84	1.207548055
85	1.192348415
86	1.178306444
87	1.16373547
88	1.151671399
89	1.139141484
90	1.128804557
91	1.115324016
92	1.102205534
93	1.088059095
94	1.075701414
95	1.0633765
96	1.050739345
97	1.042561497
98	1.030835219
99	1.023597916
100	1.012678156
101	1.004574859
102	0.9934633806
103	0.9838458976
104	0.974249979
105	0.9666519699
106	0.9598876641
107	0.9511281075
108	0.9412998356
109	0.9335778293
110	0.9248178014
111	0.9174919258
112	0.9096525512
113	0.9034850433
114	0.8975495736
115	0.8916661571
116	0.8857645548
117	0.8789986625
118	0.8744412802
119	0.8681316005
120	0.8618026508
121	0.8557552738
122	0.8491707852
123	0.8434826419
124	0.8387347484
125	0.8333095053
126	0.8289785962
127	0.8232564729
128	0.8182188067
129	0.8140640945
130	0.8098939235
131	0.8059553071
132	0.8025394419
133	0.7978737009
134	0.7935770381
135	0.7893738438
136	0.7854891005
137	0.7815775913
138	0.7778081525
139	0.7739746445
140	0.7705682976
141	0.7673095754
142	0.7638626084
143	0.7606129346
144	0.7582800794
145	0.7549676082
146	0.7520715109
147	0.7488203482
148	0.7456678512
149	0.7428535278
150	0.7401078804
151	0.7377436919
152	0.7350295511
153	0.7325343944
154	0.7300132348
155	0.7265347707
156	0.7247867537
157	0.7226670562
158	0.7201802285
159	0.7181140179
160	0.7157150091
161	0.7128700548
162	0.7107788373
163	0.7086716273
164	0.7063081833
165	0.7038818835
166	0.7021237219
167	0.6998935914
168	0.697217213
169	0.6952632525
170	0.6933537644
171	0.691235287
172	0.6893700722
173	0.6875059071
174	0.6856190047
175	0.6839696366
176	0.6824474364
177	0.6805795473
178	0.6783532757
179	0.6768558159
180	0.6754400763
181	0.6741118297
182	0.6725184744
183	0.6704415661
184	0.6690106719
185	0.6668552028
186	0.6642792767
187	0.6620684954
188	0.6604365345
189	0.6586834946
190	0.6569333785
191	0.6554990291
192	0.6531560435
193	0.6511162788
194	0.6495529322
195	0.6486008313
196	0.6467273962
197	0.6448302722
198	0.642583036
199	0.6413490923
200	0.639970853
201	0.6383143166
202	0.6368511112
203	0.6347291112
