iter	Passed	Remaining
0	165	248444
1	173	130047
2	183	91594
3	183	68763
4	184	55056
5	192	47877
6	192	41077
7	192	35967
8	193	31993
9	193	28807
10	197	26682
11	197	24497
12	197	22633
13	198	21029
14	198	19639
15	198	18423
16	199	17400
17	199	16444
18	199	15588
19	200	14817
20	200	14121
21	200	13488
22	201	12940
23	204	12606
24	205	12112
25	205	11652
26	205	11226
27	206	10857
28	206	10488
29	214	10503
30	214	10167
31	217	9960
32	217	9664
33	217	9386
34	217	9124
35	218	8876
36	218	8636
37	218	8413
38	218	8201
39	219	8006
40	219	7815
41	220	7638
42	222	7538
43	222	7372
44	223	7214
45	223	7061
46	223	6914
47	223	6774
48	224	6643
49	224	6512
50	224	6388
51	225	6273
52	226	6185
53	226	6073
54	227	5964
55	227	5859
56	227	5758
57	227	5660
58	227	5566
59	228	5475
60	228	5387
61	228	5300
62	228	5218
63	229	5138
64	229	5061
65	229	4986
66	229	4913
67	230	4845
68	230	4778
69	230	4711
70	230	4647
71	231	4585
72	231	4524
73	231	4465
74	232	4409
75	232	4357
76	232	4302
77	233	4249
78	233	4196
79	233	4145
80	233	4096
81	234	4048
82	234	4000
83	234	3954
84	234	3909
85	235	3865
86	235	3821
87	235	3779
88	235	3738
89	236	3698
90	236	3658
91	236	3620
92	236	3582
93	237	3545
94	237	3508
95	237	3472
96	237	3438
97	237	3404
98	239	3395
99	240	3364
100	240	3332
101	240	3300
102	241	3270
103	241	3240
104	241	3210
105	241	3181
106	242	3152
107	242	3124
108	242	3096
109	242	3069
110	243	3042
111	243	3016
112	243	2990
113	243	2964
114	244	2939
115	244	2915
116	244	2891
11118	258	2997
119	258	2974
120	258	2951
121	259	292121	259	2935
122	260	2912
123	260	2889
124	260	2867
125	260	2844
126	261	2822
127	261	2801
128	261	2780
129	261	2759
130	262	2745
131	262	2725
13133	278	2839
134	278	2818
135	279	2798
136	282	2806
137	282	2786
138	282	2766
139	282	2747
140	288	2780
141	288	2761
142	289	2742
143	289	2723
144	289	2705
145	289	2687
146	289	2669
147	290	2651
148	290	2633
149	290	2618
150	291	2605
151	292	2592
152	313	2756
153	313	2738
154	313	2721
155	313	2703
156	314	2686
157	314	2669
158	314	2652
159	314	2636
160	315	2620
161	315	2604
162	315	2588
163	315	2572
164	316	2557
165	316	2541
166	316	2526
167	316	2511
168	317	2496
169	317	2481
170	317	2466
171	317	2452
172	317	2438
173	318	2424
174	318	2410
175	318	2396
176	318	2383
177	319	2369
178	319	2356
179	319	2343
180	319	2330
181	320	2317
182	320	2305
183	320	2292
184	320	2280
185	321	2267
186	321	2255
187	321	2243
188	325	2260
189	334	2307
190	334	2295
191	335	2283
192	335	2271
193	335	2259
194	340	2280
195	341	2268
196	341	2257
197	341	2245
198	341	2234
199	341	2222
200	342	2211
201	342	2200
202	342	2189
203	342	2178
204	343	2167
205	349	2197
206	350	2186
207	350	2175
208	350	2165
209	350	2154
210	351	2145
211	351	2135
212	351	2124
213	351	2114
214	352	2104
215	365	2170
216	365	2160
217	365	2150
218	365	2140
219	371	2162
220	371	2152
221	372	2142
222	372	2132
223	372	2122
224	372	2113
225	373	2103
226	373	2093
227	373	2084
228	373	2074
229	374	2065
230	374	2056
231	374	2046
232	374	2037
233	374	2028
234	375	2019
235	375	2010
236	375	2001
237	390	2069
238	390	2061
239	390	2052
240	391	2043
241	391	2034
242	391	2025
243	391	2017
244	392	2008
245	392	2000
246	392	1991
247	392	1983
248	395	1987
249	395	1979
250	396	1971
251	396	1963
252	396	1955
