iter	RMSE
0	4.470466389
1	4.460213888
2	4.447400455
3	4.4328502124	4.543600282
5	4.532490355
6	4.522908861
7	4.519951262
8	4.507526693
9	4.502179976
10	4.493109394
11	4.482215209
12	4.476639002
13	4.46615523
14	4.457604042
15	4.449076368
16	4.439249333
17	4.432289723
18	4.427745323
19	4.423242753
20	4.414125201
21	4.40386558
22	4.397252727
23	4.388725245
24	4.378793471
25	4.370530055
26	4.359207389
27	4.348216624
28	4.339465617
29	4.332487774
30	4.324902034
31	4.318725014
32	4.307130305
33	4.298675424
34	4.291862566
35	4.283716499
36	4.277028894
37	4.270453718
38	4.261727477
39	4.253925014
40	4.251754137
41	4.244862753
42	4.23629836
43	4.232674896
44	4.224556411
45	4.220784733
46	4.210456575
47	4.20186821
48	4.193679869
49	4.185532988
50	4.178807002
51	4.171456366
52	4.165915951
53	4.162123794
54	4.157264465
55	4.149452341
56	4.142738326
57	4.135169151
58	4.124860361
59	4.115207131
60	4.109771347
61	4.101040259
62	4.093873114
63	4.085138755
64	4.082671649
65	4.081765695
66	4.075987955
67	4.06995855
68	4.063473568
69	4.056172761
70	4.050754881
71	4.040745474
72	4.036734546
73	4.030529416
74	4.021708367
75	4.017807455
76	4.009811033
77	4.005907359
78	3.999435966
79	3.990223899
80	3.987317954
81	3.980181577
82	3.974419607
83	3.970617829
84	3.967063248
85	3.958496445
86	3.952189235
87	3.944560773
88	3.939831128
89	3.936447751
90	3.927630105
91	3.924778203
92	3.923882799
93	3.913558594
94	3.909617151
95	3.90498708
96	3.896632199
97	3.889979478
98	3.88342937
99	3.874289963
100	3.871638742
101	3.861832561
102	3.857109144
103	3.85065907
104	3.842954642
105	3.837930848
106	3.82985961
107	3.820149179
108	3.814843862
109	3.808202773
110	3.802740675
111	3.797139809
112	3.790358636
113	3.779600784
114	3.770186995
115	3.764165404
116	3.76241966
117	3.756966193
118	3.749089988
119	3.740027772
120	3.736095729
121	3.729007285
122	3.722734142
123	3.717640886
124	3.708474573
125	3.699677481
126	3.692804399
127	3.684200575
128	3.675665293
129	3.671275254
130	3.66469474
131	3.659963865
132	3.651557902
133	3.64377183
134	3.636507155
135	3.632088278
136	3.627355918
137	3.6200459
138	3.611283542
139	3.60367351
140	3.597932633
141	3.595707677
142	3.58742755
143	3.582124064
144	3.576208926
145	3.567149983
146	3.562641476
147	3.554940378
148	3.545791338
