iter	Passed	Remaining
0	135	203723
1	157	118194
2	158	78875
3	158	592094	166	49652
5	166	41392
6	166	35508
7	172	32160
8	172	28609
9	177	26385
10	177	24006
11	192	23896
12	193	22076
13	206	21895
14	206	20444
15	206	19174
16	206	18054
17	207	17059
18	207	16167
19	207	15365
20	207	14640
21	208	13979
22	208	13376
23	213	13156
24	215	12738
25	218	12408
26	219	11954
27	219	11531
28	219	11138
29	219	10769
30	220	10425
31	220	10103
32	220	9801
33	220	9516
34	220	9246
35	221	8992
36	221	8752
37	221	8524
38	221	8310
39	222	8135
40	223	7939
41	223	7752
42	223	7574
43	223	7404
44	223	7242
45	224	7086
46	224	6938
47	224	6794
48	224	6657
49	225	6525
50	225	6399
51	228	6360
52	228	6243
53	228	6128
54	229	6018
55	229	5913
56	229	5811
57	229	5712
58	229	5616
59	230	5524
60	230	5435
61	230	5349
62	230	5265
63	231	5184
64	231	5106
65	231	5030
66	231	4956
67	231	4884
68	232	4814
69	232	4747
70	232	4681
71	232	4617
72	232	4554
73	233	4493
74	233	4435
75	233	4377
76	233	4322
77	234	4267
78	234	4214
79	234	4162
80	234	4112
81	235	4067
82	235	4019
83	235	3972
84	235	3927
85	236	3882
86	236	3838
87	236	3796
88	236	3754
89	236	3712
90	237	3672
91	237	3633
92	237	3593
93	242	3632
94	246	3647
95	246	3610
96	247	3574
97	247	3539
98	247	3503
99	247	3468
100	247	3434
101	248	3401
102	248	3369
103	248	3337
104	248	3306
105	249	3275
106	249	3245
107	249	3215
108	249	3186
109	249	3158
110	250	3130
111	250	3102
112	250	3075
113	250	3049
114	251	3023
115	251	2997
116	251	2972
117	251	2947
118	251	2923
119	252	2899
120	252	2875
121	252	2852
122	252	2829
123	253	2807
124	253	2785
125	253	2763
126	253	2742
127	253	2721
128	254	2700
129	254	2680
130	254	2659
131	254	2640
132	254	2620
133	255	2601
134	255	2582
135	255	2563
136	257	2565
137	258	2546
138	258	2528
139	258	2511
140	258	2493
141	258	2476
142	259	2459
143	263	2482
144	263	2466
145	264	2449
146	264	2432
147	264	2416
148	264	2400
149	264	2384
150	265	2369
151	265	2353
152	265	2338
153	265	2323
154	266	2308
155	266	2294
156	266	2280
157	266	2265
158	266	2251
159	267	2236
160	267	2223
161	267	2209
162	267	2196
163	267	2183
164	268	2170
165	268	2157
166	268	2144
167	268	2131
168	269	2120
169	269	2108
170	269	2095
171	269	2083
172	270	2072
173	270	2060
174	270	2049
175	270	2037
176	271	2027
177	271	2016
178	271	2005
179	271	1993
180	272	1982
181	272	1972
182	272	1961
183	272	1950
184	273	1944
185	273	1933
186	273	1923
187	274	1913
188	274	1902
189	274	1892
190	274	1882
191	274	1873
192	275	1862
193	275	1853
194	275	1843
195	275	1834
196	275	1825
197	276	1815
198	276	1806
199	276	1797
200	276	1789
201	277	1780
202	277	1771
203	277	1762
204	277	1754
205	277	1745
206	278	1737
207	278	1728
208	278	1720
209	278	1712
210	278	1704
211	279	1696
212	279	1688
213	279	1680
214	279	1672
215	280	1664
216	280	1656
217	280	1649
218	280	1641
219	280	1634
220	281	1626
221	281	1619
222	281	1612
223	281	1604
224	281	1597
225	282	1590
226	282	1583
227	282	1576
228	282	1569
229	283	1563
230	283	1556
231	283	1549
232	283	1543
233	284	1536
234	284	1530
235	284	1523
236	284	1517
237	284	1510
238	285	1504
239	290	1526
240	290	1519
241	291	1513
242	291	1507
243	291	1500
244	291	1494
245	292	1488
246	292	1482
247	292	1476
248	292	1470
249	292	1464
250	293	1458
251	293	1452
252	293	1447
253	293	1441
254	294	1435
255	294	1429
256	294	1424
257	294	1418
258	294	1413
259	295	1407
260	295	1401
261262	326	1537
263	327	1531
264	327	1526
265	327	1520
266266	297	1375
267	298	1370
268	298	1365
269	298	13270	335	1523
271	336	1517
272	337	1516
273	337	1511
274	338	1506
275	338	1501
276	338	1495
277	338	1489
278	339	1484
279	339	1478
280	339	1473
281	339	1467
282	340	1462
283	340	1457
284	340	1452
285	341	1447
286	341	1442
287	341	1438
288	341	1433
289289	318	1330
290	319	1325
291	319	1320
292	319	1316
293	319	1311
294	320	1307
295	320	1302
296	320	1298
297	320	1293
298	320	1289
299	321	1284
300	321	1280
301	321	1275
302	321	1271
303	322	1267
304	322	1262
305	322	1258
306	322	1254
307	322	1249
308	323	1245
309	323	1241
310	323	1237
311	323	1233
312	324	1229
313	324	1225
314	335	1261
315	345	1294
316	345	1290
317	346	1286
318	346	1281
319	346	1277
320	346	1273
321	347	1269
322	347	1265
323	347	1261
324	347	1257
325	347	1253
326	348	1248
327	348	1244
328	348	1240
329	348	1236
330	349	1232
331	349	1228
332	349	1225
333	349	1221
334	349	1217
335	350	1213
336	350	1209
337	350	1205
338	350	1201
339	351	1198
340	351	1194
341	351	1190
342	351	1186
343	352	1183
344	352	1179
345	354	1183
346	355	1179
347	355	1176
348	355	1172
349	355	1169
350	356	1165
351	356	1162
352	356	1158
353	356	1155
354	357	1151
355	357	1148
356	357	1144
357	357	1141
358	358	1137
359	358	1134
360	358	1130
361	358	1127
362	358	1124
363	359	1120
364	359	1117
365	359	1114
366	359	1110
367	360	1107
368	360	1104
369	360	1101
370	360	1097
371	361	1094
372	366	1107
373	366	1104
374	367	1101
375	367	1097
376	367	1094
377	367	1091
378	367	1088
379	370	1092
380	371	1089
381	371	1086
382	371	1083
383	371	1080
384	372	1077
385	372	1074
386	372	1071
387	372	1068
388	372	1065
389	373	1063
390	373	1060
391	374	1057
392	374	1054
393	374	1051
394	374	1048
395	375	1045
396	375	1042
397	375	1039
398	375	1036
399	375	1033
400	376	1030
401	376	1028
402	376	1025
403	376	1022
404	377	1019
405	377	1016
406	377	1013
407	377	1011
408	377	1008
409	383	1019
410	383	1016
411	383	1013
412	384	1011
413	384	1008
414	387	1013
415	387	1010
416	388	1007
417	388	1004
418	392	1013
419	393	1011
420	399	1023
421	399	1020
422	399	1017
423	399	1015
424	400	1012
425	400	1009
426	400	1006
427	406	1018
428	406	1015
429	412	1026
430	412	1023
431	412	1020
432	413	1017
433	413	1014
434	413	1012
435	413	1009
436	413	1006
437	414	1003
438	414	1001
439	414	998
440	414	996
441	415	993
442	415	990
443	415	988
444	415	985
445	416	983
446	416	980
447	416	978
448	416	975
449	417	973
450	417	970
451	417	968
452	419	970
453	420	967
454	420	965
455	420	962
456	420	960
457	420	957
458	421	955
459	421	952
460	421	950
461	421	947
462	422	945
463	422	942
464	422	940
465	422	938
466	423	935
467	423	933
468	423	930
469	429	940
470	429	938
471	438	954
472	438	951
473	438	949
474	438	946
475	439	944
476	439	942
477	439	939
478	439	937
479	439	934
480	440	932
481	440	930
482	440	927
483	440	925
484	441	923
485	441	920
486	441	918
487	441	916
488	441	913
489	442	911
490	442	909
491	442	906
492	442	904
493	442	902
494	443	899
495	443	897
496	443	895
497	443	892
498	444	890
499	444	888
500	444	886
501	444	884
502	444	881
503	445	879
504	445	877
505	445	875
506	445	873
507	446	871
508	446	869
509	446	867
510	446	865
511	447	862
512	447	861
513	447	859
514	447	856
515	448	854
516	448	852
517	448	850
518	449	848
519	449	846
520	449	845
521	450	843
522	450	841
523	450	839
524	450	837
525	450	834
526	451	832
527	451	831
528	451	829
529	451	827
530	452	825
531	452	823
532	452	821
533	452	819
534	453	817
535	453	815
536	453	813
537	453	811
538	455	811
539	458	815
540	458	813
541	463	818
542	463	816
543	463	814
544	463	812
545	464	811
546	464	809
547	464	807
548	464	805
549	465	803
550	465	801
551	465	799
552	465	797
553	466	795
554	466	793
555	466	792
556	466	790
557	466	788
558	467	786
559	467	784
560	467	782
561	467	780
562	468	779
563	468	777
564	468	775
565	468	773
566	469	771
567	469	770
568	469	768
569	469	76573	485	783
574	485	781
575	486	779
576	486	777
577	486	776
578	486	774
579	486	772
580	487	770
581	487	768
582	487	767
583	487	765
584	488	763
585	488	762
586	488	760
587	489	758
588	489	756
589	490	757
590	491	755
591	491	753
592	491	752
593	491	750
594	492	748
595	492	746
596	492	745
597	492	743
598	493	741
59596	479	72600	496	742
601	496	740
602	496	738
60600	482	7260601	483	7260602	483	719
603	483	717
604	483	715
605	484	71609	503	734
610	503	732
611	503	731
612	504	729
613	510	736
614	510	734
615	510	733
616	511	731
617	511	729
618	517	736
619	521	739
620	521	738
621	521	736
622	522	734
623	522	733
624	523	732
625	523	731
626	523	729
627	524	727
628	524	726
629	524	724
630	530	731
631	531	729
632	531	728
633	531	726
634	532	724
635	532	723
636	532	721
637	533	720
638	533	718
639	533	717
640	533	715
641	534	713
642	534	712
643	534	710
644	534	709
645	535	707
646	535	706
647	535	704
648	536	702
649	544	711
650	544	710
651	544	708
652	545	707
653	545	705
654	545	704
655	546	702
656	546	700
657	546	699
658	546	697
659	547	696
660	547	694
661	547	693
662	547	691
663	547	689
664	548	688
665	548	686
666	548	685
667	548	683
668	549	682
669	549	680
670	549	679
671	554	682
672	560	689
673	568	696
674	568	695
675	569	693
676	569	692
677	569	690
678	569	688
679	570	687
680	575	692
681	575	690
682	576	689
683	576	687
684	576	686
685	576	684
686	577	683
687	577	681
688	577	679
689	577	678
690	578	676
691	578	675
692	578	673
693	578	672
694	579	670
695	579	669
696	579	667
697	579	666
698	580	664
699	580	663
700	580	662
701	581	660
702	581	659
703	581	657
704	584	659
705	584	657
706	585	656
707	585	654
708	585	653
709	585	651
710	585	650
711	586	648
712	586	647
713	586	645
714	586	644
715	587	642
716	587	641
717	587	640
718	587	638
719	588	637
720	588	635
721	588	634
722	588	632
723	589	631
724	589	630
725	589	628
726	589	627
727	590	625
728	590	624
729	590	623
730	590	621
731	591	620
732	591	618
733	591	617
734	591	615
735	592	614
736	592	613
737	592	611
738	592	610
739	592	608
740	593	607
741	593	606
742	593	604
743	593	603
744	594	602
745	594	600
746	594	599
747	594	598
748	595	596
749	595	595
75747	584	587
748	584	585
749	584	584
750	584	583
751	585	581
752	585	580
753	585	579
754	585	578
755	586	576
756	586	575
757	586	574
758	586	572
759	586	571
760	587	570
761	587	568
762	587	567
763	587	566
764	588	565
765	588	563
766	588	562
767	588	561
768	589	559
769	589	558
770	589	557
771	589	556
772	589	554
773	590	553
774	590	552
775	590	551
776	590	549
777	591	548
778	591	547
779	591	546
780	591	544
781	592	543
782	592	542
783	592	541
784	592	539
785	592	538
786	593	537
787	593	536
788	593	534
789	593	533
790	594	532
791	594	531
792	594	530
793	594	528
794	595	527
795	595	526
796	595	525
797	595	524
798	595	522
799	596	521
800	596	520
801	596	519
802	596	518
803	597	516
804	597	515
805	597	514
806	597	513
807	598	512
808	598	51812	616	521
813	617	520
814	617	518
815	617	517
816	617	516
817	618	515
81815	604	506
816	604	505
817	610	509
818	610	507
819	613	508
820	613	507
821	613	506
822	616	507
823	616	505
824	616	504
825	617	503
826	617	502
827	617	501
828	617	500
829	618	498
830	618	497
831	618	496
832	618	495
833	619	494
834	619	493
835	619	492
836	619	490
837	619	489
838	620	488
839	620	487
840	620	486
841	620	485
842	621	484
843	621	482
844	621	481
845	621	480
846	621	479
847	624	480
848	625	479
849	625	478
850	625	477
851	625	475
852	626	474
853	626	473
854	626	472
855	626	471
856	626	470
857	627	469
858	627	468
859	627	467
860	627	465
861	627	464
862	628	463
863	628	462
864	628	461
865	631	462
866	631	460
867	631	459
868	637	462
869	637	461
870	637	460
871	639	460
872	639	459
873	639	458
874	640	457
875	640	456
