iter	Passed	Remaining
0	142	114160
1	143	57225
2	143	38202
3	144	28675
4	144	22971
5	146	19343
6	146	16629
7	147	14568
8	147	12969
9	150	11896
10	151	10878
11	152	9981
12	152	9215
13	152	8563
14	152	7999
15	153	7498
16	153	7061
17	153	6676
18	153	6326
19	155	6058
20	155	5775
21	157	5563
22	157	5325
23	159	5159
24	159	4958
25	160	4773
26	160	4599
27	160	4438
28	161	4293
29	161	4150
30	162	4020
31	162	3899
32	163	3799
33	163	3691
34	164	3587
35	165	3511
36	165	3418
37	166	3332
38	166	3249
39	166	3169
40	167	3093
41	167	3023
42	167	2954
43	168	2898
44	169	2840
45	169	2781
46	170	2723
47	170	2669
48	171	2621
49	171	2569
50	171	2521
51	172	2475
52	172	2430
53	172	2386
54	173	2344
55	173	2302
56	173	2263
57	173	2225
58	174	2189
59	174	2154
60	175	2127
61	175	2094
62	176	2061
63	176	2029
64	176	2001
65	179	1998
66	180	1971
67	180	1942
68	180	1915
69	181	1891
70	181	1866
71	182	1841
72	182	1816
73	183	1797
74	184	1784
75	184	1761
76	185	1739
77	185	1717
78	185	1696
79	186	1675
80	186	1653
81	187	1641
82	187	1623
83	188	1604
84	188	1586
85	188	1568
86	189	1550
87	189	1533
88	189	1516
89	190	1499
90	190	1487
91	191	1471
92	191	1456
93	191	1440
94	192	1425
95	192	1412
96	192	1398
97	193	1384
98	193	1370
99	195	1368
100	195	1355
101	199	1361
102	202	1370
103	203	1363
104	204	1352
105	204	1339
106	206	1334
107	209	1345
108	210	1334
109	210	1322
110	211	1310
111	215	1325
112	216	1318
113	217	1307
114	217	1296
115	218	1286
116	218	1275
117	218	1265
118	219	1254
119	219	1244
120	219	1234
121	220	1224
122	220	1215
123	221	1205
124	221	1196
125	221	1186
126	222	1177
127	222	1169
128	223	1161
129	223	1153
130	224	1144
131	224	1136
132	225	1128
133	225	1120
134	225	1111
135	226	1104
136	226	1096
137	226	1088
138	227	1080
139	227	1073
140	228	1065
141	228	1058
142	228	1050
143	229	1043
144	229	1036
145	229	1028
146	229	1020
147	230	1013
148	230	1007
149	230	1000
150	231	994
151	231	987
152	231	980
153	232	974
154	232	967
155	232	961
156	233	955
157	233	949
158	234	943
159	234	937
160	234	931
161	235	926
162	235	921
163	236	916
164	236	910
165	236	904
166	237	899
167	237	894
168	238	889
169	238	883
170	238	878
171	239	873
172	239	868
173	240	863
174	240	858
175	240	853
176	241	848
177	241	843
178	241	838
179	242	834
180	242	829
181	242	824
182	243	820
183	243	815
184	243	811
185	244	806
186	244	801
187	244	797
188	245	793
189	245	788
190	246	784
191	246	780
192	246	776
193	247	771
194	247	767
195	247	763
196	248	759
197	248	755
198	248	751
199	249	748
200	249	744
201	250	741
202	250	737
203	251	733
204	251	730
205	252	726
206	252	722
207	252	718
208	252	715
209	253	711
210	253	708
211	254	704
212	254	701
213	254	697
214	255	694
215	255	690
216	255	687
217	256	684
218	256	680
219	256	677
220	257	674
221	257	671
222	258	668
223	258	664
224	258	661
225	259	658
226	259	655
227	259	652
228	260	648
229	260	645
230	260	642
231	261	640
232	261	637
233	262	634
234	262	631
235	263	628
236	263	625
237	264	623
238	264	620
239	264	617
240	265	615
241	265	612
242	265	609
243	266	606
244	266	604
245	267	601
246	267	598
247	267	595
248	268	593
249	268	590
250	268	587
251	269	585
252	269	582
253	269	580
254	270	577
255	270	574
256	271	572
257	271	570
258	271	567
259	272	565
260	272	563
261	273	560
262	273	558
263	273	555
264	274	553
265	274	551
266	274	548
267	275	546
268	275	544
269	276	541
270	276	539
271	276	537
272	277	535
273	277	532
274	278	531
275	278	529
276	279	527
277	279	525
278	279	522
279	280	520
280	280	518
281	281	516
282	281	514
283	281	512
284	282	509
285	282	507
286	282	505
287	283	503
288	283	501
289	284	499
290	284	497
291	284	495
292	285	493
293	285	491
294	285	489
295	286	487
296	286	485
297	286	483
298	287	481
299	287	479
300	288	477
301	288	475
302	288	473
303	289	471
304	289	469
305	289	468
306	290	466
307	290	464
308	291	462
309	292	461
310	292	460
311	293	458
312	293	456
313	293	454
314	294	452
315	294	451
316	294	449
317	295	447
318	295	445
319	295	443
320	296	442
321	296	440
322	296	438
323	297	436
324	297	435
325	298	433
326	298	431
327	298	430
328	299	428
329	299	426
330	299	424
331	300	423
332	300	421
333	301	420
334	301	418
335	301	416
336	302	415
337	302	413
338	303	412
339	303	410
340	303	408
341	304	407
342	304	406
343	305	404
344	305	403
345	307	403
346	307	401
347	308	400
348	308	398
349	309	397
350	309	395
351	309	394
352	310	392
353	310	391
354	310	389
355	311	388
356	311	386
357	312	385
358	312	383
359	312	382
360	313	381
361	313	379
362	314	378
363	314	376
364	314	375
365	315	373
366	315	372
367	315	370
368	316	369
369	316	368
370	317	366
371	317	365
372	317	363
373	318	362
374	318	360
375	318	359
376	319	358
377	320	357
378	320	356
379	321	355
380	322	354
381	322	352
382	322	351
383	323	350
384	323	348
385	323	347
386	324	346
387	324	344
388	325	343
389	325	342
390	325	340
391	326	339
392	326	338
393	326	336
394	327	335
395	327	334
396	328	333
397	328	331
398	328	330
399	329	329
400	329	327
401	329	326
402	330	325
403	330	324
404	331	322
405	331	321
406	332	320
407	332	319
408	332	318
409	333	316
410	333	315
411	333	314
412	334	313
413	334	312
414	335	311
415	335	309
416	336	308
417	336	307
418	336	306
419	337	305
420	337	303
421	337	302
422	338	301
423	338	300
424	338	299
425	339	297
426	339	296
427	340	295
428	340	294
429	340	293
430	341	292
431	341	291
432	342	289
433	342	288
434	342	287
435	343	286
436	343	285
437	343	284
438	344	283
439	344	281
440	345	280
441	345	279
442	345	278
443	346	277
444	346	276
445	346	275
446	347	274
447	347	273
448	347	272
449	348	270
450	348	269
451	349	268
452	349	267
453	349	266
454	350	265
455	350	264
456	350	263
457	351	262
458	351	261
459	352	260
460	352	259
461	352	258
462	353	257
463	353	256
464	354	255
465	354	254
466	354	252
467	355	251
468	355	250
469	355	249
470	356	248
471	356	247
472	357	246
473	357	245
474	357	244
475	358	243
476	358	242
477	358	241
478	359	240
479	359	239
480	359	238
481	360	237
482	360	236
483	361	235
484	361	234
485	361	233
486	362	232
487	362	231
488	363	230
489	363	229
490	363	228
491	364	228
492	364	227
493	365	226
494	365	225
495	365	224
496	366	223
497	366	222
498	366	221
499	367	220
500	367	219
501	368	218
502	368	217
503	368	216
504	369	215
505	369	214
506	370	213
507	370	212
508	370	212
509	371	211
510	371	210
511	372	209
512	372	208
513	372	207
514	373	206
515	373	205
516	374	204
517	374	203
518	374	203
519	375	202
520	375	201
521	376	200
522	376	199
523	376	198
524	377	197
525	377	196
526	378	195
527	378	194
528	378	194
529	379	193
530	379	192
531	379	191
532	380	190
533	380	189
534	381	188
535	381	187
536	381	187
537	382	186
538	382	185
539	383	184
540	383	183
541	383	182
542	384	181
543	384	180
544	384	180
545	385	179
546	385	178
547	386	177
548	386	176
549	387	176
550	387	175
551	388	174
552	388	173
553	388	172
554	389	171
555	389	170
556	389	170
557	390	169
558	390	168
559	391	167
560	391	166
561	391	165
562	392	165
563	392	164
564	392	163
565	393	162
566	393	161
567	394	160
568	394	160
569	394	159
570	395	158
571	395	157
572	395	156
573	396	156
574	396	155
575	397	154
576	397	153
577	397	152
578	398	151
579	398	151
580	398	150
581	399	149
582	399	148
583	400	147
584	400	147
585	400	146
586	401	145
587	401	144
588	401	143
589	402	143
590	402	142
591	403	141
592	403	140
593	403	140
594	404	139
595	404	138
596	404	137
597	405	136
598	405	136
599	406	135
600	406	134
601	407	133
602	407	133
603	407	132
604	408	131
605	408	130
606	409	130
607	409	129
608	409	128
609	410	127
610	410	127
611	410	126
612	411	125
613	411	124
614	412	123
615	412	123
616	412	122
617	414	122
618	415	121
619	415	120
620	416	119
621	416	119
622	416	118
623	417	117
624	417	116
625	417	116
626	418	115
627	418	114
628	419	113
629	419	113
630	419	112
631	420	111
632	420	111
633	421	110
634	421	109
635	422	108
636	422	108
637	422	107
638	423	106
639	423	105
640	423	105
641	424	104
642	424	103
643	425	102
644	425	102
645	425	101
646	426	100
647	426	100
648	426	99
649	427	98
650	427	97
651	428	97
652	428	96
653	428	95
654	429	94
655	429	94
656	429	93
657	430	92
658	430	92
659	430	91
660	431	90
661	431	89
662	432	89
663	432	88
664	432	87
665	433	87
666	433	86
667	433	85
668	434	85
669	434	84
670	435	83
671	435	82
672	435	82
673	436	81
674	436	80
675	437	80
676	437	79
677	437	78
678	438	78
679	438	77
680	439	76
681	439	76
682	439	75
683	440	74
684	440	73
685	441	73
686	441	72
687	441	71
688	442	71
689	442	70
690	442	69
691	443	69
692	443	68
693	444	67
694	444	67
695	444	66
696	445	65
697	445	65
698	445	64
699	446	63
700	446	63
701	446	62
702	447	61
703	447	61
704	448	60
705	448	59
706	448	59
707	449	58
708	449	57
709	450	57
710	450	56
711	451	55
712	451	55
713	451	54
714	452	53
715	453	53
716	453	52
717	454	51
718	454	51
719	454	50
720	455	49
721	455	49
722	456	48
723	456	47
724	456	47
725	457	46
726	457	45
727	458	45
728	459	44
729	459	44
730	460	43
731	460	42
732	461	42
733	461	41
734	461	40
735	462	40
736	463	39
737	464	39
738	465	38
739	465	37
740	466	37
741	466	36
742	467	35
743	467	35
744	468	34
745	468	33
746	468	33
747	469	32
748	469	31
749	470	31
750	470	30
751	470	30
752	471	29
753	471	28
754	472	28
755	473	27
756	473	26
757	474	26
758	474	25
759	474	24
760	477	24
761	478	23
762	478	23
763	480	22
764	480	21
765	481	21
766	481	20
767	481	20
768	482	19
769	482	18
770	482	18
771	483	17
772	483	16
773	483	16
774	484	15
775	484	14
776	484	14
777	485	13
778	485	13
779	485	12
780	486	11
781	486	11
782	486	10
783	487	9
784	487	9
785	487	8
786	488	8
787	488	7
788	489	6
789	489	6
790	489	5
791	490	4
792	490	4
793	490	3
794	491	3
795	491	2
796	491	1
797	492	1
798	492	0
799	493	0
