iter	RMSE
0	1.01988734511	1.027607828
2	1.011621124
3	0.9961480439
4	0.9821486751
5	0.9677592143
6	0.9534940567
7	0.9415320828
8	0.9283240877
9	0.9155232413
10	0.9029551517
11	0.8901411684
12	0.8780339453
13	0.8678439857
14	0.8571095778
15	0.8477041748
16	0.8385723641
17	0.8290368694
18	0.81950140019	0.7853058497
20	0.7763008871
21	0.7672196693
22	0.7588531442
23	0.7510328953
224	0.7728573076
25	0.7659080586
26	0.7591915565
27	0.7519561603
28	0.7458311107
29	0.7397527386
30	0.7330639201
31	0.727608035
32	0.7218351037
33	0.7164672973
34	0.7111715729
35	0.7056671088
36	0.700380386
37	0.6961547988
38	0.691282969
39	0.6869455629
40	0.6825862395
41	0.6789658895
42	0.6750171735
43	0.6711691461
44	0.6672385621
45	0.6637132076
46	0.6601420248
47	0.6566447508
48	0.6536606517
49	0.6506633142
50	0.647752087
51	0.6447010395
52	0.6419198912
53	0.6390207074
54	0.6363011731
55	0.6337279374
56	0.6306997104
57	0.6282842027
58	0.6258868633
59	0.6238277106
60	0.6215698409
61	0.6193594485
62	0.6173510962
63	0.6153144129
64	0.6131345378
65	0.611589977
66	0.6097534992
67	0.6079397067
68	0.6062871261
69	0.6047573758
70	0.6032279612
71	0.6016088439
72	0.6000331134
73	0.5987149748
74	0.5974048172
75	0.5959181098
76	0.5945625921
77	0.5936191847
78	0.5922143673
79	0.5913000281
80	0.5899759637
81	0.5889486072
82	0.5878152225
83	0.5870835129
84	0.5862102169
85	0.585053028
86	0.5838717757
87	0.5828988294
88	0.5817012543
89	0.5801535264
90	0.5790862648
91	0.5782141974
92	0.5772179377
93	0.5763960862
94	0.5762798339
95	0.575515607
96	0.5745860065
97	0.5737760601
98	0.5731165305
99	0.5722887122
100	0.5714629513
101	0.5712994774
102	0.5707022451
103	0.5698829751
104	0.5689902896
105	0.568266931
106	0.567281426
107	0.5668449772
108	0.5663055046
109	0.5656646978
110	0.5649941064
111	0.5646192994
112	0.5642993069
113	0.5637929328
114	0.5631675262
115	0.5628716294
116	0.5624600831
117	0.5616593915
118	0.5609973552
119	0.5604546077
120	0.5598645523
121	0.5592458263
122	0.5588285869
123	0.5581845712
124	0.5576963208
125	0.5570928643
126	0.5566114411
127	0.5562336243
128	0.5555813845
129	0.5553266997
130	0.5546311546
131	0.5541085921
132	0.553891715
133	0.5536739381
134	0.5532533433
135	0.5526967401
136	0.5523927417
137	0.5519123623
138	0.5515753901
139	0.5512276884
140	0.5506497757
141	0.5501808803
142	0.5497403509
143	0.5492903586
144	0.5485080908
145	0.5483620416
146	0.548251996
147	0.5478942348
148	0.5475067266
149	0.5470801015
150	0.5466389976
151	0.5459317211
152	0.5457163836
153	0.5454584286
154	0.5449102118
155	0.544297376
156	0.5439388267
157	0.5436750335
158	0.5431318764
159	0.5429911224
160	0.542754282
161	0.5425278339
162	0.5421210492
163	0.5417435845
164	0.5414750864
165	0.5411211323
166	0.5408186863
167	0.5404292075
168	0.5400782583
169	0.539716203
170	0.5393205964
171	0.5391135613
172	0.5387272485
173	0.538237712
174	0.5379353124
175	0.5376203697
176	0.5371276239
177	0.5364694277
178	0.5363061088
179	0.535895635
180	0.5355500169
181	0.5353092122
182	0.5351059127
183	0.5349215344
184	0.5345609765
185	0.5343174043
186	0.5337585844
187	0.533473832
188	0.5331592801
189	0.5330058245
190	0.5326337937
191	0.5320745136
192	0.5316888417
193	0.5313960051
194	0.5308280618
195	0.5304628857
196	0.5300798297
197	0.5296620364
198	0.5292092709
199	0.5288827642
200	0.5283795753
201	0.5279926747
202	0.5275869701
203	0.5270312269
204	0.5265229983
205	0.5259572589
206	0.5255013007
207	0.5250804775
208	0.5246700725
209	0.5243429705
210	0.5238691285
211	0.523553285
212	0.5231392879
213	0.5226335013
214	0.5223889389
215	0.522086731
216	0.5217943136
217	0.5214615092
218	0.5207700601
219	0.52029397
220	0.5200234132
221	0.5195783443
222	0.5190878945
223	0.5189719091
224	0.518717219
225	0.5184252598
226	0.5180602254
227	0.517481217
228	0.5171626606
229	0.5168946777
230	0.51647714
231	0.5160755123
232	0.5158367249
233	0.5155437442
234	0.5152451208
235	0.5149903888
236	0.5146748585
237	0.5144068196
238	0.5142266312
239	0.5139136625
240	0.5136332113
241	0.5131945693
242	0.512995639
243	0.5126505072
244	0.5124796252
245	0.5120497076
246	0.5115341968
247	0.5112363558
248	0.5109238221
249	0.5105095851
250	0.5102411978
251	0.509794166
252	0.5096031723
253	0.509124285
254	0.5088367895
255	0.5086407811
256	0.5084593551
257	0.5081069714
258	0.5075886096
259	0.507380354
260	0.5070335261
261	0.5067607703
262	0.5062275974
263	0.5057077143
264	0.5052507549
265	0.5047155146
266	0.5043781596
267	0.504141532
268	0.5038624776
269	0.5035979823
270	0.5033489543
271	0.5031964363
272	0.5027676948
273	0.5023258869
274	0.5020708716
275	0.5019011903
276	0.5015874249
277	0.5013547678
278	0.501021918
279	0.500618649
280	0.5002435871
281	0.4997939938
282	0.4995321373
283	0.4993186886
284	0.4991723181
285	0.4988474328
286	0.4985061926
287	0.4982839701
288	0.4980886615
289	0.4977289295
290	0.4976041129
291	0.4972705937
292	0.4969413625
293	0.4966573311
294	0.4963673244
295	0.4960336242
296	0.4958233895
297	0.4956716326
298	0.4953954175
299	0.495204186
300	0.4949260056
301	0.4947187866
302	0.4943451061
303	0.494049403
304	0.4938268322
305	0.49353437
306	0.4932925542
307	0.4930576406
308	0.4928772066
309	0.4925020998
310	0.4923022789
311	0.491968086
312	0.4916532018
313	0.4914067498
314	0.4912946207
315	0.4910300323
316	0.4907460016
317	0.4906064343
318	0.4903517932
319	0.490064646
320	0.4898120656
321	0.4895474273
322	0.4892661823
323	0.4889325377
324	0.4887132925
325	0.4883834278
326	0.4881034287
327	0.4879100432
328	0.4876155205
329	0.4873809716
330	0.4872941238
331	0.4870137746
332	0.4867893674
333	0.4863782308
334	0.4861599123
335	0.4859058784
336	0.4856497993
337	0.4853521762
338	0.4851254258
339	0.4848874786
340	0.4845111849
341	0.4843189592
342	0.4839195299
343	0.4837694176
344	0.4835177462
345	0.4832928061
346	0.4830449508
347	0.482803183
348	0.4826818745
349	0.4825646472
350	0.4824254311
351	0.4822142641
352	0.4819445966
353	0.4816927972
354	0.4814589826
355	0.4810253673
356	0.4808436281
357	0.4806522594
358	0.48049358	0.359	0.4802496023
360	0.4800070297
361	0.4798282348
362	0.47966399
363	0.4795548862
364	0.4794112715
365	0.4792281568
366	0.4790242459
367	0.47882568
368	0.4786566014
369	0.4784826629
370	0.4782872961
371	0.4781026929
372	0.477877652
373	0.477742368
374	0.4774565592
375	0.4772649727
376	0.4769581881
377	0.4767871102
378	0.4765729043
379	0.4763859187
380	0.4762627113
381	0.4759548297
382	0.4757446877
383	0.4755696073
384	0.4754437297
385	0.4753728901
386	0.4752606857
387	0.4750207476
388	0.4748707231
389	0.4746600162
390	0.4745373008
391	0.474353803
392	0.4742137257
393	0.4740256657
394	0.4739033465
395	0.4736862693
396	0.4734066244
397	0.473146109
398	0.472941131
399	0.4727370318
400	0.472549400	0.4497180054
401	0.4495799372
402	0.4493993785
403	0.449220999
404	0.4490388984
405	0.4486408369
406	0.448505796
407	0.4483433245
408	0.448207442
409	0.4480130358
410	0.447807757
411	0.4475185914
412	0.4473522165
413	0.4472430876
414	0.4470431982
415	0.446860344
416	0.4465437188
417	0.4463993829
418	0.4462030957
419	0.4459701301
420	0.445739168
421	0.4456267263
422	0.4454908419
423	0.4453748754
424	0.445243269
425	0.445060692
426	0.4449478949
427	0.4447388296
428	0.4446260227
429	0.4444822073
430	0.444326668
431	0.4441700503
432	0.4439599284
433	0.4438398864
434	0.4437112461
435	0.4435497982
436	0.4434044066
437	0.443183469
438	0.4429312183
439	0.4427606286
440	0.4426751132
441	0.4425757678
442	0.4424170061
443	0.4422657345
444	0.4421035707
445	0.4419210821
446	0.4417614239
447	0.4415808506
448	0.4413789607
449	0.4412853701
450	0.4411223431
451	0.4410092405
452	0.4408838974
453	0.4405844312
454	0.4403985396
455	0.4402424974
456	0.4401339779
457	0.4399809294
458	0.4397860057
459	0.4395600979
460	0.4393948419
461	0.4392562741
462	0.4390992916
463	0.4389468187
464	0.4387224673
465	0.4386009128
466	0.4384739581
467	0.438336918
468	0.438219512
469	0.4380026715
470	0.4378468428
471	0.4377339036
472	0.4376582194
473	0.4375372755
474	0.4374124041
475	0.4373396165
476	0.4372119326
477	0.4370474011
478	0.4368592774
479	0.4366729788
480	0.4365679147
481	0.4364295857
482	0.4362864965
483	0.4361268191
484	0.4359877725
485	0.4358847799
486	0.4356605776
487	0.43552263
488	0.4354477085
489	0.4353084838
490	0.4351545978
491	0.4349989406
492	0.4349120067
493	0.4347838209
494	0.4346714899
495	0.4345734869
496	0.4344542067
497	0.4343646532
498	0.4342419207
499	0.4340358628
500	0.4338686765
501	0.4337167667
502	0.4334270496
503	0.4332719432
504	0.4331264593
505	0.4506	0.4354968817
507	0.4353845309
508	0.4351893644
509	0.4351592833
510	0.43510	0.432511	0.4349300233
512	0.4348595001
513	0.4348010585
514	0.4347054457
515	0.434622633
516	0.4345794322
517	0.4344113069
518	0.4343511778
519	0.4341581137
520	0.434066868
521	0.4338623355
522	0.4337988354
523	0.4337096704
524	0.4336553962
525	0.4335867764
526	0.4526	0.4303138304
527	0.4301583117
528	0.4300687422
529	0.4299463752
530	0.4297531	0.4531	0.4296490595
532	0.429522525
533	0.4294358023
534	0.4293034261
535	0.4292064862
536	0.4290496273
537	0.428949908
538	0.4288267661
539	0.4287292009
540	0.4284971055
541	0.4282871472
542	0.428180692
543	0.4280736723
544	0.4279449063
545	0.4278435107
546	0.4277273368
547	0.4276292075
548	0.4275475258
549	0.4274098942
550	0.4273052616
551	0.4270906586
552	0.4269631084
553	0.4269105588
554	0.4268279145
555	0.4266837141
556	0.4265143107
557	0.4263710398
558	0.4261808969
559	0.4260616509
560	0.4259726659
561	0.4258152652
562	0.4256909323
563	0.4256214945
564	0.4255350604
565	0.4254158228
566	0.4252673349
567	0.425129563
568	0.4249877405
569	0.4248882701
570	0.4247411011
571	0.4246185223
572	0.4244560101
573	0.4243310036
574	0.4242501324
575	0.4241492126
576	0.4240798664
577	0.4239649098
578	0.4239229704
579	0.42384175
580	0.423699375
581	0.4236235333
582	0.4235303091
583	0.4233987464
584	0.4232411831
585	0.4231746966
586	0.4230440098
587	0.4229891692
588	0.4229467589	589	0.4228315590590	0.42273243591591	0.422685659592	0.4225144843
593	0.4224342877
594	0.4223689325
595	0.4222400663
596	0.4221257412
597	0.4220260046
598	0.4218946463
599	0.4218023537
600	0.4217049802
601	0.4214908062
602	0.421375142
603	0.42129870604	0.4262212764
605	0.4261762599
606	0.4260740026
607	0.4260183217
608	0.4259338443
609	0.4258787234
610	0.4258473887
611	0.4257927456
612	0.4257319057
613	0.4256769483
614	0.4256378116
615	0.4255691694
616	0.4254779947
617	0.4254285525
618	0.4253358337
619	0.4252585416
620	0.4251438906
621	0.4250350963
622	0.4249242957
623	0.4248399968
624	0.4247710469
625	0.4246278166
626	0.4245955327
627	0.4245402045
628	0.4244466993
629	0.4243528926
630	0.4242704777
631	0.4241634459
632	0.424092978
633	0.424011188
634	0.423968912
635	0.4238944977
636	0.4238723105
637	0.4238284772
638	0.4236964084
639	0.4236250946
640	0.4235626093
641	0.42349144
642	0.4234485968
643	0.423404601
644	0.4233114789
645	0.4232400752
646	0.4231721662
647	0.4230683004
648	0.4229835452
649	0.4229166176
650	0.4227616081
651	0.4226902122
652	0.4226016014
653	0.4225348146
654	0.4224890482
655	0.4224109418
656	0.42235314
657	0.4222724894
658	0.4221538071
659	0.422108062
660	0.4220613537
661	0.4220020209
662	0.4219466818
663	0.4218689319
664	0.421796328
665	0.4216954672
666	0.4216264497
667	0.4215512493
668	0.421511039
669	0.4214699021
670	0.4213878874
671	0.4213476822
672	0.4212460446
673	0.4211676538
674	0.4210950514
675	0.4209932543
676	0.4209214452
677	0.4208511151
678	0.420801926
679	0.4207400306
680	0.4206713833
681	0.4206438387
682	0.4205626875
683	0.4205145596
684	0.4204714326
685	0.4203375788
686	0.4202341563
687	0.4201935529
688	0.4201115057
689	0.4200775225
690	0.4200466644
691	0.4199941393
692	0.4199577147
693	0.4199044393
694	0.419850321
695	0.419763895
696	0.4197197874
697	0.4196944768
698	0.4196753578
699	0.4196152673
700	0.4195595402
701	0.4194852281
702	0.4194375066
703	0.4194058668
704	0.4193689591
705	0.4193126174
706	0.4192461808
707	0.4192215771
708	0.4191924971
709	0.4190711032
710	0.4190454485
711	0.4190077873
712	0.4189822626
713	0.4189360727
714	0.4188715765
715	0.4188223873
716	0.4187471458
717	0.418693371
718	0.4186523519
719	0.4186036748
720	0.418587436
721	0.4185302331
722	0.4185234439
723	0.4184698726
724	0.4184309867
725	0.4183642152
726	0.4183085118
727	0.4182702167
