iter	Passed	Remaining
0	144	115314
1	150	60196
2	151	40190
3	151	30231
4	152	24186
5	152	20171
6	152	17310
7	153	15155
8	153	13488
9	156	12359
10	156	11253
11	157	10344
12	157	9558
13	158	8876
14	158	8290
15	158	7778
16	158	7321
17	161	6994
18	161	6632
19	161	6308
20	162	6009
21	162	5741
22	162	5494
23	162	5270
24	163	5062
25	163	4871
26	165	4744
27	166	4580
28	166	4426
29	166	4282
30	170	4217
31	170	4089
32	170	3969
33	171	3855
34	171	3749
35	173	3685
36	174	3588
37	174	3494
38	174	3408
39	175	3325
40	175	3246
41	175	3168
42	175	3096
43	176	3028
44	176	2963
45	182	2997
46	183	2934
47	183	2873
48	183	2816
49	184	2761
50	186	2739
51	186	2688
52	187	2640
53	191	2643
54	196	2664
55	197	2618
56	197	2573
57	197	2529
58	198	2488
59	198	2446
60	198	2408
61	199	2370
62	199	2333
63	199	2298
64	200	2261
65	200	2228
66	200	2196
67	201	2165
68	201	2134
69	201	2103
70	205	2108
71	205	2078
72	205	2051
73	213	2093
74	229	2214
75	229	2186
76	229	2158
77	233	2161
78	233	2135
79	237	2138
80	238	2113
81	238	2087
82	239	2064
83	239	2040
84	239	2016
85	240	1993
86	240	1969
87	240	1946
88	240	1924
89	241	1908
90	242	1887
91	245	1886
92	245	1866
93	245	1846
94	250	1861
95	253	1861
96	254	1844
97	257	1842
98	257	1823
99	260	1822
100	260	1804
101	263	1804
102	264	1787
103	264	1770
104	268	1776
105	272	1784
106	275	1781
107	275	1765
108	276	1753
109	276	1737
110	277	1721
111	277	1705
112	279	1699
113	279	1684
114	280	1669
115	284	1676
116	284	1661
117	290	1678
118	292	1672
119	298	1691
120	301	1692
121	302	1678
122	302	1663
123	302	1649
124	303	1636
125	305	1632
126	309	1638
127	309	1625
128	314	1636
129	316	1630
130	316	1618
131	317	1605
132	317	1593
133	321	1599
134	322	1586
135	324	1585
136	329	1595
137	330	1585
138	331	1576
139	332	1565
140	332	1553
141	332	1541
142	335	1540
143	335	1528
144	336	1517
145	336	1506
146	336	1495
147	337	1484
148	337	1474
149	337	1463
150	340	1464
151	341	1453
152	341	1443
153	341	1433
154	342	1423
155	342	1413
156	342	1404
157	343	1394
158	346	1398
159	350	1400
160	350	1390
161	350	1381
162	350	1371
163	354	1376
164	355	1366
165	355	1357
166	355	1348
167	356	1339
168	356	1330
169	356	1322
170	357	1313
171	357	1305
172	357	1297
173	358	1289
174	360	1288
175	361	1280
176	361	1272
177	361	1264
178	362	1256
179	367	1265
180	367	1258
181	371	1259
182	371	1252
183	371	1244
184	372	1237
185	372	1230
186	373	1223
187	373	1216
188	374	1209
189	374	1202
190	374	1195
191	375	1188
192	375	1181
193	375	1174
194	376	1167
195	376	1160
196	376	1153
197	377	1147
198	377	1140
199	377	1133
200	378	1127
201	381	1129
202	385	1132
203	390	1141
204	391	1135
205	391	1129
206	392	1123
207	392	1116
208	392	1110
209	393	1104
210	393	1098
211	396	1100
212	397	1094
213	397	1088
214	398	1083
215	398	1077
216	398	1071
217	406	1084
218	406	1078
219	407	1073
220	407	1067
221	407	1061
222	408	1056
223	408	1050
224	408	1044
225	409	1039
226	409	1033
227	409	1028
228	410	1023
229	410	1017
230	411	1012
231	411	1007
232	411	1001
233	412	996
234	412	991
235	412	986
236	413	981
237	413	976
238	413	971
239	414	966
240	414	961
241	414	956
242	419	960
243	419	956
244	420	951
245	420	946
246	420	942
247	421	937
248	423	936
249	423	932
250	424	927
251	424	923
252	424	918
253	425	914
254	425	909
255	428	909
256	428	905
257	431	905
258	431	901
259	435	904
260	436	900
261	436	896
262	436	892
263	437	887
264	437	883
265	444	892
266	445	888
267	445	884
268	446	880
269	446	876
270	446	872
271	447	867
272	447	863
273	447	859
274	448	855
275	448	851
276	448	847
277	451	847
278	451	843
279	455	845
280	460	849
281	460	846
282	460	842
283	465	845
284	466	842
285	472	848
286	472	844
287	473	840
288	473	837
289	478	841
290	479	838
291	486	846
292	487	843
293	487	839
294	487	835
295	488	831
296	488	827
297	488	823
298	489	819
299	489	816
300	491	815
301	492	811
302	492	807
303	492	804
304	493	800
305	493	796
306	493	793
307	494	789
308	497	790
309	498	787
310	499	784
311	502	786
312	503	783
313	506	783
314	507	781
315	507	777
316	508	774
317	508	770
318	508	767
319	509	763
320	509	760
321	509	756
322	510	753
323	510	750
324	511	746
325	514	748
326	515	745
327	515	741
328	515	738
329	522	744
330	522	740
331	523	737
332	523	734
333	527	735
334	527	732
335	528	729
336	528	726
337	528	722
338	529	719
339	529	716
340	529	713
341	530	710
342	530	706
343	530	703
344	5345	536	704
346	537	701
347	537	698
348	537	695
349	538	692
350	538	689
351	539351	540	688
352	541	685
353	541	682
354	541	679
355	542	676
356	542	673
357	542	670
358	543	667
359	543	664
360	543	661
361	544	658
362	544	655
363	545	652
364	5365	550	652
366	550	649
367	551	646
368	551	644
369	554	644
370	555	642
371	557	641
372	557	638
373	557	635
374	559	633
375	559	630
376	559	628
377	560	625
378	560	622
379	560	620
380	562	618
381	562	615
382	562	612
383	563	610
384	563	607
385	563	604
386	565	603
387	565	600
388	566	598
389	566	595
390	566	593
391	567	590
392	567392	567	587
393	5394	574	589
395	575	586
396	575	584
397	575	581
398	576398	583	586
399	583	583
400	584	581
401	584	578
402	584	576
403	585	573
404	585	571
405	585	568
406	586	566
407	5408	588	562
409	588409	589	561
410	590	558
411	595	560
412	595	558
413	595	555
414	596	553
415	596	550
416	5417	601	549
418	601	546
419	601	544
420	602	542
421	602421	601	538
422	602	536
423	602	534
424	602	531
425	603	529
426	603	527
427	6428	608	526
429	609	524
430	609	521
431	611	520
432	611	518
433	612	516
434	612	513
435	612	511
436	613	509
437	616	509
438	620	510
439	630	515
440	630	513
441	631	511
442	634	511
443	634	509
444	635	506
445	635	504
446	637	503
447	637	501
448	638	498
449	638	496
450	642	497
451	643	495
452	643	492
453	644	490
454	647	490
455	647	488
456	647	486
457	648	484
458	648	481
459	648	479
460	649	477
461	649	475
462	650	473
463	650	470
464	650	468
465	651	466
466	652	464
467	652	462
468	652	460
469	653	458
470	653	456
471	653	454
472	654	452
473	655	450
474	655	448
475	656	446
476	656	444
477	656	442
478	657	440
479	660	440
480	660	438
481	660	436
482	663	435
483	666	435
484	667	433
485	671	433
486	674	433
487	679	434
488	679	432
489	679	430
490	680	428
491	680	426
492	680	424
493	681	422
494	681	419
495	681	417
496	682	416
497	682	414
498	683	412
499	683	410
500	683	408
501	684	406
502	684	404
503	684	402
504	686	401
505	690	401
506	691	399
507	691	397
508	691	395
509	692	393
510	696	393
511	696	392
512	697	390
513	697	388
514	698	386
515	698	384
516	698	382
517	699	380
518	699	378
519	700	376
520	700	375
521	700	373
522	701	371
523	701	369
524	701	367
525	702	365
526	702	364
527	704	363
528	705	361
529	710	361
530	710	359
531	710	358
532	716	358
533	716	357
534	730	362
535	731	360
536	731	358
537	732	356
538	732	354
539	733	353
540	738	353
541	741	352
542	741	350
543	741	349
544	742	347
545	742	345
546	743	343
547	743	341
548	747	341
549	748	340
550	758	342
551	762	342
552	762	340
553	762	338
554	763	337
555	763	335
556	764	333
557	764	331
558	768	331
559	776	332
560	776	330
561	777	329
562	777	327
563	780	326
564	783	325
565	783	324
566	784	322
567	784	320
568	785	318
569	785	317
570	785	315
571	786	313
572	786	311
573	787	309
574	787	308
575	787	306
576	788	304
577	788	302
578	789	301
579	789	299
580	789	297
581	790	296
582	790	294
583	791	292
584	791	290
585	791	289
586	792	287
587	792	285
588	793	284
589	793	282
590	793	280
591	794	279
592	794	277
593	795	275
594	795	274
595	795	272
596	796	270
597	796	269
598	797	267
599	797	265
600	797	264
601	798	262
602	798	260
603	799	259
604	799	257
605	799	256
606	800	254
607	800	252
608	800	251
609	801	249
610	801	248
611	802	246
612	802	244
613	802	243
614	803614	805	242
615	805	240
616	806	239
617	806	237
618	808	236
619	808	234
620	809	233
621	811	232
622	812	230
623	812	229
624	812	227
625	813	226
626	813	224
627	813	222
628	814	221
629	814	219
630	815	218
631	815	216
632	815	215
633	816	213
634	816	212
635	816	210
636	817	209
637	817	207
638	818	206
639	819	204
640	820	203
641	820	201
642	820	200
643	821	198
644	821	197
645	822	195
646	822	194
647	822	193
648	823	191
649	824	190
650	824	188
651	824	187
652	827	186
653	827	184
654	828	183
655	829	182
656	829	180
657	830	179
658	830	177
659	830	176
660	831	174
661	831	173
662	831	171
663	832	170
664	832	169
665	832	167
666	833	166
667	841	166
668	841	164
669	842	163
670	849	163
671	849	161
672	856	161
673	857	160
674	859	159
675	859	157
676	860	156
677	860	154
678	861	153
679	861	152
680	861	150
681	862	149
682	862	147
683	868	147
684	869	145
685	871	144
686	871	143
687	872	142
688	872	140
689	875	139
690	876	138
691	876	136
692	876	135
693	879	134
694	880	133
695	881	131
696	881	130
697	883	129
698	884	127
699	884	126
700	885	124
701	886	123
702	888	122
703	888	121
704	890	119
705	890	118
706	892	117
707	893	116
708	893	114
709	893	113
710	894	111
711	895	110
712	895	109
713	896	107
714	896	106
715	897	105
716	898	103
717	898	102
718	899	101
719	899	99
720	899	98
721	902	97
722	902	96
723	903	94
724	903	93
725	903	92
726	904	90
727	908	89
728	909	88
729	909	87
730	910	85
731	910	84
732	910	83
733	911	81
734	911	80
735	911	79
736	912	77
737	912	76
738	913	75
739	913	74
740	914	72
741	914	71
742	915	70
743	916	68
744	916	67
745	917	66
746	917	65
747	918	63
748	919	62
749	919	61
750	920	60
751	920	58
752	921	57
753	921	56
754	921	54
755	922	53
756	922	52
757	922	51
758	923	49
759	923	48
760	923	47
761	924	46
762	924	44
763	924	43
764	925	42
765	925	41
766	926	39
767	926	38
768	926	37
769	927	36
770	927	34
771	927	33
772	928	32
773	928	31
774	928	29
775	929	28
776	929	27
777	930	26
778	930	25
779	930	23
780	931	22
781	931	21
782	931	20
783	932	19
784	932	17
785	933	16
786	933	15
787	934	14
788	934	13
789	935	11
790	935	10
791	935	9
792	936	8
793	936	7
794	936	5
795	937	4
796	937	3
797	938	2
798	938	1
799	939	0
